Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
3/02/2025 6:34:48 PM,774542,34.0,54.9,,34.0,3.0,99.2,31.2,34.0,34.0,57.4,,34.0,3.0,99.2,31.2,34.0,34.0,32.5,,34.0,3.0,99.2,31.2,34.0,34.0,44.7,,34.0,34.0,44.6,,34.0,34.0,64.9,,34.0,34.0,62.7,,34.0,34.0,57.0,,34.0,34.0,60.0,,34.0,34.0,70.2,,34.0,34.0,67.7,,34.0,34.0,32.5,,34.0,34.0,53.1,,34.0,34.0,25.4,,34.0,34.0,109.2,,34.0,34.0,98.9,,34.0,34.0,90.6,,34.0,34.0,63.0,,34.0,34.0,67.7,,34.0,34.0,47.2,,34.0,34.0,50.2,,34.0,34.0,31.8,,34.0,34.0,31.3,,34.0,34.0,37.1,,34.0,34.0,38.7,,34.0,0.2,
3/02/2025 6:35:48 PM,774602,34.0,54.9,,34.0,3.0,99.2,31.2,34.0,34.0,57.5,,34.0,3.0,99.2,31.2,34.0,34.0,29.2,,34.0,3.0,99.2,31.2,34.0,34.0,45.6,,34.0,34.0,38.5,,34.0,34.0,64.7,,34.0,34.0,66.0,,34.0,34.0,57.0,,34.0,34.0,57.7,,34.0,34.0,69.9,,34.0,34.0,68.5,,34.0,34.0,29.2,,34.0,34.0,53.7,,34.0,34.0,24.7,,34.0,34.0,110.8,,34.0,34.0,92.5,,34.0,34.0,83.8,,34.0,34.0,64.0,,34.0,34.0,68.9,,34.0,34.0,54.5,,34.0,34.0,51.0,,34.0,34.0,34.2,,34.0,34.0,31.2,,34.0,34.0,34.9,,34.0,34.0,39.8,,34.0,0.2,
3/02/2025 6:36:48 PM,774662,34.0,54.5,,34.0,3.0,99.2,31.2,34.0,34.0,56.6,,34.0,3.0,99.2,31.2,34.0,34.0,31.6,,34.0,3.0,99.2,31.2,34.0,34.0,44.9,,34.0,34.0,41.6,,34.0,34.0,62.4,,34.0,34.0,63.4,,34.0,34.0,57.0,,34.0,34.0,58.0,,34.0,34.0,67.5,,34.0,34.0,68.0,,34.0,34.0,31.6,,34.0,34.0,54.0,,34.0,34.0,26.1,,34.0,34.0,118.5,,34.0,34.0,91.1,,34.0,34.0,84.0,,34.0,34.0,62.6,,34.0,34.0,67.4,,34.0,34.0,48.6,,34.0,34.0,50.5,,34.0,34.0,32.0,,34.0,34.0,32.3,,34.0,34.0,36.9,,34.0,34.0,38.2,,34.0,0.1,
3/02/2025 6:37:48 PM,774722,34.0,55.1,,34.0,3.0,99.2,31.2,34.0,34.0,57.3,,34.0,3.0,99.2,31.2,34.0,34.0,31.8,,34.0,3.0,99.2,31.2,34.0,34.0,44.8,,34.0,34.0,42.8,,34.0,34.0,64.4,,34.0,34.0,63.8,,34.0,34.0,57.0,,34.0,34.0,61.0,,34.0,34.0,68.4,,34.0,34.0,67.7,,34.0,34.0,31.8,,34.0,34.0,53.6,,34.0,34.0,25.4,,34.0,34.0,120.0,,34.0,34.0,101.5,,34.0,34.0,84.7,,34.0,34.0,64.0,,34.0,34.0,70.4,,34.0,34.0,46.5,,34.0,34.0,52.2,,34.0,34.0,29.2,,34.0,34.0,31.0,,34.0,34.0,35.2,,34.0,34.0,39.6,,34.0,0.3,
3/02/2025 6:38:48 PM,774782,34.0,54.6,,34.0,3.0,99.2,31.2,34.0,34.0,57.4,,34.0,3.0,99.2,31.2,34.0,34.0,29.3,,34.0,3.0,99.2,31.2,34.0,34.0,43.1,,34.0,34.0,44.3,,34.0,34.0,62.6,,34.0,34.0,65.5,,34.0,34.0,57.6,,34.0,34.0,58.8,,34.0,34.0,71.2,,34.0,34.0,68.1,,34.0,34.0,29.3,,34.0,34.0,54.9,,34.0,34.0,18.5,,34.0,34.0,115.4,,34.0,34.0,99.9,,34.0,34.0,83.5,,34.0,34.0,62.6,,34.0,34.0,67.8,,34.0,34.0,47.8,,34.0,34.0,50.2,,34.0,34.0,32.1,,34.0,34.0,30.7,,34.0,34.0,36.0,,34.0,34.0,39.5,,34.0,0.3,
3/02/2025 6:39:48 PM,774842,34.0,56.2,,34.0,3.0,99.2,31.2,34.0,34.0,58.2,,34.0,3.0,99.2,31.2,34.0,34.0,31.3,,34.0,3.0,99.2,31.2,34.0,34.0,45.2,,34.0,34.0,43.9,,34.0,34.0,60.1,,34.0,34.0,63.3,,34.0,34.0,65.5,,34.0,34.0,58.9,,34.0,34.0,70.6,,34.0,34.0,69.0,,34.0,34.0,31.3,,34.0,34.0,56.1,,34.0,34.0,26.2,,34.0,34.0,122.0,,34.0,34.0,96.4,,34.0,34.0,85.4,,34.0,34.0,66.5,,34.0,34.0,70.1,,34.0,34.0,50.6,,34.0,34.0,51.1,,34.0,34.0,33.3,,34.0,34.0,33.2,,34.0,34.0,37.7,,34.0,34.0,39.9,,34.0,0.3,
3/02/2025 6:40:48 PM,774902,34.0,55.8,,34.0,3.0,99.2,31.2,34.0,34.0,57.4,,34.0,3.0,99.2,31.2,34.0,34.0,30.9,,34.0,3.0,99.2,31.2,34.0,34.0,45.3,,34.0,34.0,44.7,,34.0,34.0,62.8,,34.0,34.0,64.6,,34.0,34.0,57.1,,34.0,34.0,58.7,,34.0,34.0,70.6,,34.0,34.0,66.6,,34.0,34.0,30.9,,34.0,34.0,56.1,,34.0,34.0,26.0,,34.0,34.0,121.5,,34.0,34.0,96.2,,34.0,34.0,88.2,,34.0,34.0,66.0,,34.0,34.0,71.5,,34.0,34.0,48.3,,34.0,34.0,52.3,,34.0,34.0,33.8,,34.0,34.0,31.2,,34.0,34.0,36.8,,34.0,34.0,40.2,,34.0,0.0,
3/02/2025 6:41:48 PM,774962,34.0,55.5,,34.0,3.0,99.2,31.2,34.0,34.0,57.9,,34.0,3.0,99.2,31.2,34.0,34.0,30.3,,34.0,3.0,99.2,31.2,34.0,34.0,44.4,,34.0,34.0,45.6,,34.0,34.0,63.9,,34.0,34.0,65.4,,34.0,34.0,57.2,,34.0,34.0,60.1,,34.0,34.0,69.3,,34.0,34.0,66.8,,34.0,34.0,30.3,,34.0,34.0,52.5,,34.0,34.0,25.1,,34.0,34.0,120.6,,34.0,34.0,94.7,,34.0,34.0,83.0,,34.0,34.0,67.2,,34.0,34.0,69.7,,34.0,34.0,49.4,,34.0,34.0,51.6,,34.0,34.0,33.7,,34.0,34.0,34.2,,34.0,34.0,37.5,,34.0,34.0,40.0,,34.0,0.0,
3/02/2025 6:42:48 PM,775022,34.0,55.8,,34.0,3.0,99.2,31.2,34.0,34.0,57.7,,34.0,3.0,99.2,31.2,34.0,34.0,30.6,,34.0,3.0,99.2,31.2,34.0,34.0,45.7,,34.0,34.0,44.4,,34.0,34.0,62.7,,34.0,34.0,65.7,,34.0,34.0,57.2,,34.0,34.0,59.6,,34.0,34.0,68.4,,34.0,34.0,67.8,,34.0,34.0,30.6,,34.0,34.0,53.2,,34.0,34.0,24.4,,34.0,34.0,118.9,,34.0,34.0,106.7,,34.0,34.0,88.4,,34.0,34.0,64.5,,34.0,34.0,71.4,,34.0,34.0,49.3,,34.0,34.0,54.3,,34.0,34.0,33.5,,34.0,34.0,33.4,,34.0,34.0,34.7,,34.0,34.0,40.3,,34.0,0.2,
