Manikin #3.4.32
Interval (sec),10
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
12/12/2024 5:58:53 PM,17082,34.0,86.1,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,89.4,,34.0,34.0,89.9,,34.0,34.0,119.1,,34.0,34.0,112.2,,34.0,34.0,93.7,,34.0,34.0,97.9,,34.0,34.0,78.2,,34.0,34.0,84.3,,34.0,34.0,53.5,,34.0,34.0,59.1,,34.0,34.0,40.0,,34.0,34.0,170.6,,34.0,34.0,172.0,,34.0,34.0,151.2,,34.0,34.0,109.7,,34.0,34.0,133.6,,34.0,34.0,82.1,,34.0,34.0,72.2,,34.0,34.0,54.5,,34.0,34.0,51.8,,34.0,34.0,48.7,,34.0,34.0,43.9,,34.0,0.0,
12/12/2024 5:59:03 PM,17092,34.0,85.7,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,91.5,,34.0,34.0,89.9,,34.0,34.0,121.3,,34.0,34.0,112.1,,34.0,34.0,93.7,,34.0,34.0,98.1,,34.0,34.0,79.2,,34.0,34.0,84.7,,34.0,34.0,52.4,,34.0,34.0,62.3,,34.0,34.0,39.2,,34.0,34.0,166.4,,34.0,34.0,163.9,,34.0,34.0,146.3,,34.0,34.0,105.8,,34.0,34.0,131.3,,34.0,34.0,79.1,,34.0,34.0,73.2,,34.0,34.0,54.7,,34.0,34.0,51.2,,34.0,34.0,49.3,,34.0,34.0,42.5,,34.0,0.0,
12/12/2024 5:59:13 PM,17102,34.0,85.5,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,90.1,,34.0,34.0,90.2,,34.0,34.0,116.1,,34.0,34.0,109.9,,34.0,34.0,93.7,,34.0,34.0,95.5,,34.0,34.0,78.7,,34.0,34.0,83.9,,34.0,34.0,52.5,,34.0,34.0,60.6,,34.0,34.0,38.8,,34.0,34.0,165.9,,34.0,34.0,170.0,,34.0,34.0,148.2,,34.0,34.0,114.1,,34.0,34.0,131.2,,34.0,34.0,84.7,,34.0,34.0,72.9,,34.0,34.0,53.3,,34.0,34.0,50.2,,34.0,34.0,51.1,,34.0,34.0,43.0,,34.0,0.0,
12/12/2024 5:59:23 PM,17112,34.0,86.4,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,89.6,,34.0,34.0,90.0,,34.0,34.0,117.7,,34.0,34.0,111.7,,34.0,34.0,93.7,,34.0,34.0,96.9,,34.0,34.0,80.6,,34.0,34.0,85.4,,34.0,34.0,51.3,,34.0,34.0,59.5,,34.0,34.0,40.1,,34.0,34.0,171.5,,34.0,34.0,177.2,,34.0,34.0,147.3,,34.0,34.0,111.1,,34.0,34.0,133.5,,34.0,34.0,87.7,,34.0,34.0,71.8,,34.0,34.0,53.5,,34.0,34.0,51.4,,34.0,34.0,50.6,,34.0,34.0,43.9,,34.0,0.0,
12/12/2024 5:59:33 PM,17122,34.0,86.8,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,91.5,,34.0,34.0,91.3,,34.0,34.0,117.8,,34.0,34.0,113.8,,34.0,34.0,93.7,,34.0,34.0,98.8,,34.0,34.0,80.3,,34.0,34.0,85.6,,34.0,34.0,52.7,,34.0,34.0,59.9,,34.0,34.0,40.1,,34.0,34.0,170.7,,34.0,34.0,174.2,,34.0,34.0,146.4,,34.0,34.0,110.4,,34.0,34.0,134.0,,34.0,34.0,88.6,,34.0,34.0,72.4,,34.0,34.0,56.0,,34.0,34.0,51.6,,34.0,34.0,51.9,,34.0,34.0,40.4,,34.0,0.0,
12/12/2024 5:59:43 PM,17132,34.0,86.9,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,91.5,,34.0,34.0,90.3,,34.0,34.0,121.3,,34.0,34.0,115.2,,34.0,34.0,93.7,,34.0,34.0,98.5,,34.0,34.0,81.0,,34.0,34.0,86.0,,34.0,34.0,51.5,,34.0,34.0,60.1,,34.0,34.0,38.7,,34.0,34.0,169.4,,34.0,34.0,171.9,,34.0,34.0,145.4,,34.0,34.0,106.9,,34.0,34.0,134.8,,34.0,34.0,87.8,,34.0,34.0,72.7,,34.0,34.0,55.5,,34.0,34.0,51.3,,34.0,34.0,52.5,,34.0,34.0,43.8,,34.0,0.0,
12/12/2024 5:59:53 PM,17142,34.0,87.5,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,89.0,,34.0,34.0,91.1,,34.0,34.0,119.1,,34.0,34.0,113.2,,34.0,34.0,93.7,,34.0,34.0,98.4,,34.0,34.0,81.1,,34.0,34.0,85.7,,34.0,34.0,54.0,,34.0,34.0,62.5,,34.0,34.0,40.4,,34.0,34.0,168.5,,34.0,34.0,175.5,,34.0,34.0,153.8,,34.0,34.0,118.8,,34.0,34.0,136.0,,34.0,34.0,87.7,,34.0,34.0,72.3,,34.0,34.0,54.9,,34.0,34.0,51.1,,34.0,34.0,50.9,,34.0,34.0,42.8,,34.0,0.0,
12/12/2024 6:00:03 PM,17152,34.0,87.3,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,90.1,,34.0,34.0,91.0,,34.0,34.0,119.3,,34.0,34.0,115.2,,34.0,34.0,93.7,,34.0,34.0,98.3,,34.0,34.0,81.4,,34.0,34.0,86.5,,34.0,34.0,52.5,,34.0,34.0,60.7,,34.0,34.0,39.5,,34.0,34.0,170.1,,34.0,34.0,170.8,,34.0,34.0,147.0,,34.0,34.0,113.8,,34.0,34.0,134.2,,34.0,34.0,88.1,,34.0,34.0,72.6,,34.0,34.0,55.1,,34.0,34.0,51.5,,34.0,34.0,54.4,,34.0,34.0,44.8,,34.0,0.0,
12/12/2024 6:00:13 PM,17162,34.0,87.4,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,90.8,,34.0,34.0,91.0,,34.0,34.0,119.1,,34.0,34.0,112.9,,34.0,34.0,93.7,,34.0,34.0,101.2,,34.0,34.0,81.8,,34.0,34.0,86.8,,34.0,34.0,53.2,,34.0,34.0,60.3,,34.0,34.0,38.8,,34.0,34.0,170.0,,34.0,34.0,168.4,,34.0,34.0,156.6,,34.0,34.0,110.4,,34.0,34.0,141.3,,34.0,34.0,85.7,,34.0,34.0,72.0,,34.0,34.0,55.1,,34.0,34.0,50.9,,34.0,34.0,53.0,,34.0,34.0,43.8,,34.0,0.0,
