Manikin #3.4.32
Interval (sec),10
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
13/12/2024 2:04:38 PM,89427,33.6,50.9,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,53.9,,33.5,33.5,53.2,,33.5,32.9,64.5,,32.9,33.1,61.0,,33.1,33.4,55.5,,33.4,33.5,53.3,,33.5,33.7,49.4,,33.7,33.7,49.9,,33.7,34.4,36.6,,34.4,34.3,38.7,,34.3,34.3,38.8,,34.3,32.0,81.1,,32.0,31.9,83.3,,31.9,32.1,79.8,,32.1,33.0,63.1,,33.0,32.8,67.1,,32.8,33.5,53.0,,33.5,34.0,44.2,,34.0,34.4,37.2,,34.4,34.5,35.3,,34.5,34.5,35.1,,34.5,34.7,30.7,,34.7,0.0,
13/12/2024 2:04:43 PM,89432,33.6,50.9,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,53.9,,33.5,33.5,53.2,,33.5,32.9,64.4,,32.9,33.1,61.0,,33.1,33.4,55.5,,33.4,33.5,53.3,,33.5,33.7,49.4,,33.7,33.7,49.9,,33.7,34.4,36.6,,34.4,34.3,38.6,,34.3,34.3,38.8,,34.3,32.0,81.1,,32.0,31.9,83.3,,31.9,32.1,79.8,,32.1,33.0,63.1,,33.0,32.8,67.1,,32.8,33.5,52.8,,33.5,34.0,44.2,,34.0,34.4,37.2,,34.4,34.5,35.3,,34.5,34.5,35.1,,34.5,34.7,30.7,,34.7,0.0,
13/12/2024 2:04:53 PM,89442,33.6,50.9,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,53.9,,33.5,33.5,53.2,,33.5,32.9,64.4,,32.9,33.1,61.0,,33.1,33.4,55.3,,33.4,33.5,53.3,,33.5,33.7,49.4,,33.7,33.7,49.9,,33.7,34.4,36.6,,34.4,34.3,38.6,,34.3,34.3,38.8,,34.3,32.0,81.4,,32.0,31.9,83.9,,31.9,32.1,79.8,,32.1,33.0,63.1,,33.0,32.8,67.1,,32.8,33.5,53.0,,33.5,34.0,44.2,,34.0,34.4,37.2,,34.4,34.5,35.3,,34.5,34.5,35.1,,34.5,34.7,30.7,,34.7,0.0,
13/12/2024 2:05:03 PM,89452,33.6,51.0,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,53.9,,33.5,33.5,53.0,,33.5,32.9,64.4,,32.9,33.1,61.0,,33.1,33.4,55.4,,33.4,33.5,53.4,,33.5,33.7,49.4,,33.7,33.7,50.0,,33.7,34.4,36.6,,34.4,34.3,38.5,,34.3,34.3,38.9,,34.3,31.9,82.4,,32.0,31.9,83.7,,31.9,32.1,79.8,,32.1,33.0,63.1,,33.0,32.8,67.1,,32.8,33.5,53.0,,33.5,34.0,44.2,,34.0,34.4,37.2,,34.4,34.5,35.3,,34.5,34.5,35.1,,34.5,34.7,30.7,,34.7,0.0,
13/12/2024 2:05:13 PM,89462,33.6,51.0,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,53.9,,33.5,33.5,53.0,,33.5,32.9,64.4,,32.9,33.1,61.0,,33.1,33.4,55.4,,33.4,33.5,53.4,,33.5,33.7,49.4,,33.7,33.7,50.1,,33.7,34.4,36.6,,34.4,34.3,38.6,,34.3,34.3,39.5,,34.3,31.9,82.4,,32.0,31.9,83.9,,31.9,32.1,79.8,,32.1,33.0,63.1,,33.0,32.8,67.1,,32.8,33.5,53.0,,33.5,34.0,44.2,,34.0,34.4,37.2,,34.4,34.5,35.4,,34.5,34.5,35.1,,34.5,34.7,30.7,,34.7,0.0,
13/12/2024 2:05:23 PM,89472,33.6,51.0,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.0,,33.5,33.5,53.1,,33.5,32.9,64.5,,32.9,33.1,61.0,,33.1,33.4,55.2,,33.4,33.5,53.2,,33.5,33.7,49.4,,33.7,33.7,50.2,,33.7,34.4,36.6,,34.4,34.3,38.7,,34.3,34.3,39.5,,34.3,31.9,82.5,,32.0,31.9,83.9,,31.9,32.1,79.8,,32.1,33.0,63.1,,33.0,32.8,67.1,,32.8,33.5,53.0,,33.5,34.0,44.2,,34.0,34.4,37.2,,34.4,34.5,35.5,,34.5,34.5,35.1,,34.5,34.7,30.7,,34.7,0.0,
13/12/2024 2:05:33 PM,89482,33.6,51.1,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.1,,33.5,33.5,53.2,,33.5,32.9,64.5,,32.9,33.1,61.0,,33.1,33.4,55.2,,33.4,33.5,53.5,,33.5,33.7,49.4,,33.7,33.7,50.1,,33.7,34.4,36.6,,34.4,34.3,38.8,,34.3,34.3,39.5,,34.3,31.9,83.8,,32.0,31.9,83.9,,31.9,32.1,79.8,,32.1,33.0,63.1,,33.0,32.8,67.1,,32.8,33.5,53.0,,33.5,34.0,44.2,,34.0,34.4,37.4,,34.4,34.5,35.7,,34.5,34.5,35.1,,34.5,34.7,30.7,,34.7,0.0,
13/12/2024 2:05:43 PM,89492,33.6,51.2,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.1,,33.5,33.5,53.3,,33.5,32.9,64.8,,32.9,33.1,61.0,,33.1,33.4,55.0,,33.4,33.5,53.4,,33.5,33.7,49.4,,33.7,33.7,50.3,,33.7,34.4,36.6,,34.4,34.3,39.0,,34.3,34.3,39.5,,34.3,31.9,83.8,,31.9,31.8,84.2,,31.9,32.1,79.8,,32.1,33.0,63.1,,33.0,32.8,67.1,,32.8,33.5,53.0,,33.5,34.0,44.2,,34.0,34.4,37.7,,34.4,34.5,35.8,,34.5,34.5,35.2,,34.5,34.7,30.7,,34.7,0.0,
13/12/2024 2:05:53 PM,89502,33.6,51.3,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.2,,33.5,33.5,53.3,,33.5,32.9,65.1,,32.9,33.1,61.0,,33.1,33.4,55.1,,33.4,33.5,53.5,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.4,36.6,,34.4,34.3,39.0,,34.3,34.3,39.7,,34.3,31.9,83.8,,31.9,31.8,84.5,,31.9,32.1,79.8,,32.1,33.0,63.1,,33.0,32.7,67.8,,32.8,33.5,53.0,,33.5,34.0,44.2,,34.0,34.4,37.7,,34.4,34.5,35.8,,34.5,34.5,35.2,,34.5,34.7,30.7,,34.7,0.0,
