Manikin #3.4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval (sec),10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),
13/12/2024 16:56,99717,33.7,49.9,,33.7,,,,,0,0,,0,,,,,0,0,,0,,,,,33.5,53.9,,33.5,33.5,53,,33.5,33,63.8,,33,33.1,61,,33.1,33.5,53,,33.5,33.5,52.9,,33.5,33.8,48.1,,33.8,33.7,49.3,,33.7,34.5,35.2,,34.5,34.4,37.2,,34.4,34.4,36.3,,34.4,31.7,87.8,,31.6,31.9,82.7,,31.9,32.2,76.9,,32.2,33.1,60.4,,33.1,32.8,65.7,,32.8,33.7,50.2,,33.7,34,44.2,,34,34.5,35.5,,34.5,34.6,33.6,,34.6,34.6,34,,34.6,34.8,29.6,,34.8,0
13/12/2024 16:56,99722,33.7,49.9,,33.7,,,,,0,0,,0,,,,,0,0,,0,,,,,33.5,53.8,,33.5,33.5,53,,33.5,33,63.8,,33,33.1,61,,33.1,33.5,53,,33.5,33.5,52.9,,33.5,33.8,48.1,,33.8,33.7,49.3,,33.7,34.5,35.2,,34.5,34.4,37.2,,34.4,34.4,36.3,,34.4,31.7,87.8,,31.6,32,82.3,,31.9,32.3,76.8,,32.2,33.1,60.4,,33.1,32.9,65.6,,32.8,33.7,50.2,,33.7,34,44.2,,34,34.5,35.4,,34.5,34.6,33.6,,34.6,34.6,34,,34.6,34.8,29.6,,34.8,0
13/12/2024 16:56,99732,33.7,49.9,,33.7,,,,,0,0,,0,,,,,0,0,,0,,,,,33.5,53.8,,33.5,33.5,53,,33.5,33,63.8,,33,33.1,61,,33.1,33.5,53,,33.5,33.5,52.9,,33.5,33.8,48.1,,33.8,33.7,49.3,,33.7,34.5,35.2,,34.5,34.4,37.2,,34.4,34.4,36.3,,34.4,31.6,88.1,,31.6,32,82,,31.9,32.3,76.8,,32.2,33.1,60.4,,33.1,32.9,65.1,,32.8,33.7,50.2,,33.7,34,44,,34,34.5,35.4,,34.5,34.6,33.6,,34.6,34.6,34,,34.6,34.8,29.6,,34.8,0
13/12/2024 16:56,99742,33.7,49.9,,33.7,,,,,0,0,,0,,,,,0,0,,0,,,,,33.5,53.8,,33.5,33.5,53,,33.5,33,63.8,,33,33.1,61,,33.1,33.5,53,,33.5,33.5,52.9,,33.5,33.8,48.1,,33.8,33.7,49.3,,33.7,34.5,35.2,,34.5,34.4,37.3,,34.4,34.4,36.3,,34.4,31.6,88.4,,31.6,32,82,,31.9,32.3,76.8,,32.2,33.1,60.4,,33.1,32.9,65.4,,32.8,33.7,50.2,,33.7,34,43.9,,34,34.5,35.3,,34.5,34.6,33.6,,34.6,34.6,34,,34.6,34.8,29.6,,34.8,0
13/12/2024 16:56,99752,33.7,49.9,,33.7,,,,,0,0,,0,,,,,0,0,,0,,,,,33.5,53.8,,33.5,33.5,53,,33.5,33,63.8,,33,33.1,61,,33.1,33.5,53,,33.5,33.5,52.9,,33.5,33.8,48.1,,33.8,33.7,49.3,,33.7,34.5,35.2,,34.5,34.4,37.3,,34.4,34.4,36.3,,34.4,31.6,88.5,,31.6,32,82,,31.9,32.3,76.8,,32.2,33.1,60.4,,33.1,32.9,65.5,,32.9,33.7,50.2,,33.7,34,43.9,,34,34.5,35.3,,34.5,34.6,33.6,,34.6,34.6,34,,34.6,34.8,29.6,,34.8,0
13/12/2024 16:56,99762,33.7,49.9,,33.7,,,,,0,0,,0,,,,,0,0,,0,,,,,33.5,53.8,,33.5,33.5,53,,33.5,33,63.8,,33,33.1,61,,33.1,33.6,52.7,,33.5,33.5,52.9,,33.5,33.8,48.1,,33.8,33.7,49.3,,33.7,34.5,35.2,,34.5,34.4,37.3,,34.4,34.4,36.3,,34.4,31.6,88.5,,31.6,32,82,,32,32.3,76.8,,32.2,33.1,60.4,,33.1,32.9,65.1,,32.9,33.7,50.2,,33.7,34,43.8,,34,34.5,35.3,,34.5,34.6,33.6,,34.6,34.6,34,,34.6,34.8,29.6,,34.8,0
13/12/2024 16:57,99772,33.7,49.9,,33.7,,,,,0,0,,0,,,,,0,0,,0,,,,,33.5,53.8,,33.5,33.5,53,,33.5,33,63.8,,33,33.1,61,,33.1,33.6,52.7,,33.5,33.5,52.9,,33.5,33.8,48.1,,33.8,33.7,49.3,,33.7,34.5,35.2,,34.5,34.4,37.3,,34.4,34.4,36.3,,34.4,31.6,88.5,,31.6,32,82.2,,32,32.3,76.7,,32.2,33.1,60.4,,33.1,32.9,65.1,,32.9,33.7,50.2,,33.7,34,43.7,,34,34.5,35.3,,34.5,34.6,33.6,,34.6,34.6,34,,34.6,34.8,29.6,,34.8,0
13/12/2024 16:57,99782,33.7,49.9,,33.7,,,,,0,0,,0,,,,,0,0,,0,,,,,33.5,53.8,,33.5,33.5,53,,33.5,33,63.8,,33,33.1,61,,33.1,33.6,52.5,,33.5,33.5,52.9,,33.5,33.8,48.1,,33.8,33.7,49.3,,33.7,34.5,35.2,,34.5,34.4,37.2,,34.4,34.4,36.3,,34.4,31.6,88.5,,31.6,32,82,,32,32.3,76.8,,32.3,33.1,60.4,,33.1,32.9,65.6,,32.9,33.7,50.2,,33.7,34,43.7,,34,34.5,35.3,,34.5,34.6,33.6,,34.6,34.6,34,,34.6,34.8,29.6,,34.8,0
13/12/2024 16:57,99792,33.7,49.9,,33.7,,,,,0,0,,0,,,,,0,0,,0,,,,,33.5,53.8,,33.5,33.5,53,,33.5,33,63.8,,33,33.1,61,,33.1,33.6,52.5,,33.5,33.5,52.9,,33.5,33.8,48.1,,33.8,33.7,49.3,,33.7,34.5,35.2,,34.5,34.4,37.2,,34.4,34.4,36.3,,34.4,31.6,88.5,,31.6,32,82,,32,32.3,76.8,,32.3,33.1,60.4,,33.1,32.9,65.6,,32.9,33.7,50,,33.7,34,43.9,,34,34.5,35.2,,34.5,34.6,33.6,,34.6,34.6,34,,34.6,34.8,29.6,,34.8,0
13/12/2024 16:57,99802,33.7,49.8,,33.7,,,,,0,0,,0,,,,,0,0,,0,,,,,33.5,53.8,,33.5,33.5,53,,33.5,33,63.8,,33,33.1,61,,33.1,33.6,52.4,,33.6,33.5,52.9,,33.5,33.8,48.1,,33.8,33.7,49.3,,33.7,34.5,35.2,,34.5,34.4,37.1,,34.4,34.4,36.3,,34.4,31.6,88.5,,31.6,31.9,82.5,,32,32.3,76.8,,32.3,33.1,60.4,,33.1,32.9,65.2,,32.9,33.7,49.7,,33.7,34,44,,34,34.5,35.2,,34.5,34.6,33.6,,34.6,34.6,34,,34.6,34.8,29.6,,34.8,0
13/12/2024 16:57,99812,33.7,49.8,,33.7,,,,,0,0,,0,,,,,0,0,,0,,,,,33.5,53.8,,33.5,33.5,53,,33.5,33,63.8,,33,33.1,61,,33.1,33.6,52.4,,33.6,33.5,52.9,,33.5,33.8,48.1,,33.8,33.7,49.3,,33.7,34.5,35.2,,34.5,34.4,37,,34.4,34.4,36.3,,34.4,31.6,88.5,,31.6,32,82,,32,32.3,76.6,,32.3,33.1,60.4,,33.1,32.9,65.1,,32.9,33.7,49.7,,33.7,34,43.9,,34,34.5,35.1,,34.5,34.6,33.6,,34.6,34.6,34,,34.6,34.8,29.6,,34.8,0
13/12/2024 16:57,99822,33.7,49.8,,33.7,,,,,0,0,,0,,,,,0,0,,0,,,,,33.5,53.8,,33.5,33.5,53,,33.5,33,63.8,,33,33.1,61,,33.1,33.6,52.4,,33.6,33.5,52.9,,33.5,33.8,48.1,,33.8,33.7,49.3,,33.7,34.5,35.1,,34.5,34.4,37.1,,34.4,34.4,36.3,,34.4,31.6,88.6,,31.6,32,82,,32,32.3,76.5,,32.3,33.1,60.4,,33.1,32.9,65.1,,32.9,33.7,49.8,,33.7,34,43.7,,34,34.5,35.2,,34.5,34.6,33.6,,34.6,34.6,34,,34.6,34.8,29.6,,34.8,0
13/12/2024 16:58,99832,33.7,49.8,,33.7,,,,,0,0,,0,,,,,0,0,,0,,,,,33.5,53.8,,33.5,33.5,53,,33.5,33,63.8,,33,33.1,61,,33.1,33.6,52.5,,33.6,33.5,52.9,,33.5,33.8,48.1,,33.8,33.7,49.3,,33.7,34.5,35.1,,34.5,34.4,37.1,,34.4,34.4,36.3,,34.4,31.6,88.8,,31.6,32,82,,32,32.3,76.1,,32.3,33.1,60.4,,33.1,32.9,65.1,,32.9,33.7,49.9,,33.7,34,43.7,,34,34.5,35.2,,34.5,34.6,33.6,,34.6,34.6,34,,34.6,34.8,29.6,,34.8,0
13/12/2024 16:58,99842,33.7,49.8,,33.7,,,,,0,0,,0,,,,,0,0,,0,,,,,33.5,53.8,,33.5,33.5,53,,33.5,33,63.8,,33,33.1,61,,33.1,33.6,52.5,,33.6,33.5,52.9,,33.5,33.8,48.1,,33.8,33.7,49.3,,33.7,34.5,35.1,,34.5,34.4,37.2,,34.4,34.4,36.3,,34.4,31.6,88.6,,31.6,31.9,82.6,,32,32.3,76.5,,32.3,33.1,60.4,,33.1,32.9,65.5,,32.9,33.7,50,,33.7,34,43.7,,34,34.5,35.1,,34.5,34.6,33.6,,34.6,34.6,34,,34.6,34.8,29.6,,34.8,0
