Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
24/01/2025 4:50:12 PM,0,34.0,59.0,,34.0,3.0,99.2,31.2,34.0,34.0,59.4,,34.0,3.0,99.2,31.2,34.0,34.0,40.1,,34.0,3.0,99.2,31.2,34.0,34.0,49.5,,34.0,34.0,45.3,,34.0,34.0,67.8,,34.0,34.0,66.3,,34.0,34.0,55.5,,34.0,34.0,58.7,,34.0,34.0,69.4,,34.0,34.0,68.9,,34.0,34.0,40.1,,34.0,34.0,56.0,,34.0,34.0,16.5,,34.0,34.0,90.3,,34.0,34.0,94.4,,34.0,34.0,97.3,,34.0,34.0,74.5,,34.0,34.0,93.5,,34.0,34.0,63.4,,34.0,34.0,69.6,,34.0,34.0,40.8,,34.0,34.0,46.7,,34.0,34.0,41.9,,34.0,34.0,39.1,,34.0,0.2,
24/01/2025 4:51:11 PM,60,34.0,60.0,,34.0,3.0,99.2,31.2,34.0,34.0,59.6,,34.0,3.0,99.2,31.2,34.0,34.0,39.9,,34.0,3.0,99.2,31.2,34.0,34.0,48.2,,34.0,34.0,46.1,,34.0,34.0,67.8,,34.0,34.0,67.2,,34.0,34.0,55.5,,34.0,34.0,60.6,,34.0,34.0,69.7,,34.0,34.0,72.1,,34.0,34.0,39.9,,34.0,34.0,55.5,,34.0,34.0,15.6,,34.0,34.0,102.6,,34.0,34.0,87.1,,34.0,34.0,102.4,,34.0,34.0,68.9,,34.0,34.0,100.7,,34.0,34.0,67.8,,34.0,34.0,73.2,,34.0,34.0,42.3,,34.0,34.0,48.9,,34.0,34.0,38.5,,34.0,34.0,38.9,,34.0,0.8,
24/01/2025 4:52:12 PM,120,34.0,60.0,,34.0,3.0,99.2,31.2,34.0,34.0,58.8,,34.0,3.0,99.2,31.2,34.0,34.0,40.4,,34.0,3.0,99.2,31.2,34.0,34.0,49.0,,34.0,34.0,46.4,,34.0,34.0,66.7,,34.0,34.0,64.7,,34.0,34.0,55.9,,34.0,34.0,60.8,,34.0,34.0,67.5,,34.0,34.0,67.8,,34.0,34.0,40.4,,34.0,34.0,58.5,,34.0,34.0,15.6,,34.0,34.0,104.8,,34.0,34.0,88.9,,34.0,34.0,95.4,,34.0,34.0,74.8,,34.0,34.0,101.6,,34.0,34.0,66.8,,34.0,34.0,72.5,,34.0,34.0,42.8,,34.0,34.0,48.8,,34.0,34.0,39.2,,34.0,34.0,41.7,,34.0,0.2,
24/01/2025 4:53:12 PM,180,34.0,60.1,,34.0,3.0,99.2,31.2,34.0,34.0,58.9,,34.0,3.0,99.2,31.2,34.0,34.0,41.0,,34.0,3.0,99.2,31.2,34.0,34.0,47.8,,34.0,34.0,46.1,,34.0,34.0,66.5,,34.0,34.0,65.6,,34.0,34.0,56.3,,34.0,34.0,59.6,,34.0,34.0,68.0,,34.0,34.0,66.9,,34.0,34.0,41.0,,34.0,34.0,55.9,,34.0,34.0,16.1,,34.0,34.0,106.0,,34.0,34.0,88.8,,34.0,34.0,101.5,,34.0,34.0,73.2,,34.0,34.0,103.2,,34.0,34.0,67.9,,34.0,34.0,72.9,,34.0,34.0,43.5,,34.0,34.0,50.0,,34.0,34.0,38.7,,34.0,34.0,40.9,,34.0,0.4,
24/01/2025 4:54:11 PM,240,34.0,60.8,,34.0,3.0,99.2,31.2,34.0,34.0,59.3,,34.0,3.0,99.2,31.2,34.0,34.0,41.3,,34.0,3.0,99.2,31.2,34.0,34.0,48.5,,34.0,34.0,46.2,,34.0,34.0,68.3,,34.0,34.0,63.6,,34.0,34.0,57.8,,34.0,34.0,62.2,,34.0,34.0,69.8,,34.0,34.0,70.2,,34.0,34.0,41.3,,34.0,34.0,58.1,,34.0,34.0,17.2,,34.0,34.0,106.7,,34.0,34.0,85.3,,34.0,34.0,99.9,,34.0,34.0,75.1,,34.0,34.0,102.1,,34.0,34.0,68.1,,34.0,34.0,73.0,,34.0,34.0,43.9,,34.0,34.0,50.8,,34.0,34.0,37.4,,34.0,34.0,41.3,,34.0,0.5,
24/01/2025 4:55:11 PM,300,34.0,60.9,,34.0,3.0,99.2,31.2,34.0,34.0,59.9,,34.0,3.0,99.2,31.2,34.0,34.0,40.6,,34.0,3.0,99.2,31.2,34.0,34.0,48.5,,34.0,34.0,45.7,,34.0,34.0,67.8,,34.0,34.0,66.5,,34.0,34.0,57.8,,34.0,34.0,61.4,,34.0,34.0,65.3,,34.0,34.0,68.6,,34.0,34.0,40.6,,34.0,34.0,57.9,,34.0,34.0,16.2,,34.0,34.0,109.7,,34.0,34.0,95.4,,34.0,34.0,100.1,,34.0,34.0,75.0,,34.0,34.0,104.7,,34.0,34.0,68.7,,34.0,34.0,74.3,,34.0,34.0,43.1,,34.0,34.0,49.8,,34.0,34.0,39.9,,34.0,34.0,40.4,,34.0,0.2,
24/01/2025 4:56:12 PM,360,34.0,60.8,-0.643,34.0,3.0,99.2,31.2,34.0,34.0,59.8,-0.646,34.0,3.0,99.2,31.2,34.0,34.0,41.2,-0.651,34.0,3.0,99.2,31.2,34.0,34.0,48.7,-0.647,34.0,34.0,45.1,-0.643,34.0,34.0,68.5,-0.643,34.0,34.0,65.6,-0.645,34.0,34.0,57.8,-0.650,34.0,34.0,61.4,-0.651,34.0,34.0,69.4,-0.649,34.0,34.0,69.3,-0.653,34.0,34.0,41.2,-0.651,34.0,34.0,56.0,-0.651,34.0,34.0,16.2,-0.634,34.0,34.0,108.6,-0.632,34.0,34.0,86.3,-0.626,34.0,34.0,105.9,-0.625,34.0,34.0,74.7,-0.634,34.0,34.0,101.2,-0.633,34.0,34.0,68.0,-0.636,34.0,34.0,74.5,-0.641,34.0,34.0,42.5,-0.640,34.0,34.0,50.3,-0.641,34.0,34.0,40.2,-0.643,34.0,34.0,40.8,-0.643,34.0,0.0,
24/01/2025 4:57:11 PM,420,34.0,61.1,,34.0,3.0,99.2,31.2,34.0,34.0,60.2,,34.0,3.0,99.2,31.2,34.0,34.0,41.2,,34.0,3.0,99.2,31.2,34.0,34.0,47.8,,34.0,34.0,47.0,,34.0,34.0,68.1,,34.0,34.0,67.1,,34.0,34.0,57.8,,34.0,34.0,61.9,,34.0,34.0,65.0,,34.0,34.0,67.0,,34.0,34.0,41.2,,34.0,34.0,57.0,,34.0,34.0,17.0,,34.0,34.0,108.1,,34.0,34.0,88.1,,34.0,34.0,96.7,,34.0,34.0,73.1,,34.0,34.0,116.0,,34.0,34.0,67.8,,34.0,34.0,73.2,,34.0,34.0,45.6,,34.0,34.0,49.7,,34.0,34.0,40.3,,34.0,34.0,42.9,,34.0,0.1,
24/01/2025 4:58:11 PM,480,34.0,60.1,,34.0,3.0,99.2,31.2,34.0,34.0,58.5,,34.0,3.0,99.2,31.2,34.0,34.0,43.0,,34.0,3.0,99.2,31.2,34.0,34.0,47.8,,34.0,34.0,45.6,,34.0,34.0,66.5,,34.0,34.0,63.5,,34.0,34.0,57.0,,34.0,34.0,61.4,,34.0,34.0,63.4,,34.0,34.0,64.3,,34.0,34.0,43.0,,34.0,34.0,56.0,,34.0,34.0,17.0,,34.0,34.0,107.0,,34.0,34.0,93.6,,34.0,34.0,115.3,,34.0,34.0,73.0,,34.0,34.0,102.8,,34.0,34.0,67.4,,34.0,34.0,72.7,,34.0,34.0,43.1,,34.0,34.0,49.1,,34.0,34.0,40.0,,34.0,34.0,39.5,,34.0,0.5,
