Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
25/01/2025 5:26:38 PM,0,34.0,58.0,,34.0,3.0,99.2,31.2,34.0,34.0,59.4,,34.0,3.0,99.2,31.2,34.0,34.0,35.8,,34.0,3.0,99.2,31.2,34.0,34.0,48.7,,34.0,34.0,46.4,,34.0,34.0,67.7,,34.0,34.0,66.1,,34.0,34.0,56.0,,34.0,34.0,58.3,,34.0,34.0,70.1,,34.0,34.0,67.1,,34.0,34.0,35.8,,34.0,34.0,56.0,,34.0,34.0,23.0,,34.0,34.0,121.0,,34.0,34.0,87.4,,34.0,34.0,86.4,,34.0,34.0,70.0,,34.0,34.0,63.9,,34.0,34.0,61.8,,34.0,34.0,66.4,,34.0,34.0,39.3,,34.0,34.0,42.0,,34.0,34.0,39.3,,34.0,34.0,39.3,,34.0,0.2,
25/01/2025 5:27:38 PM,60,34.0,58.9,,34.0,3.0,99.2,31.2,34.0,34.0,60.5,,34.0,3.0,99.2,31.2,34.0,34.0,34.5,,34.0,3.0,99.2,31.2,34.0,34.0,49.7,,34.0,34.0,47.0,,34.0,34.0,69.6,,34.0,34.0,68.7,,34.0,34.0,54.9,,34.0,34.0,61.4,,34.0,34.0,69.8,,34.0,34.0,69.8,,34.0,34.0,34.5,,34.0,34.0,56.4,,34.0,34.0,23.9,,34.0,34.0,124.9,,34.0,34.0,90.9,,34.0,34.0,84.7,,34.0,34.0,69.9,,34.0,34.0,66.2,,34.0,34.0,62.5,,34.0,34.0,64.3,,34.0,34.0,39.2,,34.0,34.0,43.7,,34.0,34.0,41.8,,34.0,34.0,38.9,,34.0,0.0,
25/01/2025 5:28:38 PM,120,34.0,58.9,,34.0,3.0,99.2,31.2,34.0,34.0,59.5,,34.0,3.0,99.2,31.2,34.0,34.0,35.3,,34.0,3.0,99.2,31.2,34.0,34.0,49.7,,34.0,34.0,45.8,,34.0,34.0,67.5,,34.0,34.0,67.2,,34.0,34.0,54.9,,34.0,34.0,61.0,,34.0,34.0,68.7,,34.0,34.0,66.9,,34.0,34.0,35.3,,34.0,34.0,54.6,,34.0,34.0,23.7,,34.0,34.0,127.4,,34.0,34.0,89.3,,34.0,34.0,92.2,,34.0,34.0,72.9,,34.0,34.0,67.2,,34.0,34.0,64.8,,34.0,34.0,67.9,,34.0,34.0,40.8,,34.0,34.0,44.3,,34.0,34.0,39.8,,34.0,34.0,38.5,,34.0,0.2,
25/01/2025 5:29:38 PM,180,34.0,60.5,,34.0,3.0,99.2,31.2,34.0,34.0,59.2,,34.0,3.0,99.2,31.2,34.0,34.0,35.8,,34.0,3.0,99.2,31.2,34.0,34.0,48.7,,34.0,34.0,47.1,,34.0,34.0,67.4,,34.0,34.0,66.1,,34.0,34.0,54.9,,34.0,34.0,61.6,,34.0,34.0,69.3,,34.0,34.0,66.3,,34.0,34.0,35.8,,34.0,34.0,55.3,,34.0,34.0,27.3,,34.0,34.0,133.0,,34.0,34.0,91.8,,34.0,34.0,98.7,,34.0,34.0,79.1,,34.0,34.0,74.1,,34.0,34.0,65.6,,34.0,34.0,72.2,,34.0,34.0,41.2,,34.0,34.0,44.5,,34.0,34.0,41.1,,34.0,34.0,42.8,,34.0,1.0,
25/01/2025 5:30:38 PM,240,34.0,60.0,,34.0,3.0,99.2,31.2,34.0,34.0,60.2,,34.0,3.0,99.2,31.2,34.0,34.0,35.5,,34.0,3.0,99.2,31.2,34.0,34.0,49.9,,34.0,34.0,46.7,,34.0,34.0,69.8,,34.0,34.0,67.1,,34.0,34.0,54.9,,34.0,34.0,59.5,,34.0,34.0,70.4,,34.0,34.0,67.9,,34.0,34.0,35.5,,34.0,34.0,55.5,,34.0,34.0,25.7,,34.0,34.0,132.2,,34.0,34.0,94.4,,34.0,34.0,88.0,,34.0,34.0,79.4,,34.0,34.0,69.0,,34.0,34.0,65.7,,34.0,34.0,69.4,,34.0,34.0,40.0,,34.0,34.0,45.0,,34.0,34.0,39.3,,34.0,34.0,40.3,,34.0,0.5,
25/01/2025 5:31:38 PM,300,34.0,60.5,,34.0,3.0,99.2,31.2,34.0,34.0,59.7,,34.0,3.0,99.2,31.2,34.0,34.0,36.7,,34.0,3.0,99.2,31.2,34.0,34.0,48.6,,34.0,34.0,45.8,,34.0,34.0,68.2,,34.0,34.0,67.8,,34.0,34.0,54.9,,34.0,34.0,59.0,,34.0,34.0,69.0,,34.0,34.0,67.2,,34.0,34.0,36.7,,34.0,34.0,54.7,,34.0,34.0,27.4,,34.0,34.0,132.8,,34.0,34.0,99.6,,34.0,34.0,98.8,,34.0,34.0,86.7,,34.0,34.0,70.0,,34.0,34.0,65.7,,34.0,34.0,70.1,,34.0,34.0,40.2,,34.0,34.0,45.0,,34.0,34.0,40.0,,34.0,34.0,40.3,,34.0,1.0,
25/01/2025 5:32:38 PM,360,34.0,60.4,,34.0,3.0,99.2,31.2,34.0,34.0,58.1,,34.0,3.0,99.2,31.2,34.0,34.0,39.1,,34.0,3.0,99.2,31.2,34.0,34.0,47.1,,34.0,34.0,46.2,,34.0,34.0,65.8,,34.0,34.0,64.4,,34.0,34.0,55.0,,34.0,34.0,61.3,,34.0,34.0,66.3,,34.0,34.0,63.8,,34.0,34.0,39.1,,34.0,34.0,54.1,,34.0,34.0,25.6,,34.0,34.0,132.2,,34.0,34.0,103.3,,34.0,34.0,101.8,,34.0,34.0,81.8,,34.0,34.0,73.7,,34.0,34.0,66.9,,34.0,34.0,73.8,,34.0,34.0,41.4,,34.0,34.0,45.5,,34.0,34.0,42.7,,34.0,34.0,40.3,,34.0,0.1,
25/01/2025 5:33:38 PM,420,34.0,59.3,,34.0,3.0,99.2,31.2,34.0,34.0,58.3,,34.0,3.0,99.2,31.2,34.0,34.0,36.4,,34.0,3.0,99.2,31.2,34.0,34.0,48.2,,34.0,34.0,46.1,,34.0,34.0,65.7,,34.0,34.0,64.8,,34.0,34.0,55.0,,34.0,34.0,60.1,,34.0,34.0,68.3,,34.0,34.0,64.8,,34.0,34.0,36.4,,34.0,34.0,54.4,,34.0,34.0,28.3,,34.0,34.0,136.0,,34.0,34.0,93.1,,34.0,34.0,94.1,,34.0,34.0,71.2,,34.0,34.0,69.2,,34.0,34.0,63.2,,34.0,34.0,71.6,,34.0,34.0,40.4,,34.0,34.0,44.5,,34.0,34.0,39.9,,34.0,34.0,39.9,,34.0,0.6,
25/01/2025 5:34:38 PM,480,34.0,60.1,,34.0,3.0,99.2,31.2,34.0,34.0,58.0,,34.0,3.0,99.2,31.2,34.0,34.0,37.4,,34.0,3.0,99.2,31.2,34.0,34.0,48.1,,34.0,34.0,45.9,,34.0,34.0,64.8,,34.0,34.0,64.7,,34.0,34.0,55.1,,34.0,34.0,62.8,,34.0,34.0,63.6,,34.0,34.0,62.6,,34.0,34.0,37.4,,34.0,34.0,53.9,,34.0,34.0,27.1,,34.0,34.0,135.7,,34.0,34.0,104.7,,34.0,34.0,99.4,,34.0,34.0,81.7,,34.0,34.0,70.3,,34.0,34.0,66.4,,34.0,34.0,73.2,,34.0,34.0,40.8,,34.0,34.0,44.3,,34.0,34.0,40.7,,34.0,34.0,41.5,,34.0,0.5,
25/01/2025 5:35:38 PM,540,34.0,59.3,,34.0,3.0,99.2,31.2,34.0,34.0,58.3,,34.0,3.0,99.2,31.2,34.0,34.0,37.1,,34.0,3.0,99.2,31.2,34.0,34.0,48.4,,34.0,34.0,44.7,,34.0,34.0,66.7,,34.0,34.0,64.3,,34.0,34.0,55.1,,34.0,34.0,61.1,,34.0,34.0,66.0,,34.0,34.0,64.0,,34.0,34.0,37.1,,34.0,34.0,53.6,,34.0,34.0,27.4,,34.0,34.0,130.7,,34.0,34.0,93.6,,34.0,34.0,96.7,,34.0,34.0,75.8,,34.0,34.0,70.3,,34.0,34.0,63.7,,34.0,34.0,69.1,,34.0,34.0,41.7,,34.0,34.0,47.1,,34.0,34.0,40.2,,34.0,34.0,39.6,,34.0,0.8,
