Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
26/01/2025 3:42:40 PM,73027,34.0,54.2,,34.0,3.0,99.2,31.2,34.0,34.0,59.2,,34.0,3.0,99.2,31.2,34.0,34.0,30.0,,34.0,3.0,99.2,31.2,34.0,34.0,50.1,,34.0,34.0,45.5,,34.0,34.0,66.7,,34.0,34.0,68.5,,34.0,34.0,53.1,,34.0,34.0,58.7,,34.0,34.0,69.6,,34.0,34.0,69.2,,34.0,34.0,30.0,,34.0,34.0,55.0,,34.0,34.0,15.3,,34.0,34.0,114.4,,34.0,34.0,88.8,,34.0,34.0,90.4,,34.0,34.0,61.5,,34.0,34.0,67.1,,34.0,34.0,43.9,,34.0,34.0,50.7,,34.0,34.0,29.9,,34.0,34.0,31.6,,34.0,34.0,33.7,,34.0,34.0,36.8,,34.0,0.6,
26/01/2025 3:43:35 PM,73082,34.0,55.6,,34.0,3.0,99.2,31.2,34.0,34.0,59.8,,34.0,3.0,99.2,31.2,34.0,34.0,28.5,,34.0,3.0,99.2,31.2,34.0,34.0,48.7,,34.0,34.0,44.3,,34.0,34.0,67.2,,34.0,34.0,71.2,,34.0,34.0,53.4,,34.0,34.0,58.6,,34.0,34.0,70.1,,34.0,34.0,70.4,,34.0,34.0,28.5,,34.0,34.0,54.9,,34.0,34.0,16.3,,34.0,34.0,127.1,,34.0,34.0,101.1,,34.0,34.0,95.5,,34.0,34.0,63.5,,34.0,34.0,66.6,,34.0,34.0,45.7,,34.0,34.0,50.3,,34.0,34.0,32.4,,34.0,34.0,32.4,,34.0,34.0,35.2,,34.0,34.0,36.3,,34.0,0.2,
26/01/2025 3:44:35 PM,73142,34.0,55.5,,34.0,3.0,99.2,31.2,34.0,34.0,59.5,,34.0,3.0,99.2,31.2,34.0,34.0,29.1,,34.0,3.0,99.2,31.2,34.0,34.0,50.4,,34.0,34.0,45.9,,34.0,34.0,67.2,,34.0,34.0,68.7,,34.0,34.0,53.4,,34.0,34.0,59.7,,34.0,34.0,69.5,,34.0,34.0,67.1,,34.0,34.0,29.1,,34.0,34.0,51.5,,34.0,34.0,16.9,,34.0,34.0,143.5,,34.0,34.0,91.1,,34.0,34.0,89.1,,34.0,34.0,65.0,,34.0,34.0,68.7,,34.0,34.0,46.9,,34.0,34.0,50.7,,34.0,34.0,33.0,,34.0,34.0,32.8,,34.0,34.0,33.6,,34.0,34.0,36.9,,34.0,0.2,
26/01/2025 3:45:35 PM,73202,34.0,55.3,,34.0,3.0,99.2,31.2,34.0,34.0,58.6,,34.0,3.0,99.2,31.2,34.0,34.0,28.4,,34.0,3.0,99.2,31.2,34.0,34.0,47.3,,34.0,34.0,44.9,,34.0,34.0,66.7,,34.0,34.0,67.6,,34.0,34.0,53.3,,34.0,34.0,58.5,,34.0,34.0,69.9,,34.0,34.0,70.8,,34.0,34.0,28.4,,34.0,34.0,53.3,,34.0,34.0,18.5,,34.0,34.0,139.4,,34.0,34.0,83.5,,34.0,34.0,89.8,,34.0,34.0,62.5,,34.0,34.0,68.1,,34.0,34.0,46.3,,34.0,34.0,52.6,,34.0,34.0,31.8,,34.0,34.0,33.4,,34.0,34.0,35.5,,34.0,34.0,37.4,,34.0,0.2,
26/01/2025 3:46:35 PM,73262,34.0,54.9,,34.0,3.0,99.2,31.2,34.0,34.0,60.4,,34.0,3.0,99.2,31.2,34.0,34.0,28.2,,34.0,3.0,99.2,31.2,34.0,34.0,49.3,,34.0,34.0,45.5,,34.0,34.0,67.4,,34.0,34.0,72.8,,34.0,34.0,53.5,,34.0,34.0,57.9,,34.0,34.0,67.6,,34.0,34.0,67.5,,34.0,34.0,28.2,,34.0,34.0,52.0,,34.0,34.0,19.4,,34.0,34.0,142.0,,34.0,34.0,91.3,,34.0,34.0,84.9,,34.0,34.0,62.9,,34.0,34.0,68.0,,34.0,34.0,41.2,,34.0,34.0,49.5,,34.0,34.0,31.9,,34.0,34.0,32.3,,34.0,34.0,35.1,,34.0,34.0,34.2,,34.0,0.3,
26/01/2025 3:47:35 PM,73322,34.0,55.7,,34.0,3.0,99.2,31.2,34.0,34.0,59.4,,34.0,3.0,99.2,31.2,34.0,34.0,28.3,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,34.0,45.9,,34.0,34.0,68.5,,34.0,34.0,68.1,,34.0,34.0,53.5,,34.0,34.0,57.1,,34.0,34.0,70.8,,34.0,34.0,69.6,,34.0,34.0,28.3,,34.0,34.0,54.5,,34.0,34.0,19.4,,34.0,34.0,141.3,,34.0,34.0,88.7,,34.0,34.0,85.3,,34.0,34.0,64.3,,34.0,34.0,66.4,,34.0,34.0,47.1,,34.0,34.0,52.2,,34.0,34.0,33.1,,34.0,34.0,33.2,,34.0,34.0,35.7,,34.0,34.0,36.7,,34.0,0.2,
26/01/2025 3:48:35 PM,73382,34.0,55.8,,34.0,3.0,99.2,31.2,34.0,34.0,59.5,,34.0,3.0,99.2,31.2,34.0,34.0,28.0,,34.0,3.0,99.2,31.2,34.0,34.0,47.7,,34.0,34.0,46.6,,34.0,34.0,66.7,,34.0,34.0,70.1,,34.0,34.0,53.5,,34.0,34.0,57.2,,34.0,34.0,70.2,,34.0,34.0,68.3,,34.0,34.0,28.0,,34.0,34.0,54.6,,34.0,34.0,19.0,,34.0,34.0,140.2,,34.0,34.0,96.3,,34.0,34.0,89.0,,34.0,34.0,67.5,,34.0,34.0,69.5,,34.0,34.0,47.1,,34.0,34.0,51.0,,34.0,34.0,32.3,,34.0,34.0,31.3,,34.0,34.0,37.1,,34.0,34.0,33.9,,34.0,0.8,
26/01/2025 3:49:35 PM,73442,34.0,56.2,,34.0,3.0,99.2,31.2,34.0,34.0,59.8,,34.0,3.0,99.2,31.2,34.0,34.0,29.6,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,34.0,46.0,,34.0,34.0,68.3,,34.0,34.0,69.7,,34.0,34.0,53.5,,34.0,34.0,59.8,,34.0,34.0,71.4,,34.0,34.0,70.0,,34.0,34.0,29.6,,34.0,34.0,54.4,,34.0,34.0,19.3,,34.0,34.0,144.9,,34.0,34.0,92.8,,34.0,34.0,86.2,,34.0,34.0,63.9,,34.0,34.0,67.9,,34.0,34.0,48.2,,34.0,34.0,49.4,,34.0,34.0,32.3,,34.0,34.0,32.8,,34.0,34.0,36.3,,34.0,34.0,37.1,,34.0,0.2,
26/01/2025 3:50:35 PM,73502,34.0,55.9,,34.0,3.0,99.2,31.2,34.0,34.0,59.4,,34.0,3.0,99.2,31.2,34.0,34.0,27.3,,34.0,3.0,99.2,31.2,34.0,34.0,47.7,,34.0,34.0,46.7,,34.0,34.0,67.2,,34.0,34.0,69.3,,34.0,34.0,53.5,,34.0,34.0,56.5,,34.0,34.0,72.4,,34.0,34.0,72.4,,34.0,34.0,27.3,,34.0,34.0,53.4,,34.0,34.0,19.1,,34.0,34.0,139.2,,34.0,34.0,97.0,,34.0,34.0,87.9,,34.0,34.0,62.6,,34.0,34.0,66.9,,34.0,34.0,46.1,,34.0,34.0,51.3,,34.0,34.0,33.3,,34.0,34.0,33.0,,34.0,34.0,35.4,,34.0,34.0,38.0,,34.0,0.0,
