Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
26/01/2025 4:58:09 PM,77552,30.5,32.3,,32.8,2.3,89.4,29.7,32.8,29.9,76.0,,32.6,2.2,85.7,29.5,32.6,32.3,62.0,,33.4,2.7,96.6,30.5,33.4,30.3,93.2,,32.8,30.4,120.9,,32.8,29.3,90.4,,32.4,29.5,38.8,,32.5,30.7,67.8,,32.9,30.6,55.3,,32.9,30.4,56.5,,32.8,30.3,22.2,,32.8,32.3,62.0,,33.4,30.6,0.0,,32.9,32.1,0.0,,33.4,30.0,0.0,,32.7,29.5,113.1,,32.5,29.2,43.4,,32.4,29.0,0.0,,32.3,29.2,0.0,,32.4,30.2,0.0,,32.7,30.3,0.0,,32.8,31.9,0.0,,33.3,31.9,0.0,,33.3,31.3,0.0,,33.1,31.5,0.0,,33.2,2.6,
26/01/2025 4:58:35 PM,77582,32.0,218.7,,31.8,1.7,63.3,28.4,31.8,31.6,246.7,,31.3,1.5,48.9,27.9,31.3,33.5,203.8,,33.4,2.6,96.0,30.4,33.4,32.0,258.8,,31.8,32.1,262.1,,31.9,30.9,252.0,,30.7,31.2,251.2,,31.0,32.1,221.3,,31.9,32.0,216.3,,31.8,31.8,221.7,,31.6,31.6,217.4,,31.5,33.5,203.8,,33.4,31.9,212.9,,31.7,33.6,204.9,,33.5,31.7,193.1,,31.6,31.0,203.4,,30.8,30.9,213.8,,30.7,30.9,255.0,,30.6,31.0,254.6,,30.8,31.7,226.2,,31.5,31.6,209.1,,31.4,33.1,185.2,,32.9,33.0,182.9,,32.9,32.5,187.7,,32.3,32.6,185.4,,32.5,66.1,
26/01/2025 4:59:35 PM,77642,33.5,207.1,,33.4,2.7,96.1,30.4,33.4,33.4,244.5,,33.3,2.6,95.0,30.2,33.3,34.5,147.4,,34.5,3.3,99.9,31.8,34.5,34.0,256.4,,33.8,34.1,259.6,,34.0,32.9,249.5,,32.8,33.0,249.1,,32.9,33.5,219.8,,33.4,33.3,215.1,,33.3,33.1,220.6,,33.0,33.0,216.3,,32.9,34.5,147.4,,34.5,33.1,211.8,,33.0,34.3,63.4,,34.3,33.3,192.2,,33.1,32.4,202.1,,32.3,32.4,212.2,,32.3,33.3,252.1,,33.1,33.3,251.9,,33.1,33.7,224.1,,33.6,33.2,207.6,,33.1,34.3,184.1,,34.2,34.2,182.0,,34.1,33.6,186.6,,33.5,33.7,184.6,,33.7,2.0,
26/01/2025 5:00:35 PM,77702,34.3,154.2,,34.2,3.2,99.6,31.4,34.2,34.5,192.1,,34.4,3.3,99.8,31.7,34.4,34.0,45.2,,34.1,3.1,99.3,31.2,34.1,34.2,47.8,,34.3,34.2,50.6,,34.2,34.5,250.1,,34.4,34.5,249.7,,34.4,34.6,219.5,,34.5,34.4,215.1,,34.3,34.1,220.3,,34.1,34.0,216.3,,33.9,34.0,45.2,,34.1,34.1,211.7,,34.0,34.0,19.7,,34.0,34.6,191.9,,34.4,33.3,202.1,,33.3,33.5,212.1,,33.4,34.5,86.1,,34.6,34.5,102.7,,34.6,34.3,37.2,,34.4,34.5,207.1,,34.4,34.2,15.5,,34.2,34.2,17.7,,34.2,34.5,186.8,,34.4,34.6,184.3,,34.5,21.3,
26/01/2025 5:01:35 PM,77762,34.1,67.3,,34.1,3.1,99.5,31.3,34.1,34.1,66.8,,34.1,3.1,99.4,31.2,34.1,34.0,44.9,,34.0,3.0,99.2,31.2,34.0,34.0,54.1,,34.0,34.0,52.9,,34.0,34.1,78.9,,34.1,34.1,71.7,,34.1,34.1,62.6,,34.1,34.1,65.5,,34.1,34.2,88.3,,34.3,34.3,99.8,,34.4,34.0,44.9,,34.0,34.3,96.1,,34.4,34.0,22.3,,34.0,34.1,50.9,,34.1,34.1,203.0,,34.1,34.4,212.8,,34.4,34.0,64.9,,34.0,34.0,70.7,,34.0,34.0,44.1,,34.0,34.1,37.8,,34.1,34.0,32.5,,34.0,34.0,31.2,,34.0,34.1,42.3,,34.1,34.1,44.2,,34.1,53.6,
26/01/2025 5:02:35 PM,77822,34.0,64.9,,34.0,3.0,99.2,31.2,34.0,34.0,74.6,,34.0,3.0,99.2,31.2,34.0,34.0,43.1,,34.0,3.0,99.2,31.2,34.0,34.0,55.2,,34.0,34.0,49.7,,34.0,34.0,86.0,,34.0,34.0,87.0,,34.0,34.0,72.2,,34.0,34.0,71.9,,34.0,34.0,84.2,,34.0,34.0,78.8,,34.0,34.0,43.1,,34.0,34.0,85.9,,34.0,34.0,21.4,,34.0,34.0,54.9,,34.0,34.2,112.4,,34.3,34.1,100.0,,34.1,34.0,62.5,,34.0,34.0,73.6,,34.0,34.0,54.5,,34.0,34.0,57.6,,34.0,34.0,30.7,,34.0,34.0,35.3,,34.0,34.0,52.4,,34.0,34.0,53.3,,34.0,3.4,
26/01/2025 5:03:35 PM,77882,34.0,64.5,,34.0,3.0,99.2,31.2,34.0,34.0,73.0,,34.0,3.0,99.2,31.2,34.0,34.0,40.9,,34.0,3.0,99.2,31.2,34.0,34.0,53.1,,34.0,34.0,50.8,,34.0,34.0,85.2,,34.0,34.0,83.6,,34.0,34.0,70.8,,34.0,34.0,68.2,,34.0,34.0,83.0,,34.0,34.0,80.5,,34.0,34.0,40.9,,34.0,34.0,86.7,,34.0,34.0,19.9,,34.0,34.0,56.1,,34.0,34.0,105.4,,34.0,34.0,105.5,,34.0,34.0,64.9,,34.0,34.0,73.3,,34.0,34.0,54.0,,34.0,34.0,60.0,,34.0,34.0,31.3,,34.0,34.0,34.0,,34.0,34.0,56.1,,34.0,34.0,52.7,,34.0,0.0,
26/01/2025 5:04:35 PM,77942,34.0,62.4,,34.0,3.0,99.2,31.2,34.0,34.0,70.7,,34.0,3.0,99.2,31.2,34.0,34.0,38.0,,34.0,3.0,99.2,31.2,34.0,34.0,52.8,,34.0,34.0,49.3,,34.0,34.0,82.0,,34.0,34.0,80.7,,34.0,34.0,68.8,,34.0,34.0,66.5,,34.0,34.0,79.4,,34.0,34.0,78.2,,34.0,34.0,38.0,,34.0,34.0,86.3,,34.0,34.0,19.9,,34.0,34.0,55.6,,34.0,34.0,102.0,,34.0,34.0,96.1,,34.0,34.0,65.4,,34.0,34.0,70.7,,34.0,34.0,51.0,,34.0,34.0,57.3,,34.0,34.0,31.2,,34.0,34.0,32.9,,34.0,34.0,52.5,,34.0,34.0,51.1,,34.0,0.7,
26/01/2025 5:05:35 PM,78002,34.0,61.4,,34.0,3.0,99.2,31.2,34.0,34.0,70.0,,34.0,3.0,99.2,31.2,34.0,34.0,38.0,,34.0,3.0,99.2,31.2,34.0,34.0,52.4,,34.0,34.0,49.3,,34.0,34.0,83.0,,34.0,34.0,79.2,,34.0,34.0,66.5,,34.0,34.0,65.3,,34.0,34.0,78.2,,34.0,34.0,75.7,,34.0,34.0,38.0,,34.0,34.0,86.2,,34.0,34.0,18.2,,34.0,34.0,55.0,,34.0,34.0,99.8,,34.0,34.0,90.3,,34.0,34.0,62.9,,34.0,34.0,67.6,,34.0,34.0,50.8,,34.0,34.0,57.7,,34.0,34.0,30.7,,34.0,34.0,34.0,,34.0,34.0,52.4,,34.0,34.0,49.5,,34.0,0.3,
