Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
26/01/2025 5:25:10 PM,79177,34.0,58.1,,34.0,3.0,99.2,31.2,34.0,34.0,66.6,,34.0,3.0,99.2,31.2,34.0,34.0,35.5,,34.0,3.0,99.2,31.2,34.0,34.0,50.4,,34.0,34.0,47.1,,34.0,34.0,78.6,,34.0,34.0,75.1,,34.0,34.0,63.4,,34.0,34.0,62.9,,34.0,34.0,73.3,,34.0,34.0,70.4,,34.0,34.0,35.5,,34.0,34.0,81.8,,34.0,34.0,17.5,,34.0,34.0,51.5,,34.0,34.0,82.4,,34.0,34.0,82.2,,34.0,34.0,61.2,,34.0,34.0,66.3,,34.0,34.0,48.7,,34.0,34.0,53.6,,34.0,34.0,30.4,,34.0,34.0,32.5,,34.0,34.0,51.4,,34.0,34.0,48.2,,34.0,0.1,
26/01/2025 5:25:35 PM,79202,34.0,58.3,,34.0,3.0,99.2,31.2,34.0,34.0,66.3,,34.0,3.0,99.2,31.2,34.0,34.0,35.5,,34.0,3.0,99.2,31.2,34.0,34.0,49.9,,34.0,34.0,48.6,,34.0,34.0,77.7,,34.0,34.0,74.9,,34.0,34.0,62.8,,34.0,34.0,62.9,,34.0,34.0,74.2,,34.0,34.0,72.2,,34.0,34.0,35.5,,34.0,34.0,80.1,,34.0,34.0,17.3,,34.0,34.0,49.9,,34.0,34.0,90.6,,34.0,34.0,82.8,,34.0,34.0,65.6,,34.0,34.0,67.6,,34.0,34.0,47.2,,34.0,34.0,55.4,,34.0,34.0,30.1,,34.0,34.0,31.9,,34.0,34.0,51.5,,34.0,34.0,45.9,,34.0,0.0,
26/01/2025 5:26:35 PM,79262,34.0,61.5,,34.0,3.0,99.2,31.2,34.0,34.0,70.3,,34.0,3.0,99.2,31.2,34.0,34.0,36.3,,34.0,3.0,99.2,31.2,34.0,34.0,51.5,,34.0,34.0,49.3,,34.0,34.0,86.4,,34.0,34.0,80.4,,34.0,34.0,63.1,,34.0,34.0,68.0,,34.0,34.0,75.8,,34.0,34.0,77.8,,34.0,34.0,36.3,,34.0,34.0,88.3,,34.0,34.0,17.1,,34.0,34.0,55.8,,34.0,34.0,85.3,,34.0,34.0,81.5,,34.0,34.0,62.8,,34.0,34.0,71.3,,34.0,34.0,51.8,,34.0,34.0,56.2,,34.0,34.0,31.7,,34.0,34.0,33.4,,34.0,34.0,55.5,,34.0,34.0,53.8,,34.0,0.9,
26/01/2025 5:27:35 PM,79322,34.0,63.5,,34.0,3.0,99.2,31.2,34.0,34.0,71.6,,34.0,3.0,99.2,31.2,34.0,34.0,35.7,,34.0,3.0,99.2,31.2,34.0,34.0,51.3,,34.0,34.0,49.7,,34.0,34.0,87.3,,34.0,34.0,81.9,,34.0,34.0,66.0,,34.0,34.0,69.3,,34.0,34.0,78.6,,34.0,34.0,78.4,,34.0,34.0,35.7,,34.0,34.0,90.0,,34.0,34.0,15.6,,34.0,34.0,55.8,,34.0,34.0,85.8,,34.0,34.0,80.5,,34.0,34.0,63.0,,34.0,34.0,71.9,,34.0,34.0,59.9,,34.0,34.0,58.0,,34.0,34.0,45.1,,34.0,34.0,32.8,,34.0,34.0,60.9,,34.0,34.0,54.5,,34.0,1.0,
26/01/2025 5:28:35 PM,79382,34.0,62.1,,34.0,3.0,99.2,31.2,34.0,34.0,68.0,,34.0,3.0,99.2,31.2,34.0,34.0,39.3,,34.0,3.0,99.2,31.2,34.0,34.0,55.8,,34.0,34.0,50.1,,34.0,34.0,88.6,,34.0,34.0,83.8,,34.0,34.0,44.4,,34.0,34.0,71.7,,34.0,34.0,80.8,,34.0,34.0,79.3,,34.0,34.0,39.3,,34.0,34.0,92.2,,34.0,34.0,16.1,,34.0,34.0,56.0,,34.0,34.0,87.2,,34.0,34.0,81.8,,34.0,34.0,47.8,,34.0,34.0,75.1,,34.0,34.0,52.5,,34.0,34.0,59.5,,34.0,34.0,32.6,,34.0,34.0,32.8,,34.0,34.0,60.0,,34.0,34.0,55.4,,34.0,0.7,
26/01/2025 5:29:35 PM,79442,34.0,63.6,,34.0,3.0,99.2,31.2,34.0,34.0,73.0,,34.0,3.0,99.2,31.2,34.0,34.0,38.7,,34.0,3.0,99.2,31.2,34.0,34.0,52.3,,34.0,34.0,50.0,,34.0,34.0,87.8,,34.0,34.0,83.0,,34.0,34.0,69.5,,34.0,34.0,66.1,,34.0,34.0,83.1,,34.0,34.0,79.3,,34.0,34.0,38.7,,34.0,34.0,93.1,,34.0,34.0,17.3,,34.0,34.0,58.4,,34.0,34.0,84.9,,34.0,34.0,81.6,,34.0,34.0,62.6,,34.0,34.0,71.7,,34.0,34.0,52.7,,34.0,34.0,60.3,,34.0,34.0,31.9,,34.0,34.0,32.4,,34.0,34.0,59.3,,34.0,34.0,56.4,,34.0,0.7,
26/01/2025 5:30:35 PM,79502,34.0,64.0,,34.0,3.0,99.2,31.2,34.0,34.0,73.0,,34.0,3.0,99.2,31.2,34.0,34.0,38.6,,34.0,3.0,99.2,31.2,34.0,34.0,53.3,,34.0,34.0,49.8,,34.0,34.0,87.9,,34.0,34.0,82.5,,34.0,34.0,69.5,,34.0,34.0,70.2,,34.0,34.0,83.8,,34.0,34.0,79.0,,34.0,34.0,38.6,,34.0,34.0,92.7,,34.0,34.0,17.8,,34.0,34.0,60.5,,34.0,34.0,87.6,,34.0,34.0,81.6,,34.0,34.0,60.9,,34.0,34.0,71.9,,34.0,34.0,52.8,,34.0,34.0,61.3,,34.0,34.0,31.6,,34.0,34.0,33.2,,34.0,34.0,58.8,,34.0,34.0,56.0,,34.0,0.1,
26/01/2025 5:31:35 PM,79562,34.0,64.4,,34.0,3.0,99.2,31.2,34.0,34.0,73.4,,34.0,3.0,99.2,31.2,34.0,34.0,38.2,,34.0,3.0,99.2,31.2,34.0,34.0,52.1,,34.0,34.0,50.4,,34.0,34.0,88.2,,34.0,34.0,84.1,,34.0,34.0,69.5,,34.0,34.0,69.4,,34.0,34.0,82.0,,34.0,34.0,80.0,,34.0,34.0,38.2,,34.0,34.0,92.6,,34.0,34.0,17.9,,34.0,34.0,60.3,,34.0,34.0,87.6,,34.0,34.0,82.6,,34.0,34.0,63.3,,34.0,34.0,74.3,,34.0,34.0,53.0,,34.0,34.0,61.7,,34.0,34.0,32.1,,34.0,34.0,33.1,,34.0,34.0,63.3,,34.0,34.0,56.8,,34.0,0.1,
26/01/2025 5:32:35 PM,79622,34.0,63.9,,34.0,3.0,99.2,31.2,34.0,34.0,73.1,,34.0,3.0,99.2,31.2,34.0,34.0,39.3,,34.0,3.0,99.2,31.2,34.0,34.0,51.3,,34.0,34.0,50.6,,34.0,34.0,89.0,,34.0,34.0,82.3,,34.0,34.0,69.5,,34.0,34.0,69.8,,34.0,34.0,80.5,,34.0,34.0,78.7,,34.0,34.0,39.3,,34.0,34.0,93.8,,34.0,34.0,17.1,,34.0,34.0,57.9,,34.0,34.0,89.4,,34.0,34.0,83.4,,34.0,34.0,62.8,,34.0,34.0,70.3,,34.0,34.0,51.0,,34.0,34.0,60.0,,34.0,34.0,32.2,,34.0,34.0,33.1,,34.0,34.0,62.1,,34.0,34.0,55.8,,34.0,0.2,
