Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
28/02/2025 5:11:59 PM,0,34.0,52.2,,34.0,3.0,99.2,31.2,34.0,34.0,71.0,,34.0,3.0,99.2,31.2,34.0,34.0,20.1,,34.0,3.0,99.2,31.2,34.0,34.0,60.2,,34.0,34.0,56.1,,34.0,34.0,85.9,,34.0,34.0,85.8,,34.0,34.0,52.4,,34.0,34.0,60.9,,34.0,34.0,79.4,,34.0,34.0,87.5,,34.0,34.0,20.1,,34.0,34.0,37.5,,34.0,34.0,20.0,,34.0,34.0,47.9,,34.0,34.0,88.4,,34.0,34.0,113.6,,34.0,34.0,48.3,,34.0,34.0,45.7,,34.0,34.0,35.3,,34.0,34.0,36.9,,34.0,34.0,19.0,,34.0,34.0,19.7,,34.0,34.0,29.1,,34.0,34.0,29.0,,34.0,0.5,
28/02/2025 5:12:59 PM,60,34.0,52.3,,34.0,3.0,99.2,31.2,34.0,34.0,70.9,,34.0,3.0,99.2,31.2,34.0,34.0,19.9,,34.0,3.0,99.2,31.2,34.0,34.0,58.6,,34.0,34.0,55.4,,34.0,34.0,87.9,,34.0,34.0,84.8,,34.0,34.0,52.4,,34.0,34.0,64.9,,34.0,34.0,81.7,,34.0,34.0,88.0,,34.0,34.0,19.9,,34.0,34.0,35.8,,34.0,34.0,19.5,,34.0,34.0,49.0,,34.0,34.0,87.6,,34.0,34.0,109.6,,34.0,34.0,48.5,,34.0,34.0,46.2,,34.0,34.0,35.7,,34.0,34.0,37.1,,34.0,34.0,18.9,,34.0,34.0,19.5,,34.0,34.0,29.6,,34.0,34.0,27.6,,34.0,0.1,
28/02/2025 5:13:59 PM,120,34.0,52.2,,34.0,3.0,99.2,31.2,34.0,34.0,70.1,,34.0,3.0,99.2,31.2,34.0,34.0,18.8,,34.0,3.0,99.2,31.2,34.0,34.0,59.4,,34.0,34.0,55.4,,34.0,34.0,84.0,,34.0,34.0,85.0,,34.0,34.0,52.4,,34.0,34.0,62.3,,34.0,34.0,82.4,,34.0,34.0,91.1,,34.0,34.0,18.8,,34.0,34.0,35.4,,34.0,34.0,18.8,,34.0,34.0,54.0,,34.0,34.0,90.4,,34.0,34.0,110.9,,34.0,34.0,46.4,,34.0,34.0,46.0,,34.0,34.0,34.9,,34.0,34.0,37.3,,34.0,34.0,18.8,,34.0,34.0,18.4,,34.0,34.0,30.0,,34.0,34.0,27.9,,34.0,0.1,
28/02/2025 5:14:59 PM,180,34.0,51.3,,34.0,3.0,99.2,31.2,34.0,34.0,70.2,,34.0,3.0,99.2,31.2,34.0,34.0,20.0,,34.0,3.0,99.2,31.2,34.0,34.0,60.1,,34.0,34.0,55.9,,34.0,34.0,84.1,,34.0,34.0,84.7,,34.0,34.0,52.4,,34.0,34.0,60.1,,34.0,34.0,76.5,,34.0,34.0,87.6,,34.0,34.0,20.0,,34.0,34.0,35.7,,34.0,34.0,18.5,,34.0,34.0,53.3,,34.0,34.0,90.4,,34.0,34.0,109.5,,34.0,34.0,45.9,,34.0,34.0,43.6,,34.0,34.0,33.8,,34.0,34.0,34.4,,34.0,34.0,20.5,,34.0,34.0,19.4,,34.0,34.0,29.2,,34.0,34.0,27.0,,34.0,0.4,
28/02/2025 5:15:59 PM,240,34.0,51.5,,34.0,3.0,99.2,31.2,34.0,34.0,69.6,,34.0,3.0,99.2,31.2,34.0,34.0,20.1,,34.0,3.0,99.2,31.2,34.0,34.0,59.4,,34.0,34.0,54.6,,34.0,34.0,83.5,,34.0,34.0,84.1,,34.0,34.0,52.4,,34.0,34.0,60.0,,34.0,34.0,79.4,,34.0,34.0,88.3,,34.0,34.0,20.1,,34.0,34.0,35.4,,34.0,34.0,20.2,,34.0,34.0,52.2,,34.0,34.0,87.4,,34.0,34.0,110.9,,34.0,34.0,48.4,,34.0,34.0,44.5,,34.0,34.0,34.1,,34.0,34.0,34.8,,34.0,34.0,18.8,,34.0,34.0,19.1,,34.0,34.0,29.5,,34.0,34.0,27.9,,34.0,0.1,
28/02/2025 5:16:59 PM,300,34.0,51.5,,34.0,3.0,99.2,31.2,34.0,34.0,70.0,,34.0,3.0,99.2,31.2,34.0,34.0,18.9,,34.0,3.0,99.2,31.2,34.0,34.0,59.9,,34.0,34.0,54.3,,34.0,34.0,85.6,,34.0,34.0,83.5,,34.0,34.0,52.4,,34.0,34.0,60.8,,34.0,34.0,79.0,,34.0,34.0,87.7,,34.0,34.0,18.9,,34.0,34.0,34.6,,34.0,34.0,19.0,,34.0,34.0,55.6,,34.0,34.0,90.0,,34.0,34.0,113.2,,34.0,34.0,45.7,,34.0,34.0,45.2,,34.0,34.0,34.5,,34.0,34.0,32.8,,34.0,34.0,17.8,,34.0,34.0,19.3,,34.0,34.0,29.0,,34.0,34.0,28.3,,34.0,0.1,
28/02/2025 5:17:59 PM,360,34.0,51.6,,34.0,3.0,99.2,31.2,34.0,34.0,70.0,,34.0,3.0,99.2,31.2,34.0,34.0,19.8,,34.0,3.0,99.2,31.2,34.0,34.0,59.7,,34.0,34.0,54.1,,34.0,34.0,84.3,,34.0,34.0,85.4,,34.0,34.0,52.0,,34.0,34.0,61.4,,34.0,34.0,76.8,,34.0,34.0,87.0,,34.0,34.0,19.8,,34.0,34.0,34.4,,34.0,34.0,19.1,,34.0,34.0,55.4,,34.0,34.0,90.2,,34.0,34.0,113.3,,34.0,34.0,46.3,,34.0,34.0,46.0,,34.0,34.0,34.4,,34.0,34.0,36.5,,34.0,34.0,17.9,,34.0,34.0,19.5,,34.0,34.0,28.2,,34.0,34.0,28.8,,34.0,0.0,
28/02/2025 5:18:59 PM,420,34.0,51.2,,34.0,3.0,99.2,31.2,34.0,34.0,69.3,,34.0,3.0,99.2,31.2,34.0,34.0,19.3,,34.0,3.0,99.2,31.2,34.0,34.0,59.0,,34.0,34.0,54.7,,34.0,34.0,83.6,,34.0,34.0,83.4,,34.0,34.0,52.0,,34.0,34.0,62.3,,34.0,34.0,77.1,,34.0,34.0,90.2,,34.0,34.0,19.3,,34.0,34.0,34.9,,34.0,34.0,19.8,,34.0,34.0,50.6,,34.0,34.0,86.1,,34.0,34.0,109.3,,34.0,34.0,46.9,,34.0,34.0,44.4,,34.0,34.0,33.8,,34.0,34.0,35.8,,34.0,34.0,18.0,,34.0,34.0,18.4,,34.0,34.0,28.0,,34.0,34.0,28.0,,34.0,0.3,
28/02/2025 5:19:59 PM,480,34.0,51.2,,34.0,3.0,99.2,31.2,34.0,34.0,69.8,,34.0,3.0,99.2,31.2,34.0,34.0,19.4,,34.0,3.0,99.2,31.2,34.0,34.0,59.6,,34.0,34.0,54.3,,34.0,34.0,85.4,,34.0,34.0,84.3,,34.0,34.0,51.1,,34.0,34.0,60.0,,34.0,34.0,77.2,,34.0,34.0,86.6,,34.0,34.0,19.4,,34.0,34.0,36.5,,34.0,34.0,19.0,,34.0,34.0,52.2,,34.0,34.0,90.0,,34.0,34.0,108.6,,34.0,34.0,45.8,,34.0,34.0,44.7,,34.0,34.0,34.2,,34.0,34.0,35.7,,34.0,34.0,18.0,,34.0,34.0,19.0,,34.0,34.0,28.8,,34.0,34.0,27.7,,34.0,0.3,
