Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
28/02/2025 5:21:59 PM,0,34.0,50.9,,34.0,3.0,99.2,31.2,34.0,34.0,68.9,,34.0,3.0,99.2,31.2,34.0,34.0,18.5,,34.0,3.0,99.2,31.2,34.0,34.0,59.4,,34.0,34.0,54.3,,34.0,34.0,83.3,,34.0,34.0,82.9,,34.0,34.0,50.9,,34.0,34.0,61.1,,34.0,34.0,78.1,,34.0,34.0,87.9,,34.0,34.0,18.5,,34.0,34.0,34.7,,34.0,34.0,19.5,,34.0,34.0,52.3,,34.0,34.0,88.7,,34.0,34.0,107.5,,34.0,34.0,45.0,,34.0,34.0,42.6,,34.0,34.0,34.7,,34.0,34.0,34.2,,34.0,34.0,18.8,,34.0,34.0,19.2,,34.0,34.0,28.7,,34.0,34.0,27.0,,34.0,0.1,
28/02/2025 5:22:59 PM,60,34.0,49.8,,34.0,3.0,99.2,31.2,34.0,34.0,68.2,,34.0,3.0,99.2,31.2,34.0,34.0,19.5,,34.0,3.0,99.2,31.2,34.0,34.0,57.4,,34.0,34.0,53.9,,34.0,34.0,82.1,,34.0,34.0,82.8,,34.0,34.0,50.9,,34.0,34.0,60.2,,34.0,34.0,72.9,,34.0,34.0,85.6,,34.0,34.0,19.5,,34.0,34.0,32.5,,34.0,34.0,18.3,,34.0,34.0,44.7,,34.0,34.0,91.1,,34.0,34.0,109.1,,34.0,34.0,44.0,,34.0,34.0,43.8,,34.0,34.0,34.6,,34.0,34.0,33.6,,34.0,34.0,18.3,,34.0,34.0,19.5,,34.0,34.0,26.9,,34.0,34.0,27.1,,34.0,0.5,
28/02/2025 5:23:59 PM,120,34.0,49.2,,34.0,3.0,99.2,31.2,34.0,34.0,68.5,,34.0,3.0,99.2,31.2,34.0,34.0,19.6,,34.0,3.0,99.2,31.2,34.0,34.0,58.0,,34.0,34.0,53.6,,34.0,34.0,83.6,,34.0,34.0,82.0,,34.0,34.0,50.9,,34.0,34.0,59.1,,34.0,34.0,74.0,,34.0,34.0,83.2,,34.0,34.0,19.6,,34.0,34.0,33.6,,34.0,34.0,17.1,,34.0,34.0,36.3,,34.0,34.0,89.5,,34.0,34.0,106.0,,34.0,34.0,45.6,,34.0,34.0,43.3,,34.0,34.0,33.7,,34.0,34.0,33.0,,34.0,34.0,17.5,,34.0,34.0,18.6,,34.0,34.0,27.1,,34.0,34.0,25.5,,34.0,0.7,
28/02/2025 5:24:59 PM,180,34.0,48.7,,34.0,3.0,99.2,31.2,34.0,34.0,68.1,,34.0,3.0,99.2,31.2,34.0,34.0,19.3,,34.0,3.0,99.2,31.2,34.0,34.0,58.4,,34.0,34.0,53.8,,34.0,34.0,82.2,,34.0,34.0,82.5,,34.0,34.0,50.1,,34.0,34.0,59.0,,34.0,34.0,72.4,,34.0,34.0,81.2,,34.0,34.0,19.3,,34.0,34.0,33.3,,34.0,34.0,14.0,,34.0,34.0,37.9,,34.0,34.0,86.7,,34.0,34.0,109.0,,34.0,34.0,45.2,,34.0,34.0,43.3,,34.0,34.0,33.1,,34.0,34.0,32.3,,34.0,34.0,18.1,,34.0,34.0,16.1,,34.0,34.0,29.4,,34.0,34.0,27.2,,34.0,0.1,
28/02/2025 5:25:59 PM,240,34.0,48.5,,34.0,3.0,99.2,31.2,34.0,34.0,67.1,,34.0,3.0,99.2,31.2,34.0,34.0,18.0,,34.0,3.0,99.2,31.2,34.0,34.0,57.4,,34.0,34.0,53.2,,34.0,34.0,79.9,,34.0,34.0,81.9,,34.0,34.0,49.6,,34.0,34.0,58.0,,34.0,34.0,71.9,,34.0,34.0,81.8,,34.0,34.0,18.0,,34.0,34.0,34.2,,34.0,34.0,14.1,,34.0,34.0,40.8,,34.0,34.0,82.7,,34.0,34.0,102.0,,34.0,34.0,45.7,,34.0,34.0,43.8,,34.0,34.0,32.6,,34.0,34.0,34.8,,34.0,34.0,19.2,,34.0,34.0,19.5,,34.0,34.0,28.2,,34.0,34.0,26.3,,34.0,0.2,
28/02/2025 5:26:59 PM,300,34.0,48.4,,34.0,3.0,99.2,31.2,34.0,34.0,67.2,,34.0,3.0,99.2,31.2,34.0,34.0,18.2,,34.0,3.0,99.2,31.2,34.0,34.0,57.1,,34.0,34.0,53.1,,34.0,34.0,81.4,,34.0,34.0,81.3,,34.0,34.0,49.5,,34.0,34.0,57.8,,34.0,34.0,72.0,,34.0,34.0,85.9,,34.0,34.0,18.2,,34.0,34.0,33.4,,34.0,34.0,13.7,,34.0,34.0,39.9,,34.0,34.0,84.0,,34.0,34.0,102.0,,34.0,34.0,44.1,,34.0,34.0,43.0,,34.0,34.0,33.0,,34.0,34.0,34.5,,34.0,34.0,15.9,,34.0,34.0,18.7,,34.0,34.0,27.8,,34.0,34.0,25.8,,34.0,0.2,
28/02/2025 5:27:59 PM,360,34.0,49.0,,34.0,3.0,99.2,31.2,34.0,34.0,67.2,,34.0,3.0,99.2,31.2,34.0,34.0,18.7,,34.0,3.0,99.2,31.2,34.0,34.0,57.0,,34.0,34.0,53.6,,34.0,34.0,81.9,,34.0,34.0,80.6,,34.0,34.0,49.4,,34.0,34.0,58.2,,34.0,34.0,76.3,,34.0,34.0,85.8,,34.0,34.0,18.7,,34.0,34.0,34.4,,34.0,34.0,14.0,,34.0,34.0,36.0,,34.0,34.0,87.7,,34.0,34.0,112.0,,34.0,34.0,44.3,,34.0,34.0,43.6,,34.0,34.0,33.4,,34.0,34.0,35.4,,34.0,34.0,16.6,,34.0,34.0,18.4,,34.0,34.0,26.3,,34.0,34.0,26.1,,34.0,1.3,
28/02/2025 5:28:59 PM,420,34.0,48.7,,34.0,3.0,99.2,31.2,34.0,34.0,68.0,,34.0,3.0,99.2,31.2,34.0,34.0,18.7,,34.0,3.0,99.2,31.2,34.0,34.0,58.8,,34.0,34.0,53.7,,34.0,34.0,83.1,,34.0,34.0,81.7,,34.0,34.0,49.2,,34.0,34.0,58.5,,34.0,34.0,78.8,,34.0,34.0,84.3,,34.0,34.0,18.7,,34.0,34.0,32.4,,34.0,34.0,13.1,,34.0,34.0,35.0,,34.0,34.0,81.2,,34.0,34.0,102.3,,34.0,34.0,44.3,,34.0,34.0,45.9,,34.0,34.0,33.2,,34.0,34.0,33.7,,34.0,34.0,17.2,,34.0,34.0,16.8,,34.0,34.0,26.8,,34.0,34.0,27.1,,34.0,0.5,
28/02/2025 5:29:59 PM,480,34.0,48.4,,34.0,3.0,99.2,31.2,34.0,34.0,67.4,,34.0,3.0,99.2,31.2,34.0,34.0,17.6,,34.0,3.0,99.2,31.2,34.0,34.0,58.5,,34.0,34.0,53.8,,34.0,34.0,81.2,,34.0,34.0,81.5,,34.0,34.0,49.2,,34.0,34.0,58.6,,34.0,34.0,76.6,,34.0,34.0,85.7,,34.0,34.0,17.6,,34.0,34.0,32.6,,34.0,34.0,14.1,,34.0,34.0,36.4,,34.0,34.0,86.0,,34.0,34.0,100.1,,34.0,34.0,43.3,,34.0,34.0,42.0,,34.0,34.0,31.9,,34.0,34.0,34.3,,34.0,34.0,16.8,,34.0,34.0,17.4,,34.0,34.0,27.0,,34.0,34.0,26.0,,34.0,0.2,
