Clothing_ID,BodyPart,Tsk_clothed,Tsk_nude,P_clothed,P_nude,It,Ia,Icl,fcl,Ta,Tg,Twb,To,MRT,RH,V
1,All,34.0,34.0,71.74,97.14,1.13,0.82,0.4,1.12,21.3,21.5,21.5,21.46,21.6,36.52,0.07
1,Crown,34.0,34.0,76.22,66.44,1.06,1.19,-0.22,0.94,21.3,21.5,21.5,21.46,21.6,36.52,0.07
1,Head,34.0,34.0,24.24,25.86,3.34,3.07,0.95,1.28,21.3,21.5,21.5,21.46,21.6,36.52,0.07
1,Left Chest,34.0,34.0,36.1,78.92,2.24,1.01,1.56,1.47,21.3,21.5,21.5,21.46,21.6,36.52,0.07
1,Right Chest,34.0,34.0,40.18,81.64,2.01,0.97,1.32,1.4,21.3,21.5,21.5,21.46,21.6,36.52,0.07
1,Left Back,34.0,34.0,53.06,95.08,1.52,0.83,0.86,1.26,21.3,21.5,21.5,21.46,21.6,36.52,0.07
1,Right Back,34.0,34.0,52.46,95.02,1.54,0.84,0.88,1.26,21.3,21.5,21.5,21.46,21.6,36.52,0.07
1,Back Side,34.0,34.0,72.76,103.14,1.11,0.77,0.43,1.13,21.3,21.5,21.5,21.46,21.6,36.52,0.07
1,Pelvis,34.0,34.0,48.3,89.54,1.68,0.89,0.99,1.3,21.3,21.5,21.5,21.46,21.6,36.52,0.07
1,Left Upper Arm,34.0,34.0,61.92,110.42,1.31,0.72,0.71,1.21,21.3,21.5,21.5,21.46,21.6,36.52,0.07
1,Right Upper Arm,34.0,34.0,69.16,116.08,1.17,0.68,0.59,1.18,21.3,21.5,21.5,21.46,21.6,36.52,0.07
1,Left Forearm,34.0,34.0,85.24,118.54,0.95,0.67,0.34,1.1,21.3,21.5,21.5,21.46,21.6,36.52,0.07
1,Right Forearm,34.0,34.0,99.16,115.14,0.82,0.69,0.16,1.05,21.3,21.5,21.5,21.46,21.6,36.52,0.07
1,Left Hand,34.0,34.0,121.62,123.7,0.67,0.64,0.03,1.01,21.3,21.5,21.5,21.46,21.6,36.52,0.07
1,Right Hand,34.0,34.0,113.24,112.22,0.71,0.71,0.01,1.0,21.3,21.5,21.5,21.46,21.6,36.52,0.07
1,Left Front Thigh,34.0,34.0,80.9,90.44,1.0,0.88,0.16,1.05,21.3,21.5,21.5,21.46,21.6,36.52,0.07
1,Right Front Thigh,34.0,34.0,80.86,91.94,1.0,0.86,0.18,1.05,21.3,21.5,21.5,21.46,21.6,36.52,0.07
1,Left Back Thigh,34.0,34.0,89.78,99.76,0.9,0.8,0.14,1.04,21.3,21.5,21.5,21.46,21.6,36.52,0.07
1,Right Back Thigh,34.0,34.0,95.9,109.8,0.84,0.72,0.15,1.05,21.3,21.5,21.5,21.46,21.6,36.52,0.07
1,Left Lower Leg,34.0,34.0,89.28,106.56,0.91,0.74,0.2,1.06,21.3,21.5,21.5,21.46,21.6,36.52,0.07
1,Right Lower Leg,34.0,34.0,88.98,111.02,0.91,0.71,0.24,1.07,21.3,21.5,21.5,21.46,21.6,36.52,0.07
1,Left Foot,34.0,34.0,63.84,119.08,1.27,0.67,0.72,1.22,21.3,21.5,21.5,21.46,21.6,36.52,0.07
1,Right Foot,34.0,34.0,62.74,112.58,1.29,0.7,0.71,1.21,21.3,21.5,21.5,21.46,21.6,36.52,0.07
2,All,34.0,34.0,52.94,97.14,1.5,0.82,0.85,1.26,21.6,21.7,21.7,21.66,21.7,49.95,0.04
2,Crown,34.0,34.0,64.4,66.44,1.24,1.19,0.06,1.02,21.6,21.7,21.7,21.66,21.7,49.95,0.04
2,Head,34.0,34.0,25.58,25.86,3.11,3.07,0.29,1.09,21.6,21.7,21.7,21.66,21.7,49.95,0.04
2,Left Chest,34.0,34.0,19.1,78.92,4.17,1.01,3.69,2.11,21.6,21.7,21.7,21.66,21.7,49.95,0.04
2,Right Chest,34.0,34.0,19.08,81.64,4.17,0.97,3.71,2.11,21.6,21.7,21.7,21.66,21.7,49.95,0.04
2,Left Back,34.0,34.0,30.8,95.08,2.58,0.83,2.07,1.62,21.6,21.7,21.7,21.66,21.7,49.95,0.04
2,Right Back,34.0,34.0,30.1,95.02,2.64,0.84,2.14,1.64,21.6,21.7,21.7,21.66,21.7,49.95,0.04
2,Back Side,34.0,34.0,37.92,103.14,2.1,0.77,1.58,1.47,21.6,21.7,21.7,21.66,21.7,49.95,0.04
2,Pelvis,34.0,34.0,20.2,89.54,3.94,0.89,3.51,2.05,21.6,21.7,21.7,21.66,21.7,49.95,0.04
2,Left Upper Arm,34.0,34.0,36.16,110.42,2.2,0.72,1.73,1.52,21.6,21.7,21.7,21.66,21.7,49.95,0.04
