PCS_ID,PCS_Name,PCS_Level,Angle_Horizontal,Distance_Horizontal,Tset,Control_Method,Reference_time,Condition_without_PCS,Condition_with_PCS,Delta_P_All,Delta_P_Pelvis,Delta_P_Left_Upper_Arm,Delta_P_Right_Upper_Arm,Delta_P_Left_Forearm,Delta_P_Right_Forearm,Delta_P_Left_Hand,Delta_P_Right_Hand,Delta_P_Left_Lower_Leg,Delta_P_Right_Lower_Leg,Delta_P_Left_Foot,Delta_P_Right_Foot,PCS_Ta,PCS_MRT,PCS_RH,PCS_V,PCS_To,PCS_ET,PCS_Tsk_All,PCS_Tsk_Pelvis,PCS_Tsk_Left_Upper_Arm,PCS_Tsk_Right_Upper_Arm,PCS_Tsk_Left_Forearm,PCS_Tsk_Right_Forearm,PCS_Tsk_Left_Hand,PCS_Tsk_Right_Hand,PCS_Tsk_Left_Lower_Leg,PCS_Tsk_Right_Lower_Leg,PCS_Tsk_Left_Foot,PCS_Tsk_Right_Foot,PCS_P_All,PCS_P_Pelvis,PCS_P_Left_Upper_Arm,PCS_P_Right_Upper_Arm,PCS_P_Left_Forearm,PCS_P_Right_Forearm,PCS_P_Left_Hand,PCS_P_Right_Hand,PCS_P_Left_Lower_Leg,PCS_P_Right_Lower_Leg,PCS_P_Left_Foot,PCS_P_Right_Foot,Baseline_Ta,Baseline_MRT,Baseline_RH,Baseline_V,Baseline_To,Baseline_ET,Baseline_Tsk_All,Baseline_Tsk_Pelvis,Baseline_Tsk_Left_Upper_Arm,Baseline_Tsk_Right_Upper_Arm,Baseline_Tsk_Left_Forearm,Baseline_Tsk_Right_Forearm,Baseline_Tsk_Left_Hand,Baseline_Tsk_Right_Hand,Baseline_Tsk_Left_Lower_Leg,Baseline_Tsk_Right_Lower_Leg,Baseline_Tsk_Left_Foot,Baseline_Tsk_Right_Foot,Baseline_P_All,Baseline_P_Pelvis,Baseline_P_Left_Upper_Arm,Baseline_P_Right_Upper_Arm,Baseline_P_Left_Forearm,Baseline_P_Right_Forearm,Baseline_P_Left_Hand,Baseline_P_Right_Hand,Baseline_P_Left_Lower_Leg,Baseline_P_Right_Lower_Leg,Baseline_P_Left_Foot,Baseline_P_Right_Foot,PCS_ht_All,Baseline_ht_All,Delta_ht_All,Delta_Teq_All,PCS_ht_Pelvis,Baseline_ht_Pelvis,Delta_ht_Pelvis,Delta_Teq_Pelvis,PCS_ht_Left_Upper_Arm,Baseline_ht_Left_Upper_Arm,Delta_ht_Left_Upper_Arm,Delta_Teq_Left_Upper_Arm,PCS_ht_Right_Upper_Arm,Baseline_ht_Right_Upper_Arm,Delta_ht_Right_Upper_Arm,Delta_Teq_Right_Upper_Arm,PCS_ht_Left_Forearm,Baseline_ht_Left_Forearm,Delta_ht_Left_Forearm,Delta_Teq_Left_Forearm,PCS_ht_Right_Forearm,Baseline_ht_Right_Forearm,Delta_ht_Right_Forearm,Delta_Teq_Right_Forearm,PCS_ht_Left_Hand,Baseline_ht_Left_Hand,Delta_ht_Left_Hand,Delta_Teq_Left_Hand,PCS_ht_Right_Hand,Baseline_ht_Right_Hand,Delta_ht_Right_Hand,Delta_Teq_Right_Hand,PCS_ht_Left_Lower_Leg,Baseline_ht_Left_Lower_Leg,Delta_ht_Left_Lower_Leg,Delta_Teq_Left_Lower_Leg,PCS_ht_Right_Lower_Leg,Baseline_ht_Right_Lower_Leg,Delta_ht_Right_Lower_Leg,Delta_Teq_Right_Lower_Leg,PCS_ht_Left_Foot,Baseline_ht_Left_Foot,Delta_ht_Left_Foot,Delta_Teq_Left_Foot,PCS_ht_Right_Foot,Baseline_ht_Right_Foot,Delta_ht_Right_Foot,Delta_Teq_Right_Foot,Baseline_P_Head,Baseline_ht_Head,Delta_P_Head,Delta_ht_Head,PCS_Tsk_Head,PCS_ht_Head,Baseline_Tsk_Head,PCS_P_Head,Delta_Teq_Head,Baseline_P_Chest,Baseline_ht_Chest,Delta_P_Chest,Delta_ht_Chest,PCS_Tsk_Chest,PCS_ht_Chest,Baseline_Tsk_Chest,PCS_P_Chest,Delta_Teq_Chest,Baseline_P_Back,Baseline_ht_Back,Delta_P_Back,Delta_ht_Back,PCS_Tsk_Back,PCS_ht_Back,Baseline_Tsk_Back,PCS_P_Back,Delta_Teq_Back,Baseline_P_Left_Thigh,Baseline_ht_Left_Thigh,Delta_P_Left_Thigh,Delta_ht_Left_Thigh,PCS_Tsk_Left_Thigh,PCS_ht_Left_Thigh,Baseline_Tsk_Left_Thigh,PCS_P_Left_Thigh,Delta_Teq_Left_Thigh,Baseline_P_Right_Thigh,Baseline_ht_Right_Thigh,Delta_P_Right_Thigh,Delta_ht_Right_Thigh,PCS_Tsk_Right_Thigh,PCS_ht_Right_Thigh,Baseline_Tsk_Right_Thigh,PCS_P_Right_Thigh,Delta_Teq_Right_Thigh,Level_Label_Normalized,Level_Order,Level_Pos
1,Small desk fan (grey),0.0,135.0,60.0,25,TskControl34,2025-02-01 16:44:44,2025-02-01_ID0_NoPCS_Ta25_TskControl34.csv,2025-02-01_ID1_Small desk fan (grey)_Low_Angle135_Distance60_Ta25_TskControl34.csv,0.44,-0.18,-0.76,-0.48,5.26,-0.6,8.12,3.42,-4.16,-1.46,-2.66,0.12,25.0,25.1,60.78,0.03,25.06,25.76,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,53.86,34.14,43.94,54.04,63.62,73.68,105.94,90.4,62.66,64.46,46.12,45.42,24.8,25.4,62.29,0.26,25.03,25.78,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,53.42,34.32,44.7,54.52,58.36,74.28,97.82,86.98,66.82,65.92,48.78,45.3,6.02,5.96,0.07,-0.07,3.82,3.83,-0.01,0.05,4.91,4.98,-0.07,0.15,6.04,6.08,-0.03,0.08,7.12,6.51,0.61,-0.81,8.24,8.28,-0.04,0.07,11.85,10.91,0.94,-0.74,10.11,9.7,0.42,-0.35,7.01,7.45,-0.44,0.56,7.21,7.35,-0.14,0.2,5.16,5.44,-0.28,0.49,5.08,5.05,0.03,-0.02,28.87,3.22,4.2,0.48,34.0,3.7,34.0,33.06,-1.01,29.24,3.26,-0.07,0.0,34.0,3.26,34.0,29.17,0.02,46.57,5.19,0.49,0.07,34.0,5.26,34.0,47.06,-0.11,62.74,6.99,-0.49,-0.03,34.0,6.96,34.0,62.25,0.08,66.04,7.36,0.71,0.1,34.0,7.47,34.0,66.75,-0.09,Low,1,0.0
1,Small desk fan (grey),0.5,135.0,60.0,25,TskControl34,2025-02-01 16:59:14,2025-02-01_ID0_NoPCS_Ta25_TskControl34.csv,2025-02-01_ID1_Small desk fan (grey)_Mid_Angle135_Distance60_Ta25_TskControl34.csv,0.2,-1.95,-0.1,-0.44,6.27,2.22,11.18,1.99,-4.24,-3.15,-3.93,-0.83,25.0,25.3,62.34,0.04,25.18,25.93,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,53.62,32.37,44.6,54.08,64.63,76.5,109.0,88.97,62.58,62.77,44.85,44.47,24.8,25.4,62.29,0.26,25.03,25.78,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,53.42,34.32,44.7,54.52,58.36,74.28,97.82,86.98,66.82,65.92,48.78,45.3,6.08,5.96,0.12,-0.03,3.67,3.83,-0.16,0.51,5.06,4.98,0.07,0.02,6.13,6.08,0.05,0.07,7.33,6.51,0.82,-0.96,8.67,8.28,0.39,-0.27,12.36,10.91,1.45,-1.03,10.09,9.7,0.39,-0.2,7.1,7.45,-0.35,0.57,7.12,7.35,-0.23,0.43,5.09,5.44,-0.35,0.72,5.04,5.05,-0.01,0.17,28.87,3.22,5.5,0.68,34.0,3.9,34.0,34.37,-1.27,29.24,3.26,-0.66,-0.02,34.0,3.24,34.0,28.58,0.2,46.57,5.19,-0.03,0.08,34.0,5.28,34.0,46.54,-0.02,62.74,6.99,-0.86,0.02,34.0,7.02,34.0,61.88,0.14,66.04,7.36,-0.37,0.08,34.0,7.45,34.0,65.67,0.06,Mid,2,0.5
1,Small desk fan (grey),0.0,135.0,60.0,28,TskControl34,2025-05-16 16:46:44,2025-05-16_ID0_NoPCS_Ta28_TskControl34.csv,2025-05-16_ID1_Small desk fan (grey)_Low_Angle135_Distance60_Ta28_TskControl34.csv,2.24,-0.26,2.84,1.42,12.04,0.96,4.76,0.34,1.06,1.0,-0.2,0.0,28.6,28.5,31.5,0.0,28.5,27.18,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,36.18,20.06,33.18,32.54,51.52,42.3,52.2,46.46,45.58,44.46,33.28,30.18,28.6,28.5,31.5,0.0,28.5,27.18,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,33.94,20.32,30.34,31.12,39.48,41.34,47.44,46.12,44.52,43.46,33.48,30.18,6.58,6.17,0.41,-0.36,3.65,3.69,-0.05,0.07,6.03,5.52,0.52,-0.51,5.92,5.66,0.26,-0.25,9.37,7.18,2.19,-1.68,7.69,7.52,0.17,-0.13,9.49,8.63,0.87,-0.55,8.45,8.39,0.06,-0.04,8.29,8.09,0.19,-0.13,8.08,7.9,0.18,-0.13,6.05,6.09,-0.04,0.03,5.49,5.49,0.0,0.0,19.48,3.54,9.79,1.78,34.0,5.32,34.0,29.26,-1.8,16.45,2.99,3.85,0.7,34.0,3.69,34.0,20.3,-1.29,31.06,5.65,0.03,0.01,34.0,5.65,34.0,31.09,0.01,41.42,7.53,1.04,0.19,34.0,7.72,34.0,42.46,-0.14,43.17,7.85,0.22,0.04,34.0,7.89,34.0,43.39,-0.03,Low,1,0.0
1,Small desk fan (grey),1.0,135.0,60.0,28,TskControl34,2025-05-16 17:13:44,2025-05-16_ID0_NoPCS_Ta28_TskControl34.csv,2025-05-16_ID1_Small desk fan (grey)_High_Angle135_Distance60_Ta28_TskControl34.csv,3.7,-1.04,5.02,2.72,22.76,0.24,15.36,0.82,1.48,1.4,-0.28,0.2,28.6,28.5,31.5,0.0,28.5,27.18,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,37.64,19.28,35.36,33.84,62.24,41.58,62.8,46.94,46.0,44.86,33.2,30.38,28.6,28.5,31.5,0.0,28.5,27.18,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,33.94,20.32,30.34,31.12,39.48,41.34,47.44,46.12,44.52,43.46,33.48,30.18,6.84,6.17,0.67,-0.6,3.51,3.69,-0.19,0.28,6.43,5.52,0.91,-0.91,6.15,5.66,0.49,-0.48,11.32,7.18,4.14,-3.17,7.56,7.52,0.04,-0.03,11.42,8.63,2.79,-1.78,8.53,8.39,0.15,-0.1,8.36,8.09,0.27,-0.18,8.16,7.9,0.25,-0.18,6.04,6.09,-0.05,0.05,5.52,5.49,0.04,-0.04,19.48,3.54,14.7,2.67,34.0,6.21,34.0,34.18,-2.79,16.45,2.99,5.64,1.03,34.0,4.02,34.0,22.09,-1.89,31.06,5.65,0.82,0.15,34.0,5.8,34.0,31.89,-0.14,41.42,7.53,0.81,0.15,34.0,7.68,34.0,42.23,-0.11,43.17,7.85,0.12,0.02,34.0,7.87,34.0,43.29,-0.02,High,3,1.0
1,Small desk fan (grey),0.5,135.0,60.0,28,TskControl34,2025-05-16 17:02:44,2025-05-16_ID0_NoPCS_Ta28_TskControl34.csv,2025-05-16_ID1_Small desk fan (grey)_Mid_Angle135_Distance60_Ta28_TskControl34.csv,3.36,-0.42,4.16,1.92,18.68,1.28,12.24,0.58,1.7,2.4,0.06,-0.22,28.6,28.5,31.5,0.0,28.5,27.18,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,37.3,19.9,34.5,33.04,58.16,42.62,59.68,46.7,46.22,45.86,33.54,29.96,28.6,28.5,31.5,0.0,28.5,27.18,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,33.94,20.32,30.34,31.12,39.48,41.34,47.44,46.12,44.52,43.46,33.48,30.18,6.78,6.17,0.61,-0.54,3.62,3.69,-0.08,0.11,6.27,5.52,0.76,-0.75,6.01,5.66,0.35,-0.34,10.57,7.18,3.4,-2.6,7.75,7.52,0.23,-0.17,10.85,8.63,2.23,-1.42,8.49,8.39,0.11,-0.07,8.4,8.09,0.31,-0.21,8.34,7.9,0.44,-0.3,6.1,6.09,0.01,-0.01,5.45,5.49,-0.04,0.04,19.48,3.54,12.54,2.28,34.0,5.82,34.0,32.02,-2.35,16.45,2.99,4.91,0.89,34.0,3.88,34.0,21.36,-1.65,31.06,5.65,0.82,0.15,34.0,5.8,34.0,31.88,-0.13,41.42,7.53,1.12,0.2,34.0,7.73,34.0,42.54,-0.16,43.17,7.85,0.68,0.12,34.0,7.97,34.0,43.85,-0.09,Mid,2,0.5
1,Small desk fan (grey),1.0,135.0,60.0,28,TskControl34,2025-05-16 17:13:44,2025-05-16_ID0_NoPCS_Ta28_TskControl34.csv,2025-05-16_ID1_Small desk fan (grey)_High_Angle135_Distance60_Ta28_TskControl34.csv,3.7,-1.04,5.02,2.72,22.76,0.24,15.36,0.82,1.48,1.4,-0.28,0.2,28.6,28.5,31.5,0.0,28.5,27.18,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,37.64,19.28,35.36,33.84,62.24,41.58,62.8,46.94,46.0,44.86,33.2,30.38,28.6,28.5,31.5,0.0,28.5,27.18,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,33.94,20.32,30.34,31.12,39.48,41.34,47.44,46.12,44.52,43.46,33.48,30.18,6.84,6.17,0.67,-0.6,3.51,3.69,-0.19,0.28,6.43,5.52,0.91,-0.91,6.15,5.66,0.49,-0.48,11.32,7.18,4.14,-3.17,7.56,7.52,0.04,-0.03,11.42,8.63,2.79,-1.78,8.53,8.39,0.15,-0.1,8.36,8.09,0.27,-0.18,8.16,7.9,0.25,-0.18,6.04,6.09,-0.05,0.05,5.52,5.49,0.04,-0.04,19.48,3.54,14.7,2.67,34.0,6.21,34.0,34.18,-2.79,16.45,2.99,5.64,1.03,34.0,4.02,34.0,22.09,-1.89,31.06,5.65,0.82,0.15,34.0,5.8,34.0,31.89,-0.14,41.42,7.53,0.81,0.15,34.0,7.68,34.0,42.23,-0.11,43.17,7.85,0.12,0.02,34.0,7.87,34.0,43.29,-0.02,High,3,1.0
1,Small desk fan (grey),0.0,135.0,60.0,28,TskControl34,2025-05-16 16:46:44,2025-05-16_ID0_NoPCS_Ta28_TskControl34.csv,2025-05-16_ID1_Small desk fan (grey)_Low_Angle135_Distance60_Ta28_TskControl34.csv,2.24,-0.26,2.84,1.42,12.04,0.96,4.76,0.34,1.06,1.0,-0.2,0.0,28.6,28.5,31.5,0.0,28.5,27.18,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,36.18,20.06,33.18,32.54,51.52,42.3,52.2,46.46,45.58,44.46,33.28,30.18,28.6,28.5,31.5,0.0,28.5,27.18,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,33.94,20.32,30.34,31.12,39.48,41.34,47.44,46.12,44.52,43.46,33.48,30.18,6.58,6.17,0.41,-0.36,3.65,3.69,-0.05,0.07,6.03,5.52,0.52,-0.51,5.92,5.66,0.26,-0.25,9.37,7.18,2.19,-1.68,7.69,7.52,0.17,-0.13,9.49,8.63,0.87,-0.55,8.45,8.39,0.06,-0.04,8.29,8.09,0.19,-0.13,8.08,7.9,0.18,-0.13,6.05,6.09,-0.04,0.03,5.49,5.49,0.0,0.0,19.48,3.54,9.79,1.78,34.0,5.32,34.0,29.26,-1.8,16.45,2.99,3.85,0.7,34.0,3.69,34.0,20.3,-1.29,31.06,5.65,0.03,0.01,34.0,5.65,34.0,31.09,0.01,41.42,7.53,1.04,0.19,34.0,7.72,34.0,42.46,-0.14,43.17,7.85,0.22,0.04,34.0,7.89,34.0,43.39,-0.03,Low,1,0.0
1,Small desk fan (grey),0.5,135.0,60.0,28,TskControl34,2025-05-16 17:02:44,2025-05-16_ID0_NoPCS_Ta28_TskControl34.csv,2025-05-16_ID1_Small desk fan (grey)_Mid_Angle135_Distance60_Ta28_TskControl34.csv,3.36,-0.42,4.16,1.92,18.68,1.28,12.24,0.58,1.7,2.4,0.06,-0.22,28.6,28.5,31.5,0.0,28.5,27.18,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,37.3,19.9,34.5,33.04,58.16,42.62,59.68,46.7,46.22,45.86,33.54,29.96,28.6,28.5,31.5,0.0,28.5,27.18,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,33.94,20.32,30.34,31.12,39.48,41.34,47.44,46.12,44.52,43.46,33.48,30.18,6.78,6.17,0.61,-0.54,3.62,3.69,-0.08,0.11,6.27,5.52,0.76,-0.75,6.01,5.66,0.35,-0.34,10.57,7.18,3.4,-2.6,7.75,7.52,0.23,-0.17,10.85,8.63,2.23,-1.42,8.49,8.39,0.11,-0.07,8.4,8.09,0.31,-0.21,8.34,7.9,0.44,-0.3,6.1,6.09,0.01,-0.01,5.45,5.49,-0.04,0.04,19.48,3.54,12.54,2.28,34.0,5.82,34.0,32.02,-2.35,16.45,2.99,4.91,0.89,34.0,3.88,34.0,21.36,-1.65,31.06,5.65,0.82,0.15,34.0,5.8,34.0,31.88,-0.13,41.42,7.53,1.12,0.2,34.0,7.73,34.0,42.54,-0.16,43.17,7.85,0.68,0.12,34.0,7.97,34.0,43.85,-0.09,Mid,2,0.5
1,Small desk fan (grey),0.0,135.0,60.0,22,TskControl34,2025-02-19 14:06:18,2025-02-19_ID0_NoPCS_Ta22_TskControl34.csv,2025-02-19_ID1_Small desk fan (grey)_Low_Angle135_Distance60_Ta22_TskControl34.csv,1.46,0.96,0.02,-0.64,2.76,1.42,12.0,2.44,-0.66,-0.38,-0.34,-0.22,22.3,22.1,42.93,0.09,22.2,22.25,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,74.88,47.2,64.88,71.16,87.28,97.54,137.18,115.96,90.2,94.68,63.74,64.04,22.1,22.3,30.15,0.2,22.18,22.02,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,73.42,46.24,64.86,71.8,84.52,96.12,125.18,113.52,90.86,95.06,64.08,64.26,6.35,6.21,0.13,-0.24,4.0,3.91,0.09,-0.25,5.5,5.49,0.01,-0.0,6.03,6.07,-0.04,0.11,7.4,7.15,0.25,-0.39,8.27,8.13,0.13,-0.17,11.63,10.59,1.03,-1.13,9.83,9.6,0.22,-0.25,7.64,7.69,-0.04,0.09,8.02,8.04,-0.02,0.05,5.4,5.42,-0.02,0.06,5.43,5.44,-0.01,0.04,38.81,3.28,10.7,0.91,34.0,4.2,34.0,49.51,-2.39,41.48,3.51,-0.03,0.0,34.0,3.51,34.0,41.45,-0.0,59.9,5.07,0.66,0.06,34.0,5.13,34.0,60.56,-0.12,90.2,7.63,0.23,0.03,34.0,7.66,34.0,90.43,-0.04,94.58,8.0,-0.52,-0.03,34.0,7.97,34.0,94.06,0.07,Low,1,0.0
1,Small desk fan (grey),0.5,135.0,60.0,22,TskControl34,2025-02-19 14:25:28,2025-02-19_ID0_NoPCS_Ta22_TskControl34.csv,2025-02-19_ID1_Small desk fan (grey)_Mid_Angle135_Distance60_Ta22_TskControl34.csv,0.74,-1.0,0.02,-1.8,3.3,1.96,9.06,7.36,-0.78,-1.22,-0.84,0.08,22.3,22.5,42.93,0.22,22.38,22.34,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,74.16,45.24,64.88,70.0,87.82,98.08,134.24,120.88,90.08,93.84,63.24,64.34,22.1,22.3,30.15,0.2,22.18,22.02,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,73.42,46.24,64.86,71.8,84.52,96.12,125.18,113.52,90.86,95.06,64.08,64.26,6.38,6.21,0.17,-0.12,3.89,3.91,-0.02,0.26,5.58,5.49,0.1,-0.0,6.02,6.07,-0.05,0.3,7.56,7.15,0.41,-0.46,8.44,8.13,0.31,-0.24,11.55,10.59,0.96,-0.86,10.4,9.6,0.8,-0.77,7.75,7.69,0.07,0.1,8.08,8.04,0.03,0.15,5.44,5.42,0.02,0.15,5.54,5.44,0.1,-0.01,38.81,3.28,12.92,1.17,34.0,4.45,34.0,51.74,-2.87,41.48,3.51,-0.91,-0.02,34.0,3.49,34.0,40.57,0.24,59.9,5.07,-0.33,0.06,34.0,5.13,34.0,59.57,0.08,90.2,7.63,-1.87,-0.03,34.0,7.6,34.0,88.33,0.25,94.58,8.0,-3.23,-0.14,34.0,7.86,34.0,91.35,0.42,Mid,2,0.5
