PCS_ID,policy,median_device,min_device,max_device,n_levels
1,level_median_summary,-0.18,-0.24,-0.12,3
2,level_median_summary,-0.15,-0.15,-0.15,1
3,level_median_summary,-0.02,-0.22,0.12,4
4,level_median_summary,-0.17,-0.25,-0.12,3
5,level_median_summary,-0.26,-0.59,0.14,5
6,level_median_summary,0.02,-0.08,0.07,3
7,level_median_summary,-0.12,-0.24,0.2,6
8,level_median_summary,-3.7,-4.94,-0.63,5
9,level_median_summary,-1.66,-5.77,-0.72,7
10,level_median_summary,-2.02,-2.69,-1.69,3
11,level_median_summary,-0.02,-0.08,0.19,4
12,level_median_summary,-0.61,-0.76,-0.23,3
13,level_median_summary,-2.43,-3.02,-1.74,3
14,level_median_summary,2.8,2.28,2.94,4
15,level_median_summary,1.43,0.26,2.12,4
16,level_median_summary,2.52,1.79,3.25,2
17,level_median_summary,0.73,-0.32,1.51,7
18,level_median_summary,1.43,0.22,1.64,4
19,level_median_summary,1.13,1.01,2.81,4
20,level_median_summary,2.03,2.02,2.03,2
21,level_median_summary,3.23,2.68,3.41,3
