Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
9/05/2025 2:32:57 PM,746367,29.4,194.5,,29.3,0.3,6.5,25.4,29.3,26.5,253.3,,26.3,-1.5,50.3,21.9,26.3,24.9,213.3,,24.8,-2.5,92.5,20.1,24.8,27.0,266.0,,26.8,27.2,268.9,,27.1,26.7,257.6,,26.6,26.4,257.6,,26.3,25.5,229.0,,25.4,25.4,224.2,,25.2,25.4,229.4,,25.3,25.2,225.3,,25.1,24.9,213.3,,24.8,25.1,221.0,,25.0,34.0,59.7,,34.1,33.9,191.6,,33.8,31.9,202.7,,31.9,32.1,212.5,,32.1,34.1,70.5,,34.1,34.3,89.2,,34.3,34.2,49.5,,34.2,34.4,206.3,,34.3,33.1,185.4,,33.0,32.6,183.3,,32.6,32.0,188.3,,31.9,31.7,186.5,,31.6,17.8,
9/05/2025 2:33:32 PM,746402,29.9,188.9,,29.8,0.6,11.8,26.0,29.8,27.4,252.0,,27.3,-0.9,21.3,23.0,27.3,25.5,212.8,,25.4,-2.1,79.6,20.8,25.4,28.1,264.4,,27.9,28.3,267.4,,28.1,27.7,256.3,,27.6,27.4,256.4,,27.2,26.2,227.9,,26.1,26.1,223.5,,26.0,26.1,228.5,,26.0,25.9,224.5,,25.8,25.5,212.8,,25.4,25.8,220.1,,25.7,34.0,48.1,,34.0,34.4,191.0,,34.3,32.2,202.6,,32.2,32.5,212.1,,32.5,34.0,88.9,,34.0,34.0,95.7,,34.1,34.0,76.7,,34.0,34.3,75.6,,34.4,33.6,185.0,,33.5,33.1,183.0,,33.0,32.4,188.0,,32.3,32.1,186.1,,32.0,4.5,
9/05/2025 2:34:32 PM,746462,30.7,185.9,,30.6,1.0,27.3,27.0,30.6,29.0,250.2,,28.8,0.0,5.0,24.8,28.8,26.4,212.0,,26.3,-1.5,49.8,21.9,26.3,29.9,262.3,,29.7,30.1,265.2,,29.9,29.4,254.4,,29.3,28.9,254.5,,28.8,27.5,226.6,,27.4,27.2,222.1,,27.1,27.1,227.3,,27.1,26.9,223.3,,26.9,26.4,212.0,,26.3,26.8,218.9,,26.8,34.0,44.6,,34.0,34.1,84.5,,34.1,32.7,202.1,,32.7,33.0,211.8,,33.0,34.0,93.7,,34.0,34.0,109.0,,34.0,34.0,82.7,,34.0,34.0,88.0,,34.0,34.3,184.3,,34.3,33.8,182.5,,33.7,33.1,187.3,,33.0,32.8,185.5,,32.7,1.9,
9/05/2025 2:35:32 PM,746522,31.4,179.9,,31.3,1.4,47.7,27.8,31.3,30.4,248.5,,30.3,0.8,19.5,26.5,30.3,27.3,211.1,,27.2,-0.9,22.9,23.0,27.2,31.5,260.1,,31.4,31.7,263.0,,31.6,30.8,252.5,,30.7,30.3,252.8,,30.2,28.6,225.4,,28.5,28.2,221.0,,28.1,28.1,226.1,,28.0,27.9,222.1,,27.9,27.3,211.1,,27.2,27.8,218.1,,27.7,34.0,41.5,,34.0,34.0,91.9,,34.0,33.0,201.9,,33.0,33.3,211.5,,33.3,34.0,95.3,,34.0,34.0,118.1,,34.0,34.0,82.4,,34.0,34.0,93.6,,34.0,34.1,53.8,,34.2,34.5,181.9,,34.4,33.7,187.0,,33.7,33.4,185.0,,33.3,4.5,
9/05/2025 2:36:32 PM,746582,31.9,175.2,,31.9,1.8,66.3,28.6,31.9,31.6,246.9,,31.5,1.6,54.0,28.1,31.5,28.1,210.2,,28.0,-0.5,9.2,23.9,28.0,33.0,258.1,,32.9,33.2,261.0,,33.1,32.1,250.9,,32.0,31.5,251.4,,31.4,29.5,224.5,,29.4,29.1,220.2,,29.1,29.0,225.4,,28.9,28.8,221.3,,28.8,28.1,210.2,,28.0,28.7,217.1,,28.6,34.0,40.0,,34.0,34.0,99.1,,34.0,33.3,201.7,,33.3,33.7,211.3,,33.7,34.0,95.0,,34.0,34.0,119.7,,34.0,34.0,82.9,,34.0,34.0,95.9,,34.0,34.0,72.1,,34.0,34.1,65.5,,34.1,34.3,186.5,,34.2,33.9,184.5,,33.9,3.2,
9/05/2025 2:37:32 PM,746642,32.5,169.8,,32.4,2.1,80.9,29.2,32.4,32.7,245.7,,32.6,2.2,85.6,29.5,32.6,28.8,209.4,,28.8,0.0,5.0,24.7,28.8,34.4,256.5,,34.3,34.6,259.4,,34.5,33.2,249.6,,33.2,32.6,250.0,,32.5,30.4,223.6,,30.3,30.0,219.2,,29.9,29.8,224.6,,29.7,29.6,220.4,,29.5,28.8,209.4,,28.8,29.5,216.2,,29.4,34.0,37.7,,34.0,34.0,98.3,,34.0,33.6,201.6,,33.6,34.0,211.2,,34.0,34.0,94.2,,34.0,34.0,117.7,,34.0,34.0,81.1,,34.0,34.0,90.5,,34.0,34.0,70.5,,34.0,34.0,76.3,,34.0,34.1,82.7,,34.2,34.4,184.3,,34.4,3.7,
9/05/2025 2:38:32 PM,746702,32.8,154.3,,32.8,2.3,88.6,29.7,32.8,33.4,201.3,,33.3,2.6,95.5,30.3,33.3,29.5,209.1,,29.5,0.4,7.9,25.6,29.5,34.1,83.3,,34.1,34.1,81.2,,34.1,34.3,249.9,,34.2,33.7,250.1,,33.6,31.2,223.0,,31.2,30.8,218.6,,30.7,30.5,224.2,,30.5,30.3,219.8,,30.3,29.5,209.1,,29.5,30.2,215.8,,30.1,34.0,37.8,,34.0,34.0,95.9,,34.0,33.8,201.7,,33.8,34.3,211.0,,34.3,34.0,94.5,,34.0,34.0,118.9,,34.0,34.0,79.9,,34.0,34.0,92.9,,34.0,34.0,67.7,,34.0,34.0,76.7,,34.0,34.0,88.5,,34.0,34.1,79.2,,34.1,9.7,
9/05/2025 2:39:32 PM,746762,33.1,145.2,,33.1,2.5,92.9,30.0,33.1,33.7,169.6,,33.7,2.8,98.1,30.8,33.7,30.2,208.5,,30.1,0.7,16.7,26.4,30.1,34.0,92.3,,34.0,34.0,89.3,,34.0,34.1,118.7,,34.2,34.6,249.2,,34.5,32.0,222.3,,31.9,31.5,218.1,,31.4,31.2,223.6,,31.1,31.0,219.3,,31.0,30.2,208.5,,30.1,30.9,215.5,,30.8,34.0,34.2,,34.0,34.0,94.8,,34.0,34.1,201.6,,34.0,34.1,154.4,,34.1,34.0,94.3,,34.0,34.0,116.4,,34.0,34.0,79.3,,34.0,34.0,90.6,,34.0,34.0,66.5,,34.0,34.0,75.2,,34.0,34.0,92.9,,34.0,34.0,92.4,,34.0,7.8,
9/05/2025 2:40:32 PM,746822,33.3,136.6,,33.2,2.6,94.9,30.2,33.2,33.7,138.5,,33.7,2.8,98.1,30.8,33.7,30.7,208.0,,30.7,1.1,29.9,27.1,30.7,34.0,90.1,,34.0,34.0,87.1,,34.0,34.0,125.9,,34.0,34.0,123.4,,34.1,32.7,221.5,,32.6,32.1,217.6,,32.1,31.8,223.1,,31.7,31.6,219.0,,31.6,30.7,208.0,,30.7,31.5,214.8,,31.4,34.0,33.8,,34.0,34.0,93.2,,34.0,34.3,201.4,,34.3,34.0,155.1,,34.0,34.0,94.4,,34.0,34.0,112.9,,34.0,34.0,78.4,,34.0,34.0,88.9,,34.0,34.0,64.8,,34.0,34.0,71.6,,34.0,34.0,87.7,,34.0,34.0,90.5,,34.0,3.9,
