Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
1/02/2025 5:02:34 PM,596212,34.0,53.9,,34.0,3.0,99.2,31.2,34.0,34.0,56.7,,34.0,3.0,99.2,31.2,34.0,34.0,33.4,,34.0,3.0,99.2,31.2,34.0,34.0,45.6,,34.0,34.0,46.1,,34.0,34.0,62.7,,34.0,34.0,62.3,,34.0,34.0,55.8,,34.0,34.0,61.9,,34.0,34.0,69.4,,34.0,34.0,71.5,,34.0,34.0,33.4,,34.0,34.0,55.5,,34.0,34.0,19.0,,34.0,34.0,60.0,,34.0,34.0,108.9,,34.0,34.0,90.7,,34.0,34.0,67.7,,34.0,34.0,77.1,,34.0,34.0,44.4,,34.0,34.0,52.6,,34.0,34.0,28.0,,34.0,34.0,30.3,,34.0,34.0,37.4,,34.0,34.0,41.2,,34.0,0.3,
1/02/2025 5:02:44 PM,596222,34.0,54.2,,34.0,3.0,99.2,31.2,34.0,34.0,57.0,,34.0,3.0,99.2,31.2,34.0,34.0,33.0,,34.0,3.0,99.2,31.2,34.0,34.0,43.8,,34.0,34.0,44.8,,34.0,34.0,64.2,,34.0,34.0,63.4,,34.0,34.0,55.8,,34.0,34.0,60.9,,34.0,34.0,69.7,,34.0,34.0,72.3,,34.0,34.0,33.0,,34.0,34.0,56.4,,34.0,34.0,18.9,,34.0,34.0,61.0,,34.0,34.0,113.5,,34.0,34.0,89.6,,34.0,34.0,68.9,,34.0,34.0,75.2,,34.0,34.0,45.5,,34.0,34.0,54.3,,34.0,34.0,27.5,,34.0,34.0,29.9,,34.0,34.0,36.6,,34.0,34.0,40.7,,34.0,0.3,
1/02/2025 5:03:44 PM,596282,34.0,57.1,,34.0,3.0,99.2,31.2,34.0,34.0,58.1,,34.0,3.0,99.2,31.2,34.0,34.0,32.4,,34.0,3.0,99.2,31.2,34.0,34.0,45.8,,34.0,34.0,45.2,,34.0,34.0,64.5,,34.0,34.0,66.1,,34.0,34.0,55.8,,34.0,34.0,62.0,,34.0,34.0,70.2,,34.0,34.0,71.0,,34.0,34.0,32.4,,34.0,34.0,55.2,,34.0,34.0,18.1,,34.0,34.0,75.8,,34.0,34.0,127.1,,34.0,34.0,88.5,,34.0,34.0,89.0,,34.0,34.0,76.9,,34.0,34.0,52.4,,34.0,34.0,60.4,,34.0,34.0,31.6,,34.0,34.0,37.1,,34.0,34.0,39.0,,34.0,34.0,42.8,,34.0,0.8,
1/02/2025 5:04:44 PM,596342,34.0,53.7,,34.0,3.0,99.2,31.2,34.0,34.0,56.0,,34.0,3.0,99.2,31.2,34.0,34.0,30.3,,34.0,3.0,99.2,31.2,34.0,34.0,44.6,,34.0,34.0,44.0,,34.0,34.0,60.6,,34.0,34.0,63.0,,34.0,34.0,55.8,,34.0,34.0,60.4,,34.0,34.0,69.3,,34.0,34.0,69.2,,34.0,34.0,30.3,,34.0,34.0,54.6,,34.0,34.0,21.4,,34.0,34.0,76.1,,34.0,34.0,103.6,,34.0,34.0,91.9,,34.0,34.0,64.2,,34.0,34.0,74.5,,34.0,34.0,45.0,,34.0,34.0,52.8,,34.0,34.0,28.2,,34.0,34.0,31.3,,34.0,34.0,36.5,,34.0,34.0,40.5,,34.0,1.9,
1/02/2025 5:05:44 PM,596402,34.0,53.6,,34.0,3.0,99.2,31.2,34.0,34.0,56.0,,34.0,3.0,99.2,31.2,34.0,34.0,31.7,,34.0,3.0,99.2,31.2,34.0,34.0,44.8,,34.0,34.0,44.4,,34.0,34.0,60.3,,34.0,34.0,63.1,,34.0,34.0,55.8,,34.0,34.0,58.9,,34.0,34.0,68.5,,34.0,34.0,69.3,,34.0,34.0,31.7,,34.0,34.0,54.8,,34.0,34.0,21.1,,34.0,34.0,78.2,,34.0,34.0,106.7,,34.0,34.0,89.7,,34.0,34.0,63.9,,34.0,34.0,74.5,,34.0,34.0,44.6,,34.0,34.0,52.1,,34.0,34.0,27.7,,34.0,34.0,31.5,,34.0,34.0,37.0,,34.0,34.0,38.7,,34.0,0.1,
1/02/2025 5:06:44 PM,596462,34.0,53.9,,34.0,3.0,99.2,31.2,34.0,34.0,55.2,,34.0,3.0,99.2,31.2,34.0,34.0,30.6,,34.0,3.0,99.2,31.2,34.0,34.0,44.3,,34.0,34.0,44.0,,34.0,34.0,60.5,,34.0,34.0,60.1,,34.0,34.0,55.8,,34.0,34.0,58.1,,34.0,34.0,67.3,,34.0,34.0,67.0,,34.0,34.0,30.6,,34.0,34.0,51.8,,34.0,34.0,21.7,,34.0,34.0,87.3,,34.0,34.0,119.0,,34.0,34.0,91.7,,34.0,34.0,68.2,,34.0,34.0,76.0,,34.0,34.0,45.6,,34.0,34.0,52.2,,34.0,34.0,28.4,,34.0,34.0,32.0,,34.0,34.0,37.5,,34.0,34.0,39.3,,34.0,0.5,
1/02/2025 5:07:44 PM,596522,34.0,54.3,,34.0,3.0,99.2,31.2,34.0,34.0,56.1,,34.0,3.0,99.2,31.2,34.0,34.0,30.6,,34.0,3.0,99.2,31.2,34.0,34.0,43.7,,34.0,34.0,44.9,,34.0,34.0,62.2,,34.0,34.0,62.0,,34.0,34.0,55.8,,34.0,34.0,59.6,,34.0,34.0,68.0,,34.0,34.0,71.0,,34.0,34.0,30.6,,34.0,34.0,54.4,,34.0,34.0,21.2,,34.0,34.0,79.1,,34.0,34.0,114.0,,34.0,34.0,93.9,,34.0,34.0,67.1,,34.0,34.0,76.1,,34.0,34.0,45.8,,34.0,34.0,52.5,,34.0,34.0,27.9,,34.0,34.0,31.4,,34.0,34.0,35.7,,34.0,34.0,41.3,,34.0,0.3,
1/02/2025 5:08:44 PM,596582,34.0,54.4,,34.0,3.0,99.2,31.2,34.0,34.0,56.1,,34.0,3.0,99.2,31.2,34.0,34.0,30.6,,34.0,3.0,99.2,31.2,34.0,34.0,44.7,,34.0,34.0,43.5,,34.0,34.0,61.4,,34.0,34.0,63.0,,34.0,34.0,55.8,,34.0,34.0,58.3,,34.0,34.0,68.0,,34.0,34.0,71.7,,34.0,34.0,30.6,,34.0,34.0,53.8,,34.0,34.0,21.3,,34.0,34.0,88.4,,34.0,34.0,112.2,,34.0,34.0,95.3,,34.0,34.0,68.4,,34.0,34.0,74.4,,34.0,34.0,45.1,,34.0,34.0,52.5,,34.0,34.0,28.1,,34.0,34.0,31.5,,34.0,34.0,36.0,,34.0,34.0,41.0,,34.0,0.3,
1/02/2025 5:09:44 PM,596642,34.0,54.6,,34.0,3.0,99.2,31.2,34.0,34.0,55.6,,34.0,3.0,99.2,31.2,34.0,34.0,31.7,,34.0,3.0,99.2,31.2,34.0,34.0,44.8,,34.0,34.0,44.1,,34.0,34.0,60.1,,34.0,34.0,62.1,,34.0,34.0,55.8,,34.0,34.0,59.3,,34.0,34.0,67.9,,34.0,34.0,69.2,,34.0,34.0,31.7,,34.0,34.0,54.5,,34.0,34.0,20.7,,34.0,34.0,87.3,,34.0,34.0,118.3,,34.0,34.0,95.8,,34.0,34.0,66.7,,34.0,34.0,74.8,,34.0,34.0,45.1,,34.0,34.0,54.2,,34.0,34.0,29.5,,34.0,34.0,31.7,,34.0,34.0,37.9,,34.0,34.0,41.7,,34.0,0.1,
