Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
4/02/2025 10:43:59 AM,832692,34.0,57.4,,34.0,3.0,99.2,31.2,34.0,34.0,60.4,,34.0,3.0,99.2,31.2,34.0,34.0,36.0,,34.0,3.0,99.2,31.2,34.0,34.0,47.8,,34.0,34.0,47.7,,34.0,34.0,65.8,,34.0,34.0,69.4,,34.0,34.0,58.2,,34.0,34.0,64.2,,34.0,34.0,73.4,,34.0,34.0,72.4,,34.0,34.0,36.0,,34.0,34.0,57.1,,34.0,34.0,23.3,,34.0,34.0,120.1,,34.0,34.0,90.4,,34.0,34.0,91.0,,34.0,34.0,63.1,,34.0,34.0,69.0,,34.0,34.0,49.8,,34.0,34.0,51.4,,34.0,34.0,34.9,,34.0,34.0,33.6,,34.0,34.0,39.2,,34.0,34.0,40.9,,34.0,0.6,
4/02/2025 10:44:49 AM,832742,34.0,57.9,,34.0,3.0,99.2,31.2,34.0,34.0,61.1,,34.0,3.0,99.2,31.2,34.0,34.0,36.1,,34.0,3.0,99.2,31.2,34.0,34.0,48.9,,34.0,34.0,46.8,,34.0,34.0,67.6,,34.0,34.0,69.8,,34.0,34.0,58.9,,34.0,34.0,62.3,,34.0,34.0,73.3,,34.0,34.0,73.3,,34.0,34.0,36.1,,34.0,34.0,57.7,,34.0,34.0,24.2,,34.0,34.0,122.1,,34.0,34.0,93.5,,34.0,34.0,85.9,,34.0,34.0,63.3,,34.0,34.0,69.8,,34.0,34.0,50.6,,34.0,34.0,52.8,,34.0,34.0,34.6,,34.0,34.0,33.9,,34.0,34.0,40.9,,34.0,34.0,42.2,,34.0,0.1,
4/02/2025 10:45:49 AM,832802,34.0,57.2,,34.0,3.0,99.2,31.2,34.0,34.0,60.9,,34.0,3.0,99.2,31.2,34.0,34.0,35.3,,34.0,3.0,99.2,31.2,34.0,34.0,49.0,,34.0,34.0,47.7,,34.0,34.0,66.2,,34.0,34.0,69.2,,34.0,34.0,59.5,,34.0,34.0,61.2,,34.0,34.0,71.5,,34.0,34.0,69.1,,34.0,34.0,35.3,,34.0,34.0,54.7,,34.0,34.0,25.4,,34.0,34.0,127.3,,34.0,34.0,92.8,,34.0,34.0,85.9,,34.0,34.0,64.9,,34.0,34.0,67.7,,34.0,34.0,49.7,,34.0,34.0,51.5,,34.0,34.0,35.9,,34.0,34.0,35.5,,34.0,34.0,37.7,,34.0,34.0,40.6,,34.0,0.2,
4/02/2025 10:46:49 AM,832862,34.0,57.2,,34.0,3.0,99.2,31.2,34.0,34.0,60.3,,34.0,3.0,99.2,31.2,34.0,34.0,36.4,,34.0,3.0,99.2,31.2,34.0,34.0,48.7,,34.0,34.0,46.2,,34.0,34.0,66.5,,34.0,34.0,67.6,,34.0,34.0,59.1,,34.0,34.0,60.7,,34.0,34.0,71.5,,34.0,34.0,69.6,,34.0,34.0,36.4,,34.0,34.0,55.6,,34.0,34.0,24.7,,34.0,34.0,125.5,,34.0,34.0,97.6,,34.0,34.0,85.6,,34.0,34.0,64.2,,34.0,34.0,67.6,,34.0,34.0,50.1,,34.0,34.0,51.5,,34.0,34.0,34.2,,34.0,34.0,34.0,,34.0,34.0,40.1,,34.0,34.0,41.2,,34.0,0.0,
4/02/2025 10:47:49 AM,832922,34.0,57.5,,34.0,3.0,99.2,31.2,34.0,34.0,60.9,,34.0,3.0,99.2,31.2,34.0,34.0,35.7,,34.0,3.0,99.2,31.2,34.0,34.0,48.0,,34.0,34.0,48.7,,34.0,34.0,66.9,,34.0,34.0,68.7,,34.0,34.0,59.2,,34.0,34.0,60.0,,34.0,34.0,71.1,,34.0,34.0,71.6,,34.0,34.0,35.7,,34.0,34.0,56.4,,34.0,34.0,25.7,,34.0,34.0,125.1,,34.0,34.0,99.5,,34.0,34.0,87.3,,34.0,34.0,65.5,,34.0,34.0,66.6,,34.0,34.0,50.2,,34.0,34.0,50.0,,34.0,34.0,34.8,,34.0,34.0,33.6,,34.0,34.0,41.1,,34.0,34.0,40.2,,34.0,0.0,
4/02/2025 10:48:49 AM,832982,34.0,58.1,,34.0,3.0,99.2,31.2,34.0,34.0,60.8,,34.0,3.0,99.2,31.2,34.0,34.0,37.1,,34.0,3.0,99.2,31.2,34.0,34.0,47.6,,34.0,34.0,48.6,,34.0,34.0,67.6,,34.0,34.0,68.3,,34.0,34.0,59.0,,34.0,34.0,61.2,,34.0,34.0,71.0,,34.0,34.0,69.3,,34.0,34.0,37.1,,34.0,34.0,55.4,,34.0,34.0,25.2,,34.0,34.0,126.7,,34.0,34.0,101.0,,34.0,34.0,91.4,,34.0,34.0,66.5,,34.0,34.0,70.9,,34.0,34.0,50.4,,34.0,34.0,53.0,,34.0,34.0,36.1,,34.0,34.0,35.2,,34.0,34.0,42.1,,34.0,34.0,41.4,,34.0,0.2,
4/02/2025 10:49:49 AM,833042,34.0,57.3,,34.0,3.0,99.2,31.2,34.0,34.0,60.0,,34.0,3.0,99.2,31.2,34.0,34.0,35.6,,34.0,3.0,99.2,31.2,34.0,34.0,48.9,,34.0,34.0,48.6,,34.0,34.0,64.7,,34.0,34.0,67.2,,34.0,34.0,59.0,,34.0,34.0,60.1,,34.0,34.0,72.4,,34.0,34.0,70.0,,34.0,34.0,35.6,,34.0,34.0,57.2,,34.0,34.0,24.4,,34.0,34.0,125.6,,34.0,34.0,95.5,,34.0,34.0,88.2,,34.0,34.0,62.9,,34.0,34.0,68.4,,34.0,34.0,50.4,,34.0,34.0,51.6,,34.0,34.0,34.8,,34.0,34.0,34.8,,34.0,34.0,40.1,,34.0,34.0,42.0,,34.0,0.1,
4/02/2025 10:50:49 AM,833102,34.0,58.8,,34.0,3.0,99.2,31.2,34.0,34.0,60.8,,34.0,3.0,99.2,31.2,34.0,34.0,35.6,,34.0,3.0,99.2,31.2,34.0,34.0,48.2,,34.0,34.0,47.8,,34.0,34.0,66.3,,34.0,34.0,69.4,,34.0,34.0,59.0,,34.0,34.0,60.0,,34.0,34.0,72.8,,34.0,34.0,70.0,,34.0,34.0,35.6,,34.0,34.0,56.8,,34.0,34.0,24.8,,34.0,34.0,127.1,,34.0,34.0,99.7,,34.0,34.0,97.1,,34.0,34.0,68.4,,34.0,34.0,72.6,,34.0,34.0,50.8,,34.0,34.0,52.3,,34.0,34.0,36.0,,34.0,34.0,46.8,,34.0,34.0,39.7,,34.0,34.0,40.9,,34.0,0.2,
4/02/2025 10:51:49 AM,833162,34.0,56.9,,34.0,3.0,99.2,31.2,34.0,34.0,60.3,,34.0,3.0,99.2,31.2,34.0,34.0,35.6,,34.0,3.0,99.2,31.2,34.0,34.0,49.3,,34.0,34.0,48.2,,34.0,34.0,66.6,,34.0,34.0,66.6,,34.0,34.0,58.8,,34.0,34.0,61.8,,34.0,34.0,68.6,,34.0,34.0,68.3,,34.0,34.0,35.6,,34.0,34.0,56.7,,34.0,34.0,23.9,,34.0,34.0,127.6,,34.0,34.0,94.8,,34.0,34.0,86.0,,34.0,34.0,63.1,,34.0,34.0,67.1,,34.0,34.0,49.4,,34.0,34.0,50.8,,34.0,34.0,36.4,,34.0,34.0,34.7,,34.0,34.0,37.0,,34.0,34.0,41.8,,34.0,0.5,
4/02/2025 10:52:49 AM,833222,34.0,57.3,,34.0,3.0,99.2,31.2,34.0,34.0,60.2,,34.0,3.0,99.2,31.2,34.0,34.0,35.4,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,34.0,47.4,,34.0,34.0,66.8,,34.0,34.0,68.5,,34.0,34.0,57.4,,34.0,34.0,64.0,,34.0,34.0,71.4,,34.0,34.0,66.9,,34.0,34.0,35.4,,34.0,34.0,55.5,,34.0,34.0,26.2,,34.0,34.0,125.5,,34.0,34.0,100.6,,34.0,34.0,85.7,,34.0,34.0,64.3,,34.0,34.0,69.0,,34.0,34.0,48.3,,34.0,34.0,52.8,,34.0,34.0,33.4,,34.0,34.0,34.9,,34.0,34.0,39.3,,34.0,34.0,41.2,,34.0,0.1,
4/02/2025 10:53:49 AM,833282,34.0,56.8,,34.0,3.0,99.2,31.2,34.0,34.0,59.9,,34.0,3.0,99.2,31.2,34.0,34.0,34.8,,34.0,3.0,99.2,31.2,34.0,34.0,48.9,,34.0,34.0,48.6,,34.0,34.0,66.1,,34.0,34.0,66.8,,34.0,34.0,57.4,,34.0,34.0,61.6,,34.0,34.0,71.7,,34.0,34.0,68.0,,34.0,34.0,34.8,,34.0,34.0,55.9,,34.0,34.0,24.7,,34.0,34.0,123.8,,34.0,34.0,99.2,,34.0,34.0,86.5,,34.0,34.0,64.7,,34.0,34.0,69.1,,34.0,34.0,48.6,,34.0,34.0,50.3,,34.0,34.0,33.7,,34.0,34.0,33.7,,34.0,34.0,39.6,,34.0,34.0,39.8,,34.0,0.3,
