Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
4/02/2025 12:22:24 PM,838597,34.0,58.7,,34.0,3.0,99.2,31.2,34.0,34.0,59.5,,34.0,3.0,99.2,31.2,34.0,34.0,32.7,,34.0,3.0,99.2,31.2,34.0,34.0,48.1,,34.0,34.0,46.8,,34.0,34.0,65.3,,34.0,34.0,66.4,,34.0,34.0,58.6,,34.0,34.0,60.0,,34.0,34.0,72.5,,34.0,34.0,73.2,,34.0,34.0,32.7,,34.0,34.0,56.5,,34.0,34.0,23.9,,34.0,34.0,131.6,,34.0,34.0,104.1,,34.0,34.0,93.7,,34.0,34.0,66.1,,34.0,34.0,77.1,,34.0,34.0,50.6,,34.0,34.0,55.5,,34.0,34.0,36.9,,34.0,34.0,38.2,,34.0,34.0,41.6,,34.0,34.0,43.9,,34.0,0.2,
4/02/2025 12:22:49 PM,838622,34.0,58.2,,34.0,3.0,99.2,31.2,34.0,34.0,59.7,,34.0,3.0,99.2,31.2,34.0,34.0,31.9,,34.0,3.0,99.2,31.2,34.0,34.0,46.8,,34.0,34.0,47.4,,34.0,34.0,66.1,,34.0,34.0,66.8,,34.0,34.0,58.6,,34.0,34.0,62.4,,34.0,34.0,72.1,,34.0,34.0,72.0,,34.0,34.0,31.9,,34.0,34.0,55.3,,34.0,34.0,24.2,,34.0,34.0,98.1,,34.0,34.0,110.5,,34.0,34.0,99.3,,34.0,34.0,66.6,,34.0,34.0,74.3,,34.0,34.0,54.1,,34.0,34.0,58.6,,34.0,34.0,37.4,,34.0,34.0,39.2,,34.0,34.0,39.9,,34.0,34.0,43.2,,34.0,0.1,
4/02/2025 12:23:49 PM,838682,34.0,59.2,,34.0,3.0,99.2,31.2,34.0,34.0,59.1,,34.0,3.0,99.2,31.2,34.0,34.0,32.5,,34.0,3.0,99.2,31.2,34.0,34.0,47.4,,34.0,34.0,46.1,,34.0,34.0,63.9,,34.0,34.0,66.8,,34.0,34.0,58.6,,34.0,34.0,60.5,,34.0,34.0,71.8,,34.0,34.0,71.6,,34.0,34.0,32.5,,34.0,34.0,56.3,,34.0,34.0,25.1,,34.0,34.0,142.4,,34.0,34.0,105.6,,34.0,34.0,100.8,,34.0,34.0,66.3,,34.0,34.0,73.8,,34.0,34.0,53.6,,34.0,34.0,57.4,,34.0,34.0,37.6,,34.0,34.0,39.4,,34.0,34.0,40.3,,34.0,34.0,42.5,,34.0,0.6,
4/02/2025 12:24:49 PM,838742,34.0,59.7,,34.0,3.0,99.2,31.2,34.0,34.0,59.1,,34.0,3.0,99.2,31.2,34.0,34.0,33.4,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,34.0,46.7,,34.0,34.0,65.5,,34.0,34.0,64.7,,34.0,34.0,58.6,,34.0,34.0,60.7,,34.0,34.0,71.9,,34.0,34.0,70.8,,34.0,34.0,33.4,,34.0,34.0,57.1,,34.0,34.0,25.5,,34.0,34.0,142.4,,34.0,34.0,113.5,,34.0,34.0,97.4,,34.0,34.0,71.7,,34.0,34.0,73.9,,34.0,34.0,56.2,,34.0,34.0,55.1,,34.0,34.0,38.8,,34.0,34.0,40.8,,34.0,34.0,38.9,,34.0,34.0,44.2,,34.0,0.3,
4/02/2025 12:25:49 PM,838802,34.0,59.2,,34.0,3.0,99.2,31.2,34.0,34.0,59.0,,34.0,3.0,99.2,31.2,34.0,34.0,33.5,,34.0,3.0,99.2,31.2,34.0,34.0,47.1,,34.0,34.0,45.8,,34.0,34.0,64.2,,34.0,34.0,67.6,,34.0,34.0,57.5,,34.0,34.0,60.6,,34.0,34.0,71.9,,34.0,34.0,74.4,,34.0,34.0,33.5,,34.0,34.0,57.7,,34.0,34.0,25.0,,34.0,34.0,138.5,,34.0,34.0,111.5,,34.0,34.0,94.0,,34.0,34.0,69.0,,34.0,34.0,71.8,,34.0,34.0,52.5,,34.0,34.0,54.9,,34.0,34.0,37.0,,34.0,34.0,37.7,,34.0,34.0,42.0,,34.0,34.0,42.3,,34.0,0.3,
4/02/2025 12:26:49 PM,838862,34.0,59.3,,34.0,3.0,99.2,31.2,34.0,34.0,59.4,,34.0,3.0,99.2,31.2,34.0,34.0,31.6,,34.0,3.0,99.2,31.2,34.0,34.0,46.7,,34.0,34.0,47.2,,34.0,34.0,65.3,,34.0,34.0,67.0,,34.0,34.0,58.1,,34.0,34.0,60.7,,34.0,34.0,72.5,,34.0,34.0,72.3,,34.0,34.0,31.6,,34.0,34.0,56.1,,34.0,34.0,25.8,,34.0,34.0,139.1,,34.0,34.0,115.9,,34.0,34.0,93.0,,34.0,34.0,71.8,,34.0,34.0,70.9,,34.0,34.0,54.5,,34.0,34.0,54.8,,34.0,34.0,38.2,,34.0,34.0,38.8,,34.0,34.0,39.7,,34.0,34.0,43.3,,34.0,0.3,
4/02/2025 12:27:49 PM,838922,34.0,60.3,,34.0,3.0,99.2,31.2,34.0,34.0,59.7,,34.0,3.0,99.2,31.2,34.0,34.0,32.9,,34.0,3.0,99.2,31.2,34.0,34.0,47.0,,34.0,34.0,46.6,,34.0,34.0,67.0,,34.0,34.0,65.2,,34.0,34.0,59.6,,34.0,34.0,61.7,,34.0,34.0,74.0,,34.0,34.0,73.5,,34.0,34.0,32.9,,34.0,34.0,58.2,,34.0,34.0,24.9,,34.0,34.0,139.5,,34.0,34.0,112.0,,34.0,34.0,96.4,,34.0,34.0,70.3,,34.0,34.0,74.4,,34.0,34.0,57.7,,34.0,34.0,58.1,,34.0,34.0,38.6,,34.0,34.0,39.5,,34.0,34.0,40.9,,34.0,34.0,43.6,,34.0,0.3,
4/02/2025 12:28:49 PM,838982,34.0,59.0,,34.0,3.0,99.2,31.2,34.0,34.0,59.5,,34.0,3.0,99.2,31.2,34.0,34.0,34.7,,34.0,3.0,99.2,31.2,34.0,34.0,46.7,,34.0,34.0,45.3,,34.0,34.0,66.6,,34.0,34.0,65.0,,34.0,34.0,60.3,,34.0,34.0,60.2,,34.0,34.0,71.6,,34.0,34.0,71.5,,34.0,34.0,34.7,,34.0,34.0,57.2,,34.0,34.0,16.9,,34.0,34.0,139.0,,34.0,34.0,109.1,,34.0,34.0,94.3,,34.0,34.0,70.2,,34.0,34.0,72.1,,34.0,34.0,55.1,,34.0,34.0,56.4,,34.0,34.0,38.1,,34.0,34.0,38.6,,34.0,34.0,41.5,,34.0,34.0,43.9,,34.0,0.5,
4/02/2025 12:29:49 PM,839042,34.0,60.0,,34.0,3.0,99.2,31.2,34.0,34.0,60.1,,34.0,3.0,99.2,31.2,34.0,34.0,33.2,,34.0,3.0,99.2,31.2,34.0,34.0,46.3,,34.0,34.0,46.2,,34.0,34.0,66.1,,34.0,34.0,68.2,,34.0,34.0,59.8,,34.0,34.0,61.6,,34.0,34.0,74.0,,34.0,34.0,69.2,,34.0,34.0,33.2,,34.0,34.0,57.7,,34.0,34.0,24.9,,34.0,34.0,139.8,,34.0,34.0,109.1,,34.0,34.0,100.3,,34.0,34.0,69.8,,34.0,34.0,75.0,,34.0,34.0,53.7,,34.0,34.0,57.9,,34.0,34.0,39.1,,34.0,34.0,38.6,,34.0,34.0,40.6,,34.0,34.0,45.8,,34.0,0.5,
