Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
4/02/2025 2:59:29 PM,848022,34.0,55.4,,34.0,3.0,99.2,31.2,34.0,34.0,58.5,,34.0,3.0,99.2,31.2,34.0,34.0,32.3,,34.0,3.0,99.2,31.2,34.0,34.0,46.9,,34.0,34.0,45.8,,34.0,34.0,64.2,,34.0,34.0,66.2,,34.0,34.0,56.9,,34.0,34.0,63.0,,34.0,34.0,69.2,,34.0,34.0,68.2,,34.0,34.0,32.3,,34.0,34.0,55.5,,34.0,34.0,18.0,,34.0,34.0,133.6,,34.0,34.0,85.6,,34.0,34.0,80.5,,34.0,34.0,58.3,,34.0,34.0,68.2,,34.0,34.0,47.4,,34.0,34.0,53.6,,34.0,34.0,30.9,,34.0,34.0,33.1,,34.0,34.0,37.1,,34.0,34.0,40.0,,34.0,0.6,
4/02/2025 2:59:49 PM,848042,34.0,56.8,,34.0,3.0,99.2,31.2,34.0,34.0,59.1,,34.0,3.0,99.2,31.2,34.0,34.0,33.1,,34.0,3.0,99.2,31.2,34.0,34.0,47.5,,34.0,34.0,48.1,,34.0,34.0,65.8,,34.0,34.0,65.7,,34.0,34.0,56.9,,34.0,34.0,59.6,,34.0,34.0,70.7,,34.0,34.0,70.0,,34.0,34.0,33.1,,34.0,34.0,58.1,,34.0,34.0,19.0,,34.0,34.0,137.3,,34.0,34.0,91.6,,34.0,34.0,91.5,,34.0,34.0,60.6,,34.0,34.0,73.9,,34.0,34.0,50.3,,34.0,34.0,51.9,,34.0,34.0,33.0,,34.0,34.0,35.3,,34.0,34.0,35.3,,34.0,34.0,40.4,,34.0,0.1,
4/02/2025 3:00:49 PM,848102,34.0,57.0,,34.0,3.0,99.2,31.2,34.0,34.0,59.0,,34.0,3.0,99.2,31.2,34.0,34.0,34.8,,34.0,3.0,99.2,31.2,34.0,34.0,46.9,,34.0,34.0,46.4,,34.0,34.0,64.9,,34.0,34.0,66.9,,34.0,34.0,56.9,,34.0,34.0,63.1,,34.0,34.0,71.6,,34.0,34.0,69.3,,34.0,34.0,34.8,,34.0,34.0,56.2,,34.0,34.0,20.9,,34.0,34.0,148.1,,34.0,34.0,88.4,,34.0,34.0,88.1,,34.0,34.0,60.8,,34.0,34.0,73.8,,34.0,34.0,47.3,,34.0,34.0,53.1,,34.0,34.0,33.7,,34.0,34.0,33.9,,34.0,34.0,35.7,,34.0,34.0,39.4,,34.0,0.5,
4/02/2025 3:01:49 PM,848162,34.0,56.7,,34.0,3.0,99.2,31.2,34.0,34.0,58.9,,34.0,3.0,99.2,31.2,34.0,34.0,33.0,,34.0,3.0,99.2,31.2,34.0,34.0,45.9,,34.0,34.0,46.3,,34.0,34.0,66.4,,34.0,34.0,66.7,,34.0,34.0,55.8,,34.0,34.0,60.3,,34.0,34.0,72.1,,34.0,34.0,72.3,,34.0,34.0,33.0,,34.0,34.0,55.0,,34.0,34.0,19.1,,34.0,34.0,148.4,,34.0,34.0,90.8,,34.0,34.0,90.5,,34.0,34.0,59.8,,34.0,34.0,69.9,,34.0,34.0,48.1,,34.0,34.0,52.3,,34.0,34.0,32.3,,34.0,34.0,33.2,,34.0,34.0,36.0,,34.0,34.0,40.1,,34.0,0.0,
4/02/2025 3:02:49 PM,848222,34.0,57.0,,34.0,3.0,99.2,31.2,34.0,34.0,58.6,,34.0,3.0,99.2,31.2,34.0,34.0,32.8,,34.0,3.0,99.2,31.2,34.0,34.0,46.6,,34.0,34.0,46.0,,34.0,34.0,64.2,,34.0,34.0,67.3,,34.0,34.0,56.4,,34.0,34.0,60.1,,34.0,34.0,71.4,,34.0,34.0,72.4,,34.0,34.0,32.8,,34.0,34.0,55.3,,34.0,34.0,19.9,,34.0,34.0,149.2,,34.0,34.0,89.7,,34.0,34.0,94.5,,34.0,34.0,58.8,,34.0,34.0,74.7,,34.0,34.0,49.1,,34.0,34.0,54.2,,34.0,34.0,32.6,,34.0,34.0,33.6,,34.0,34.0,34.3,,34.0,34.0,40.8,,34.0,0.3,
4/02/2025 3:03:49 PM,848282,34.0,56.4,,34.0,3.0,99.2,31.2,34.0,34.0,59.4,,34.0,3.0,99.2,31.2,34.0,34.0,32.3,,34.0,3.0,99.2,31.2,34.0,34.0,47.6,,34.0,34.0,46.7,,34.0,34.0,65.7,,34.0,34.0,67.8,,34.0,34.0,56.5,,34.0,34.0,59.9,,34.0,34.0,71.3,,34.0,34.0,67.5,,34.0,34.0,32.3,,34.0,34.0,56.4,,34.0,34.0,20.3,,34.0,34.0,147.4,,34.0,34.0,84.5,,34.0,34.0,84.3,,34.0,34.0,59.5,,34.0,34.0,70.0,,34.0,34.0,50.9,,34.0,34.0,52.6,,34.0,34.0,32.1,,34.0,34.0,33.4,,34.0,34.0,33.8,,34.0,34.0,40.7,,34.0,0.5,
4/02/2025 3:04:49 PM,848342,34.0,57.4,,34.0,3.0,99.2,31.2,34.0,34.0,61.2,,34.0,3.0,99.2,31.2,34.0,34.0,31.5,,34.0,3.0,99.2,31.2,34.0,34.0,47.0,,34.0,34.0,45.9,,34.0,34.0,64.4,,34.0,34.0,66.5,,34.0,34.0,67.7,,34.0,34.0,59.1,,34.0,34.0,72.0,,34.0,34.0,70.1,,34.0,34.0,31.5,,34.0,34.0,55.9,,34.0,34.0,19.4,,34.0,34.0,147.2,,34.0,34.0,92.7,,34.0,34.0,88.0,,34.0,34.0,63.9,,34.0,34.0,71.7,,34.0,34.0,49.0,,34.0,34.0,53.2,,34.0,34.0,32.8,,34.0,34.0,34.1,,34.0,34.0,36.4,,34.0,34.0,40.1,,34.0,0.2,
4/02/2025 3:05:49 PM,848402,34.0,56.5,,34.0,3.0,99.2,31.2,34.0,34.0,58.4,,34.0,3.0,99.2,31.2,34.0,34.0,32.1,,34.0,3.0,99.2,31.2,34.0,34.0,46.8,,34.0,34.0,45.7,,34.0,34.0,64.2,,34.0,34.0,66.1,,34.0,34.0,56.9,,34.0,34.0,59.6,,34.0,34.0,69.4,,34.0,34.0,71.6,,34.0,34.0,32.1,,34.0,34.0,54.8,,34.0,34.0,19.4,,34.0,34.0,147.7,,34.0,34.0,89.7,,34.0,34.0,89.8,,34.0,34.0,61.4,,34.0,34.0,70.4,,34.0,34.0,49.4,,34.0,34.0,53.3,,34.0,34.0,32.6,,34.0,34.0,32.9,,34.0,34.0,36.9,,34.0,34.0,40.1,,34.0,0.4,
4/02/2025 3:06:49 PM,848462,34.0,56.0,,34.0,3.0,99.2,31.2,34.0,34.0,59.1,,34.0,3.0,99.2,31.2,34.0,34.0,31.8,,34.0,3.0,99.2,31.2,34.0,34.0,46.8,,34.0,34.0,46.2,,34.0,34.0,65.7,,34.0,34.0,67.1,,34.0,34.0,56.9,,34.0,34.0,59.2,,34.0,34.0,72.4,,34.0,34.0,69.6,,34.0,34.0,31.8,,34.0,34.0,55.3,,34.0,34.0,19.1,,34.0,34.0,144.0,,34.0,34.0,85.9,,34.0,34.0,85.0,,34.0,34.0,58.9,,34.0,34.0,68.7,,34.0,34.0,48.5,,34.0,34.0,52.5,,34.0,34.0,31.6,,34.0,34.0,32.0,,34.0,34.0,35.5,,34.0,34.0,40.2,,34.0,0.2,
