Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
4/02/2025 3:13:59 PM,848892,34.0,56.0,,34.0,3.0,99.2,31.2,34.0,34.0,57.4,,34.0,3.0,99.2,31.2,34.0,34.0,31.5,,34.0,3.0,99.2,31.2,34.0,34.0,45.8,,34.0,34.0,45.4,,34.0,34.0,64.4,,34.0,34.0,66.4,,34.0,34.0,52.4,,34.0,34.0,57.0,,34.0,34.0,72.0,,34.0,34.0,71.2,,34.0,34.0,31.5,,34.0,34.0,54.8,,34.0,34.0,19.5,,34.0,34.0,147.1,,34.0,34.0,88.8,,34.0,34.0,88.7,,34.0,34.0,61.4,,34.0,34.0,70.5,,34.0,34.0,48.6,,34.0,34.0,54.1,,34.0,34.0,31.0,,34.0,34.0,33.4,,34.0,34.0,36.4,,34.0,34.0,39.9,,34.0,0.0,
4/02/2025 3:14:49 PM,848942,34.0,53.7,,34.0,3.0,99.2,31.2,34.0,34.0,58.2,,34.0,3.0,99.2,31.2,34.0,34.0,31.6,,34.0,3.0,99.2,31.2,34.0,34.0,46.6,,34.0,34.0,46.8,,34.0,34.0,64.9,,34.0,34.0,67.6,,34.0,34.0,52.8,,34.0,34.0,60.8,,34.0,34.0,75.2,,34.0,34.0,70.1,,34.0,34.0,31.6,,34.0,34.0,53.8,,34.0,34.0,16.6,,34.0,34.0,80.4,,34.0,34.0,88.5,,34.0,34.0,86.5,,34.0,34.0,59.1,,34.0,34.0,69.4,,34.0,34.0,46.8,,34.0,34.0,51.9,,34.0,34.0,29.8,,34.0,34.0,32.2,,34.0,34.0,35.0,,34.0,34.0,39.1,,34.0,1.0,
4/02/2025 3:15:49 PM,849002,34.0,60.9,,34.0,3.0,99.2,31.2,34.0,34.0,63.0,,34.0,3.0,99.2,31.2,34.0,34.0,34.5,,34.0,3.0,99.2,31.2,34.0,34.0,47.7,,34.0,34.0,43.9,,34.0,34.0,68.8,,34.0,34.0,66.9,,34.0,34.0,70.8,,34.0,34.0,68.5,,34.0,34.0,74.8,,34.0,34.0,72.3,,34.0,34.0,34.5,,34.0,34.0,64.5,,34.0,34.0,15.6,,34.0,34.0,81.1,,34.0,34.0,120.9,,34.0,34.0,106.7,,34.0,34.0,83.9,,34.0,34.0,84.6,,34.0,34.0,65.4,,34.0,34.0,53.5,,34.0,34.0,34.8,,34.0,34.0,32.6,,34.0,34.0,51.2,,34.0,34.0,43.0,,34.0,8.3,
4/02/2025 3:16:49 PM,849062,34.0,60.6,,34.0,3.0,99.2,31.2,34.0,34.0,62.5,,34.0,3.0,99.2,31.2,34.0,34.0,36.0,,34.0,3.0,99.2,31.2,34.0,34.0,48.1,,34.0,34.0,44.1,,34.0,34.0,66.4,,34.0,34.0,63.2,,34.0,34.0,74.8,,34.0,34.0,66.3,,34.0,34.0,77.6,,34.0,34.0,76.0,,34.0,34.0,36.0,,34.0,34.0,69.4,,34.0,34.0,14.9,,34.0,34.0,73.1,,34.0,34.0,112.9,,34.0,34.0,92.1,,34.0,34.0,83.0,,34.0,34.0,82.9,,34.0,34.0,66.1,,34.0,34.0,51.4,,34.0,34.0,35.0,,34.0,34.0,32.0,,34.0,34.0,54.3,,34.0,34.0,43.9,,34.0,0.3,
4/02/2025 3:17:49 PM,849122,34.0,60.3,,34.0,3.0,99.2,31.2,34.0,34.0,63.7,,34.0,3.0,99.2,31.2,34.0,34.0,34.5,,34.0,3.0,99.2,31.2,34.0,34.0,48.7,,34.0,34.0,44.3,,34.0,34.0,66.1,,34.0,34.0,65.6,,34.0,34.0,77.4,,34.0,34.0,66.5,,34.0,34.0,76.9,,34.0,34.0,76.1,,34.0,34.0,34.5,,34.0,34.0,68.5,,34.0,34.0,15.5,,34.0,34.0,71.9,,34.0,34.0,117.8,,34.0,34.0,98.2,,34.0,34.0,86.5,,34.0,34.0,84.2,,34.0,34.0,67.5,,34.0,34.0,34.2,,34.0,34.0,35.3,,34.0,34.0,32.0,,34.0,34.0,54.0,,34.0,34.0,42.7,,34.0,0.6,
4/02/2025 3:18:49 PM,849182,34.0,61.1,,34.0,3.0,99.2,31.2,34.0,34.0,63.8,,34.0,3.0,99.2,31.2,34.0,34.0,35.3,,34.0,3.0,99.2,31.2,34.0,34.0,48.3,,34.0,34.0,45.5,,34.0,34.0,67.7,,34.0,34.0,64.8,,34.0,34.0,76.4,,34.0,34.0,66.1,,34.0,34.0,78.5,,34.0,34.0,80.2,,34.0,34.0,35.3,,34.0,34.0,73.6,,34.0,34.0,16.1,,34.0,34.0,69.6,,34.0,34.0,109.1,,34.0,34.0,90.0,,34.0,34.0,81.6,,34.0,34.0,80.4,,34.0,34.0,65.0,,34.0,34.0,50.2,,34.0,34.0,35.6,,34.0,34.0,30.6,,34.0,34.0,58.3,,34.0,34.0,42.9,,34.0,0.7,
4/02/2025 3:19:49 PM,849242,34.0,60.8,,34.0,3.0,99.2,31.2,34.0,34.0,63.6,,34.0,3.0,99.2,31.2,34.0,34.0,38.7,,34.0,3.0,99.2,31.2,34.0,34.0,48.3,,34.0,34.0,43.6,,34.0,34.0,67.6,,34.0,34.0,63.8,,34.0,34.0,77.9,,34.0,34.0,65.0,,34.0,34.0,76.0,,34.0,34.0,78.0,,34.0,34.0,38.7,,34.0,34.0,71.6,,34.0,34.0,15.9,,34.0,34.0,68.7,,34.0,34.0,104.6,,34.0,34.0,95.9,,34.0,34.0,80.1,,34.0,34.0,79.3,,34.0,34.0,65.9,,34.0,34.0,50.4,,34.0,34.0,36.8,,34.0,34.0,31.3,,34.0,34.0,57.0,,34.0,34.0,43.5,,34.0,0.0,
4/02/2025 3:20:49 PM,849302,34.0,62.8,,34.0,3.0,99.2,31.2,34.0,34.0,64.0,,34.0,3.0,99.2,31.2,34.0,34.0,37.2,,34.0,3.0,99.2,31.2,34.0,34.0,47.5,,34.0,34.0,44.9,,34.0,34.0,64.2,,34.0,34.0,66.7,,34.0,34.0,79.7,,34.0,34.0,64.4,,34.0,34.0,75.9,,34.0,34.0,75.7,,34.0,34.0,37.2,,34.0,34.0,71.4,,34.0,34.0,15.8,,34.0,34.0,92.3,,34.0,34.0,116.3,,34.0,34.0,106.5,,34.0,34.0,89.3,,34.0,34.0,85.7,,34.0,34.0,70.8,,34.0,34.0,52.4,,34.0,34.0,37.8,,34.0,34.0,31.1,,34.0,34.0,57.1,,34.0,34.0,44.0,,34.0,0.1,
4/02/2025 3:21:49 PM,849362,34.0,60.8,,34.0,3.0,99.2,31.2,34.0,34.0,63.0,,34.0,3.0,99.2,31.2,34.0,34.0,36.4,,34.0,3.0,99.2,31.2,34.0,34.0,47.6,,34.0,34.0,44.3,,34.0,34.0,65.2,,34.0,34.0,62.1,,34.0,34.0,79.7,,34.0,34.0,67.3,,34.0,34.0,76.6,,34.0,34.0,75.1,,34.0,34.0,36.4,,34.0,34.0,71.9,,34.0,34.0,15.0,,34.0,34.0,70.5,,34.0,34.0,116.6,,34.0,34.0,100.8,,34.0,34.0,82.7,,34.0,34.0,83.5,,34.0,34.0,68.2,,34.0,34.0,49.5,,34.0,34.0,36.3,,34.0,34.0,29.9,,34.0,34.0,56.4,,34.0,34.0,37.2,,34.0,0.8,
