Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
5/02/2025 9:56:41 AM,916252,34.0,59.5,,34.0,3.0,99.2,31.2,34.0,34.0,64.0,,34.0,3.0,99.2,31.2,34.0,34.0,51.2,,34.0,3.0,99.2,31.2,34.0,34.0,49.8,,34.0,34.0,47.9,,34.0,34.0,68.2,,34.0,34.0,73.5,,34.0,34.0,65.3,,34.0,34.0,74.4,,34.0,34.0,78.1,,34.0,34.0,81.8,,34.0,34.0,51.2,,34.0,34.0,64.7,,34.0,34.0,18.0,,34.0,34.0,52.2,,34.0,34.0,100.6,,34.0,34.0,92.7,,34.0,34.0,60.0,,34.0,34.0,71.2,,34.0,34.0,51.6,,34.0,34.0,52.1,,34.0,34.0,35.5,,34.0,34.0,39.9,,34.0,34.0,43.9,,34.0,34.0,46.1,,34.0,0.2,
5/02/2025 9:56:51 AM,916262,34.0,59.9,,34.0,3.0,99.2,31.2,34.0,34.0,65.3,,34.0,3.0,99.2,31.2,34.0,34.0,52.2,,34.0,3.0,99.2,31.2,34.0,34.0,49.2,,34.0,34.0,48.4,,34.0,34.0,70.7,,34.0,34.0,76.1,,34.0,34.0,65.3,,34.0,34.0,75.4,,34.0,34.0,77.1,,34.0,34.0,81.4,,34.0,34.0,52.2,,34.0,34.0,64.5,,34.0,34.0,17.9,,34.0,34.0,54.0,,34.0,34.0,97.4,,34.0,34.0,89.7,,34.0,34.0,62.0,,34.0,34.0,71.0,,34.0,34.0,50.4,,34.0,34.0,56.1,,34.0,34.0,35.1,,34.0,34.0,38.8,,34.0,34.0,45.3,,34.0,34.0,46.8,,34.0,0.2,
5/02/2025 9:57:51 AM,916322,34.0,59.4,,34.0,3.0,99.2,31.2,34.0,34.0,64.9,,34.0,3.0,99.2,31.2,34.0,34.0,52.0,,34.0,3.0,99.2,31.2,34.0,34.0,51.2,,34.0,34.0,50.7,,34.0,34.0,68.7,,34.0,34.0,75.1,,34.0,34.0,64.9,,34.0,34.0,74.4,,34.0,34.0,76.9,,34.0,34.0,82.6,,34.0,34.0,52.0,,34.0,34.0,64.9,,34.0,34.0,18.4,,34.0,34.0,55.4,,34.0,34.0,102.8,,34.0,34.0,86.8,,34.0,34.0,60.7,,34.0,34.0,59.2,,34.0,34.0,48.9,,34.0,34.0,57.5,,34.0,34.0,35.6,,34.0,34.0,38.5,,34.0,34.0,41.7,,34.0,34.0,47.8,,34.0,0.5,
5/02/2025 9:58:51 AM,916382,34.0,59.6,,34.0,3.0,99.2,31.2,34.0,34.0,66.1,,34.0,3.0,99.2,31.2,34.0,34.0,51.3,,34.0,3.0,99.2,31.2,34.0,34.0,49.6,,34.0,34.0,49.5,,34.0,34.0,73.8,,34.0,34.0,76.2,,34.0,34.0,64.3,,34.0,34.0,73.9,,34.0,34.0,76.5,,34.0,34.0,82.4,,34.0,34.0,51.3,,34.0,34.0,64.4,,34.0,34.0,18.2,,34.0,34.0,55.4,,34.0,34.0,95.6,,34.0,34.0,85.5,,34.0,34.0,59.2,,34.0,34.0,72.9,,34.0,34.0,51.3,,34.0,34.0,58.3,,34.0,34.0,34.2,,34.0,34.0,38.8,,34.0,34.0,42.5,,34.0,34.0,41.4,,34.0,0.0,
5/02/2025 9:59:51 AM,916442,34.0,59.7,,34.0,3.0,99.2,31.2,34.0,34.0,65.5,,34.0,3.0,99.2,31.2,34.0,34.0,51.0,,34.0,3.0,99.2,31.2,34.0,34.0,49.2,,34.0,34.0,49.3,,34.0,34.0,70.2,,34.0,34.0,78.1,,34.0,34.0,63.9,,34.0,34.0,75.5,,34.0,34.0,77.8,,34.0,34.0,81.3,,34.0,34.0,51.0,,34.0,34.0,64.8,,34.0,34.0,17.6,,34.0,34.0,53.7,,34.0,34.0,96.1,,34.0,34.0,84.3,,34.0,34.0,64.5,,34.0,34.0,71.3,,34.0,34.0,49.0,,34.0,34.0,56.8,,34.0,34.0,34.6,,34.0,34.0,39.1,,34.0,34.0,42.9,,34.0,34.0,46.3,,34.0,0.0,
5/02/2025 10:00:51 AM,916502,34.0,59.7,,34.0,3.0,99.2,31.2,34.0,34.0,66.3,,34.0,3.0,99.2,31.2,34.0,34.0,50.1,,34.0,3.0,99.2,31.2,34.0,34.0,49.8,,34.0,34.0,50.0,,34.0,34.0,74.9,,34.0,34.0,76.1,,34.0,34.0,63.9,,34.0,34.0,75.6,,34.0,34.0,77.7,,34.0,34.0,82.8,,34.0,34.0,50.1,,34.0,34.0,63.6,,34.0,34.0,17.5,,34.0,34.0,55.2,,34.0,34.0,92.7,,34.0,34.0,88.0,,34.0,34.0,60.6,,34.0,34.0,71.4,,34.0,34.0,49.7,,34.0,34.0,57.1,,34.0,34.0,33.9,,34.0,34.0,38.0,,34.0,34.0,42.7,,34.0,34.0,45.7,,34.0,0.1,
5/02/2025 10:01:51 AM,916562,34.0,59.7,,34.0,3.0,99.2,31.2,34.0,34.0,65.9,,34.0,3.0,99.2,31.2,34.0,34.0,50.0,,34.0,3.0,99.2,31.2,34.0,34.0,50.2,,34.0,34.0,48.5,,34.0,34.0,74.0,,34.0,34.0,76.1,,34.0,34.0,63.9,,34.0,34.0,74.9,,34.0,34.0,77.9,,34.0,34.0,81.3,,34.0,34.0,50.0,,34.0,34.0,63.3,,34.0,34.0,18.5,,34.0,34.0,52.0,,34.0,34.0,98.9,,34.0,34.0,87.2,,34.0,34.0,61.5,,34.0,34.0,69.0,,34.0,34.0,50.0,,34.0,34.0,56.7,,34.0,34.0,33.4,,34.0,34.0,39.0,,34.0,34.0,44.2,,34.0,34.0,46.2,,34.0,0.1,
5/02/2025 10:02:51 AM,916622,34.0,59.4,,34.0,3.0,99.2,31.2,34.0,34.0,65.9,,34.0,3.0,99.2,31.2,34.0,34.0,50.5,,34.0,3.0,99.2,31.2,34.0,34.0,49.5,,34.0,34.0,48.6,,34.0,34.0,73.6,,34.0,34.0,76.7,,34.0,34.0,63.7,,34.0,34.0,74.5,,34.0,34.0,76.9,,34.0,34.0,81.1,,34.0,34.0,50.5,,34.0,34.0,61.3,,34.0,34.0,17.6,,34.0,34.0,52.7,,34.0,34.0,98.2,,34.0,34.0,87.5,,34.0,34.0,62.6,,34.0,34.0,71.6,,34.0,34.0,50.1,,34.0,34.0,57.4,,34.0,34.0,33.1,,34.0,34.0,37.2,,34.0,34.0,43.8,,34.0,34.0,45.3,,34.0,0.0,
5/02/2025 10:03:51 AM,916682,34.0,58.8,,34.0,3.0,99.2,31.2,34.0,34.0,65.9,,34.0,3.0,99.2,31.2,34.0,34.0,49.1,,34.0,3.0,99.2,31.2,34.0,34.0,49.3,,34.0,34.0,49.0,,34.0,34.0,74.5,,34.0,34.0,76.1,,34.0,34.0,63.5,,34.0,34.0,75.1,,34.0,34.0,75.3,,34.0,34.0,80.3,,34.0,34.0,49.1,,34.0,34.0,62.1,,34.0,34.0,13.0,,34.0,34.0,53.5,,34.0,34.0,99.6,,34.0,34.0,84.4,,34.0,34.0,61.5,,34.0,34.0,71.6,,34.0,34.0,49.4,,34.0,34.0,57.2,,34.0,34.0,34.2,,34.0,34.0,38.5,,34.0,34.0,38.2,,34.0,34.0,45.3,,34.0,0.2,
5/02/2025 10:04:51 AM,916742,34.0,58.9,,34.0,3.0,99.2,31.2,34.0,34.0,65.8,,34.0,3.0,99.2,31.2,34.0,34.0,49.8,,34.0,3.0,99.2,31.2,34.0,34.0,49.4,,34.0,34.0,48.9,,34.0,34.0,73.8,,34.0,34.0,76.3,,34.0,34.0,63.5,,34.0,34.0,75.8,,34.0,34.0,76.5,,34.0,34.0,81.3,,34.0,34.0,49.8,,34.0,34.0,61.5,,34.0,34.0,18.6,,34.0,34.0,52.6,,34.0,34.0,92.4,,34.0,34.0,83.1,,34.0,34.0,60.5,,34.0,34.0,65.7,,34.0,34.0,49.7,,34.0,34.0,58.3,,34.0,34.0,32.7,,34.0,34.0,38.6,,34.0,34.0,42.5,,34.0,34.0,44.1,,34.0,0.0,
5/02/2025 10:05:51 AM,916802,34.0,58.9,,34.0,3.0,99.2,31.2,34.0,34.0,65.9,,34.0,3.0,99.2,31.2,34.0,34.0,47.5,,34.0,3.0,99.2,31.2,34.0,34.0,49.3,,34.0,34.0,49.3,,34.0,34.0,73.4,,34.0,34.0,77.0,,34.0,34.0,63.5,,34.0,34.0,75.2,,34.0,34.0,76.4,,34.0,34.0,79.1,,34.0,34.0,47.5,,34.0,34.0,62.5,,34.0,34.0,18.2,,34.0,34.0,52.8,,34.0,34.0,95.4,,34.0,34.0,82.1,,34.0,34.0,61.1,,34.0,34.0,68.2,,34.0,34.0,49.9,,34.0,34.0,57.1,,34.0,34.0,33.1,,34.0,34.0,38.4,,34.0,34.0,41.7,,34.0,34.0,44.8,,34.0,0.1,
5/02/2025 10:06:51 AM,916862,34.0,58.8,,34.0,3.0,99.2,31.2,34.0,34.0,65.5,,34.0,3.0,99.2,31.2,34.0,34.0,47.8,,34.0,3.0,99.2,31.2,34.0,34.0,50.5,,34.0,34.0,47.9,,34.0,34.0,71.8,,34.0,34.0,77.1,,34.0,34.0,63.3,,34.0,34.0,73.8,,34.0,34.0,76.4,,34.0,34.0,78.6,,34.0,34.0,47.8,,34.0,34.0,61.0,,34.0,34.0,18.1,,34.0,34.0,53.0,,34.0,34.0,101.6,,34.0,34.0,91.8,,34.0,34.0,60.5,,34.0,34.0,71.8,,34.0,34.0,48.8,,34.0,34.0,56.0,,34.0,34.0,32.8,,34.0,34.0,37.7,,34.0,34.0,39.6,,34.0,34.0,44.5,,34.0,0.1,
5/02/2025 10:07:51 AM,916922,34.0,58.4,,34.0,3.0,99.2,31.2,34.0,34.0,65.2,,34.0,3.0,99.2,31.2,34.0,34.0,47.5,,34.0,3.0,99.2,31.2,34.0,34.0,49.5,,34.0,34.0,48.6,,34.0,34.0,72.5,,34.0,34.0,75.7,,34.0,34.0,63.3,,34.0,34.0,75.2,,34.0,34.0,71.0,,34.0,34.0,81.1,,34.0,34.0,47.5,,34.0,34.0,61.9,,34.0,34.0,16.9,,34.0,34.0,52.5,,34.0,34.0,95.7,,34.0,34.0,84.5,,34.0,34.0,62.8,,34.0,34.0,70.0,,34.0,34.0,49.6,,34.0,34.0,56.5,,34.0,34.0,33.8,,34.0,34.0,38.2,,34.0,34.0,40.4,,34.0,34.0,43.7,,34.0,0.2,
5/02/2025 10:08:51 AM,916982,34.0,58.4,,34.0,3.0,99.2,31.2,34.0,34.0,65.2,,34.0,3.0,99.2,31.2,34.0,34.0,47.0,,34.0,3.0,99.2,31.2,34.0,34.0,49.2,,34.0,34.0,48.8,,34.0,34.0,73.1,,34.0,34.0,75.0,,34.0,34.0,63.3,,34.0,34.0,73.4,,34.0,34.0,76.4,,34.0,34.0,80.0,,34.0,34.0,47.0,,34.0,34.0,62.5,,34.0,34.0,18.4,,34.0,34.0,53.7,,34.0,34.0,93.5,,34.0,34.0,80.5,,34.0,34.0,59.2,,34.0,34.0,69.0,,34.0,34.0,49.1,,34.0,34.0,56.3,,34.0,34.0,32.7,,34.0,34.0,37.6,,34.0,34.0,42.0,,34.0,34.0,43.2,,34.0,0.3,
