Manikin #3.4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval (sec),60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),
05/02/2025 14:56,934267,34,65.4,,34,3,99.2,31.2,34,34,63.9,,34,3,99.2,31.2,34,34,44.1,,34,3,99.2,31.2,34,34,47,,34,34,44.1,,34,34,67.4,,34,34,64.5,,34,34,79.1,,34,34,68.4,,34,34,67.8,,34,34,65.3,,34,34,44.1,,34,34,61.1,,34,34,22.5,,34,34,87.5,,34,34,145.4,,34,34,148.6,,34,34,92.3,,34,34,102.9,,34,34,74.6,,34,34,60.3,,34,34,43.5,,34,34,39.2,,34,34,59.7,,34,34,45.8,,34,0.2
05/02/2025 14:57,934322,34,75.1,,34,3,99.2,31.1,34,34,66.8,,34,3,99.2,31.2,34,34,47.8,,34,3,99.2,31.2,34,34,45.8,,34,34,45.2,,34,34,67.8,,34,34,68.9,,34,34,86.3,,34,34,79.7,,34,34,70.6,,34,34,71.3,,34,34,47.8,,34,34,63.6,,34,34,24.7,,34,34,103.6,,34,33.9,202.9,,34,34,200.7,,34,34,125.8,,34,34,131.4,,34,34,88.5,,34,34,68.8,,34,34,45.4,,34,34,42.7,,34,34,68.8,,34,34,55.7,,34,4.7
05/02/2025 14:58,934382,34,76.7,,34,3,99.2,31.2,34,34,67.6,,34,3,99.2,31.2,34,34,51,,34,3,99.2,31.2,34,34,47.4,,34,34,44.1,,34,34,65.8,,34,34,68,,34,34,92.4,,34,34,82.2,,34,34,75.9,,34,34,75.5,,34,34,51,,34,34,66.1,,34,34,24.6,,34,34,117.2,,34,34.1,197.6,,34,34,200.6,,34,34,119.9,,34,34,132.6,,34,34,90.8,,34,34,70.7,,34,34,47,,34,34,35.6,,34,34,73.6,,34,34,59.1,,34,0.9
05/02/2025 14:59,934442,34,78.8,,34,3,99.2,31.2,34,34,68.5,,34,3,99.2,31.2,34,34,51.1,,34,3,99.2,31.2,34,34,45.2,,34,34,44.4,,34,34,64.2,,34,34,65.4,,34,34,101.6,,34,34,85,,34,34,83.6,,34,34,77.3,,34,34,51.1,,34,34,68.6,,34,34,24.5,,34,34,115.8,,34,33.9,202.9,,33.9,34,206.3,,34,34,127.2,,34,34,135.4,,34,34,90.8,,34,34,70,,34,34,47.1,,34,34,46.1,,34,34,72.1,,34,34,60.8,,34,1.4
05/02/2025 15:00,934502,34,79.6,,34,3,99.2,31.2,34,34,69.8,,34,3,99.2,31.2,34,34,52,,34,3,99.2,31.2,34,34,44.9,,34,34,43.4,,34,34,67.1,,34,34,67.9,,34,34,102.1,,34,34,89.5,,34,34,85.8,,34,34,77.7,,34,34,52,,34,34,69.3,,34,34,23.2,,34,34,117.3,,34,33.9,202.9,,33.9,34,202,,34,34,124.9,,34,34,133.8,,34,34,91.1,,34,34,70.5,,34,34,48.5,,34,34,46.2,,34,34,74.2,,34,34,62.4,,34,0.3
05/02/2025 15:01,934562,34,78.5,,34,3,99.2,31.2,34,34,69.9,,34,3,99.2,31.2,34,34,47.6,,34,3,99.2,31.2,34,34,46.8,,34,34,45.7,,34,34,67.9,,34,34,68,,34,34,99.4,,34,34,84.3,,34,34,81.8,,34,34,76.2,,34,34,47.6,,34,34,68.7,,34,34,23.5,,34,34,117.4,,34,33.9,202.9,,33.9,34,201.6,,34,34,123.8,,34,34,136.3,,34,34,90.2,,34,34,67.1,,34,34,49.2,,34,34,42.9,,34,34,74.8,,34,34,60.6,,34,0.8
05/02/2025 15:02,934622,34,78.8,,34,3,99.2,31.1,34,34,70.1,,34,3,99.2,31.2,34,34,52.4,,34,3,99.2,31.2,34,34,46.7,,34,34,45.1,,34,34,66,,34,34,67.9,,34,34,102.7,,34,34,90.9,,34,34,84.8,,34,34,79,,34,34,52.4,,34,34,68.3,,34,34,23.1,,34,34,112.9,,34,33.8,203,,33.9,34,204.4,,34,34,123.3,,34,34,131.5,,34,34,88.2,,34,34,63,,34,34,47.7,,34,34,45,,34,34,74.2,,34,34,59.1,,34,0.1
05/02/2025 15:03,934682,34,79.3,,34,3,99.2,31.1,34,34,70.5,,34,3,99.2,31.2,34,34,51.6,,34,3,99.2,31.2,34,34,46.5,,34,34,43.1,,34,34,67.2,,34,34,69.4,,34,34,102.7,,34,34,86.4,,34,34,83.8,,34,34,76,,34,34,51.6,,34,34,68.5,,34,34,23.4,,34,34,114.4,,34,33.8,203,,33.8,34,207.2,,34,34,122.1,,34,34,138.8,,34,34,90.5,,34,34,72.2,,34,34,46.9,,34,34,45.5,,34,34,73.9,,34,34,61.2,,34,0.3
05/02/2025 15:04,934742,34,79.8,,34,3,99.2,31.1,34,34,71,,34,3,99.2,31.2,34,34,50.7,,34,3,99.2,31.2,34,34,46.8,,34,34,45.3,,34,34,67.1,,34,34,70.6,,34,34,102.4,,34,34,86.3,,34,34,84,,34,34,75.8,,34,34,50.7,,34,34,70.1,,34,34,23,,34,34,118,,34,33.8,203.1,,33.8,34,211.8,,34,34,126.6,,34,34,137.5,,34,34,89,,34,34,70.2,,34,34,47.9,,34,34,45.7,,34,34,74.1,,34,34,62,,34,0.2
