Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
5/02/2025 2:19:46 PM,932037,34.0,80.5,,34.0,3.0,99.2,31.2,34.0,34.0,75.2,,34.0,3.0,99.2,31.2,34.0,34.0,49.5,,34.0,3.0,99.2,31.2,34.0,34.0,47.7,,34.0,34.0,44.7,,34.0,34.0,72.8,,34.0,34.0,72.9,,34.0,34.0,111.2,,34.0,34.0,98.0,,34.0,34.0,93.6,,34.0,34.0,81.9,,34.0,34.0,49.5,,34.0,34.0,73.4,,34.0,34.0,32.4,,34.0,34.0,105.4,,34.0,34.0,197.0,,34.0,34.0,196.0,,34.0,34.0,113.1,,34.0,34.0,114.1,,34.0,34.0,89.5,,34.0,34.0,62.2,,34.0,34.0,46.6,,34.0,34.0,37.8,,34.0,34.0,79.0,,34.0,34.0,62.6,,34.0,0.8,
5/02/2025 2:19:51 PM,932042,34.0,79.6,,34.0,3.0,99.2,31.2,34.0,34.0,75.2,,34.0,3.0,99.2,31.2,34.0,34.0,47.5,,34.0,3.0,99.2,31.2,34.0,34.0,47.7,,34.0,34.0,44.8,,34.0,34.0,71.6,,34.0,34.0,74.0,,34.0,34.0,111.2,,34.0,34.0,98.8,,34.0,34.0,92.4,,34.0,34.0,81.8,,34.0,34.0,47.5,,34.0,34.0,73.9,,34.0,34.0,33.4,,34.0,34.0,108.4,,34.0,34.0,196.7,,34.0,34.0,195.6,,34.0,34.0,116.6,,34.0,34.0,113.0,,34.0,34.0,70.0,,34.0,34.0,61.2,,34.0,34.0,46.6,,34.0,34.0,37.8,,34.0,34.0,78.6,,34.0,34.0,62.6,,34.0,0.8,
5/02/2025 2:20:51 PM,932102,34.0,81.8,,34.0,3.0,99.2,31.2,34.0,34.0,76.4,,34.0,3.0,99.2,31.2,34.0,34.0,48.8,,34.0,3.0,99.2,31.2,34.0,34.0,46.6,,34.0,34.0,44.3,,34.0,34.0,74.8,,34.0,34.0,74.1,,34.0,34.0,113.6,,34.0,34.0,100.8,,34.0,34.0,93.9,,34.0,34.0,83.7,,34.0,34.0,48.8,,34.0,34.0,73.2,,34.0,34.0,36.1,,34.0,34.0,112.4,,34.0,33.9,202.9,,33.9,34.0,200.2,,34.0,34.0,116.2,,34.0,34.0,116.0,,34.0,34.0,87.8,,34.0,34.0,62.2,,34.0,34.0,46.7,,34.0,34.0,38.4,,34.0,34.0,78.2,,34.0,34.0,64.3,,34.0,0.7,
5/02/2025 2:21:51 PM,932162,34.0,83.0,,34.0,3.0,99.2,31.2,34.0,34.0,79.1,,34.0,3.0,99.2,31.2,34.0,34.0,49.9,,34.0,3.0,99.2,31.2,34.0,34.0,49.7,,34.0,34.0,43.8,,34.0,34.0,79.6,,34.0,34.0,76.1,,34.0,34.0,116.3,,34.0,34.0,105.4,,34.0,34.0,94.9,,34.0,34.0,87.0,,34.0,34.0,49.9,,34.0,34.0,72.8,,34.0,34.0,35.0,,34.0,34.0,109.4,,34.0,33.9,202.9,,33.9,34.0,201.6,,34.0,34.0,119.3,,34.0,34.0,117.2,,34.0,34.0,89.9,,34.0,34.0,60.0,,34.0,34.0,47.1,,34.0,34.0,38.1,,34.0,34.0,80.0,,34.0,34.0,62.1,,34.0,0.1,
5/02/2025 2:22:51 PM,932222,34.0,82.3,,34.0,3.0,99.2,31.2,34.0,34.0,77.4,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,34.0,45.0,,34.0,34.0,75.5,,34.0,34.0,74.5,,34.0,34.0,115.5,,34.0,34.0,101.2,,34.0,34.0,93.3,,34.0,34.0,84.0,,34.0,34.0,47.9,,34.0,34.0,74.1,,34.0,34.0,36.2,,34.0,34.0,111.2,,34.0,33.9,202.9,,33.9,34.0,200.4,,34.0,34.0,115.4,,34.0,34.0,118.9,,34.0,34.0,89.0,,34.0,34.0,63.0,,34.0,34.0,47.3,,34.0,34.0,38.0,,34.0,34.0,78.4,,34.0,34.0,64.4,,34.0,0.5,
5/02/2025 2:23:51 PM,932282,34.0,82.5,,34.0,3.0,99.2,31.2,34.0,34.0,77.6,,34.0,3.0,99.2,31.2,34.0,34.0,50.3,,34.0,3.0,99.2,31.2,34.0,34.0,47.6,,34.0,34.0,44.2,,34.0,34.0,76.0,,34.0,34.0,74.7,,34.0,34.0,116.2,,34.0,34.0,102.6,,34.0,34.0,92.4,,34.0,34.0,82.9,,34.0,34.0,50.3,,34.0,34.0,72.9,,34.0,34.0,32.5,,34.0,34.0,112.6,,34.0,33.9,202.9,,33.9,34.0,207.7,,34.0,34.0,118.3,,34.0,34.0,114.9,,34.0,34.0,90.4,,34.0,34.0,62.9,,34.0,34.0,46.8,,34.0,34.0,39.4,,34.0,34.0,79.6,,34.0,34.0,66.4,,34.0,1.1,
5/02/2025 2:24:51 PM,932342,34.0,82.7,,34.0,3.0,99.2,31.2,34.0,34.0,77.7,,34.0,3.0,99.2,31.2,34.0,34.0,47.4,,34.0,3.0,99.2,31.2,34.0,34.0,47.4,,34.0,34.0,44.4,,34.0,34.0,77.9,,34.0,34.0,74.9,,34.0,34.0,114.4,,34.0,34.0,102.4,,34.0,34.0,93.4,,34.0,34.0,83.8,,34.0,34.0,47.4,,34.0,34.0,74.6,,34.0,34.0,35.4,,34.0,34.0,112.9,,34.0,33.9,203.0,,33.9,34.0,207.2,,34.0,34.0,115.4,,34.0,34.0,114.3,,34.0,34.0,88.4,,34.0,34.0,64.6,,34.0,34.0,48.2,,34.0,34.0,37.9,,34.0,34.0,80.5,,34.0,34.0,65.7,,34.0,0.9,
5/02/2025 2:25:51 PM,932402,34.0,81.6,,34.0,3.0,99.2,31.2,34.0,34.0,74.6,,34.0,3.0,99.2,31.2,34.0,34.0,49.2,,34.0,3.0,99.2,31.2,34.0,34.0,46.5,,34.0,34.0,44.5,,34.0,34.0,74.2,,34.0,34.0,73.3,,34.0,34.0,107.6,,34.0,34.0,102.2,,34.0,34.0,92.2,,34.0,34.0,82.5,,34.0,34.0,49.2,,34.0,34.0,74.3,,34.0,34.0,34.9,,34.0,34.0,110.1,,34.0,34.0,202.8,,34.0,34.0,199.5,,34.0,34.0,118.9,,34.0,34.0,116.9,,34.0,34.0,89.1,,34.0,34.0,63.0,,34.0,34.0,49.5,,34.0,34.0,39.3,,34.0,34.0,77.7,,34.0,34.0,64.1,,34.0,0.3,
5/02/2025 2:26:51 PM,932462,34.0,81.7,,34.0,3.0,99.2,31.2,34.0,34.0,76.0,,34.0,3.0,99.2,31.2,34.0,34.0,48.8,,34.0,3.0,99.2,31.2,34.0,34.0,46.9,,34.0,34.0,43.4,,34.0,34.0,74.5,,34.0,34.0,73.5,,34.0,34.0,113.3,,34.0,34.0,102.0,,34.0,34.0,94.3,,34.0,34.0,81.8,,34.0,34.0,48.8,,34.0,34.0,72.5,,34.0,34.0,34.1,,34.0,34.0,107.2,,34.0,33.9,202.8,,33.9,34.0,209.2,,34.0,34.0,119.6,,34.0,34.0,117.1,,34.0,34.0,89.8,,34.0,34.0,61.1,,34.0,34.0,46.6,,34.0,34.0,38.1,,34.0,34.0,77.3,,34.0,34.0,64.0,,34.0,0.3,
