Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
7/02/2025 5:15:34 PM,1115382,34.0,59.2,,34.0,3.0,99.2,31.2,34.0,34.0,59.1,,34.0,3.0,99.2,31.2,34.0,34.0,33.0,,34.0,3.0,99.2,31.2,34.0,34.0,46.4,,34.0,34.0,46.0,,34.0,34.0,69.3,,34.0,34.0,69.3,,34.0,34.0,51.0,,34.0,34.0,60.8,,34.0,34.0,68.1,,34.0,34.0,73.7,,34.0,34.0,33.0,,34.0,34.0,51.6,,34.0,34.0,35.0,,34.0,34.0,98.9,,34.0,34.0,88.5,,34.0,34.0,100.1,,34.0,34.0,59.9,,34.0,34.0,82.7,,34.0,34.0,66.3,,34.0,34.0,58.6,,34.0,34.0,35.7,,34.0,34.0,34.4,,34.0,34.0,59.1,,34.0,34.0,49.8,,34.0,0.6,
7/02/2025 5:15:55 PM,1115402,34.0,59.8,,34.0,3.0,99.2,31.2,34.0,34.0,59.5,,34.0,3.0,99.2,31.2,34.0,34.0,31.1,,34.0,3.0,99.2,31.2,34.0,34.0,48.1,,34.0,34.0,47.9,,34.0,34.0,68.6,,34.0,34.0,69.3,,34.0,34.0,51.1,,34.0,34.0,59.5,,34.0,34.0,68.2,,34.0,34.0,69.8,,34.0,34.0,31.1,,34.0,34.0,53.3,,34.0,34.0,34.7,,34.0,34.0,100.3,,34.0,34.0,95.8,,34.0,34.0,103.7,,34.0,34.0,64.4,,34.0,34.0,81.0,,34.0,34.0,68.2,,34.0,34.0,59.9,,34.0,34.0,36.6,,34.0,34.0,34.9,,34.0,34.0,59.2,,34.0,34.0,51.9,,34.0,0.2,
7/02/2025 5:16:54 PM,1115462,34.0,60.7,,34.0,3.0,99.2,31.2,34.0,34.0,60.0,,34.0,3.0,99.2,31.2,34.0,34.0,34.2,,34.0,3.0,99.2,31.2,34.0,34.0,46.3,,34.0,34.0,46.7,,34.0,34.0,70.1,,34.0,34.0,70.8,,34.0,34.0,51.9,,34.0,34.0,61.0,,34.0,34.0,66.6,,34.0,34.0,72.7,,34.0,34.0,34.2,,34.0,34.0,54.6,,34.0,34.0,36.7,,34.0,34.0,107.1,,34.0,34.0,82.4,,34.0,34.0,94.3,,34.0,34.0,67.2,,34.0,34.0,82.5,,34.0,34.0,70.8,,34.0,34.0,59.9,,34.0,34.0,39.1,,34.0,34.0,36.0,,34.0,34.0,62.5,,34.0,34.0,53.3,,34.0,0.3,
7/02/2025 5:17:54 PM,1115522,34.0,60.4,,34.0,3.0,99.2,31.2,34.0,34.0,59.3,,34.0,3.0,99.2,31.2,34.0,34.0,32.0,,34.0,3.0,99.2,31.2,34.0,34.0,47.3,,34.0,34.0,46.7,,34.0,34.0,67.8,,34.0,34.0,69.8,,34.0,34.0,52.0,,34.0,34.0,59.9,,34.0,34.0,66.4,,34.0,34.0,70.5,,34.0,34.0,32.0,,34.0,34.0,52.4,,34.0,34.0,38.7,,34.0,34.0,111.0,,34.0,34.0,85.4,,34.0,34.0,100.1,,34.0,34.0,64.5,,34.0,34.0,78.1,,34.0,34.0,68.5,,34.0,34.0,60.2,,34.0,34.0,37.7,,34.0,34.0,36.1,,34.0,34.0,65.3,,34.0,34.0,55.6,,34.0,0.2,
7/02/2025 5:18:54 PM,1115582,34.0,60.0,,34.0,3.0,99.2,31.2,34.0,34.0,58.6,,34.0,3.0,99.2,31.2,34.0,34.0,32.5,,34.0,3.0,99.2,31.2,34.0,34.0,46.7,,34.0,34.0,45.4,,34.0,34.0,66.6,,34.0,34.0,68.6,,34.0,34.0,52.3,,34.0,34.0,60.7,,34.0,34.0,65.7,,34.0,34.0,69.2,,34.0,34.0,32.5,,34.0,34.0,53.1,,34.0,34.0,38.4,,34.0,34.0,107.6,,34.0,34.0,89.1,,34.0,34.0,102.1,,34.0,34.0,64.5,,34.0,34.0,82.6,,34.0,34.0,68.1,,34.0,34.0,60.1,,34.0,34.0,36.6,,34.0,34.0,35.7,,34.0,34.0,61.8,,34.0,34.0,53.9,,34.0,0.2,
7/02/2025 5:19:55 PM,1115642,34.0,61.0,,34.0,3.0,99.2,31.2,34.0,34.0,59.9,,34.0,3.0,99.2,31.2,34.0,34.0,35.6,,34.0,3.0,99.2,31.2,34.0,34.0,46.2,,34.0,34.0,46.0,,34.0,34.0,70.0,,34.0,34.0,70.5,,34.0,34.0,52.3,,34.0,34.0,61.9,,34.0,34.0,66.5,,34.0,34.0,71.5,,34.0,34.0,35.6,,34.0,34.0,54.7,,34.0,34.0,36.8,,34.0,34.0,106.5,,34.0,34.0,86.8,,34.0,34.0,104.7,,34.0,34.0,64.6,,34.0,34.0,84.7,,34.0,34.0,69.6,,34.0,34.0,60.6,,34.0,34.0,38.0,,34.0,34.0,36.0,,34.0,34.0,63.3,,34.0,34.0,54.5,,34.0,0.5,
7/02/2025 5:20:54 PM,1115702,34.0,60.6,,34.0,3.0,99.2,31.2,34.0,34.0,59.4,,34.0,3.0,99.2,31.2,34.0,34.0,32.6,,34.0,3.0,99.2,31.2,34.0,34.0,47.2,,34.0,34.0,45.9,,34.0,34.0,66.6,,34.0,34.0,70.6,,34.0,34.0,53.0,,34.0,34.0,62.5,,34.0,34.0,68.3,,34.0,34.0,70.8,,34.0,34.0,32.6,,34.0,34.0,51.8,,34.0,34.0,36.9,,34.0,34.0,108.8,,34.0,34.0,84.2,,34.0,34.0,103.2,,34.0,34.0,63.4,,34.0,34.0,84.8,,34.0,34.0,70.7,,34.0,34.0,60.0,,34.0,34.0,37.2,,34.0,34.0,35.3,,34.0,34.0,63.9,,34.0,34.0,54.1,,34.0,0.2,
7/02/2025 5:21:54 PM,1115762,34.0,61.5,,34.0,3.0,99.2,31.2,34.0,34.0,60.8,,34.0,3.0,99.2,31.2,34.0,34.0,31.2,,34.0,3.0,99.2,31.2,34.0,34.0,46.8,,34.0,34.0,46.2,,34.0,34.0,69.6,,34.0,34.0,73.0,,34.0,34.0,53.4,,34.0,34.0,62.6,,34.0,34.0,67.8,,34.0,34.0,73.6,,34.0,34.0,31.2,,34.0,34.0,54.0,,34.0,34.0,37.7,,34.0,34.0,111.7,,34.0,34.0,89.6,,34.0,34.0,104.9,,34.0,34.0,60.6,,34.0,34.0,83.8,,34.0,34.0,67.8,,34.0,34.0,61.2,,34.0,34.0,37.9,,34.0,34.0,36.2,,34.0,34.0,64.0,,34.0,34.0,56.4,,34.0,0.2,
7/02/2025 5:22:54 PM,1115822,34.0,61.1,,34.0,3.0,99.2,31.2,34.0,34.0,59.6,,34.0,3.0,99.2,31.2,34.0,34.0,30.8,,34.0,3.0,99.2,31.2,34.0,34.0,46.3,,34.0,34.0,45.5,,34.0,34.0,68.8,,34.0,34.0,68.9,,34.0,34.0,53.9,,34.0,34.0,61.0,,34.0,34.0,69.1,,34.0,34.0,70.2,,34.0,34.0,30.8,,34.0,34.0,53.5,,34.0,34.0,39.0,,34.0,34.0,112.8,,34.0,34.0,93.2,,34.0,34.0,104.6,,34.0,34.0,65.6,,34.0,34.0,81.1,,34.0,34.0,69.2,,34.0,34.0,59.9,,34.0,34.0,38.4,,34.0,34.0,35.3,,34.0,34.0,64.5,,34.0,34.0,54.3,,34.0,0.2,
7/02/2025 5:23:55 PM,1115882,34.0,60.9,,34.0,3.0,99.2,31.2,34.0,34.0,60.2,,34.0,3.0,99.2,31.2,34.0,34.0,32.9,,34.0,3.0,99.2,31.2,34.0,34.0,48.1,,34.0,34.0,48.0,,34.0,34.0,68.0,,34.0,34.0,70.1,,34.0,34.0,53.9,,34.0,34.0,60.8,,34.0,34.0,67.6,,34.0,34.0,70.2,,34.0,34.0,32.9,,34.0,34.0,51.5,,34.0,34.0,36.7,,34.0,34.0,108.8,,34.0,34.0,96.5,,34.0,34.0,105.8,,34.0,34.0,60.9,,34.0,34.0,85.3,,34.0,34.0,69.7,,34.0,34.0,59.4,,34.0,34.0,37.7,,34.0,34.0,37.4,,34.0,34.0,62.4,,34.0,34.0,54.4,,34.0,0.2,
7/02/2025 5:24:54 PM,1115942,34.0,60.9,,34.0,3.0,99.2,31.2,34.0,34.0,60.1,,34.0,3.0,99.2,31.2,34.0,34.0,32.9,,34.0,3.0,99.2,31.2,34.0,34.0,47.4,,34.0,34.0,47.3,,34.0,34.0,67.6,,34.0,34.0,70.8,,34.0,34.0,53.9,,34.0,34.0,61.2,,34.0,34.0,67.0,,34.0,34.0,69.6,,34.0,34.0,32.9,,34.0,34.0,51.1,,34.0,34.0,37.5,,34.0,34.0,110.9,,34.0,34.0,95.4,,34.0,34.0,105.2,,34.0,34.0,60.8,,34.0,34.0,86.3,,34.0,34.0,68.4,,34.0,34.0,60.2,,34.0,34.0,37.4,,34.0,34.0,35.9,,34.0,34.0,65.0,,34.0,34.0,54.2,,34.0,0.2,
7/02/2025 5:25:54 PM,1116002,34.0,60.3,,34.0,3.0,99.2,31.2,34.0,34.0,59.7,,34.0,3.0,99.2,31.2,34.0,34.0,31.9,,34.0,3.0,99.2,31.2,34.0,34.0,45.9,,34.0,34.0,46.6,,34.0,34.0,67.0,,34.0,34.0,71.0,,34.0,34.0,53.9,,34.0,34.0,61.4,,34.0,34.0,67.3,,34.0,34.0,71.6,,34.0,34.0,31.9,,34.0,34.0,53.5,,34.0,34.0,37.0,,34.0,34.0,109.8,,34.0,34.0,84.6,,34.0,34.0,103.5,,34.0,34.0,60.0,,34.0,34.0,81.3,,34.0,34.0,67.2,,34.0,34.0,59.4,,34.0,34.0,37.8,,34.0,34.0,35.0,,34.0,34.0,62.4,,34.0,34.0,54.1,,34.0,0.6,
