Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
7/02/2025 5:02:19 PM,1114587,34.0,56.4,,34.0,3.0,99.2,31.2,34.0,34.0,57.3,,34.0,3.0,99.2,31.2,34.0,34.0,29.9,,34.0,3.0,99.2,31.2,34.0,34.0,45.9,,34.0,34.0,45.4,,34.0,34.0,65.9,,34.0,34.0,68.5,,34.0,34.0,48.1,,34.0,34.0,53.7,,34.0,34.0,70.5,,34.0,34.0,72.4,,34.0,34.0,29.9,,34.0,34.0,53.9,,34.0,34.0,33.5,,34.0,34.0,94.1,,34.0,34.0,80.7,,34.0,34.0,87.9,,34.0,34.0,55.5,,34.0,34.0,73.6,,34.0,34.0,60.0,,34.0,34.0,56.1,,34.0,34.0,32.5,,34.0,34.0,33.4,,34.0,34.0,52.4,,34.0,34.0,48.9,,34.0,0.6,
7/02/2025 5:02:54 PM,1114622,34.0,57.8,,34.0,3.0,99.2,31.2,34.0,34.0,57.9,,34.0,3.0,99.2,31.2,34.0,34.0,31.3,,34.0,3.0,99.2,31.2,34.0,34.0,45.4,,34.0,34.0,45.8,,34.0,34.0,69.0,,34.0,34.0,68.0,,34.0,34.0,48.1,,34.0,34.0,56.0,,34.0,34.0,67.8,,34.0,34.0,70.8,,34.0,34.0,31.3,,34.0,34.0,52.9,,34.0,34.0,36.9,,34.0,34.0,101.4,,34.0,34.0,82.9,,34.0,34.0,93.3,,34.0,34.0,58.7,,34.0,34.0,74.9,,34.0,34.0,63.3,,34.0,34.0,57.8,,34.0,34.0,33.2,,34.0,34.0,31.7,,34.0,34.0,59.7,,34.0,34.0,50.8,,34.0,0.5,
7/02/2025 5:03:54 PM,1114682,34.0,57.5,,34.0,3.0,99.2,31.2,34.0,34.0,57.7,,34.0,3.0,99.2,31.2,34.0,34.0,31.8,,34.0,3.0,99.2,31.2,34.0,34.0,46.2,,34.0,34.0,45.5,,34.0,34.0,66.8,,34.0,34.0,69.1,,34.0,34.0,48.1,,34.0,34.0,55.7,,34.0,34.0,68.5,,34.0,34.0,73.2,,34.0,34.0,31.8,,34.0,34.0,53.2,,34.0,34.0,34.7,,34.0,34.0,95.3,,34.0,34.0,88.7,,34.0,34.0,92.6,,34.0,34.0,55.2,,34.0,34.0,74.5,,34.0,34.0,65.7,,34.0,34.0,56.9,,34.0,34.0,33.4,,34.0,34.0,33.5,,34.0,34.0,56.5,,34.0,34.0,49.3,,34.0,0.3,
7/02/2025 5:04:54 PM,1114742,34.0,58.3,,34.0,3.0,99.2,31.2,34.0,34.0,57.9,,34.0,3.0,99.2,31.2,34.0,34.0,31.2,,34.0,3.0,99.2,31.2,34.0,34.0,46.3,,34.0,34.0,45.1,,34.0,34.0,67.0,,34.0,34.0,69.0,,34.0,34.0,48.9,,34.0,34.0,56.6,,34.0,34.0,69.9,,34.0,34.0,72.3,,34.0,34.0,31.2,,34.0,34.0,51.7,,34.0,34.0,36.2,,34.0,34.0,101.1,,34.0,34.0,87.1,,34.0,34.0,97.3,,34.0,34.0,55.1,,34.0,34.0,78.1,,34.0,34.0,65.2,,34.0,34.0,58.3,,34.0,34.0,34.3,,34.0,34.0,34.8,,34.0,34.0,59.1,,34.0,34.0,50.7,,34.0,0.2,
7/02/2025 5:05:54 PM,1114802,34.0,58.3,,34.0,3.0,99.2,31.2,34.0,34.0,58.2,,34.0,3.0,99.2,31.2,34.0,34.0,33.0,,34.0,3.0,99.2,31.2,34.0,34.0,46.8,,34.0,34.0,45.3,,34.0,34.0,67.6,,34.0,34.0,68.7,,34.0,34.0,49.4,,34.0,34.0,57.6,,34.0,34.0,66.6,,34.0,34.0,70.4,,34.0,34.0,33.0,,34.0,34.0,53.1,,34.0,34.0,36.8,,34.0,34.0,102.5,,34.0,34.0,74.3,,34.0,34.0,92.4,,34.0,34.0,60.7,,34.0,34.0,75.3,,34.0,34.0,66.3,,34.0,34.0,58.8,,34.0,34.0,36.5,,34.0,34.0,35.7,,34.0,34.0,59.7,,34.0,34.0,50.7,,34.0,0.3,
7/02/2025 5:06:54 PM,1114862,34.0,59.1,,34.0,3.0,99.2,31.2,34.0,34.0,59.3,,34.0,3.0,99.2,31.2,34.0,34.0,31.9,,34.0,3.0,99.2,31.2,34.0,34.0,47.4,,34.0,34.0,45.4,,34.0,34.0,67.9,,34.0,34.0,71.8,,34.0,34.0,50.0,,34.0,34.0,58.8,,34.0,34.0,68.4,,34.0,34.0,72.3,,34.0,34.0,31.9,,34.0,34.0,54.2,,34.0,34.0,38.0,,34.0,34.0,102.8,,34.0,34.0,79.4,,34.0,34.0,93.7,,34.0,34.0,61.0,,34.0,34.0,75.9,,34.0,34.0,64.7,,34.0,34.0,58.6,,34.0,34.0,36.5,,34.0,34.0,35.4,,34.0,34.0,61.5,,34.0,34.0,51.8,,34.0,0.2,
7/02/2025 5:07:54 PM,1114922,34.0,58.6,,34.0,3.0,99.2,31.2,34.0,34.0,57.9,,34.0,3.0,99.2,31.2,34.0,34.0,31.5,,34.0,3.0,99.2,31.2,34.0,34.0,46.2,,34.0,34.0,46.4,,34.0,34.0,66.2,,34.0,34.0,68.2,,34.0,34.0,50.0,,34.0,34.0,57.6,,34.0,34.0,67.7,,34.0,34.0,69.2,,34.0,34.0,31.5,,34.0,34.0,51.8,,34.0,34.0,36.3,,34.0,34.0,103.3,,34.0,34.0,85.8,,34.0,34.0,101.4,,34.0,34.0,56.5,,34.0,34.0,81.2,,34.0,34.0,65.9,,34.0,34.0,58.4,,34.0,34.0,35.7,,34.0,34.0,35.8,,34.0,34.0,57.9,,34.0,34.0,53.2,,34.0,0.3,
7/02/2025 5:08:54 PM,1114982,34.0,58.9,,34.0,3.0,99.2,31.2,34.0,34.0,59.3,,34.0,3.0,99.2,31.2,34.0,34.0,32.2,,34.0,3.0,99.2,31.2,34.0,34.0,47.3,,34.0,34.0,47.2,,34.0,34.0,68.7,,34.0,34.0,70.0,,34.0,34.0,50.4,,34.0,34.0,59.2,,34.0,34.0,69.0,,34.0,34.0,72.0,,34.0,34.0,32.2,,34.0,34.0,53.3,,34.0,34.0,33.8,,34.0,34.0,98.3,,34.0,34.0,84.5,,34.0,34.0,100.3,,34.0,34.0,58.6,,34.0,34.0,78.4,,34.0,34.0,64.9,,34.0,34.0,58.9,,34.0,34.0,35.5,,34.0,34.0,34.6,,34.0,34.0,60.6,,34.0,34.0,50.0,,34.0,0.0,
7/02/2025 5:09:54 PM,1115042,34.0,59.2,,34.0,3.0,99.2,31.2,34.0,34.0,59.0,,34.0,3.0,99.2,31.2,34.0,34.0,32.2,,34.0,3.0,99.2,31.2,34.0,34.0,46.8,,34.0,34.0,45.4,,34.0,34.0,66.7,,34.0,34.0,71.4,,34.0,34.0,50.9,,34.0,34.0,59.6,,34.0,34.0,68.9,,34.0,34.0,71.8,,34.0,34.0,32.2,,34.0,34.0,53.6,,34.0,34.0,35.9,,34.0,34.0,103.6,,34.0,34.0,83.0,,34.0,34.0,96.9,,34.0,34.0,63.1,,34.0,34.0,74.9,,34.0,34.0,65.7,,34.0,34.0,58.6,,34.0,34.0,36.3,,34.0,34.0,35.1,,34.0,34.0,59.9,,34.0,34.0,52.0,,34.0,0.1,
