Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
7/02/2025 4:12:49 PM,1111617,34.0,44.3,,34.0,3.0,99.3,31.2,34.0,34.0,57.5,,34.0,3.0,99.2,31.2,34.0,34.0,29.2,,34.0,3.0,99.2,31.2,34.0,34.0,45.8,,34.0,34.0,46.5,,34.0,34.0,68.6,,34.0,34.0,70.0,,34.0,34.0,43.9,,34.0,34.0,50.2,,34.0,34.0,68.1,,34.0,34.0,70.7,,34.0,34.0,29.2,,34.0,34.0,54.9,,34.0,34.0,17.1,,34.0,34.0,47.8,,34.0,34.3,0.0,,34.3,34.0,0.0,,34.0,34.0,33.9,,34.0,34.7,0.0,,34.7,34.0,47.9,,34.0,34.0,56.9,,34.0,34.0,26.1,,34.0,34.0,32.7,,34.0,34.0,35.0,,34.0,34.0,37.5,,34.0,0.1,
7/02/2025 4:12:54 PM,1111622,34.0,44.2,,34.0,3.0,99.3,31.2,34.0,34.0,57.3,,34.0,3.0,99.2,31.2,34.0,34.0,32.2,,34.0,3.0,99.2,31.2,34.0,34.0,46.6,,34.0,34.0,46.5,,34.0,34.0,68.8,,34.0,34.0,68.9,,34.0,34.0,43.9,,34.0,34.0,50.8,,34.0,34.0,69.2,,34.0,34.0,70.4,,34.0,34.0,32.2,,34.0,34.0,51.6,,34.0,34.0,18.8,,34.0,34.0,48.5,,34.0,34.3,0.0,,34.3,34.0,0.0,,34.0,34.0,31.4,,34.0,34.7,0.0,,34.7,34.0,46.9,,34.0,34.0,56.5,,34.0,34.0,26.5,,34.0,34.0,31.3,,34.0,34.0,35.2,,34.0,34.0,37.5,,34.0,0.1,
7/02/2025 4:13:54 PM,1111682,34.0,44.5,,34.0,3.0,99.3,31.2,34.0,34.0,56.9,,34.0,3.0,99.2,31.2,34.0,34.0,28.8,,34.0,3.0,99.2,31.2,34.0,34.0,46.6,,34.0,34.0,45.3,,34.0,34.0,65.5,,34.0,34.0,70.9,,34.0,34.0,43.9,,34.0,34.0,50.5,,34.0,34.0,68.1,,34.0,34.0,72.2,,34.0,34.0,28.8,,34.0,34.0,57.0,,34.0,34.0,18.7,,34.0,34.0,48.1,,34.0,34.3,0.0,,34.3,34.0,0.0,,34.0,34.0,34.8,,34.0,34.7,0.0,,34.7,34.0,47.2,,34.0,34.0,57.0,,34.0,34.0,25.7,,34.0,34.0,32.3,,34.0,34.0,33.8,,34.0,34.0,38.5,,34.0,0.6,
7/02/2025 4:14:54 PM,1111742,34.0,45.0,,34.0,3.0,99.3,31.2,34.0,34.0,57.8,,34.0,3.0,99.2,31.2,34.0,34.0,29.5,,34.0,3.0,99.2,31.2,34.0,34.0,45.5,,34.0,34.0,45.6,,34.0,34.0,69.9,,34.0,34.0,70.6,,34.0,34.0,43.9,,34.0,34.0,53.0,,34.0,34.0,70.7,,34.0,34.0,73.5,,34.0,34.0,29.5,,34.0,34.0,53.6,,34.0,34.0,19.4,,34.0,34.0,45.7,,34.0,34.2,0.0,,34.2,34.0,4.8,,34.0,34.0,31.4,,34.0,34.7,0.0,,34.7,34.0,47.5,,34.0,34.0,56.6,,34.0,34.0,27.5,,34.0,34.0,30.9,,34.0,34.0,37.3,,34.0,34.0,39.1,,34.0,0.0,
7/02/2025 4:15:54 PM,1111802,34.0,45.5,,34.0,3.0,99.3,31.2,34.0,34.0,57.4,,34.0,3.0,99.2,31.2,34.0,34.0,29.9,,34.0,3.0,99.2,31.2,34.0,34.0,48.1,,34.0,34.0,46.6,,34.0,34.0,67.7,,34.0,34.0,69.4,,34.0,34.0,43.9,,34.0,34.0,51.6,,34.0,34.0,70.4,,34.0,34.0,74.2,,34.0,34.0,29.9,,34.0,34.0,59.0,,34.0,34.0,19.1,,34.0,34.0,47.1,,34.0,34.1,0.0,,34.1,34.0,13.5,,34.0,34.0,34.6,,34.0,34.7,0.0,,34.7,34.0,46.3,,34.0,34.0,56.9,,34.0,34.0,26.1,,34.0,34.0,31.9,,34.0,34.0,34.6,,34.0,34.0,40.9,,34.0,0.3,
7/02/2025 4:16:54 PM,1111862,34.0,44.3,,34.0,3.0,99.3,31.2,34.0,34.0,56.5,,34.0,3.0,99.2,31.2,34.0,34.0,31.1,,34.0,3.0,99.2,31.2,34.0,34.0,45.5,,34.0,34.0,46.4,,34.0,34.0,67.6,,34.0,34.0,67.3,,34.0,34.0,43.9,,34.0,34.0,50.8,,34.0,34.0,71.1,,34.0,34.0,72.4,,34.0,34.0,31.1,,34.0,34.0,55.8,,34.0,34.0,17.7,,34.0,34.0,47.3,,34.0,34.2,0.0,,34.2,34.0,0.0,,34.0,34.0,31.5,,34.0,34.7,0.0,,34.8,34.0,45.5,,34.0,34.0,56.6,,34.0,34.0,26.4,,34.0,34.0,30.9,,34.0,34.0,35.2,,34.0,34.0,37.4,,34.0,0.8,
7/02/2025 4:17:54 PM,1111922,34.0,44.8,,34.0,3.0,99.3,31.2,34.0,34.0,57.3,,34.0,3.0,99.2,31.2,34.0,34.0,28.5,,34.0,3.0,99.2,31.2,34.0,34.0,45.5,,34.0,34.0,45.4,,34.0,34.0,67.6,,34.0,34.0,71.2,,34.0,34.0,43.9,,34.0,34.0,51.0,,34.0,34.0,69.6,,34.0,34.0,72.1,,34.0,34.0,28.5,,34.0,34.0,55.2,,34.0,34.0,18.6,,34.0,34.0,50.2,,34.0,34.1,0.0,,34.1,34.0,7.0,,34.0,34.0,35.5,,34.0,34.8,0.0,,34.8,34.0,46.6,,34.0,34.0,58.4,,34.0,34.0,26.4,,34.0,34.0,31.4,,34.0,34.0,33.7,,34.0,34.0,38.2,,34.0,0.2,
7/02/2025 4:18:54 PM,1111982,34.0,44.7,,34.0,3.0,99.3,31.2,34.0,34.0,57.4,,34.0,3.0,99.2,31.2,34.0,34.0,29.8,,34.0,3.0,99.2,31.2,34.0,34.0,46.8,,34.0,34.0,45.3,,34.0,34.0,66.7,,34.0,34.0,71.6,,34.0,34.0,43.9,,34.0,34.0,50.6,,34.0,34.0,69.5,,34.0,34.0,71.9,,34.0,34.0,29.8,,34.0,34.0,56.2,,34.0,34.0,18.5,,34.0,34.0,47.6,,34.0,34.1,0.0,,34.1,34.0,11.8,,34.0,34.0,31.9,,34.0,34.8,0.0,,34.8,34.0,46.9,,34.0,34.0,56.0,,34.0,34.0,26.2,,34.0,34.0,31.3,,34.0,34.0,34.2,,34.0,34.0,38.2,,34.0,0.4,
7/02/2025 4:19:54 PM,1112042,34.0,44.0,,34.0,3.0,99.3,31.2,34.0,34.0,56.9,,34.0,3.0,99.2,31.2,34.0,34.0,28.9,,34.0,3.0,99.2,31.2,34.0,34.0,46.3,,34.0,34.0,45.9,,34.0,34.0,67.9,,34.0,34.0,69.7,,34.0,34.0,42.7,,34.0,34.0,50.2,,34.0,34.0,68.0,,34.0,34.0,71.7,,34.0,34.0,28.9,,34.0,34.0,56.8,,34.0,34.0,18.8,,34.0,34.0,47.5,,34.0,34.3,0.0,,34.3,34.0,0.0,,34.0,34.0,23.0,,34.0,34.8,0.0,,34.8,34.0,46.0,,34.0,34.0,58.6,,34.0,34.0,24.7,,34.0,34.0,30.7,,34.0,34.0,34.9,,34.0,34.0,39.0,,34.0,0.5,
