Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
10/02/2025 1:48:54 PM,1362177,34.1,38.6,,34.1,3.1,99.4,31.3,34.1,34.4,13.2,,34.4,3.3,99.8,31.6,34.4,34.0,24.6,,34.0,3.0,99.2,31.2,34.0,34.0,8.9,,34.0,34.0,4.6,,34.0,34.6,0.0,,34.6,34.9,0.0,,34.9,34.0,48.9,,34.0,34.0,45.1,,34.0,34.0,54.1,,34.0,34.0,57.1,,34.0,34.0,24.6,,34.0,34.0,53.7,,34.0,34.0,17.9,,34.0,34.0,48.0,,34.0,34.0,95.9,,34.0,34.0,84.9,,34.0,34.0,62.6,,34.0,34.0,73.0,,34.0,34.0,46.8,,34.0,34.0,49.7,,34.0,34.0,26.3,,34.0,34.0,28.6,,34.0,34.0,38.4,,34.0,34.0,35.9,,34.0,0.2,
10/02/2025 1:48:59 PM,1362182,34.1,38.4,,34.1,3.1,99.4,31.3,34.1,34.4,13.1,,34.4,3.3,99.8,31.6,34.4,34.0,23.4,,34.0,3.0,99.2,31.2,34.0,34.0,8.5,,34.0,34.0,4.2,,34.0,34.6,0.0,,34.6,34.9,0.0,,34.9,34.0,48.9,,34.0,34.0,45.3,,34.0,34.0,54.3,,34.0,34.0,56.6,,34.0,34.0,23.4,,34.0,34.0,52.7,,34.0,34.0,17.9,,34.0,34.0,48.6,,34.0,34.0,96.6,,34.0,34.0,81.5,,34.0,34.0,63.3,,34.0,34.0,71.8,,34.0,34.0,46.9,,34.0,34.0,49.2,,34.0,34.0,25.8,,34.0,34.0,28.7,,34.0,34.0,38.5,,34.0,34.0,36.4,,34.0,0.2,
10/02/2025 1:49:59 PM,1362242,34.1,39.2,,34.1,3.1,99.4,31.3,34.1,34.3,14.5,,34.3,3.2,99.7,31.6,34.3,34.0,25.0,,34.0,3.0,99.2,31.2,34.0,34.0,12.3,,34.0,34.0,11.4,,34.0,34.4,0.0,,34.5,34.8,0.0,,34.8,34.0,48.7,,34.0,34.0,48.5,,34.0,34.0,55.2,,34.0,34.0,58.0,,34.0,34.0,25.0,,34.0,34.0,53.6,,34.0,34.0,17.5,,34.0,34.0,47.4,,34.0,34.0,89.7,,34.0,34.0,90.1,,34.0,34.0,61.9,,34.0,34.0,74.3,,34.0,34.0,48.1,,34.0,34.0,49.9,,34.0,34.0,25.9,,34.0,34.0,28.0,,34.0,34.0,36.5,,34.0,34.0,37.0,,34.0,0.3,
10/02/2025 1:50:59 PM,1362302,34.0,40.0,,34.0,3.0,99.2,31.2,34.0,34.0,17.7,,34.1,3.1,99.4,31.2,34.1,34.0,27.8,,34.0,3.0,99.2,31.2,34.0,34.0,25.6,,34.0,34.0,23.7,,34.0,33.9,0.0,,33.9,34.3,0.0,,34.3,34.0,48.7,,34.0,34.0,48.8,,34.0,34.0,58.1,,34.0,34.0,61.0,,34.0,34.0,27.8,,34.0,34.0,56.3,,34.0,34.0,18.2,,34.0,34.0,46.6,,34.0,34.0,81.9,,34.0,34.0,81.3,,34.0,34.0,57.5,,34.0,34.0,72.7,,34.0,34.0,47.1,,34.0,34.0,48.6,,34.0,34.0,26.8,,34.0,34.0,27.4,,34.0,34.0,37.4,,34.0,34.0,36.8,,34.0,0.1,
10/02/2025 1:51:59 PM,1362362,34.0,42.6,,34.0,3.0,99.1,31.1,34.0,33.8,26.4,,33.8,2.9,98.7,30.9,33.8,34.0,30.0,,34.0,3.0,99.2,31.2,34.0,34.0,34.2,,34.0,34.0,27.8,,34.0,33.5,26.8,,33.5,33.8,0.0,,33.9,34.0,49.7,,34.0,34.0,51.2,,34.0,34.0,62.4,,34.0,34.0,62.0,,34.0,34.0,30.0,,34.0,34.0,53.4,,34.0,34.0,17.6,,34.0,34.0,47.4,,34.0,34.0,82.2,,34.0,34.0,80.0,,34.0,34.0,60.6,,34.0,34.0,68.4,,34.0,34.0,48.6,,34.0,34.0,50.4,,34.0,34.0,26.0,,34.0,34.0,28.8,,34.0,34.0,39.9,,34.0,34.0,36.6,,34.0,0.7,
10/02/2025 1:52:59 PM,1362422,34.0,48.9,,34.0,3.0,99.1,31.1,34.0,33.9,49.3,,33.9,2.9,98.8,31.0,33.9,34.0,28.4,,34.0,3.0,99.2,31.2,34.0,34.0,37.8,,34.0,34.0,33.1,,34.0,34.0,66.9,,34.0,33.5,43.3,,33.5,34.0,51.8,,34.0,34.0,53.1,,34.0,34.0,65.2,,34.0,34.0,63.0,,34.0,34.0,28.4,,34.0,34.0,54.0,,34.0,34.0,18.0,,34.0,34.0,47.0,,34.0,34.0,85.9,,34.0,34.0,91.2,,34.0,34.0,60.9,,34.0,34.0,75.9,,34.0,34.0,47.5,,34.0,34.0,50.3,,34.0,34.0,25.9,,34.0,34.0,27.5,,34.0,34.0,37.4,,34.0,34.0,36.3,,34.0,1.5,
10/02/2025 1:53:59 PM,1362482,34.0,49.9,,34.0,3.0,99.2,31.2,34.0,34.0,52.1,,34.0,3.0,99.2,31.1,34.0,34.0,27.1,,34.0,3.0,99.2,31.2,34.0,34.0,37.2,,34.0,34.0,32.4,,34.0,34.0,58.3,,34.0,34.0,62.4,,34.0,34.0,52.5,,34.0,34.0,53.7,,34.0,34.0,64.8,,34.0,34.0,62.7,,34.0,34.0,27.1,,34.0,34.0,53.7,,34.0,34.0,18.0,,34.0,34.0,51.4,,34.0,34.0,91.0,,34.0,34.0,89.0,,34.0,34.0,62.6,,34.0,34.0,77.6,,34.0,34.0,45.9,,34.0,34.0,51.1,,34.0,34.0,26.9,,34.0,34.0,28.8,,34.0,34.0,37.6,,34.0,34.0,37.5,,34.0,0.2,
10/02/2025 1:54:59 PM,1362542,34.0,43.6,,34.0,3.0,99.2,31.2,34.0,34.0,51.1,,34.0,3.0,99.2,31.2,34.0,34.0,28.9,,34.0,3.0,99.2,31.2,34.0,34.0,37.4,,34.0,34.0,32.3,,34.0,34.0,58.9,,34.0,34.0,57.4,,34.0,34.0,53.0,,34.0,34.0,51.0,,34.0,34.0,63.9,,34.0,34.0,64.5,,34.0,34.0,28.9,,34.0,34.0,29.3,,34.0,34.0,13.7,,34.0,34.0,51.6,,34.0,34.0,82.2,,34.0,34.0,82.6,,34.0,34.0,58.9,,34.0,34.0,65.0,,34.0,34.0,43.1,,34.0,34.0,48.0,,34.0,34.0,27.5,,34.0,34.0,27.1,,34.0,34.0,4.0,,34.0,34.0,6.8,,34.0,4.1,
10/02/2025 1:55:59 PM,1362602,34.0,41.1,,34.0,3.0,99.2,31.2,34.0,34.0,51.2,,34.0,3.0,99.2,31.2,34.0,34.0,30.1,,34.0,3.0,99.2,31.2,34.0,34.0,38.0,,34.0,34.0,33.5,,34.0,34.0,57.8,,34.0,34.0,55.4,,34.0,34.0,55.8,,34.0,34.0,54.7,,34.0,34.0,28.5,,34.0,34.0,31.9,,34.0,34.0,30.1,,34.0,34.0,2.3,,34.0,34.0,33.7,,34.0,34.0,69.2,,34.0,34.0,99.9,,34.0,34.0,87.7,,34.0,34.0,66.4,,34.0,34.0,66.8,,34.0,34.0,47.9,,34.0,34.0,45.8,,34.0,34.0,26.5,,34.0,34.0,27.9,,34.0,34.0,10.7,,34.0,34.0,9.0,,34.0,0.5,
