Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
10/02/2025 12:46:59 PM,1358462,34.0,57.7,,34.0,3.0,99.2,31.1,34.0,34.0,63.4,,34.0,3.0,99.2,31.1,34.0,34.0,35.4,,34.0,3.0,99.2,31.1,34.0,34.0,49.2,,34.0,34.0,47.4,,34.0,34.0,71.6,,34.0,34.0,73.5,,34.0,34.0,59.8,,34.0,34.0,68.1,,34.0,34.0,72.5,,34.0,34.0,74.8,,34.0,34.0,35.4,,34.0,34.0,63.5,,34.0,34.0,21.2,,34.0,34.0,55.4,,34.0,34.0,102.7,,34.0,34.0,84.5,,34.0,34.0,71.4,,34.0,34.0,76.9,,34.0,34.0,52.9,,34.0,34.0,56.8,,34.0,34.0,30.5,,34.0,34.0,34.3,,34.0,34.0,41.5,,34.0,34.0,40.5,,34.0,4.5,
10/02/2025 12:47:59 PM,1358522,34.0,57.9,,34.0,3.0,99.2,31.2,34.0,34.0,66.9,,34.0,3.0,99.2,31.2,34.0,34.0,34.8,,34.0,3.0,99.2,31.2,34.0,34.0,53.4,,34.0,34.0,47.8,,34.0,34.0,71.0,,34.0,34.0,84.4,,34.0,34.0,60.9,,34.0,34.0,66.2,,34.0,34.0,75.3,,34.0,34.0,76.0,,34.0,34.0,34.8,,34.0,34.0,60.0,,34.0,34.0,18.0,,34.0,34.0,53.7,,34.0,34.0,104.2,,34.0,34.0,86.2,,34.0,34.0,70.2,,34.0,34.0,75.7,,34.0,34.0,53.3,,34.0,34.0,53.5,,34.0,34.0,30.4,,34.0,34.0,32.7,,34.0,34.0,40.7,,34.0,34.0,39.2,,34.0,0.0,
10/02/2025 12:48:59 PM,1358582,34.0,55.0,,34.0,3.0,99.2,31.2,34.0,34.0,56.0,,34.0,3.0,99.2,31.2,34.0,34.0,33.0,,34.0,3.0,99.2,31.2,34.0,34.0,47.1,,34.0,34.0,45.6,,34.0,34.0,57.1,,34.0,34.0,60.1,,34.0,34.0,60.9,,34.0,34.0,63.7,,34.0,34.0,74.8,,34.0,34.0,73.2,,34.0,34.0,33.0,,34.0,34.0,58.2,,34.0,34.0,18.9,,34.0,34.0,54.0,,34.0,34.0,108.2,,34.0,34.0,86.3,,34.0,34.0,68.8,,34.0,34.0,77.2,,34.0,34.0,52.9,,34.0,34.0,55.2,,34.0,34.0,30.5,,34.0,34.0,31.5,,34.0,34.0,40.6,,34.0,34.0,40.7,,34.0,1.2,
10/02/2025 12:49:59 PM,1358642,34.0,51.2,,34.0,3.0,99.2,31.2,34.0,34.0,48.4,,34.0,3.0,99.2,31.2,34.0,34.0,31.0,,34.0,3.0,99.2,31.2,34.0,34.0,41.7,,34.0,34.0,40.5,,34.0,34.0,46.2,,34.0,34.0,46.3,,34.0,34.0,60.9,,34.0,34.0,57.9,,34.0,34.0,68.7,,34.0,34.0,70.4,,34.0,34.0,31.0,,34.0,34.0,56.2,,34.0,34.0,18.5,,34.0,34.0,53.2,,34.0,34.0,99.9,,34.0,34.0,83.1,,34.0,34.0,67.9,,34.0,34.0,73.3,,34.0,34.0,54.7,,34.0,34.0,51.3,,34.0,34.0,30.5,,34.0,34.0,30.3,,34.0,34.0,38.9,,34.0,34.0,38.3,,34.0,2.4,
10/02/2025 12:50:59 PM,1358702,34.0,51.4,,34.0,3.0,99.2,31.2,34.0,34.0,44.9,,34.0,3.0,99.2,31.2,34.0,34.0,30.1,,34.0,3.0,99.2,31.2,34.0,34.0,36.4,,34.0,34.0,34.9,,34.0,34.0,42.1,,34.0,34.0,42.0,,34.0,34.0,60.9,,34.0,34.0,58.1,,34.0,34.0,71.0,,34.0,34.0,70.0,,34.0,34.0,30.1,,34.0,34.0,58.2,,34.0,34.0,19.0,,34.0,34.0,53.2,,34.0,34.0,108.4,,34.0,34.0,88.8,,34.0,34.0,69.3,,34.0,34.0,77.0,,34.0,34.0,54.4,,34.0,34.0,53.7,,34.0,34.0,29.8,,34.0,34.0,31.7,,34.0,34.0,40.2,,34.0,34.0,38.9,,34.0,0.1,
10/02/2025 12:51:59 PM,1358762,34.0,50.3,,34.0,3.0,99.2,31.2,34.0,34.0,42.7,,34.0,3.0,99.2,31.2,34.0,34.0,32.0,,34.0,3.0,99.2,31.2,34.0,34.0,32.2,,34.0,34.0,33.5,,34.0,34.0,38.1,,34.0,34.0,40.6,,34.0,34.0,60.3,,34.0,34.0,58.2,,34.0,34.0,66.8,,34.0,34.0,68.7,,34.0,34.0,32.0,,34.0,34.0,58.6,,34.0,34.0,18.6,,34.0,34.0,52.3,,34.0,34.0,107.7,,34.0,34.0,87.0,,34.0,34.0,71.5,,34.0,34.0,74.6,,34.0,34.0,51.5,,34.0,34.0,54.2,,34.0,34.0,29.0,,34.0,34.0,31.5,,34.0,34.0,39.8,,34.0,34.0,39.8,,34.0,0.8,
10/02/2025 12:52:59 PM,1358822,34.0,50.2,,34.0,3.0,99.2,31.2,34.0,34.0,42.3,,34.0,3.0,99.2,31.2,34.0,34.0,33.8,,34.0,3.0,99.2,31.2,34.0,34.0,31.7,,34.0,34.0,31.2,,34.0,34.0,41.2,,34.0,34.0,37.3,,34.0,34.0,60.4,,34.0,34.0,59.6,,34.0,34.0,67.7,,34.0,34.0,68.8,,34.0,34.0,33.8,,34.0,34.0,57.6,,34.0,34.0,18.5,,34.0,34.0,54.9,,34.0,34.0,102.6,,34.0,34.0,85.2,,34.0,34.0,68.9,,34.0,34.0,73.5,,34.0,34.0,52.7,,34.0,34.0,54.6,,34.0,34.0,29.0,,34.0,34.0,31.0,,34.0,34.0,39.9,,34.0,34.0,40.7,,34.0,0.1,
10/02/2025 12:53:59 PM,1358882,34.0,50.4,,34.0,3.0,99.2,31.2,34.0,34.0,42.1,,34.0,3.0,99.2,31.2,34.0,34.0,32.3,,34.0,3.0,99.2,31.2,34.0,34.0,32.6,,34.0,34.0,31.2,,34.0,34.0,38.7,,34.0,34.0,39.4,,34.0,34.0,59.5,,34.0,34.0,58.9,,34.0,34.0,67.7,,34.0,34.0,70.6,,34.0,34.0,32.3,,34.0,34.0,59.3,,34.0,34.0,18.3,,34.0,34.0,52.2,,34.0,34.0,106.5,,34.0,34.0,86.5,,34.0,34.0,68.4,,34.0,34.0,75.4,,34.0,34.0,50.8,,34.0,34.0,55.5,,34.0,34.0,29.1,,34.0,34.0,30.7,,34.0,34.0,40.6,,34.0,34.0,39.6,,34.0,0.1,
10/02/2025 12:54:59 PM,1358942,34.0,50.3,,34.0,3.0,99.2,31.2,34.0,34.0,41.7,,34.0,3.0,99.2,31.2,34.0,34.0,31.3,,34.0,3.0,99.2,31.2,34.0,34.0,31.0,,34.0,34.0,30.4,,34.0,34.0,38.6,,34.0,34.0,39.2,,34.0,34.0,59.4,,34.0,34.0,57.8,,34.0,34.0,67.0,,34.0,34.0,69.4,,34.0,34.0,31.3,,34.0,34.0,57.2,,34.0,34.0,18.4,,34.0,34.0,53.2,,34.0,34.0,111.1,,34.0,34.0,86.0,,34.0,34.0,72.2,,34.0,34.0,74.2,,34.0,34.0,54.6,,34.0,34.0,53.4,,34.0,34.0,29.2,,34.0,34.0,31.7,,34.0,34.0,41.2,,34.0,34.0,39.5,,34.0,0.1,
