Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
11/02/2025 10:37:06 AM,1437067,34.0,55.8,,34.0,3.0,99.2,31.2,34.0,34.0,61.9,,34.0,3.0,99.2,31.2,34.0,34.0,39.0,,34.0,3.0,99.2,31.2,34.0,34.0,49.9,,34.0,34.0,46.2,,34.0,34.0,70.4,,34.0,34.0,68.6,,34.0,34.0,60.5,,34.0,34.0,68.1,,34.0,34.0,75.9,,34.0,34.0,77.8,,34.0,34.0,39.0,,34.0,34.0,56.8,,34.0,34.0,16.3,,34.0,34.0,55.9,,34.0,34.0,85.6,,34.0,34.0,79.7,,34.0,34.0,61.6,,34.0,34.0,72.7,,34.0,34.0,49.9,,34.0,34.0,54.1,,34.0,34.0,29.7,,34.0,34.0,33.9,,34.0,34.0,38.0,,34.0,34.0,42.5,,34.0,0.1,
11/02/2025 10:38:01 AM,1437122,34.0,56.3,,34.0,3.0,99.2,31.2,34.0,34.0,61.8,,34.0,3.0,99.2,31.2,34.0,34.0,42.2,,34.0,3.0,99.2,31.2,34.0,34.0,47.8,,34.0,34.0,46.2,,34.0,34.0,68.9,,34.0,34.0,69.5,,34.0,34.0,61.6,,34.0,34.0,71.9,,34.0,34.0,75.3,,34.0,34.0,76.3,,34.0,34.0,42.2,,34.0,34.0,56.6,,34.0,34.0,16.7,,34.0,34.0,55.4,,34.0,34.0,88.9,,34.0,34.0,89.4,,34.0,34.0,56.1,,34.0,34.0,77.7,,34.0,34.0,49.8,,34.0,34.0,54.1,,34.0,34.0,30.4,,34.0,34.0,33.7,,34.0,34.0,39.2,,34.0,34.0,43.3,,34.0,0.3,
11/02/2025 10:39:01 AM,1437182,34.0,56.0,,34.0,3.0,99.2,31.2,34.0,34.0,61.7,,34.0,3.0,99.2,31.2,34.0,34.0,40.1,,34.0,3.0,99.2,31.2,34.0,34.0,47.0,,34.0,34.0,47.6,,34.0,34.0,68.0,,34.0,34.0,71.4,,34.0,34.0,59.8,,34.0,34.0,71.1,,34.0,34.0,74.7,,34.0,34.0,75.3,,34.0,34.0,40.1,,34.0,34.0,56.0,,34.0,34.0,17.1,,34.0,34.0,57.7,,34.0,34.0,94.2,,34.0,34.0,85.3,,34.0,34.0,63.6,,34.0,34.0,69.8,,34.0,34.0,47.8,,34.0,34.0,53.8,,34.0,34.0,30.8,,34.0,34.0,34.7,,34.0,34.0,37.8,,34.0,34.0,41.6,,34.0,0.5,
11/02/2025 10:40:01 AM,1437242,34.0,56.6,,34.0,3.0,99.2,31.2,34.0,34.0,62.9,,34.0,3.0,99.2,31.2,34.0,34.0,40.7,,34.0,3.0,99.2,31.2,34.0,34.0,49.0,,34.0,34.0,46.6,,34.0,34.0,71.3,,34.0,34.0,71.0,,34.0,34.0,61.0,,34.0,34.0,69.4,,34.0,34.0,69.5,,34.0,34.0,73.7,,34.0,34.0,40.7,,34.0,34.0,56.3,,34.0,34.0,20.1,,34.0,34.0,77.9,,34.0,34.0,86.6,,34.0,34.0,83.3,,34.0,34.0,62.8,,34.0,34.0,72.2,,34.0,34.0,50.2,,34.0,34.0,53.4,,34.0,34.0,32.8,,34.0,34.0,33.5,,34.0,34.0,38.9,,34.0,34.0,40.4,,34.0,0.6,
11/02/2025 10:41:01 AM,1437302,34.0,57.0,,34.0,3.0,99.2,31.2,34.0,34.0,61.0,,34.0,3.0,99.2,31.2,34.0,34.0,40.6,,34.0,3.0,99.2,31.2,34.0,34.0,48.1,,34.0,34.0,46.3,,34.0,34.0,67.7,,34.0,34.0,68.1,,34.0,34.0,60.9,,34.0,34.0,69.3,,34.0,34.0,74.3,,34.0,34.0,73.7,,34.0,34.0,40.6,,34.0,34.0,56.7,,34.0,34.0,21.9,,34.0,34.0,92.0,,34.0,34.0,89.5,,34.0,34.0,87.8,,34.0,34.0,59.8,,34.0,34.0,73.0,,34.0,34.0,47.0,,34.0,34.0,52.6,,34.0,34.0,31.2,,34.0,34.0,34.3,,34.0,34.0,39.6,,34.0,34.0,41.7,,34.0,0.0,
11/02/2025 10:42:01 AM,1437362,34.0,58.0,,34.0,3.0,99.2,31.2,34.0,34.0,61.3,,34.0,3.0,99.2,31.2,34.0,34.0,39.6,,34.0,3.0,99.2,31.2,34.0,34.0,47.7,,34.0,34.0,44.8,,34.0,34.0,69.5,,34.0,34.0,68.9,,34.0,34.0,60.3,,34.0,34.0,66.6,,34.0,34.0,75.3,,34.0,34.0,73.1,,34.0,34.0,39.6,,34.0,34.0,57.5,,34.0,34.0,24.4,,34.0,34.0,111.2,,34.0,34.0,94.1,,34.0,34.0,86.1,,34.0,34.0,62.3,,34.0,34.0,72.6,,34.0,34.0,49.7,,34.0,34.0,53.1,,34.0,34.0,33.7,,34.0,34.0,34.9,,34.0,34.0,38.8,,34.0,34.0,41.5,,34.0,0.7,
11/02/2025 10:43:01 AM,1437422,34.0,57.7,,34.0,3.0,99.2,31.2,34.0,34.0,60.3,,34.0,3.0,99.2,31.2,34.0,34.0,39.3,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,34.0,45.0,,34.0,34.0,67.7,,34.0,34.0,67.1,,34.0,34.0,59.9,,34.0,34.0,66.4,,34.0,34.0,71.8,,34.0,34.0,73.0,,34.0,34.0,39.3,,34.0,34.0,57.1,,34.0,34.0,23.0,,34.0,34.0,104.7,,34.0,34.0,101.1,,34.0,34.0,93.8,,34.0,34.0,63.3,,34.0,34.0,74.9,,34.0,34.0,48.3,,34.0,34.0,54.3,,34.0,34.0,32.8,,34.0,34.0,32.7,,34.0,34.0,40.8,,34.0,34.0,41.8,,34.0,0.3,
11/02/2025 10:44:01 AM,1437482,34.0,57.8,,34.0,3.0,99.2,31.2,34.0,34.0,61.1,,34.0,3.0,99.2,31.2,34.0,34.0,39.8,,34.0,3.0,99.2,31.2,34.0,34.0,48.8,,34.0,34.0,48.2,,34.0,34.0,69.0,,34.0,34.0,66.8,,34.0,34.0,59.7,,34.0,34.0,66.1,,34.0,34.0,72.0,,34.0,34.0,72.7,,34.0,34.0,39.8,,34.0,34.0,55.5,,34.0,34.0,21.5,,34.0,34.0,114.6,,34.0,34.0,92.9,,34.0,34.0,93.5,,34.0,34.0,64.4,,34.0,34.0,73.2,,34.0,34.0,49.3,,34.0,34.0,53.1,,34.0,34.0,32.9,,34.0,34.0,35.6,,34.0,34.0,39.1,,34.0,34.0,41.2,,34.0,0.3,
11/02/2025 10:45:01 AM,1437542,34.0,58.4,,34.0,3.0,99.2,31.2,34.0,34.0,60.5,,34.0,3.0,99.2,31.2,34.0,34.0,39.6,,34.0,3.0,99.2,31.2,34.0,34.0,47.6,,34.0,34.0,43.3,,34.0,34.0,69.0,,34.0,34.0,67.3,,34.0,34.0,59.7,,34.0,34.0,68.1,,34.0,34.0,74.1,,34.0,34.0,72.6,,34.0,34.0,39.6,,34.0,34.0,56.5,,34.0,34.0,22.9,,34.0,34.0,119.9,,34.0,34.0,102.9,,34.0,34.0,87.5,,34.0,34.0,69.2,,34.0,34.0,72.8,,34.0,34.0,47.9,,34.0,34.0,53.8,,34.0,34.0,32.9,,34.0,34.0,36.0,,34.0,34.0,37.1,,34.0,34.0,43.6,,34.0,0.7,
