Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
11/02/2025 11:01:41 AM,1438542,34.0,57.6,,34.0,3.0,99.2,31.2,34.0,34.0,61.0,,34.0,3.0,99.2,31.2,34.0,34.0,35.0,,34.0,3.0,99.2,31.2,34.0,34.0,47.7,,34.0,34.0,44.8,,34.0,34.0,71.3,,34.0,34.0,65.6,,34.0,34.0,60.5,,34.0,34.0,67.5,,34.0,34.0,75.6,,34.0,34.0,73.4,,34.0,34.0,35.0,,34.0,34.0,56.5,,34.0,34.0,20.8,,34.0,34.0,107.4,,34.0,34.0,96.3,,34.0,34.0,94.2,,34.0,34.0,62.8,,34.0,34.0,74.8,,34.0,34.0,47.9,,34.0,34.0,51.9,,34.0,34.0,33.3,,34.0,34.0,33.2,,34.0,34.0,39.3,,34.0,34.0,42.1,,34.0,0.5,
11/02/2025 11:02:01 AM,1438562,34.0,58.0,,34.0,3.0,99.2,31.2,34.0,34.0,59.7,,34.0,3.0,99.2,31.2,34.0,34.0,38.2,,34.0,3.0,99.2,31.2,34.0,34.0,47.8,,34.0,34.0,44.2,,34.0,34.0,69.1,,34.0,34.0,63.1,,34.0,34.0,60.5,,34.0,34.0,66.9,,34.0,34.0,74.4,,34.0,34.0,73.4,,34.0,34.0,38.2,,34.0,34.0,57.6,,34.0,34.0,20.5,,34.0,34.0,111.9,,34.0,34.0,95.3,,34.0,34.0,95.3,,34.0,34.0,63.5,,34.0,34.0,78.4,,34.0,34.0,49.0,,34.0,34.0,54.8,,34.0,34.0,32.1,,34.0,34.0,35.0,,34.0,34.0,40.1,,34.0,34.0,43.3,,34.0,0.1,
11/02/2025 11:03:01 AM,1438622,34.0,58.6,,34.0,3.0,99.2,31.2,34.0,34.0,61.3,,34.0,3.0,99.2,31.2,34.0,34.0,37.0,,34.0,3.0,99.2,31.2,34.0,34.0,46.6,,34.0,34.0,47.0,,34.0,34.0,69.6,,34.0,34.0,67.9,,34.0,34.0,60.5,,34.0,34.0,70.3,,34.0,34.0,74.0,,34.0,34.0,74.5,,34.0,34.0,37.0,,34.0,34.0,56.6,,34.0,34.0,19.3,,34.0,34.0,124.1,,34.0,34.0,101.9,,34.0,34.0,88.5,,34.0,34.0,64.5,,34.0,34.0,74.1,,34.0,34.0,48.6,,34.0,34.0,54.7,,34.0,34.0,33.9,,34.0,34.0,34.8,,34.0,34.0,39.2,,34.0,34.0,41.8,,34.0,0.2,
11/02/2025 11:04:01 AM,1438682,34.0,58.1,,34.0,3.0,99.2,31.2,34.0,34.0,59.3,,34.0,3.0,99.2,31.2,34.0,34.0,39.8,,34.0,3.0,99.2,31.2,34.0,34.0,46.9,,34.0,34.0,44.4,,34.0,34.0,66.3,,34.0,34.0,64.6,,34.0,34.0,60.5,,34.0,34.0,68.8,,34.0,34.0,71.1,,34.0,34.0,71.4,,34.0,34.0,39.8,,34.0,34.0,58.3,,34.0,34.0,22.2,,34.0,34.0,119.4,,34.0,34.0,95.3,,34.0,34.0,97.3,,34.0,34.0,62.4,,34.0,34.0,75.9,,34.0,34.0,49.2,,34.0,34.0,55.3,,34.0,34.0,32.5,,34.0,34.0,36.4,,34.0,34.0,40.3,,34.0,34.0,41.4,,34.0,0.4,
11/02/2025 11:05:01 AM,1438742,34.0,58.6,,34.0,3.0,99.2,31.2,34.0,34.0,61.1,,34.0,3.0,99.2,31.2,34.0,34.0,36.9,,34.0,3.0,99.2,31.2,34.0,34.0,47.0,,34.0,34.0,45.7,,34.0,34.0,69.8,,34.0,34.0,67.3,,34.0,34.0,60.5,,34.0,34.0,66.8,,34.0,34.0,74.9,,34.0,34.0,72.3,,34.0,34.0,36.9,,34.0,34.0,58.1,,34.0,34.0,23.1,,34.0,34.0,118.0,,34.0,34.0,99.4,,34.0,34.0,91.8,,34.0,34.0,65.5,,34.0,34.0,74.6,,34.0,34.0,51.4,,34.0,34.0,53.2,,34.0,34.0,32.9,,34.0,34.0,34.4,,34.0,34.0,39.8,,34.0,34.0,42.6,,34.0,0.2,
11/02/2025 11:06:01 AM,1438802,34.0,58.7,,34.0,3.0,99.2,31.2,34.0,34.0,61.4,,34.0,3.0,99.2,31.2,34.0,34.0,39.1,,34.0,3.0,99.2,31.2,34.0,34.0,48.1,,34.0,34.0,45.9,,34.0,34.0,70.3,,34.0,34.0,67.6,,34.0,34.0,60.5,,34.0,34.0,67.0,,34.0,34.0,75.6,,34.0,34.0,74.5,,34.0,34.0,39.1,,34.0,34.0,58.1,,34.0,34.0,23.6,,34.0,34.0,121.0,,34.0,34.0,92.5,,34.0,34.0,89.7,,34.0,34.0,63.3,,34.0,34.0,75.8,,34.0,34.0,50.7,,34.0,34.0,53.2,,34.0,34.0,32.5,,34.0,34.0,33.1,,34.0,34.0,40.6,,34.0,34.0,42.8,,34.0,0.2,
11/02/2025 11:07:01 AM,1438862,34.0,58.1,,34.0,3.0,99.2,31.2,34.0,34.0,61.3,,34.0,3.0,99.2,31.2,34.0,34.0,36.2,,34.0,3.0,99.2,31.2,34.0,34.0,48.1,,34.0,34.0,46.4,,34.0,34.0,69.0,,34.0,34.0,68.1,,34.0,34.0,60.5,,34.0,34.0,66.6,,34.0,34.0,73.0,,34.0,34.0,72.8,,34.0,34.0,36.2,,34.0,34.0,56.6,,34.0,34.0,22.6,,34.0,34.0,117.3,,34.0,34.0,98.6,,34.0,34.0,86.2,,34.0,34.0,66.9,,34.0,34.0,74.9,,34.0,34.0,50.0,,34.0,34.0,53.4,,34.0,34.0,31.9,,34.0,34.0,34.4,,34.0,34.0,40.0,,34.0,34.0,40.9,,34.0,0.4,
11/02/2025 11:08:01 AM,1438922,34.0,58.2,,34.0,3.0,99.2,31.2,34.0,34.0,60.7,,34.0,3.0,99.2,31.2,34.0,34.0,37.5,,34.0,3.0,99.2,31.2,34.0,34.0,47.1,,34.0,34.0,45.3,,34.0,34.0,69.6,,34.0,34.0,66.4,,34.0,34.0,60.5,,34.0,34.0,66.6,,34.0,34.0,75.3,,34.0,34.0,72.9,,34.0,34.0,37.5,,34.0,34.0,55.5,,34.0,34.0,23.8,,34.0,34.0,121.9,,34.0,34.0,88.2,,34.0,34.0,91.4,,34.0,34.0,66.3,,34.0,34.0,76.3,,34.0,34.0,50.0,,34.0,34.0,52.5,,34.0,34.0,33.0,,34.0,34.0,34.2,,34.0,34.0,40.9,,34.0,34.0,41.4,,34.0,0.2,
11/02/2025 11:09:01 AM,1438982,34.0,58.5,,34.0,3.0,99.2,31.2,34.0,34.0,62.2,,34.0,3.0,99.2,31.2,34.0,34.0,37.1,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,34.0,45.7,,34.0,34.0,71.6,,34.0,34.0,69.5,,34.0,34.0,60.5,,34.0,34.0,67.2,,34.0,34.0,74.6,,34.0,34.0,73.1,,34.0,34.0,37.1,,34.0,34.0,56.8,,34.0,34.0,22.7,,34.0,34.0,115.9,,34.0,34.0,99.0,,34.0,34.0,92.9,,34.0,34.0,63.2,,34.0,34.0,77.4,,34.0,34.0,50.2,,34.0,34.0,51.4,,34.0,34.0,31.7,,34.0,34.0,33.7,,34.0,34.0,40.8,,34.0,34.0,40.8,,34.0,0.4,
