Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
19/02/2025 2:09:28 PM,0,34.0,75.1,,34.0,3.0,99.2,31.2,34.0,34.0,82.0,,34.0,3.0,99.2,31.2,34.0,34.0,46.3,,34.0,3.0,99.2,31.2,34.0,34.0,63.6,,34.0,34.0,59.1,,34.0,34.0,90.6,,34.0,34.0,95.5,,34.0,34.0,80.1,,34.0,34.0,89.8,,34.0,34.0,102.4,,34.0,34.0,99.3,,34.0,34.0,46.3,,34.0,34.0,74.4,,34.0,34.0,22.8,,34.0,34.0,98.9,,34.0,34.0,138.6,,34.0,34.0,113.2,,34.0,34.0,90.9,,34.0,34.0,98.9,,34.0,34.0,66.7,,34.0,34.0,71.7,,34.0,34.0,39.8,,34.0,34.0,43.6,,34.0,34.0,46.7,,34.0,34.0,51.8,,34.0,0.2,
19/02/2025 2:10:28 PM,60,34.0,75.6,,34.0,3.0,99.2,31.2,34.0,34.0,82.9,,34.0,3.0,99.2,31.2,34.0,34.0,46.0,,34.0,3.0,99.2,31.2,34.0,34.0,64.6,,34.0,34.0,64.9,,34.0,34.0,90.4,,34.0,34.0,95.7,,34.0,34.0,80.1,,34.0,34.0,88.1,,34.0,34.0,99.8,,34.0,34.0,97.5,,34.0,34.0,46.0,,34.0,34.0,71.6,,34.0,34.0,21.9,,34.0,34.0,104.6,,34.0,34.0,153.3,,34.0,34.0,125.1,,34.0,34.0,93.7,,34.0,34.0,101.5,,34.0,34.0,66.0,,34.0,34.0,70.6,,34.0,34.0,39.1,,34.0,34.0,43.2,,34.0,34.0,48.3,,34.0,34.0,51.1,,34.0,0.2,
19/02/2025 2:11:28 PM,120,34.0,74.2,,34.0,3.0,99.2,31.2,34.0,34.0,81.7,,34.0,3.0,99.2,31.2,34.0,34.0,45.5,,34.0,3.0,99.2,31.2,34.0,34.0,63.4,,34.0,34.0,64.9,,34.0,34.0,88.8,,34.0,34.0,93.3,,34.0,34.0,80.1,,34.0,34.0,86.1,,34.0,34.0,98.5,,34.0,34.0,95.3,,34.0,34.0,45.5,,34.0,34.0,73.0,,34.0,34.0,23.3,,34.0,34.0,103.6,,34.0,34.0,131.5,,34.0,34.0,126.8,,34.0,34.0,85.1,,34.0,34.0,98.3,,34.0,34.0,64.3,,34.0,34.0,70.8,,34.0,34.0,38.5,,34.0,34.0,42.2,,34.0,34.0,48.5,,34.0,34.0,51.5,,34.0,1.2,
19/02/2025 2:12:28 PM,180,34.0,73.9,,34.0,3.0,99.2,31.2,34.0,34.0,81.9,,34.0,3.0,99.2,31.2,34.0,34.0,45.0,,34.0,3.0,99.2,31.2,34.0,34.0,63.2,,34.0,34.0,64.8,,34.0,34.0,90.1,,34.0,34.0,94.1,,34.0,34.0,78.9,,34.0,34.0,83.7,,34.0,34.0,96.6,,34.0,34.0,99.6,,34.0,34.0,45.0,,34.0,34.0,71.0,,34.0,34.0,22.8,,34.0,34.0,106.4,,34.0,34.0,136.7,,34.0,34.0,119.2,,34.0,34.0,89.6,,34.0,34.0,96.9,,34.0,34.0,65.0,,34.0,34.0,68.2,,34.0,34.0,38.6,,34.0,34.0,41.8,,34.0,34.0,47.2,,34.0,34.0,50.0,,34.0,1.2,
19/02/2025 2:13:28 PM,240,34.0,75.3,,34.0,3.0,99.2,31.2,34.0,34.0,82.3,,34.0,3.0,99.2,31.2,34.0,34.0,45.9,,34.0,3.0,99.2,31.2,34.0,34.0,63.0,,34.0,34.0,64.9,,34.0,34.0,90.0,,34.0,34.0,95.7,,34.0,34.0,78.9,,34.0,34.0,88.6,,34.0,34.0,100.0,,34.0,34.0,99.0,,34.0,34.0,45.9,,34.0,34.0,74.5,,34.0,34.0,24.9,,34.0,34.0,103.5,,34.0,34.0,132.9,,34.0,34.0,117.9,,34.0,34.0,86.8,,34.0,34.0,101.2,,34.0,34.0,63.4,,34.0,34.0,70.4,,34.0,34.0,37.7,,34.0,34.0,53.8,,34.0,34.0,46.3,,34.0,34.0,51.7,,34.0,0.1,
19/02/2025 2:14:28 PM,300,34.0,73.7,,34.0,3.0,99.2,31.2,34.0,34.0,80.7,,34.0,3.0,99.2,31.2,34.0,34.0,45.0,,34.0,3.0,99.2,31.2,34.0,34.0,63.7,,34.0,34.0,64.5,,34.0,34.0,88.7,,34.0,34.0,92.5,,34.0,34.0,77.1,,34.0,34.0,85.3,,34.0,34.0,99.8,,34.0,34.0,96.9,,34.0,34.0,45.0,,34.0,34.0,72.4,,34.0,34.0,23.2,,34.0,34.0,106.0,,34.0,34.0,131.0,,34.0,34.0,114.2,,34.0,34.0,86.3,,34.0,34.0,97.9,,34.0,34.0,64.5,,34.0,34.0,70.1,,34.0,34.0,38.0,,34.0,34.0,44.0,,34.0,34.0,46.4,,34.0,34.0,51.4,,34.0,0.2,
19/02/2025 2:15:28 PM,360,34.0,74.8,,34.0,3.0,99.2,31.2,34.0,34.0,81.6,,34.0,3.0,99.2,31.2,34.0,34.0,45.0,,34.0,3.0,99.2,31.2,34.0,34.0,63.5,,34.0,34.0,64.4,,34.0,34.0,89.7,,34.0,34.0,94.0,,34.0,34.0,78.4,,34.0,34.0,87.3,,34.0,34.0,100.1,,34.0,34.0,100.3,,34.0,34.0,45.0,,34.0,34.0,74.0,,34.0,34.0,23.7,,34.0,34.0,105.3,,34.0,34.0,138.8,,34.0,34.0,118.2,,34.0,34.0,87.5,,34.0,34.0,101.3,,34.0,34.0,64.8,,34.0,34.0,70.2,,34.0,34.0,37.3,,34.0,34.0,43.2,,34.0,34.0,46.3,,34.0,34.0,51.9,,34.0,0.2,
19/02/2025 2:16:28 PM,420,34.0,72.9,,34.0,3.0,99.2,31.2,34.0,34.0,71.4,,34.0,3.0,99.2,31.2,34.0,34.0,43.7,,34.0,3.0,99.2,31.2,34.0,34.0,64.2,,34.0,34.0,64.5,,34.0,34.0,90.9,,34.0,34.0,94.1,,34.0,34.0,33.4,,34.0,34.0,85.4,,34.0,34.0,97.3,,34.0,34.0,108.8,,34.0,34.0,43.7,,34.0,34.0,72.9,,34.0,34.0,23.9,,34.0,34.0,105.3,,34.0,34.0,143.8,,34.0,34.0,120.8,,34.0,34.0,89.2,,34.0,34.0,99.6,,34.0,34.0,65.6,,34.0,34.0,70.0,,34.0,34.0,39.1,,34.0,34.0,43.8,,34.0,34.0,48.8,,34.0,34.0,52.7,,34.0,0.4,
19/02/2025 2:17:28 PM,480,34.0,74.6,,34.0,3.0,99.2,31.2,34.0,34.0,81.4,,34.0,3.0,99.2,31.2,34.0,34.0,44.9,,34.0,3.0,99.2,31.2,34.0,34.0,63.0,,34.0,34.0,65.1,,34.0,34.0,88.7,,34.0,34.0,92.9,,34.0,34.0,79.4,,34.0,34.0,85.3,,34.0,34.0,100.3,,34.0,34.0,98.6,,34.0,34.0,44.9,,34.0,34.0,73.3,,34.0,34.0,22.8,,34.0,34.0,103.1,,34.0,34.0,137.1,,34.0,34.0,120.4,,34.0,34.0,90.6,,34.0,34.0,102.0,,34.0,34.0,64.7,,34.0,34.0,69.4,,34.0,34.0,39.0,,34.0,34.0,43.4,,34.0,34.0,47.1,,34.0,34.0,52.4,,34.0,1.1,
