Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
20/02/2025 5:59:20 PM,0,34.0,76.7,,34.0,3.0,99.2,31.2,34.0,34.0,82.1,,34.0,3.0,99.2,31.2,34.0,34.0,44.7,,34.0,3.0,99.2,31.2,34.0,34.0,62.9,,34.0,34.0,63.9,,34.0,34.0,90.0,,34.0,34.0,96.7,,34.0,34.0,77.7,,34.0,34.0,87.7,,34.0,34.0,97.2,,34.0,34.0,91.3,,34.0,34.0,44.7,,34.0,34.0,66.3,,34.0,34.0,20.2,,34.0,34.0,181.7,,34.0,34.0,132.7,,34.0,34.0,109.2,,34.0,34.0,84.0,,34.0,34.0,100.9,,34.0,34.0,64.2,,34.0,34.0,75.9,,34.0,34.0,56.6,,34.0,34.0,43.7,,34.0,34.0,49.3,,34.0,34.0,52.1,,34.0,0.2,
20/02/2025 6:00:20 PM,60,34.0,72.9,,34.0,3.0,99.2,31.2,34.0,34.0,80.1,,34.0,3.0,99.2,31.2,34.0,34.0,45.1,,34.0,3.0,99.2,31.2,34.0,34.0,63.6,,34.0,34.0,65.5,,34.0,34.0,87.3,,34.0,34.0,90.5,,34.0,34.0,77.8,,34.0,34.0,89.0,,34.0,34.0,94.2,,34.0,34.0,90.5,,34.0,34.0,45.1,,34.0,34.0,69.9,,34.0,34.0,16.1,,34.0,34.0,98.0,,34.0,34.0,125.4,,34.0,34.0,124.8,,34.0,34.0,81.7,,34.0,34.0,110.1,,34.0,34.0,64.0,,34.0,34.0,72.3,,34.0,34.0,41.1,,34.0,34.0,40.6,,34.0,34.0,48.9,,34.0,34.0,52.6,,34.0,2.6,
20/02/2025 6:01:20 PM,120,34.0,72.4,,34.0,3.0,99.2,31.2,34.0,34.0,80.9,,34.0,3.0,99.2,31.2,34.0,34.0,45.9,,34.0,3.0,99.2,31.2,34.0,34.0,63.8,,34.0,34.0,63.9,,34.0,34.0,89.4,,34.0,34.0,92.1,,34.0,34.0,77.7,,34.0,34.0,86.6,,34.0,34.0,96.3,,34.0,34.0,92.7,,34.0,34.0,45.9,,34.0,34.0,71.1,,34.0,34.0,14.3,,34.0,34.0,85.1,,34.0,34.0,126.8,,34.0,34.0,112.8,,34.0,34.0,83.6,,34.0,34.0,102.6,,34.0,34.0,63.7,,34.0,34.0,79.7,,34.0,34.0,37.5,,34.0,34.0,40.4,,34.0,34.0,47.6,,34.0,34.0,50.8,,34.0,0.5,
20/02/2025 6:02:20 PM,180,34.0,71.5,,34.0,3.0,99.2,31.2,34.0,34.0,80.5,,34.0,3.0,99.2,31.2,34.0,34.0,44.3,,34.0,3.0,99.2,31.2,34.0,34.0,63.4,,34.0,34.0,63.4,,34.0,34.0,86.9,,34.0,34.0,93.4,,34.0,34.0,77.7,,34.0,34.0,88.8,,34.0,34.0,98.6,,34.0,34.0,92.3,,34.0,34.0,44.3,,34.0,34.0,69.2,,34.0,34.0,14.9,,34.0,34.0,78.4,,34.0,34.0,120.3,,34.0,34.0,113.7,,34.0,34.0,78.7,,34.0,34.0,104.4,,34.0,34.0,60.7,,34.0,34.0,73.0,,34.0,34.0,34.7,,34.0,34.0,41.7,,34.0,34.0,49.4,,34.0,34.0,51.7,,34.0,0.6,
20/02/2025 6:03:20 PM,240,34.0,71.5,,34.0,3.0,99.2,31.2,34.0,34.0,80.5,,34.0,3.0,99.2,31.2,34.0,34.0,40.6,,34.0,3.0,99.2,31.2,34.0,34.0,64.0,,34.0,34.0,63.5,,34.0,34.0,88.6,,34.0,34.0,92.4,,34.0,34.0,76.5,,34.0,34.0,85.0,,34.0,34.0,97.1,,34.0,34.0,92.5,,34.0,34.0,40.6,,34.0,34.0,70.3,,34.0,34.0,15.2,,34.0,34.0,79.8,,34.0,34.0,123.2,,34.0,34.0,117.3,,34.0,34.0,82.5,,34.0,34.0,105.7,,34.0,34.0,60.2,,34.0,34.0,74.9,,34.0,34.0,36.2,,34.0,34.0,39.9,,34.0,34.0,47.9,,34.0,34.0,52.4,,34.0,0.6,
20/02/2025 6:04:20 PM,300,34.0,69.1,,34.0,3.0,99.2,31.2,34.0,34.0,80.7,,34.0,3.0,99.2,31.2,34.0,34.0,45.0,,34.0,3.0,99.2,31.2,34.0,34.0,63.0,,34.0,34.0,63.0,,34.0,34.0,89.0,,34.0,34.0,93.6,,34.0,34.0,76.5,,34.0,34.0,84.6,,34.0,34.0,96.7,,34.0,34.0,94.2,,34.0,34.0,45.0,,34.0,34.0,68.9,,34.0,34.0,8.3,,34.0,34.0,77.1,,34.0,34.0,119.2,,34.0,34.0,120.5,,34.0,34.0,80.0,,34.0,34.0,103.5,,34.0,34.0,59.2,,34.0,34.0,40.6,,34.0,34.0,35.4,,34.0,34.0,38.4,,34.0,34.0,46.7,,34.0,34.0,50.0,,34.0,0.4,
20/02/2025 6:05:20 PM,360,34.0,74.8,,34.0,3.0,99.2,31.2,34.0,34.0,79.9,,34.0,3.0,99.2,31.2,34.0,34.0,42.9,,34.0,3.0,99.2,31.2,34.0,34.0,62.6,,34.0,34.0,62.6,,34.0,34.0,87.0,,34.0,34.0,93.0,,34.0,34.0,76.5,,34.0,34.0,83.2,,34.0,34.0,98.4,,34.0,34.0,91.5,,34.0,34.0,42.9,,34.0,34.0,69.4,,34.0,34.0,24.0,,34.0,34.0,153.1,,34.0,34.0,127.3,,34.0,34.0,133.5,,34.0,34.0,78.4,,34.0,34.0,106.9,,34.0,34.0,63.0,,34.0,34.0,73.6,,34.0,34.0,39.4,,34.0,34.0,40.8,,34.0,34.0,47.5,,34.0,34.0,51.9,,34.0,3.1,
20/02/2025 6:06:20 PM,420,34.0,76.4,,34.0,3.0,99.2,31.2,34.0,34.0,82.2,,34.0,3.0,99.2,31.2,34.0,34.0,43.0,,34.0,3.0,99.2,31.2,34.0,34.0,64.1,,34.0,34.0,65.9,,34.0,34.0,90.8,,34.0,34.0,95.0,,34.0,34.0,77.4,,34.0,34.0,84.5,,34.0,34.0,99.2,,34.0,34.0,93.6,,34.0,34.0,43.0,,34.0,34.0,70.5,,34.0,34.0,22.4,,34.0,34.0,167.1,,34.0,34.0,130.1,,34.0,34.0,130.6,,34.0,34.0,83.9,,34.0,34.0,113.8,,34.0,34.0,64.0,,34.0,34.0,74.0,,34.0,34.0,38.0,,34.0,34.0,41.1,,34.0,34.0,47.3,,34.0,34.0,51.6,,34.0,0.0,
20/02/2025 6:07:20 PM,480,34.0,75.5,,34.0,3.0,99.2,31.2,34.0,34.0,80.7,,34.0,3.0,99.2,31.2,34.0,34.0,44.1,,34.0,3.0,99.2,31.2,34.0,34.0,64.1,,34.0,34.0,64.3,,34.0,34.0,88.4,,34.0,34.0,92.4,,34.0,34.0,77.3,,34.0,34.0,83.3,,34.0,34.0,98.7,,34.0,34.0,91.8,,34.0,34.0,44.1,,34.0,34.0,69.3,,34.0,34.0,22.9,,34.0,34.0,162.7,,34.0,34.0,124.6,,34.0,34.0,132.3,,34.0,34.0,81.9,,34.0,34.0,112.9,,34.0,34.0,66.5,,34.0,34.0,73.1,,34.0,34.0,37.6,,34.0,34.0,41.4,,34.0,34.0,46.4,,34.0,34.0,52.3,,34.0,0.2,
