Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
20/02/2025 3:13:59 PM,0,34.0,88.6,,34.0,3.0,99.2,31.2,34.0,34.0,91.0,,34.0,3.0,99.2,31.2,34.0,34.0,51.7,,34.0,3.0,99.2,31.2,34.0,34.0,64.5,,34.0,34.0,65.6,,34.0,34.0,97.9,,34.0,34.0,104.2,,34.0,34.0,97.0,,34.0,34.0,96.4,,34.0,34.0,116.4,,34.0,34.0,120.1,,34.0,34.0,51.7,,34.0,34.0,112.0,,34.0,34.0,27.8,,34.0,34.0,111.8,,34.0,34.0,143.3,,34.0,34.0,132.3,,34.0,34.0,90.9,,34.0,34.0,108.6,,34.0,34.0,78.0,,34.0,34.0,88.4,,34.0,34.0,43.7,,34.0,34.0,43.3,,34.0,34.0,80.8,,34.0,34.0,83.3,,34.0,0.2,
20/02/2025 3:14:59 PM,60,34.0,97.6,,34.0,3.0,99.2,31.1,34.0,34.0,99.5,,34.0,3.0,99.2,31.1,34.0,34.0,52.1,,34.0,3.0,99.2,31.2,34.0,34.0,61.0,,34.0,34.0,64.8,,34.0,34.0,113.4,,34.0,34.0,119.4,,34.0,34.0,101.8,,34.0,34.0,98.5,,34.0,34.0,166.1,,34.0,34.0,128.1,,34.0,34.0,52.1,,34.0,34.0,124.4,,34.0,34.0,30.1,,34.0,34.0,117.2,,34.0,34.0,158.8,,34.0,34.0,139.8,,34.0,34.0,97.7,,34.0,34.0,117.0,,34.0,34.0,83.5,,34.0,34.0,94.1,,34.0,34.0,47.2,,34.0,34.0,46.2,,34.0,34.0,85.9,,34.0,34.0,87.7,,34.0,0.6,
20/02/2025 3:15:59 PM,120,34.0,96.7,,34.0,3.0,99.2,31.2,34.0,34.0,102.6,,34.0,3.0,99.2,31.2,34.0,34.0,54.1,,34.0,3.0,99.2,31.2,34.0,34.0,68.6,,34.0,34.0,66.9,,34.0,34.0,115.7,,34.0,34.0,122.5,,34.0,34.0,104.1,,34.0,34.0,99.9,,34.0,34.0,129.8,,34.0,34.0,130.9,,34.0,34.0,54.1,,34.0,34.0,126.8,,34.0,34.0,30.0,,34.0,34.0,124.0,,34.0,34.0,142.1,,34.0,34.0,140.7,,34.0,34.0,95.9,,34.0,34.0,113.7,,34.0,34.0,86.0,,34.0,34.0,95.5,,34.0,34.0,46.7,,34.0,34.0,46.7,,34.0,34.0,86.9,,34.0,34.0,88.0,,34.0,1.1,
20/02/2025 3:16:59 PM,180,34.0,97.5,,34.0,3.0,99.2,31.2,34.0,34.0,101.4,,34.0,3.0,99.2,31.2,34.0,34.0,54.4,,34.0,3.0,99.2,31.2,34.0,34.0,66.6,,34.0,34.0,65.6,,34.0,34.0,115.7,,34.0,34.0,119.5,,34.0,34.0,104.1,,34.0,34.0,98.7,,34.0,34.0,132.1,,34.0,34.0,134.1,,34.0,34.0,54.4,,34.0,34.0,127.3,,34.0,34.0,30.2,,34.0,34.0,124.2,,34.0,34.0,159.3,,34.0,34.0,151.0,,34.0,34.0,99.6,,34.0,34.0,120.6,,34.0,34.0,86.3,,34.0,34.0,92.3,,34.0,34.0,45.9,,34.0,34.0,46.7,,34.0,34.0,87.8,,34.0,34.0,87.5,,34.0,0.2,
20/02/2025 3:17:59 PM,240,34.0,97.2,,34.0,3.0,99.2,31.2,34.0,34.0,101.7,,34.0,3.0,99.2,31.2,34.0,34.0,53.7,,34.0,3.0,99.2,31.2,34.0,34.0,65.0,,34.0,34.0,67.7,,34.0,34.0,115.9,,34.0,34.0,120.0,,34.0,34.0,104.3,,34.0,34.0,99.1,,34.0,34.0,131.9,,34.0,34.0,134.4,,34.0,34.0,53.7,,34.0,34.0,128.6,,34.0,34.0,27.7,,34.0,34.0,125.1,,34.0,34.0,157.7,,34.0,34.0,141.9,,34.0,34.0,97.5,,34.0,34.0,116.0,,34.0,34.0,85.1,,34.0,34.0,94.2,,34.0,34.0,47.7,,34.0,34.0,47.2,,34.0,34.0,86.3,,34.0,34.0,87.3,,34.0,0.5,
20/02/2025 3:18:59 PM,300,34.0,97.9,,34.0,3.0,99.2,31.2,34.0,34.0,103.1,,34.0,3.0,99.2,31.2,34.0,34.0,53.4,,34.0,3.0,99.2,31.2,34.0,34.0,67.0,,34.0,34.0,67.9,,34.0,34.0,116.6,,34.0,34.0,123.6,,34.0,34.0,104.3,,34.0,34.0,98.2,,34.0,34.0,131.7,,34.0,34.0,131.8,,34.0,34.0,53.4,,34.0,34.0,127.2,,34.0,34.0,31.1,,34.0,34.0,127.3,,34.0,34.0,156.3,,34.0,34.0,141.5,,34.0,34.0,102.6,,34.0,34.0,114.7,,34.0,34.0,87.0,,34.0,34.0,96.6,,34.0,34.0,48.5,,34.0,34.0,47.3,,34.0,34.0,88.1,,34.0,34.0,87.3,,34.0,0.2,
20/02/2025 3:19:59 PM,360,34.0,98.1,,34.0,3.0,99.2,31.2,34.0,34.0,102.3,,34.0,3.0,99.2,31.2,34.0,34.0,55.0,,34.0,3.0,99.2,31.2,34.0,34.0,68.2,,34.0,34.0,66.5,,34.0,34.0,115.7,,34.0,34.0,121.5,,34.0,34.0,104.3,,34.0,34.0,100.6,,34.0,34.0,131.4,,34.0,34.0,132.3,,34.0,34.0,55.0,,34.0,34.0,128.6,,34.0,34.0,30.0,,34.0,34.0,125.5,,34.0,34.0,161.1,,34.0,34.0,148.0,,34.0,34.0,102.1,,34.0,34.0,116.2,,34.0,34.0,86.8,,34.0,34.0,95.2,,34.0,34.0,48.3,,34.0,34.0,48.8,,34.0,34.0,87.5,,34.0,34.0,87.4,,34.0,0.1,
20/02/2025 3:20:59 PM,420,34.0,97.3,,34.0,3.0,99.2,31.2,34.0,34.0,102.0,,34.0,3.0,99.2,31.2,34.0,34.0,54.5,,34.0,3.0,99.2,31.2,34.0,34.0,66.1,,34.0,34.0,66.7,,34.0,34.0,115.7,,34.0,34.0,121.6,,34.0,34.0,103.9,,34.0,34.0,101.2,,34.0,34.0,131.1,,34.0,34.0,132.9,,34.0,34.0,54.5,,34.0,34.0,129.1,,34.0,34.0,29.4,,34.0,34.0,123.0,,34.0,34.0,157.2,,34.0,34.0,139.3,,34.0,34.0,96.8,,34.0,34.0,111.3,,34.0,34.0,84.9,,34.0,34.0,94.4,,34.0,34.0,48.4,,34.0,34.0,48.9,,34.0,34.0,89.8,,34.0,34.0,87.5,,34.0,0.2,
20/02/2025 3:21:59 PM,480,34.0,98.0,,34.0,3.0,99.2,31.2,34.0,34.0,102.4,,34.0,3.0,99.2,31.2,34.0,34.0,54.2,,34.0,3.0,99.2,31.2,34.0,34.0,66.4,,34.0,34.0,68.1,,34.0,34.0,116.9,,34.0,34.0,122.2,,34.0,34.0,102.8,,34.0,34.0,98.0,,34.0,34.0,131.2,,34.0,34.0,135.1,,34.0,34.0,54.2,,34.0,34.0,128.3,,34.0,34.0,30.2,,34.0,34.0,127.0,,34.0,34.0,160.0,,34.0,34.0,147.7,,34.0,34.0,99.7,,34.0,34.0,115.9,,34.0,34.0,86.8,,34.0,34.0,94.7,,34.0,34.0,47.9,,34.0,34.0,48.0,,34.0,34.0,88.5,,34.0,34.0,87.5,,34.0,0.2,
