Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
22/02/2025 6:20:09 PM,0,34.0,92.5,,34.0,3.0,99.1,31.1,34.0,34.0,91.8,,34.0,3.0,99.2,31.2,34.0,34.0,58.0,,34.0,3.0,99.2,31.2,34.0,34.0,64.0,,34.0,34.0,60.0,,34.0,34.0,92.9,,34.0,34.0,90.1,,34.0,34.0,124.1,,34.0,34.0,104.9,,34.0,34.0,103.7,,34.0,34.0,100.0,,34.0,34.0,58.0,,34.0,34.0,83.9,,34.0,34.0,28.4,,34.0,34.0,114.4,,34.0,33.0,203.5,,33.1,34.0,177.2,,34.0,34.0,144.1,,34.0,34.0,150.2,,34.0,34.0,104.4,,34.0,34.0,77.0,,34.0,34.0,57.6,,34.0,34.0,43.7,,34.0,34.0,91.5,,34.0,34.0,68.2,,34.0,0.2,
22/02/2025 6:21:09 PM,60,34.0,95.7,,34.0,3.0,99.1,31.1,34.0,34.0,91.6,,34.0,3.0,99.2,31.2,34.0,34.0,59.7,,34.0,3.0,99.2,31.2,34.0,34.0,62.8,,34.0,34.0,61.3,,34.0,34.0,92.5,,34.0,34.0,90.4,,34.0,34.0,123.3,,34.0,34.0,109.0,,34.0,34.0,103.6,,34.0,34.0,98.7,,34.0,34.0,59.7,,34.0,34.0,92.3,,34.0,34.0,29.5,,34.0,34.0,122.0,,34.0,32.9,203.7,,33.0,34.0,197.9,,34.0,34.0,155.0,,34.0,34.0,162.3,,34.0,34.0,110.7,,34.0,34.0,80.6,,34.0,34.0,59.2,,34.0,34.0,47.1,,34.0,34.0,94.9,,34.0,34.0,70.2,,34.0,1.7,
22/02/2025 6:22:09 PM,120,34.0,95.0,,34.0,3.0,99.1,31.1,34.0,34.0,92.3,,34.0,3.0,99.2,31.2,34.0,34.0,61.3,,34.0,3.0,99.2,31.2,34.0,34.0,62.8,,34.0,34.0,59.2,,34.0,34.0,92.8,,34.0,34.0,88.8,,34.0,34.0,128.7,,34.0,34.0,109.0,,34.0,34.0,105.9,,34.0,34.0,100.3,,34.0,34.0,61.3,,34.0,34.0,92.2,,34.0,34.0,28.7,,34.0,34.0,116.9,,34.0,32.7,203.7,,32.8,34.0,188.1,,34.0,34.0,154.5,,34.0,34.0,152.7,,34.0,34.0,109.3,,34.0,34.0,78.3,,34.0,34.0,58.6,,34.0,34.0,45.6,,34.0,34.0,93.9,,34.0,34.0,69.5,,34.0,0.5,
22/02/2025 6:23:09 PM,180,34.0,95.4,,34.0,3.0,99.1,31.1,34.0,34.0,93.5,,34.0,3.0,99.2,31.2,34.0,34.0,63.8,,34.0,3.0,99.2,31.2,34.0,34.0,62.7,,34.0,34.0,58.6,,34.0,34.0,92.1,,34.0,34.0,91.6,,34.0,34.0,132.3,,34.0,34.0,110.1,,34.0,34.0,107.9,,34.0,34.0,101.7,,34.0,34.0,63.8,,34.0,34.0,92.5,,34.0,34.0,29.1,,34.0,34.0,116.4,,34.0,32.6,203.7,,32.7,34.0,188.8,,34.0,34.0,155.1,,34.0,34.0,147.2,,34.0,34.0,107.6,,34.0,34.0,77.7,,34.0,34.0,58.8,,34.0,34.0,45.9,,34.0,34.0,91.9,,34.0,34.0,68.9,,34.0,0.1,
22/02/2025 6:24:09 PM,240,34.0,94.3,,34.0,3.0,99.1,31.1,34.0,34.0,91.9,,34.0,3.0,99.2,31.2,34.0,34.0,60.7,,34.0,3.0,99.2,31.2,34.0,34.0,63.1,,34.0,34.0,60.6,,34.0,34.0,92.5,,34.0,34.0,89.2,,34.0,34.0,126.3,,34.0,34.0,109.1,,34.0,34.0,92.8,,34.0,34.0,99.5,,34.0,34.0,60.7,,34.0,34.0,89.9,,34.0,34.0,30.7,,34.0,34.0,118.9,,34.0,32.5,203.9,,32.6,34.0,190.0,,34.0,34.0,156.4,,34.0,34.0,149.3,,34.0,34.0,109.5,,34.0,34.0,80.3,,34.0,34.0,59.8,,34.0,34.0,45.0,,34.0,34.0,94.4,,34.0,34.0,69.4,,34.0,0.2,
22/02/2025 6:25:09 PM,300,34.0,95.6,,34.0,3.0,99.1,31.1,34.0,34.0,92.1,,34.0,3.0,99.2,31.2,34.0,34.0,61.9,,34.0,3.0,99.2,31.2,34.0,34.0,63.4,,34.0,34.0,59.5,,34.0,34.0,92.6,,34.0,34.0,89.7,,34.0,34.0,126.8,,34.0,34.0,109.9,,34.0,34.0,108.2,,34.0,34.0,100.7,,34.0,34.0,61.9,,34.0,34.0,92.9,,34.0,34.0,30.0,,34.0,34.0,117.7,,34.0,32.5,204.1,,32.6,34.0,196.0,,34.0,34.0,154.7,,34.0,34.0,150.3,,34.0,34.0,107.7,,34.0,34.0,79.3,,34.0,34.0,60.8,,34.0,34.0,44.9,,34.0,34.0,94.6,,34.0,34.0,69.9,,34.0,0.2,
22/02/2025 6:26:09 PM,360,34.0,97.6,,34.0,3.0,99.1,31.1,34.0,34.0,102.6,,34.0,3.0,99.2,31.1,34.0,34.0,60.9,,34.0,3.0,99.2,31.2,34.0,34.0,62.5,,34.0,34.0,60.0,,34.0,34.0,90.6,,34.0,34.0,90.3,,34.0,34.0,172.9,,34.0,34.0,108.0,,34.0,34.0,104.8,,34.0,34.0,100.1,,34.0,34.0,60.9,,34.0,34.0,92.7,,34.0,34.0,30.2,,34.0,34.0,121.6,,34.0,32.5,203.9,,32.5,34.0,189.1,,34.0,34.0,155.6,,34.0,34.0,147.2,,34.0,34.0,107.4,,34.0,34.0,81.0,,34.0,34.0,58.0,,34.0,34.0,46.1,,34.0,34.0,93.2,,34.0,34.0,70.1,,34.0,0.2,
22/02/2025 6:27:09 PM,420,34.0,95.0,,34.0,3.0,99.1,31.1,34.0,34.0,91.9,,34.0,3.0,99.2,31.2,34.0,34.0,62.0,,34.0,3.0,99.2,31.2,34.0,34.0,62.6,,34.0,34.0,59.6,,34.0,34.0,90.7,,34.0,34.0,88.7,,34.0,34.0,129.5,,34.0,34.0,108.0,,34.0,34.0,106.6,,34.0,34.0,99.0,,34.0,34.0,62.0,,34.0,34.0,93.0,,34.0,34.0,30.1,,34.0,34.0,120.8,,34.0,32.4,204.1,,32.4,34.0,190.6,,34.0,34.0,149.3,,34.0,34.0,144.8,,34.0,34.0,107.4,,34.0,34.0,79.5,,34.0,34.0,60.4,,34.0,34.0,46.5,,34.0,34.0,93.9,,34.0,34.0,71.0,,34.0,0.6,
22/02/2025 6:28:09 PM,480,34.0,95.1,,34.0,3.0,99.1,31.1,34.0,34.0,91.7,,34.0,3.0,99.2,31.2,34.0,34.0,62.0,,34.0,3.0,99.2,31.2,34.0,34.0,62.8,,34.0,34.0,59.0,,34.0,34.0,92.9,,34.0,34.0,88.9,,34.0,34.0,126.1,,34.0,34.0,106.8,,34.0,34.0,105.1,,34.0,34.0,100.9,,34.0,34.0,62.0,,34.0,34.0,94.8,,34.0,34.0,29.9,,34.0,34.0,122.4,,34.0,32.4,204.0,,32.4,34.0,190.0,,34.0,34.0,149.1,,34.0,34.0,145.5,,34.0,34.0,108.1,,34.0,34.0,80.1,,34.0,34.0,60.0,,34.0,34.0,47.2,,34.0,34.0,95.4,,34.0,34.0,70.4,,34.0,0.1,
