Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
22/02/2025 6:30:09 PM,0,34.0,95.8,,34.0,3.0,99.1,31.1,34.0,34.0,92.8,,34.0,3.0,99.2,31.2,34.0,34.0,64.3,,34.0,3.0,99.2,31.2,34.0,34.0,62.9,,34.0,34.0,60.8,,34.0,34.0,91.8,,34.0,34.0,91.9,,34.0,34.0,128.2,,34.0,34.0,107.3,,34.0,34.0,108.6,,34.0,34.0,100.2,,34.0,34.0,64.3,,34.0,34.0,93.0,,34.0,34.0,31.5,,34.0,34.0,127.2,,34.0,32.4,204.1,,32.3,34.0,191.3,,34.0,34.0,140.3,,34.0,34.0,152.0,,34.0,34.0,108.2,,34.0,34.0,79.6,,34.0,34.0,59.2,,34.0,34.0,46.4,,34.0,34.0,95.9,,34.0,34.0,71.7,,34.0,0.3,
22/02/2025 6:31:09 PM,60,34.0,87.8,,34.0,3.0,99.1,31.1,34.0,34.0,85.9,,34.0,3.0,99.2,31.2,34.0,34.0,59.3,,34.0,3.0,99.2,31.2,34.0,34.0,62.4,,34.0,34.0,60.4,,34.0,34.0,88.0,,34.0,34.0,88.4,,34.0,34.0,107.2,,34.0,34.0,103.2,,34.0,34.0,97.9,,34.0,34.0,99.5,,34.0,34.0,59.3,,34.0,34.0,85.6,,34.0,34.0,29.7,,34.0,34.0,128.4,,34.0,32.9,203.7,,32.8,34.0,137.6,,34.0,34.0,114.8,,34.0,34.0,124.8,,34.0,34.0,95.1,,34.0,34.0,73.9,,34.0,34.0,57.6,,34.0,34.0,47.8,,34.0,34.0,84.6,,34.0,34.0,66.5,,34.0,3.8,
22/02/2025 6:32:09 PM,120,34.0,87.8,,34.0,3.0,99.1,31.1,34.0,34.0,86.9,,34.0,3.0,99.2,31.2,34.0,34.0,60.6,,34.0,3.0,99.2,31.2,34.0,34.0,63.2,,34.0,34.0,58.8,,34.0,34.0,87.9,,34.0,34.0,85.2,,34.0,34.0,115.2,,34.0,34.0,98.3,,34.0,34.0,99.8,,34.0,34.0,90.8,,34.0,34.0,60.6,,34.0,34.0,83.4,,34.0,34.0,19.1,,34.0,34.0,125.7,,34.0,33.1,203.4,,33.0,34.0,150.9,,34.0,34.0,121.7,,34.0,34.0,132.2,,34.0,34.0,98.6,,34.0,34.0,75.5,,34.0,34.0,59.5,,34.0,34.0,52.6,,34.0,34.0,84.0,,34.0,34.0,65.8,,34.0,0.7,
22/02/2025 6:33:09 PM,180,34.0,87.0,,34.0,3.0,99.2,31.1,34.0,34.0,86.6,,34.0,3.0,99.2,31.2,34.0,34.0,61.0,,34.0,3.0,99.2,31.2,34.0,34.0,63.5,,34.0,34.0,59.7,,34.0,34.0,86.6,,34.0,34.0,84.8,,34.0,34.0,115.2,,34.0,34.0,98.2,,34.0,34.0,98.8,,34.0,34.0,88.6,,34.0,34.0,61.0,,34.0,34.0,82.5,,34.0,34.0,25.9,,34.0,34.0,124.3,,34.0,33.4,203.2,,33.3,34.0,142.2,,34.0,34.0,113.1,,34.0,34.0,128.5,,34.0,34.0,97.0,,34.0,34.0,74.3,,34.0,34.0,59.0,,34.0,34.0,53.1,,34.0,34.0,83.2,,34.0,34.0,64.7,,34.0,0.8,
22/02/2025 6:34:09 PM,240,34.0,87.6,,34.0,3.0,99.2,31.1,34.0,34.0,87.6,,34.0,3.0,99.2,31.2,34.0,34.0,61.2,,34.0,3.0,99.2,31.2,34.0,34.0,63.9,,34.0,34.0,58.6,,34.0,34.0,89.6,,34.0,34.0,87.8,,34.0,34.0,113.3,,34.0,34.0,99.4,,34.0,34.0,98.2,,34.0,34.0,91.6,,34.0,34.0,61.2,,34.0,34.0,81.4,,34.0,34.0,25.4,,34.0,34.0,124.1,,34.0,33.6,203.0,,33.5,34.0,148.6,,34.0,34.0,114.3,,34.0,34.0,132.2,,34.0,34.0,97.0,,34.0,34.0,75.5,,34.0,34.0,58.6,,34.0,34.0,52.6,,34.0,34.0,80.6,,34.0,34.0,65.2,,34.0,0.2,
22/02/2025 6:35:09 PM,300,34.0,87.5,,34.0,3.0,99.2,31.1,34.0,34.0,87.1,,34.0,3.0,99.2,31.2,34.0,34.0,62.3,,34.0,3.0,99.2,31.2,34.0,34.0,63.9,,34.0,34.0,60.0,,34.0,34.0,88.2,,34.0,34.0,86.5,,34.0,34.0,113.3,,34.0,34.0,100.5,,34.0,34.0,98.9,,34.0,34.0,87.7,,34.0,34.0,62.3,,34.0,34.0,80.8,,34.0,34.0,26.5,,34.0,34.0,124.3,,34.0,33.7,202.9,,33.6,34.0,153.2,,34.0,34.0,117.6,,34.0,34.0,129.8,,34.0,34.0,97.0,,34.0,34.0,76.0,,34.0,34.0,59.1,,34.0,34.0,53.7,,34.0,34.0,79.1,,34.0,34.0,64.8,,34.0,0.4,
22/02/2025 6:36:09 PM,360,34.0,88.0,,34.0,3.0,99.2,31.1,34.0,34.0,87.1,,34.0,3.0,99.2,31.2,34.0,34.0,62.3,,34.0,3.0,99.2,31.2,34.0,34.0,63.3,,34.0,34.0,60.7,,34.0,34.0,89.1,,34.0,34.0,86.1,,34.0,34.0,112.9,,34.0,34.0,101.4,,34.0,34.0,98.2,,34.0,34.0,89.4,,34.0,34.0,62.3,,34.0,34.0,81.2,,34.0,34.0,26.3,,34.0,34.0,120.0,,34.0,33.8,202.8,,33.8,34.0,159.1,,34.0,34.0,121.3,,34.0,34.0,135.4,,34.0,34.0,96.0,,34.0,34.0,77.9,,34.0,34.0,59.3,,34.0,34.0,54.2,,34.0,34.0,81.0,,34.0,34.0,62.9,,34.0,0.1,
22/02/2025 6:37:09 PM,420,34.0,89.3,,34.0,3.0,99.2,31.2,34.0,34.0,87.7,,34.0,3.0,99.2,31.2,34.0,34.0,61.3,,34.0,3.0,99.2,31.2,34.0,34.0,63.3,,34.0,34.0,60.2,,34.0,34.0,90.1,,34.0,34.0,86.9,,34.0,34.0,113.6,,34.0,34.0,103.7,,34.0,34.0,99.0,,34.0,34.0,89.4,,34.0,34.0,61.3,,34.0,34.0,82.2,,34.0,34.0,25.6,,34.0,34.0,118.9,,34.0,33.9,202.6,,33.9,34.0,155.5,,34.0,34.0,124.9,,34.0,34.0,137.0,,34.0,34.0,96.5,,34.0,34.0,96.8,,34.0,34.0,58.7,,34.0,34.0,55.9,,34.0,34.0,79.1,,34.0,34.0,63.5,,34.0,0.6,
22/02/2025 6:38:09 PM,480,34.0,88.0,,34.0,3.0,99.2,31.2,34.0,34.0,86.7,,34.0,3.0,99.2,31.2,34.0,34.0,60.8,,34.0,3.0,99.2,31.2,34.0,34.0,63.6,,34.0,34.0,55.9,,34.0,34.0,89.1,,34.0,34.0,87.9,,34.0,34.0,111.7,,34.0,34.0,100.5,,34.0,34.0,101.2,,34.0,34.0,89.4,,34.0,34.0,60.8,,34.0,34.0,80.5,,34.0,34.0,26.0,,34.0,34.0,120.8,,34.0,34.0,202.5,,34.0,34.0,157.0,,34.0,34.0,126.5,,34.0,34.0,138.2,,34.0,34.0,96.6,,34.0,34.0,77.3,,34.0,34.0,58.7,,34.0,34.0,55.5,,34.0,34.0,78.3,,34.0,34.0,62.0,,34.0,0.1,
