Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
22/02/2025 6:10:34 PM,0,34.0,88.1,,34.0,3.0,99.2,31.2,34.0,34.0,88.0,,34.0,3.0,99.2,31.2,34.0,34.0,56.3,,34.0,3.0,99.2,31.2,34.0,34.0,63.2,,34.0,34.0,59.8,,34.0,34.0,91.1,,34.0,34.0,91.5,,34.0,34.0,109.1,,34.0,34.0,100.5,,34.0,34.0,98.2,,34.0,34.0,98.6,,34.0,34.0,56.3,,34.0,34.0,85.8,,34.0,34.0,25.4,,34.0,34.0,112.0,,34.0,34.0,202.5,,34.0,34.0,159.1,,34.0,34.0,121.3,,34.0,34.0,131.0,,34.0,34.0,96.2,,34.0,34.0,77.9,,34.0,34.0,54.9,,34.0,34.0,44.3,,34.0,34.0,85.3,,34.0,34.0,65.4,,34.0,1.0,
22/02/2025 6:11:34 PM,60,34.0,92.4,,34.0,3.0,99.2,31.1,34.0,34.0,90.5,,34.0,3.0,99.2,31.2,34.0,34.0,59.4,,34.0,3.0,99.2,31.2,34.0,34.0,62.9,,34.0,34.0,61.2,,34.0,34.0,92.6,,34.0,34.0,91.7,,34.0,34.0,117.2,,34.0,34.0,106.7,,34.0,34.0,103.1,,34.0,34.0,97.5,,34.0,34.0,59.4,,34.0,34.0,89.7,,34.0,34.0,27.8,,34.0,34.0,119.5,,34.0,33.8,202.8,,33.8,34.0,182.9,,34.0,34.0,135.7,,34.0,34.0,146.0,,34.0,34.0,103.2,,34.0,34.0,78.6,,34.0,34.0,58.0,,34.0,34.0,44.4,,34.0,34.0,90.6,,34.0,34.0,67.4,,34.0,2.4,
22/02/2025 6:12:34 PM,120,34.0,92.7,,34.0,3.0,99.2,31.1,34.0,34.0,91.9,,34.0,3.0,99.2,31.2,34.0,34.0,59.1,,34.0,3.0,99.2,31.2,34.0,34.0,62.8,,34.0,34.0,61.3,,34.0,34.0,94.4,,34.0,34.0,92.8,,34.0,34.0,120.3,,34.0,34.0,105.5,,34.0,34.0,103.0,,34.0,34.0,100.3,,34.0,34.0,59.1,,34.0,34.0,89.7,,34.0,34.0,27.1,,34.0,34.0,114.0,,34.0,33.6,203.0,,33.6,34.0,177.8,,34.0,34.0,141.3,,34.0,34.0,145.7,,34.0,34.0,104.3,,34.0,34.0,77.4,,34.0,34.0,57.0,,34.0,34.0,45.4,,34.0,34.0,91.7,,34.0,34.0,67.4,,34.0,0.3,
22/02/2025 6:13:34 PM,180,34.0,92.1,,34.0,3.0,99.2,31.1,34.0,34.0,90.7,,34.0,3.0,99.2,31.2,34.0,34.0,63.3,,34.0,3.0,99.2,31.2,34.0,34.0,62.0,,34.0,34.0,62.5,,34.0,34.0,91.7,,34.0,34.0,91.8,,34.0,34.0,118.9,,34.0,34.0,103.9,,34.0,34.0,107.1,,34.0,34.0,98.5,,34.0,34.0,63.3,,34.0,34.0,88.0,,34.0,34.0,27.0,,34.0,34.0,115.3,,34.0,33.5,203.1,,33.6,34.0,177.2,,34.0,34.0,140.9,,34.0,34.0,137.9,,34.0,34.0,103.6,,34.0,34.0,77.1,,34.0,34.0,57.3,,34.0,34.0,45.4,,34.0,34.0,90.0,,34.0,34.0,66.0,,34.0,0.4,
22/02/2025 6:14:34 PM,240,34.0,91.9,,34.0,3.0,99.2,31.1,34.0,34.0,90.0,,34.0,3.0,99.2,31.2,34.0,34.0,61.1,,34.0,3.0,99.2,31.2,34.0,34.0,62.5,,34.0,34.0,61.2,,34.0,34.0,91.1,,34.0,34.0,89.3,,34.0,34.0,119.5,,34.0,34.0,103.3,,34.0,34.0,103.2,,34.0,34.0,97.9,,34.0,34.0,61.1,,34.0,34.0,89.0,,34.0,34.0,29.2,,34.0,34.0,115.1,,34.0,33.4,203.2,,33.5,34.0,177.6,,34.0,34.0,143.1,,34.0,34.0,145.0,,34.0,34.0,102.3,,34.0,34.0,78.2,,34.0,34.0,56.9,,34.0,34.0,45.0,,34.0,34.0,87.6,,34.0,34.0,68.0,,34.0,0.3,
22/02/2025 6:15:34 PM,300,34.0,92.1,,34.0,3.0,99.2,31.1,34.0,34.0,89.4,,34.0,3.0,99.2,31.2,34.0,34.0,59.4,,34.0,3.0,99.2,31.2,34.0,34.0,62.3,,34.0,34.0,59.4,,34.0,34.0,90.3,,34.0,34.0,88.8,,34.0,34.0,119.4,,34.0,34.0,105.0,,34.0,34.0,103.2,,34.0,34.0,98.2,,34.0,34.0,59.4,,34.0,34.0,88.7,,34.0,34.0,27.6,,34.0,34.0,114.1,,34.0,33.3,203.2,,33.4,34.0,183.1,,34.0,34.0,146.5,,34.0,34.0,148.3,,34.0,34.0,104.3,,34.0,34.0,75.9,,34.0,34.0,56.3,,34.0,34.0,44.3,,34.0,34.0,91.1,,34.0,34.0,67.4,,34.0,0.5,
22/02/2025 6:16:34 PM,360,34.0,91.6,,34.0,3.0,99.2,31.1,34.0,34.0,90.0,,34.0,3.0,99.2,31.2,34.0,34.0,57.8,,34.0,3.0,99.2,31.2,34.0,34.0,61.8,,34.0,34.0,62.0,,34.0,34.0,90.9,,34.0,34.0,89.3,,34.0,34.0,119.8,,34.0,34.0,103.1,,34.0,34.0,101.0,,34.0,34.0,96.8,,34.0,34.0,57.8,,34.0,34.0,89.9,,34.0,34.0,27.7,,34.0,34.0,112.4,,34.0,33.3,203.1,,33.3,34.0,176.1,,34.0,34.0,147.6,,34.0,34.0,138.8,,34.0,34.0,104.9,,34.0,34.0,77.4,,34.0,34.0,57.0,,34.0,34.0,45.4,,34.0,34.0,89.7,,34.0,34.0,66.8,,34.0,0.2,
22/02/2025 6:17:34 PM,420,34.0,91.6,,34.0,3.0,99.2,31.1,34.0,34.0,89.2,,34.0,3.0,99.2,31.2,34.0,34.0,58.9,,34.0,3.0,99.2,31.2,34.0,34.0,62.0,,34.0,34.0,59.4,,34.0,34.0,89.1,,34.0,34.0,88.9,,34.0,34.0,120.2,,34.0,34.0,105.7,,34.0,34.0,103.0,,34.0,34.0,96.4,,34.0,34.0,58.9,,34.0,34.0,89.4,,34.0,34.0,28.0,,34.0,34.0,112.9,,34.0,33.2,203.1,,33.2,34.0,176.2,,34.0,34.0,146.6,,34.0,34.0,136.6,,34.0,34.0,104.3,,34.0,34.0,76.4,,34.0,34.0,57.1,,34.0,34.0,45.3,,34.0,34.0,91.3,,34.0,34.0,67.9,,34.0,0.0,
22/02/2025 6:18:34 PM,480,34.0,92.6,,34.0,3.0,99.2,31.1,34.0,34.0,90.6,,34.0,3.0,99.2,31.2,34.0,34.0,61.3,,34.0,3.0,99.2,31.2,34.0,34.0,63.3,,34.0,34.0,59.8,,34.0,34.0,91.2,,34.0,34.0,89.4,,34.0,34.0,122.0,,34.0,34.0,108.2,,34.0,34.0,102.3,,34.0,34.0,99.3,,34.0,34.0,61.3,,34.0,34.0,88.6,,34.0,34.0,28.0,,34.0,34.0,112.4,,34.0,33.1,203.3,,33.2,34.0,182.0,,34.0,34.0,148.8,,34.0,34.0,139.5,,34.0,34.0,103.1,,34.0,34.0,79.3,,34.0,34.0,56.7,,34.0,34.0,45.3,,34.0,34.0,90.4,,34.0,34.0,69.2,,34.0,0.6,
