Manikin #3.4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval (sec),60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),
22/02/2025 17:20,0,34,83.3,,34,3,99.2,31.2,34,34,82.1,,34,3,99.2,31.2,34,34,52.6,,34,3,99.2,31.2,34,34,63.4,,34,34,63.1,,34,34,89.6,,34,34,92.8,,34,34,82.6,,34,34,88.5,,34,34,95.8,,34,34,93.2,,34,34,52.6,,34,34,87.4,,34,34,37.9,,34,34,120.7,,34,34,159.7,,34,34,127.3,,34,34,100.2,,34,34,112.5,,34,34,81.8,,34,34,87.1,,34,34,42.5,,34,34,45.3,,34,34,86.6,,34,34,79.8,,34,0.3
22/02/2025 17:21,60,34,83.3,,34,3,99.2,31.2,34,34,82.8,,34,3,99.2,31.2,34,34,54.3,,34,3,99.2,31.2,34,34,64.1,,34,34,62.7,,34,34,89.3,,34,34,94.7,,34,34,83.5,,34,34,89.5,,34,34,95.4,,34,34,96,,34,34,54.3,,34,34,86.6,,34,34,37.3,,34,34,118.1,,34,34,151.7,,34,34,128.5,,34,34,99.8,,34,34,112.8,,34,34,80.9,,34,34,84.9,,34,34,44.2,,34,34,43.8,,34,34,87.7,,34,34,78.7,,34,0.1
22/02/2025 17:22,120,34,83.3,,34,3,99.2,31.2,34,34,82,,34,3,99.2,31.2,34,34,53.5,,34,3,99.2,31.2,34,34,62.7,,34,34,63.7,,34,34,89,,34,34,91.8,,34,34,83.8,,34,34,84.7,,34,34,97.6,,34,34,95.7,,34,34,53.5,,34,34,86.2,,34,34,34,,34,34,119.5,,34,34,165.2,,34,34,126.2,,34,34,106.7,,34,34,113,,34,34,83.2,,34,34,83.3,,34,34,43.5,,34,34,43.8,,34,34,89,,34,34,80.4,,34,0.3
22/02/2025 17:23,180,34,83.9,,34,3,99.2,31.2,34,34,83.1,,34,3,99.2,31.2,34,34,54.5,,34,3,99.2,31.2,34,34,64.4,,34,34,63.7,,34,34,89.7,,34,34,94.1,,34,34,84.5,,34,34,89.6,,34,34,92.5,,34,34,95.4,,34,34,54.5,,34,34,88.2,,34,34,37,,34,34,120,,34,34,154.4,,34,34,130.7,,34,34,106,,34,34,118.5,,34,34,82.9,,34,34,85.7,,34,34,44.1,,34,34,43.7,,34,34,87.3,,34,34,78.5,,34,0.8
22/02/2025 17:24,240,34,83.5,,34,3,99.2,31.2,34,34,83.1,,34,3,99.2,31.2,34,34,54.3,,34,3,99.2,31.2,34,34,63.3,,34,34,65.1,,34,34,88.7,,34,34,94.4,,34,34,84.8,,34,34,89.3,,34,34,93.4,,34,34,94.5,,34,34,54.3,,34,34,88.5,,34,34,36,,34,34,118,,34,34,149.6,,34,34,138.4,,34,34,98.2,,34,34,119.7,,34,34,81.5,,34,34,85.8,,34,34,42.7,,34,34,44.3,,34,34,86.4,,34,34,78.3,,34,0.1
22/02/2025 17:25,300,34,87.2,,34,3,99.2,31.2,34,34,84.9,,34,3,99.2,31.2,34,34,55.5,,34,3,99.2,31.2,34,34,63.5,,34,34,64.1,,34,34,91,,34,34,95.3,,34,34,89.5,,34,34,93.5,,34,34,94.4,,34,34,96.8,,34,34,55.5,,34,34,91.6,,34,34,40.1,,34,34,128.5,,34,34,161.7,,34,34,142,,34,34,110.2,,34,34,123.7,,34,34,86.6,,34,34,92.6,,34,34,45.5,,34,34,44.8,,34,34,92.5,,34,34,82,,34,2.9
22/02/2025 17:26,360,34,88.2,,34,3,99.2,31.2,34,34,84.7,,34,3,99.2,31.2,34,34,56.2,,34,3,99.2,31.2,34,34,63.1,,34,34,64.1,,34,34,89.8,,34,34,94.6,,34,34,90.9,,34,34,95.3,,34,34,96.8,,34,34,97,,34,34,56.2,,34,34,93.6,,34,34,40.1,,34,34,131.5,,34,34,160.7,,34,34,138.4,,34,34,112.6,,34,34,128,,34,34,86.8,,34,34,92.2,,34,34,45.8,,34,34,46,,34,34,96.3,,34,34,85.9,,34,0.3
22/02/2025 17:27,420,34,87.8,,34,3,99.2,31.2,34,34,84.6,,34,3,99.2,31.2,34,34,56.9,,34,3,99.2,31.2,34,34,62.7,,34,34,63.4,,34,34,90.2,,34,34,94,,34,34,91.2,,34,34,93.5,,34,34,99.5,,34,34,96.5,,34,34,56.9,,34,34,93.5,,34,34,42.4,,34,34,133.4,,34,34,151.1,,34,34,145.7,,34,34,100.4,,34,34,127,,34,34,85.6,,34,34,91.7,,34,34,45.4,,34,34,46,,34,34,95.4,,34,34,85.9,,34,0.1
22/02/2025 17:28,480,34,87.9,,34,3,99.2,31.2,34,34,85.5,,34,3,99.2,31.2,34,34,55.9,,34,3,99.2,31.2,34,34,62.7,,34,34,64.2,,34,34,90.7,,34,34,96.8,,34,34,91.2,,34,34,94.8,,34,34,91.7,,34,34,98.1,,34,34,55.9,,34,34,95.1,,34,34,39.4,,34,34,132.2,,34,34,155.8,,34,34,139.1,,34,34,107.2,,34,34,127.1,,34,34,85,,34,34,94,,34,34,45.1,,34,34,45.8,,34,34,96.4,,34,34,85.7,,34,0.1
