Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
24/02/2025 4:37:27 PM,0,34.0,101.2,,34.0,3.0,99.2,31.2,34.0,34.0,95.7,,34.0,3.0,99.2,31.2,34.0,34.0,72.1,,34.0,3.0,99.2,31.2,34.0,34.0,66.2,,34.0,34.0,59.8,,34.0,34.0,94.5,,34.0,34.0,94.3,,34.0,34.0,133.3,,34.0,34.0,124.5,,34.0,34.0,117.0,,34.0,34.0,102.3,,34.0,34.0,72.1,,34.0,34.0,94.5,,34.0,34.0,33.2,,34.0,34.0,152.9,,34.0,34.0,194.9,,34.0,34.0,172.0,,34.0,34.0,133.4,,34.0,34.0,154.0,,34.0,34.0,112.5,,34.0,34.0,90.5,,34.0,34.0,70.4,,34.0,34.0,68.5,,34.0,34.0,98.0,,34.0,34.0,79.4,,34.0,0.1,
24/02/2025 4:38:27 PM,60,34.0,88.7,,34.0,3.0,99.2,31.2,34.0,34.0,89.0,,34.0,3.0,99.2,31.2,34.0,34.0,70.1,,34.0,3.0,99.2,31.2,34.0,34.0,64.5,,34.0,34.0,61.5,,34.0,34.0,90.3,,34.0,34.0,91.4,,34.0,34.0,112.6,,34.0,34.0,100.7,,34.0,34.0,97.6,,34.0,34.0,101.0,,34.0,34.0,70.1,,34.0,34.0,88.5,,34.0,34.0,29.9,,34.0,34.0,129.3,,34.0,34.0,154.9,,34.0,34.0,125.3,,34.0,34.0,116.3,,34.0,34.0,116.0,,34.0,34.0,89.4,,34.0,34.0,75.3,,34.0,34.0,68.8,,34.0,34.0,60.6,,34.0,34.0,90.5,,34.0,34.0,71.3,,34.0,0.2,
24/02/2025 4:39:27 PM,120,34.0,78.7,,34.0,3.0,99.2,31.2,34.0,34.0,85.6,,34.0,3.0,99.2,31.2,34.0,34.0,59.0,,34.0,3.0,99.2,31.2,34.0,34.0,63.7,,34.0,34.0,63.9,,34.0,34.0,90.6,,34.0,34.0,95.2,,34.0,34.0,93.2,,34.0,34.0,93.1,,34.0,34.0,103.0,,34.0,34.0,98.9,,34.0,34.0,59.0,,34.0,34.0,80.6,,34.0,34.0,23.1,,34.0,34.0,90.0,,34.0,34.0,130.2,,34.0,34.0,112.5,,34.0,34.0,88.0,,34.0,34.0,105.8,,34.0,34.0,69.1,,34.0,34.0,75.7,,34.0,34.0,47.7,,34.0,34.0,47.4,,34.0,34.0,63.7,,34.0,34.0,60.4,,34.0,10.9,
24/02/2025 4:40:27 PM,180,34.0,76.4,,34.0,3.0,99.2,31.2,34.0,34.0,83.7,,34.0,3.0,99.2,31.2,34.0,34.0,56.1,,34.0,3.0,99.2,31.2,34.0,34.0,63.9,,34.0,34.0,62.8,,34.0,34.0,91.0,,34.0,34.0,92.0,,34.0,34.0,88.6,,34.0,34.0,87.3,,34.0,34.0,102.1,,34.0,34.0,96.6,,34.0,34.0,56.1,,34.0,34.0,77.6,,34.0,34.0,21.6,,34.0,34.0,84.0,,34.0,34.0,132.9,,34.0,34.0,111.7,,34.0,34.0,87.7,,34.0,34.0,104.3,,34.0,34.0,66.0,,34.0,34.0,72.9,,34.0,34.0,43.9,,34.0,34.0,45.2,,34.0,34.0,58.5,,34.0,34.0,60.3,,34.0,1.1,
24/02/2025 4:41:27 PM,240,34.0,76.1,,34.0,3.0,99.2,31.2,34.0,34.0,84.3,,34.0,3.0,99.2,31.2,34.0,34.0,55.2,,34.0,3.0,99.2,31.2,34.0,34.0,69.5,,34.0,34.0,63.2,,34.0,34.0,90.7,,34.0,34.0,93.7,,34.0,34.0,86.4,,34.0,34.0,89.1,,34.0,34.0,99.8,,34.0,34.0,96.8,,34.0,34.0,55.2,,34.0,34.0,76.7,,34.0,34.0,22.2,,34.0,34.0,82.3,,34.0,34.0,127.7,,34.0,34.0,123.6,,34.0,34.0,86.6,,34.0,34.0,109.3,,34.0,34.0,64.6,,34.0,34.0,71.9,,34.0,34.0,39.3,,34.0,34.0,43.6,,34.0,34.0,55.7,,34.0,34.0,58.4,,34.0,0.1,
24/02/2025 4:42:27 PM,300,34.0,74.8,,34.0,3.0,99.2,31.2,34.0,34.0,80.0,,34.0,3.0,99.2,31.2,34.0,34.0,58.1,,34.0,3.0,99.2,31.2,34.0,34.0,63.9,,34.0,34.0,64.3,,34.0,34.0,88.9,,34.0,34.0,92.5,,34.0,34.0,73.9,,34.0,34.0,83.8,,34.0,34.0,99.3,,34.0,34.0,98.5,,34.0,34.0,58.1,,34.0,34.0,75.6,,34.0,34.0,20.5,,34.0,34.0,85.3,,34.0,34.0,128.5,,34.0,34.0,120.0,,34.0,34.0,86.3,,34.0,34.0,116.4,,34.0,34.0,64.6,,34.0,34.0,74.8,,34.0,34.0,38.4,,34.0,34.0,42.6,,34.0,34.0,53.5,,34.0,34.0,55.9,,34.0,2.1,
24/02/2025 4:43:27 PM,360,34.0,84.6,,34.0,3.0,99.2,31.2,34.0,34.0,80.9,,34.0,3.0,99.2,31.2,34.0,34.0,52.9,,34.0,3.0,99.2,31.2,34.0,34.0,64.4,,34.0,34.0,63.5,,34.0,34.0,88.3,,34.0,34.0,93.9,,34.0,34.0,76.7,,34.0,34.0,81.2,,34.0,34.0,99.8,,34.0,34.0,96.4,,34.0,34.0,52.9,,34.0,34.0,72.1,,34.0,34.0,30.7,,34.0,34.0,81.5,,34.0,34.0,173.7,,34.0,34.0,147.1,,34.0,34.0,166.4,,34.0,34.0,155.1,,34.0,34.0,103.2,,34.0,34.0,94.1,,34.0,34.0,43.0,,34.0,34.0,49.2,,34.0,34.0,64.7,,34.0,34.0,66.5,,34.0,7.5,
24/02/2025 4:44:27 PM,420,34.0,72.2,,34.0,3.0,99.2,31.2,34.0,34.0,81.0,,34.0,3.0,99.2,31.2,34.0,34.0,50.5,,34.0,3.0,99.2,31.2,34.0,34.0,64.6,,34.0,34.0,63.4,,34.0,34.0,90.5,,34.0,34.0,90.3,,34.0,34.0,78.7,,34.0,34.0,80.3,,34.0,34.0,95.5,,34.0,34.0,94.1,,34.0,34.0,50.5,,34.0,34.0,72.1,,34.0,34.0,16.8,,34.0,34.0,81.8,,34.0,34.0,120.2,,34.0,34.0,126.1,,34.0,34.0,89.7,,34.0,34.0,86.4,,34.0,34.0,63.0,,34.0,34.0,67.4,,34.0,34.0,40.9,,34.0,34.0,36.3,,34.0,34.0,58.1,,34.0,34.0,55.8,,34.0,5.4,
24/02/2025 4:45:27 PM,480,34.0,71.1,,34.0,3.0,99.2,31.2,34.0,34.0,82.7,,34.0,3.0,99.2,31.2,34.0,34.0,47.2,,34.0,3.0,99.2,31.2,34.0,34.0,64.7,,34.0,34.0,63.3,,34.0,34.0,89.0,,34.0,34.0,98.4,,34.0,34.0,78.7,,34.0,34.0,80.8,,34.0,34.0,98.3,,34.0,34.0,96.7,,34.0,34.0,47.2,,34.0,34.0,73.4,,34.0,34.0,19.0,,34.0,34.0,83.6,,34.0,34.0,124.8,,34.0,34.0,109.1,,34.0,34.0,84.2,,34.0,34.0,73.6,,34.0,34.0,62.3,,34.0,34.0,60.4,,34.0,34.0,36.0,,34.0,34.0,34.4,,34.0,34.0,53.1,,34.0,34.0,50.6,,34.0,2.4,
