Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
24/02/2025 3:21:52 PM,0,34.0,97.4,,34.0,3.0,99.1,31.1,34.0,34.0,93.8,,34.0,3.0,99.2,31.2,34.0,34.0,63.9,,34.0,3.0,99.2,31.2,34.0,34.0,65.0,,34.0,34.0,63.4,,34.0,34.0,92.2,,34.0,34.0,92.8,,34.0,34.0,128.2,,34.0,34.0,109.1,,34.0,34.0,108.4,,34.0,34.0,104.6,,34.0,34.0,63.9,,34.0,34.0,93.8,,34.0,34.0,29.2,,34.0,34.0,125.4,,34.0,32.5,204.0,,32.5,34.0,198.2,,34.0,34.0,151.4,,34.0,34.0,160.7,,34.0,34.0,110.4,,34.0,34.0,83.7,,34.0,34.0,60.9,,34.0,34.0,48.6,,34.0,34.0,94.8,,34.0,34.0,71.4,,34.0,0.4,
24/02/2025 3:22:52 PM,60,34.0,99.5,,34.0,3.0,99.1,31.1,34.0,34.0,95.4,,34.0,3.0,99.2,31.2,34.0,34.0,63.5,,34.0,3.0,99.2,31.2,34.0,34.0,64.4,,34.0,34.0,63.2,,34.0,34.0,95.6,,34.0,34.0,94.9,,34.0,34.0,129.5,,34.0,34.0,111.0,,34.0,34.0,109.8,,34.0,34.0,104.9,,34.0,34.0,63.5,,34.0,34.0,95.2,,34.0,34.0,29.2,,34.0,34.0,134.0,,34.0,32.4,203.9,,32.4,34.0,209.2,,34.0,34.0,150.5,,34.0,34.0,160.2,,34.0,34.0,117.0,,34.0,34.0,85.4,,34.0,34.0,62.1,,34.0,34.0,49.3,,34.0,34.0,100.5,,34.0,34.0,74.5,,34.0,0.7,
24/02/2025 3:23:51 PM,120,34.0,100.5,,34.0,3.0,99.1,31.1,34.0,34.0,97.5,,34.0,3.0,99.2,31.2,34.0,34.0,63.1,,34.0,3.0,99.2,31.2,34.0,34.0,65.1,,34.0,34.0,62.1,,34.0,34.0,96.9,,34.0,34.0,96.3,,34.0,34.0,135.6,,34.0,34.0,112.5,,34.0,34.0,114.3,,34.0,34.0,105.9,,34.0,34.0,63.1,,34.0,34.0,95.9,,34.0,34.0,29.6,,34.0,34.0,135.2,,34.0,32.3,204.1,,32.2,34.0,209.1,,34.0,34.0,145.0,,34.0,34.0,161.1,,34.0,34.0,115.9,,34.0,34.0,87.1,,34.0,34.0,62.8,,34.0,34.0,48.3,,34.0,34.0,102.5,,34.0,34.0,75.4,,34.0,1.4,
24/02/2025 3:24:52 PM,180,34.0,101.1,,34.0,3.0,99.1,31.1,34.0,34.0,97.7,,34.0,3.0,99.2,31.2,34.0,34.0,64.3,,34.0,3.0,99.2,31.2,34.0,34.0,66.1,,34.0,34.0,62.3,,34.0,34.0,96.9,,34.0,34.0,94.6,,34.0,34.0,137.9,,34.0,34.0,113.9,,34.0,34.0,117.2,,34.0,34.0,107.3,,34.0,34.0,64.3,,34.0,34.0,97.9,,34.0,34.0,30.1,,34.0,34.0,135.0,,34.0,32.1,204.5,,32.1,34.0,206.0,,34.0,34.0,146.9,,34.0,34.0,162.6,,34.0,34.0,116.2,,34.0,34.0,85.2,,34.0,34.0,62.7,,34.0,34.0,49.5,,34.0,34.0,100.5,,34.0,34.0,77.5,,34.0,0.5,
24/02/2025 3:25:52 PM,240,33.9,101.8,,33.9,3.0,99.1,31.1,33.9,34.0,99.1,,34.0,3.0,99.2,31.2,34.0,34.0,66.8,,34.0,3.0,99.2,31.2,34.0,34.0,67.6,,34.0,34.0,63.2,,34.0,34.0,97.6,,34.0,34.0,96.9,,34.0,34.0,139.1,,34.0,34.0,114.7,,34.0,34.0,118.8,,34.0,34.0,107.9,,34.0,34.0,66.8,,34.0,34.0,98.5,,34.0,34.0,31.2,,34.0,34.0,133.8,,34.0,32.0,204.5,,31.9,34.0,206.0,,34.0,34.0,143.9,,34.0,34.0,160.6,,34.0,34.0,118.0,,34.0,34.0,87.8,,34.0,34.0,64.1,,34.0,34.0,49.1,,34.0,34.0,101.8,,34.0,34.0,75.8,,34.0,0.6,
24/02/2025 3:26:51 PM,300,33.9,101.2,,33.9,3.0,99.1,31.1,33.9,34.0,99.0,,34.0,3.0,99.2,31.2,34.0,34.0,66.9,,34.0,3.0,99.2,31.2,34.0,34.0,66.3,,34.0,34.0,61.8,,34.0,34.0,98.9,,34.0,34.0,96.4,,34.0,34.0,139.1,,34.0,34.0,113.3,,34.0,34.0,118.9,,34.0,34.0,108.7,,34.0,34.0,66.9,,34.0,34.0,98.5,,34.0,34.0,31.0,,34.0,34.0,133.9,,34.0,31.9,204.6,,31.8,34.0,203.1,,34.0,34.0,146.3,,34.0,34.0,158.8,,34.0,34.0,116.8,,34.0,34.0,83.2,,34.0,34.0,61.7,,34.0,34.0,48.9,,34.0,34.0,101.2,,34.0,34.0,74.8,,34.0,0.8,
24/02/2025 3:27:52 PM,360,33.9,100.6,,33.9,3.0,99.1,31.1,33.9,34.0,97.9,,34.0,3.0,99.2,31.2,34.0,34.0,66.3,,34.0,3.0,99.2,31.2,34.0,34.0,64.1,,34.0,34.0,62.4,,34.0,34.0,98.9,,34.0,34.0,95.7,,34.0,34.0,135.9,,34.0,34.0,114.2,,34.0,34.0,117.7,,34.0,34.0,105.5,,34.0,34.0,66.3,,34.0,34.0,97.8,,34.0,34.0,32.3,,34.0,34.0,135.7,,34.0,31.8,204.6,,31.7,34.0,205.6,,34.0,34.0,141.0,,34.0,34.0,159.0,,34.0,34.0,113.8,,34.0,34.0,85.8,,34.0,34.0,62.4,,34.0,34.0,49.5,,34.0,34.0,98.4,,34.0,34.0,73.8,,34.0,0.2,
24/02/2025 3:28:52 PM,420,33.9,101.6,,33.9,3.0,99.1,31.1,33.9,34.0,99.8,,34.0,3.0,99.2,31.2,34.0,34.0,65.3,,34.0,3.0,99.2,31.2,34.0,34.0,67.4,,34.0,34.0,62.0,,34.0,34.0,100.9,,34.0,34.0,97.9,,34.0,34.0,137.9,,34.0,34.0,117.2,,34.0,34.0,118.2,,34.0,34.0,108.3,,34.0,34.0,65.3,,34.0,34.0,98.8,,34.0,34.0,30.8,,34.0,34.0,131.4,,34.0,31.7,204.6,,31.7,34.0,204.1,,34.0,34.0,144.0,,34.0,34.0,162.7,,34.0,34.0,113.4,,34.0,34.0,86.7,,34.0,34.0,62.5,,34.0,34.0,48.5,,34.0,34.0,99.8,,34.0,34.0,75.9,,34.0,0.2,
24/02/2025 3:29:51 PM,480,33.9,102.5,,33.9,3.0,99.1,31.1,33.9,34.0,101.3,,34.0,3.0,99.2,31.2,34.0,34.0,66.3,,34.0,3.0,99.2,31.2,34.0,34.0,66.1,,34.0,34.0,62.1,,34.0,34.0,101.7,,34.0,34.0,99.4,,34.0,34.0,142.7,,34.0,34.0,120.2,,34.0,34.0,117.0,,34.0,34.0,106.1,,34.0,34.0,66.3,,34.0,34.0,99.6,,34.0,34.0,30.5,,34.0,34.0,127.7,,34.0,31.6,204.8,,31.6,33.9,212.6,,34.0,34.0,151.3,,34.0,34.0,168.9,,34.0,34.0,114.9,,34.0,34.0,86.8,,34.0,34.0,61.7,,34.0,34.0,49.9,,34.0,34.0,97.8,,34.0,34.0,74.4,,34.0,0.1,
