Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
24/02/2025 3:11:12 PM,0,34.0,91.0,,34.0,3.0,99.2,31.1,34.0,34.0,89.8,,34.0,3.0,99.2,31.2,34.0,34.0,59.7,,34.0,3.0,99.2,31.2,34.0,34.0,64.2,,34.0,34.0,62.8,,34.0,34.0,91.0,,34.0,34.0,90.5,,34.0,34.0,115.8,,34.0,34.0,99.9,,34.0,34.0,98.6,,34.0,34.0,99.1,,34.0,34.0,59.7,,34.0,34.0,88.3,,34.0,34.0,26.9,,34.0,34.0,123.6,,34.0,33.8,202.8,,33.7,34.0,167.5,,34.0,34.0,125.4,,34.0,34.0,136.9,,34.0,34.0,103.3,,34.0,34.0,82.1,,34.0,34.0,59.0,,34.0,34.0,45.9,,34.0,34.0,89.0,,34.0,34.0,70.0,,34.0,0.9,
24/02/2025 3:12:11 PM,60,34.0,94.4,,34.0,3.0,99.2,31.1,34.0,34.0,92.0,,34.0,3.0,99.2,31.2,34.0,34.0,61.3,,34.0,3.0,99.2,31.2,34.0,34.0,63.2,,34.0,34.0,63.3,,34.0,34.0,95.9,,34.0,34.0,93.3,,34.0,34.0,117.2,,34.0,34.0,106.8,,34.0,34.0,102.5,,34.0,34.0,100.1,,34.0,34.0,61.3,,34.0,34.0,91.4,,34.0,34.0,27.2,,34.0,34.0,128.2,,34.0,33.6,203.0,,33.5,34.0,188.6,,34.0,34.0,134.1,,34.0,34.0,147.0,,34.0,34.0,110.6,,34.0,34.0,83.1,,34.0,34.0,56.2,,34.0,34.0,46.8,,34.0,34.0,95.0,,34.0,34.0,70.6,,34.0,2.2,
24/02/2025 3:13:11 PM,120,34.0,95.4,,34.0,3.0,99.2,31.1,34.0,34.0,93.9,,34.0,3.0,99.2,31.2,34.0,34.0,62.3,,34.0,3.0,99.2,31.2,34.0,34.0,64.9,,34.0,34.0,63.3,,34.0,34.0,94.1,,34.0,34.0,93.5,,34.0,34.0,125.8,,34.0,34.0,107.8,,34.0,34.0,109.3,,34.0,34.0,105.0,,34.0,34.0,62.3,,34.0,34.0,90.7,,34.0,34.0,27.4,,34.0,34.0,126.5,,34.0,33.3,203.1,,33.2,34.0,186.7,,34.0,34.0,131.2,,34.0,34.0,143.2,,34.0,34.0,107.5,,34.0,34.0,81.9,,34.0,34.0,59.6,,34.0,34.0,48.4,,34.0,34.0,95.1,,34.0,34.0,72.7,,34.0,0.1,
24/02/2025 3:14:11 PM,180,34.0,96.4,,34.0,3.0,99.1,31.1,34.0,34.0,95.6,,34.0,3.0,99.2,31.2,34.0,34.0,56.0,,34.0,3.0,99.2,31.2,34.0,34.0,65.6,,34.0,34.0,63.3,,34.0,34.0,98.3,,34.0,34.0,95.6,,34.0,34.0,125.9,,34.0,34.0,108.1,,34.0,34.0,110.4,,34.0,34.0,104.1,,34.0,34.0,56.0,,34.0,34.0,93.3,,34.0,34.0,28.3,,34.0,34.0,128.7,,34.0,33.1,203.2,,33.1,34.0,184.0,,34.0,34.0,139.0,,34.0,34.0,150.8,,34.0,34.0,108.8,,34.0,34.0,81.6,,34.0,34.0,60.3,,34.0,34.0,48.8,,34.0,34.0,95.4,,34.0,34.0,71.6,,34.0,0.1,
24/02/2025 3:15:11 PM,240,34.0,97.1,,34.0,3.0,99.1,31.1,34.0,34.0,94.9,,34.0,3.0,99.2,31.2,34.0,34.0,62.2,,34.0,3.0,99.2,31.2,34.0,34.0,64.5,,34.0,34.0,62.7,,34.0,34.0,96.6,,34.0,34.0,93.8,,34.0,34.0,127.6,,34.0,34.0,108.9,,34.0,34.0,109.6,,34.0,34.0,107.7,,34.0,34.0,62.2,,34.0,34.0,93.8,,34.0,34.0,29.2,,34.0,34.0,128.1,,34.0,33.0,203.3,,33.0,34.0,189.3,,34.0,34.0,136.9,,34.0,34.0,154.4,,34.0,34.0,109.9,,34.0,34.0,84.0,,34.0,34.0,60.9,,34.0,34.0,49.3,,34.0,34.0,96.0,,34.0,34.0,72.2,,34.0,0.0,
24/02/2025 3:16:11 PM,300,34.0,96.4,,34.0,3.0,99.1,31.1,34.0,34.0,94.2,,34.0,3.0,99.2,31.2,34.0,34.0,62.6,,34.0,3.0,99.2,31.2,34.0,34.0,63.7,,34.0,34.0,62.7,,34.0,34.0,93.2,,34.0,34.0,94.8,,34.0,34.0,127.6,,34.0,34.0,110.6,,34.0,34.0,107.3,,34.0,34.0,103.2,,34.0,34.0,62.6,,34.0,34.0,93.8,,34.0,34.0,30.0,,34.0,34.0,124.4,,34.0,33.0,203.6,,32.9,34.0,188.7,,34.0,34.0,135.8,,34.0,34.0,150.5,,34.0,34.0,108.5,,34.0,34.0,83.2,,34.0,34.0,60.7,,34.0,34.0,48.7,,34.0,34.0,97.0,,34.0,34.0,73.1,,34.0,0.6,
24/02/2025 3:17:11 PM,360,34.0,96.1,,34.0,3.0,99.1,31.1,34.0,34.0,93.1,,34.0,3.0,99.2,31.2,34.0,34.0,63.1,,34.0,3.0,99.2,31.2,34.0,34.0,62.7,,34.0,34.0,62.4,,34.0,34.0,94.4,,34.0,34.0,92.8,,34.0,34.0,124.7,,34.0,34.0,109.1,,34.0,34.0,107.2,,34.0,34.0,103.4,,34.0,34.0,63.1,,34.0,34.0,93.9,,34.0,34.0,28.4,,34.0,34.0,123.0,,34.0,32.9,203.6,,32.9,34.0,188.2,,34.0,34.0,139.9,,34.0,34.0,151.7,,34.0,34.0,110.1,,34.0,34.0,83.8,,34.0,34.0,60.6,,34.0,34.0,48.5,,34.0,34.0,95.5,,34.0,34.0,72.7,,34.0,0.0,
24/02/2025 3:18:12 PM,420,34.0,96.8,,34.0,3.0,99.1,31.1,34.0,34.0,94.1,,34.0,3.0,99.2,31.2,34.0,34.0,62.1,,34.0,3.0,99.2,31.2,34.0,34.0,64.5,,34.0,34.0,61.7,,34.0,34.0,95.9,,34.0,34.0,93.3,,34.0,34.0,126.0,,34.0,34.0,109.1,,34.0,34.0,108.9,,34.0,34.0,103.9,,34.0,34.0,62.1,,34.0,34.0,94.4,,34.0,34.0,29.3,,34.0,34.0,121.9,,34.0,32.8,203.8,,32.8,34.0,192.0,,34.0,34.0,144.6,,34.0,34.0,154.1,,34.0,34.0,109.3,,34.0,34.0,84.7,,34.0,34.0,60.3,,34.0,34.0,48.8,,34.0,34.0,95.7,,34.0,34.0,71.8,,34.0,0.8,
24/02/2025 3:19:12 PM,480,34.0,97.5,,34.0,3.0,99.1,31.1,34.0,34.0,94.7,,34.0,3.0,99.2,31.2,34.0,34.0,62.1,,34.0,3.0,99.2,31.2,34.0,34.0,63.8,,34.0,34.0,63.9,,34.0,34.0,95.1,,34.0,34.0,94.2,,34.0,34.0,127.5,,34.0,34.0,109.2,,34.0,34.0,107.6,,34.0,34.0,103.8,,34.0,34.0,62.1,,34.0,34.0,94.8,,34.0,34.0,29.4,,34.0,34.0,122.2,,34.0,32.7,203.9,,32.8,34.0,197.7,,34.0,34.0,146.4,,34.0,34.0,163.7,,34.0,34.0,111.3,,34.0,34.0,83.2,,34.0,34.0,60.6,,34.0,34.0,49.6,,34.0,34.0,95.9,,34.0,34.0,72.0,,34.0,0.7,
