Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
24/02/2025 12:07:06 PM,0,34.0,76.5,,34.0,3.0,99.2,31.2,34.0,34.0,82.1,,34.0,3.0,99.2,31.2,34.0,34.0,47.4,,34.0,3.0,99.2,31.2,34.0,34.0,64.2,,34.0,34.0,64.2,,34.0,34.0,90.0,,34.0,34.0,95.4,,34.0,34.0,78.2,,34.0,34.0,82.8,,34.0,34.0,97.3,,34.0,34.0,89.8,,34.0,34.0,47.4,,34.0,34.0,72.8,,34.0,34.0,25.9,,34.0,34.0,155.6,,34.0,34.0,126.9,,34.0,34.0,120.7,,34.0,34.0,88.4,,34.0,34.0,102.3,,34.0,34.0,67.1,,34.0,34.0,73.3,,34.0,34.0,44.5,,34.0,34.0,46.8,,34.0,34.0,50.4,,34.0,34.0,55.2,,34.0,0.5,
24/02/2025 12:08:06 PM,60,34.0,73.9,,34.0,3.0,99.2,31.2,34.0,34.0,81.3,,34.0,3.0,99.2,31.2,34.0,34.0,46.0,,34.0,3.0,99.2,31.2,34.0,34.0,63.6,,34.0,34.0,64.0,,34.0,34.0,87.6,,34.0,34.0,95.5,,34.0,34.0,77.9,,34.0,34.0,88.3,,34.0,34.0,95.3,,34.0,34.0,94.5,,34.0,34.0,46.0,,34.0,34.0,73.2,,34.0,34.0,21.8,,34.0,34.0,97.5,,34.0,34.0,120.3,,34.0,34.0,118.0,,34.0,34.0,84.2,,34.0,34.0,105.8,,34.0,34.0,62.4,,34.0,34.0,72.9,,34.0,34.0,41.1,,34.0,34.0,42.7,,34.0,34.0,50.0,,34.0,34.0,55.7,,34.0,1.9,
24/02/2025 12:09:06 PM,120,34.0,75.1,,34.0,3.0,99.2,31.2,34.0,34.0,81.1,,34.0,3.0,99.2,31.2,34.0,34.0,46.3,,34.0,3.0,99.2,31.2,34.0,34.0,65.3,,34.0,34.0,64.4,,34.0,34.0,87.9,,34.0,34.0,93.3,,34.0,34.0,77.9,,34.0,34.0,85.3,,34.0,34.0,94.2,,34.0,34.0,92.2,,34.0,34.0,46.3,,34.0,34.0,71.5,,34.0,34.0,18.7,,34.0,34.0,125.3,,34.0,34.0,135.1,,34.0,34.0,126.8,,34.0,34.0,85.9,,34.0,34.0,108.8,,34.0,34.0,68.4,,34.0,34.0,73.4,,34.0,34.0,38.3,,34.0,34.0,42.5,,34.0,34.0,52.9,,34.0,34.0,56.9,,34.0,0.3,
24/02/2025 12:10:06 PM,180,34.0,77.0,,34.0,3.0,99.2,31.2,34.0,34.0,81.1,,34.0,3.0,99.2,31.2,34.0,34.0,44.8,,34.0,3.0,99.2,31.2,34.0,34.0,65.0,,34.0,34.0,64.0,,34.0,34.0,88.9,,34.0,34.0,92.6,,34.0,34.0,77.9,,34.0,34.0,82.2,,34.0,34.0,97.9,,34.0,34.0,96.4,,34.0,34.0,44.8,,34.0,34.0,72.7,,34.0,34.0,24.4,,34.0,34.0,167.6,,34.0,34.0,134.4,,34.0,34.0,125.8,,34.0,34.0,88.7,,34.0,34.0,104.3,,34.0,34.0,65.0,,34.0,34.0,65.7,,34.0,34.0,48.8,,34.0,34.0,46.0,,34.0,34.0,53.6,,34.0,34.0,53.7,,34.0,0.5,
24/02/2025 12:11:06 PM,240,34.0,78.1,,34.0,3.0,99.2,31.2,34.0,34.0,81.5,,34.0,3.0,99.2,31.2,34.0,34.0,46.8,,34.0,3.0,99.2,31.2,34.0,34.0,63.1,,34.0,34.0,64.5,,34.0,34.0,89.3,,34.0,34.0,94.6,,34.0,34.0,77.9,,34.0,34.0,84.5,,34.0,34.0,100.1,,34.0,34.0,94.9,,34.0,34.0,46.8,,34.0,34.0,72.8,,34.0,34.0,23.3,,34.0,34.0,176.6,,34.0,34.0,136.0,,34.0,34.0,124.0,,34.0,34.0,90.1,,34.0,34.0,106.4,,34.0,34.0,66.2,,34.0,34.0,73.0,,34.0,34.0,47.7,,34.0,34.0,45.1,,34.0,34.0,53.9,,34.0,34.0,55.8,,34.0,0.7,
24/02/2025 12:12:06 PM,300,34.0,77.7,,34.0,3.0,99.2,31.2,34.0,34.0,81.1,,34.0,3.0,99.2,31.2,34.0,34.0,46.1,,34.0,3.0,99.2,31.2,34.0,34.0,64.7,,34.0,34.0,63.9,,34.0,34.0,88.2,,34.0,34.0,93.5,,34.0,34.0,77.9,,34.0,34.0,84.2,,34.0,34.0,99.0,,34.0,34.0,93.0,,34.0,34.0,46.1,,34.0,34.0,72.7,,34.0,34.0,23.1,,34.0,34.0,179.0,,34.0,34.0,136.6,,34.0,34.0,119.1,,34.0,34.0,88.3,,34.0,34.0,105.2,,34.0,34.0,67.5,,34.0,34.0,71.4,,34.0,34.0,48.2,,34.0,34.0,45.9,,34.0,34.0,55.8,,34.0,34.0,54.1,,34.0,1.0,
24/02/2025 12:13:06 PM,360,34.0,77.7,,34.0,3.0,99.2,31.2,34.0,34.0,82.3,,34.0,3.0,99.2,31.2,34.0,34.0,44.7,,34.0,3.0,99.2,31.2,34.0,34.0,65.4,,34.0,34.0,65.2,,34.0,34.0,89.7,,34.0,34.0,95.6,,34.0,34.0,77.9,,34.0,34.0,85.6,,34.0,34.0,97.9,,34.0,34.0,92.7,,34.0,34.0,44.7,,34.0,34.0,70.8,,34.0,34.0,21.7,,34.0,34.0,178.5,,34.0,34.0,134.4,,34.0,34.0,119.8,,34.0,34.0,87.3,,34.0,34.0,106.2,,34.0,34.0,67.9,,34.0,34.0,73.0,,34.0,34.0,46.6,,34.0,34.0,45.9,,34.0,34.0,56.0,,34.0,34.0,54.7,,34.0,0.2,
24/02/2025 12:14:06 PM,420,34.0,78.1,,34.0,3.0,99.2,31.2,34.0,34.0,82.5,,34.0,3.0,99.2,31.2,34.0,34.0,46.1,,34.0,3.0,99.2,31.2,34.0,34.0,65.7,,34.0,34.0,63.6,,34.0,34.0,92.0,,34.0,34.0,94.8,,34.0,34.0,77.9,,34.0,34.0,85.9,,34.0,34.0,96.6,,34.0,34.0,93.2,,34.0,34.0,46.1,,34.0,34.0,70.9,,34.0,34.0,25.3,,34.0,34.0,177.8,,34.0,34.0,132.4,,34.0,34.0,121.4,,34.0,34.0,90.4,,34.0,34.0,108.2,,34.0,34.0,69.6,,34.0,34.0,71.5,,34.0,34.0,48.2,,34.0,34.0,44.8,,34.0,34.0,56.0,,34.0,34.0,53.4,,34.0,0.1,
24/02/2025 12:15:06 PM,480,34.0,77.3,,34.0,3.0,99.2,31.2,34.0,34.0,81.9,,34.0,3.0,99.2,31.2,34.0,34.0,45.4,,34.0,3.0,99.2,31.2,34.0,34.0,63.1,,34.0,34.0,65.4,,34.0,34.0,90.6,,34.0,34.0,94.3,,34.0,34.0,77.9,,34.0,34.0,84.1,,34.0,34.0,99.0,,34.0,34.0,95.5,,34.0,34.0,45.4,,34.0,34.0,73.0,,34.0,34.0,23.7,,34.0,34.0,175.5,,34.0,34.0,128.4,,34.0,34.0,119.3,,34.0,34.0,86.5,,34.0,34.0,99.9,,34.0,34.0,66.3,,34.0,34.0,69.9,,34.0,34.0,47.6,,34.0,34.0,44.7,,34.0,34.0,56.1,,34.0,34.0,53.5,,34.0,0.5,
