Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
24/02/2025 4:23:36 PM,0,34.0,95.6,,34.0,3.0,99.2,31.2,34.0,34.0,91.7,,34.0,3.0,99.2,31.2,34.0,34.0,68.4,,34.0,3.0,99.2,31.2,34.0,34.0,65.9,,34.0,34.0,57.2,,34.0,34.0,91.9,,34.0,34.0,92.1,,34.0,34.0,123.2,,34.0,34.0,110.7,,34.0,34.0,107.4,,34.0,34.0,98.4,,34.0,34.0,68.4,,34.0,34.0,89.0,,34.0,34.0,30.8,,34.0,34.0,150.9,,34.0,34.0,175.0,,34.0,34.0,141.6,,34.0,34.0,145.9,,34.0,34.0,142.8,,34.0,34.0,109.3,,34.0,34.0,82.7,,34.0,34.0,68.5,,34.0,34.0,62.9,,34.0,34.0,97.9,,34.0,34.0,74.1,,34.0,0.5,
24/02/2025 4:24:37 PM,60,34.0,98.2,,34.0,3.0,99.2,31.2,34.0,34.0,93.8,,34.0,3.0,99.2,31.2,34.0,34.0,70.8,,34.0,3.0,99.2,31.2,34.0,34.0,64.4,,34.0,34.0,62.7,,34.0,34.0,94.2,,34.0,34.0,94.1,,34.0,34.0,125.2,,34.0,34.0,113.7,,34.0,34.0,109.6,,34.0,34.0,99.9,,34.0,34.0,70.8,,34.0,34.0,91.7,,34.0,34.0,31.7,,34.0,34.0,161.5,,34.0,34.0,172.1,,34.0,34.0,147.8,,34.0,34.0,136.4,,34.0,34.0,153.9,,34.0,34.0,113.4,,34.0,34.0,88.6,,34.0,34.0,69.8,,34.0,34.0,64.3,,34.0,34.0,102.2,,34.0,34.0,77.5,,34.0,1.6,
24/02/2025 4:25:37 PM,120,34.0,98.6,,34.0,3.0,99.2,31.2,34.0,34.0,94.2,,34.0,3.0,99.2,31.2,34.0,34.0,69.6,,34.0,3.0,99.2,31.2,34.0,34.0,65.3,,34.0,34.0,60.3,,34.0,34.0,94.4,,34.0,34.0,91.4,,34.0,34.0,130.3,,34.0,34.0,117.4,,34.0,34.0,113.1,,34.0,34.0,101.8,,34.0,34.0,69.6,,34.0,34.0,92.3,,34.0,34.0,32.9,,34.0,34.0,162.9,,34.0,34.0,163.1,,34.0,34.0,153.9,,34.0,34.0,135.3,,34.0,34.0,147.8,,34.0,34.0,113.0,,34.0,34.0,87.6,,34.0,34.0,68.7,,34.0,34.0,64.2,,34.0,34.0,102.5,,34.0,34.0,78.4,,34.0,0.1,
24/02/2025 4:26:37 PM,180,34.0,97.7,,34.0,3.0,99.2,31.2,34.0,34.0,93.3,,34.0,3.0,99.2,31.2,34.0,34.0,73.1,,34.0,3.0,99.2,31.2,34.0,34.0,64.9,,34.0,34.0,61.0,,34.0,34.0,92.4,,34.0,34.0,90.3,,34.0,34.0,129.8,,34.0,34.0,115.1,,34.0,34.0,113.8,,34.0,34.0,99.8,,34.0,34.0,73.1,,34.0,34.0,91.8,,34.0,34.0,33.2,,34.0,34.0,162.8,,34.0,34.0,166.9,,34.0,34.0,148.3,,34.0,34.0,131.0,,34.0,34.0,140.6,,34.0,34.0,113.4,,34.0,34.0,86.1,,34.0,34.0,68.5,,34.0,34.0,64.6,,34.0,34.0,101.5,,34.0,34.0,77.6,,34.0,0.2,
24/02/2025 4:27:37 PM,240,34.0,98.7,,34.0,3.0,99.2,31.2,34.0,34.0,93.9,,34.0,3.0,99.2,31.2,34.0,34.0,69.1,,34.0,3.0,99.2,31.2,34.0,34.0,66.1,,34.0,34.0,61.4,,34.0,34.0,92.4,,34.0,34.0,92.0,,34.0,34.0,129.7,,34.0,34.0,118.0,,34.0,34.0,114.1,,34.0,34.0,100.6,,34.0,34.0,69.1,,34.0,34.0,90.8,,34.0,34.0,32.7,,34.0,34.0,162.7,,34.0,34.0,170.2,,34.0,34.0,158.5,,34.0,34.0,130.1,,34.0,34.0,146.5,,34.0,34.0,114.5,,34.0,34.0,89.0,,34.0,34.0,69.9,,34.0,34.0,64.5,,34.0,34.0,102.4,,34.0,34.0,79.7,,34.0,0.1,
24/02/2025 4:28:37 PM,300,34.0,99.1,,34.0,3.0,99.2,31.2,34.0,34.0,93.8,,34.0,3.0,99.2,31.2,34.0,34.0,69.5,,34.0,3.0,99.2,31.2,34.0,34.0,65.5,,34.0,34.0,62.0,,34.0,34.0,91.7,,34.0,34.0,91.4,,34.0,34.0,130.6,,34.0,34.0,119.4,,34.0,34.0,114.6,,34.0,34.0,101.3,,34.0,34.0,69.5,,34.0,34.0,96.4,,34.0,34.0,34.2,,34.0,34.0,159.4,,34.0,34.0,171.4,,34.0,34.0,158.1,,34.0,34.0,129.0,,34.0,34.0,148.4,,34.0,34.0,113.3,,34.0,34.0,88.5,,34.0,34.0,68.9,,34.0,34.0,67.1,,34.0,34.0,100.2,,34.0,34.0,78.6,,34.0,0.0,
24/02/2025 4:29:36 PM,360,34.0,100.6,,34.0,3.0,99.2,31.2,34.0,34.0,95.9,,34.0,3.0,99.2,31.2,34.0,34.0,71.6,,34.0,3.0,99.2,31.2,34.0,34.0,64.1,,34.0,34.0,61.5,,34.0,34.0,95.6,,34.0,34.0,92.8,,34.0,34.0,134.9,,34.0,34.0,121.2,,34.0,34.0,115.2,,34.0,34.0,101.8,,34.0,34.0,71.6,,34.0,34.0,93.9,,34.0,34.0,34.3,,34.0,34.0,156.7,,34.0,34.0,180.2,,34.0,34.0,172.3,,34.0,34.0,130.9,,34.0,34.0,148.1,,34.0,34.0,113.9,,34.0,34.0,90.7,,34.0,34.0,69.1,,34.0,34.0,67.3,,34.0,34.0,102.1,,34.0,34.0,79.8,,34.0,0.8,
24/02/2025 4:30:37 PM,420,34.0,99.9,,34.0,3.0,99.2,31.2,34.0,34.0,94.7,,34.0,3.0,99.2,31.2,34.0,34.0,72.6,,34.0,3.0,99.2,31.2,34.0,34.0,63.8,,34.0,34.0,61.2,,34.0,34.0,92.5,,34.0,34.0,93.3,,34.0,34.0,133.0,,34.0,34.0,123.0,,34.0,34.0,116.1,,34.0,34.0,95.1,,34.0,34.0,72.6,,34.0,34.0,94.9,,34.0,34.0,33.8,,34.0,34.0,155.3,,34.0,34.0,179.3,,34.0,34.0,166.5,,34.0,34.0,130.9,,34.0,34.0,151.1,,34.0,34.0,112.7,,34.0,34.0,91.5,,34.0,34.0,69.7,,34.0,34.0,66.9,,34.0,34.0,101.6,,34.0,34.0,78.7,,34.0,0.2,
24/02/2025 4:31:37 PM,480,34.0,100.1,,34.0,3.0,99.2,31.2,34.0,34.0,93.9,,34.0,3.0,99.2,31.2,34.0,34.0,69.6,,34.0,3.0,99.2,31.2,34.0,34.0,63.7,,34.0,34.0,62.4,,34.0,34.0,92.8,,34.0,34.0,91.1,,34.0,34.0,131.1,,34.0,34.0,123.0,,34.0,34.0,115.8,,34.0,34.0,96.7,,34.0,34.0,69.6,,34.0,34.0,93.2,,34.0,34.0,33.6,,34.0,34.0,155.1,,34.0,34.0,195.1,,34.0,34.0,172.8,,34.0,34.0,132.1,,34.0,34.0,155.1,,34.0,34.0,113.2,,34.0,34.0,89.2,,34.0,34.0,69.7,,34.0,34.0,68.2,,34.0,34.0,99.4,,34.0,34.0,78.2,,34.0,0.4,
