Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
24/02/2025 1:28:16 PM,0,34.0,83.3,,34.0,3.0,99.1,31.1,34.0,34.0,83.6,,34.0,3.0,99.2,31.2,34.0,34.0,46.9,,34.0,3.0,99.2,31.2,34.0,34.0,62.9,,34.0,34.0,64.2,,34.0,34.0,92.5,,34.0,34.0,95.5,,34.0,34.0,82.6,,34.0,34.0,88.6,,34.0,34.0,103.2,,34.0,34.0,102.2,,34.0,34.0,46.9,,34.0,34.0,76.1,,34.0,34.0,38.0,,34.0,32.7,194.8,,32.7,34.0,151.3,,34.0,34.0,122.0,,34.0,34.0,100.4,,34.0,34.0,116.9,,34.0,34.0,71.7,,34.0,34.0,78.8,,34.0,34.0,48.7,,34.0,34.0,49.4,,34.0,34.0,60.7,,34.0,34.0,59.9,,34.0,0.4,
24/02/2025 1:29:16 PM,60,34.0,80.0,,34.0,3.0,99.2,31.1,34.0,34.0,82.9,,34.0,3.0,99.2,31.2,34.0,34.0,48.1,,34.0,3.0,99.2,31.2,34.0,34.0,63.5,,34.0,34.0,65.2,,34.0,34.0,92.0,,34.0,34.0,95.7,,34.0,34.0,78.8,,34.0,34.0,87.1,,34.0,34.0,101.3,,34.0,34.0,100.8,,34.0,34.0,48.1,,34.0,34.0,77.9,,34.0,34.0,30.7,,34.0,33.6,193.9,,33.6,34.0,125.5,,34.0,34.0,125.3,,34.0,34.0,69.6,,34.0,34.0,113.6,,34.0,34.0,63.4,,34.0,34.0,76.3,,34.0,34.0,47.6,,34.0,34.0,46.7,,34.0,34.0,54.4,,34.0,34.0,61.0,,34.0,1.6,
24/02/2025 1:30:16 PM,120,34.0,75.9,,34.0,3.0,99.2,31.2,34.0,34.0,82.9,,34.0,3.0,99.2,31.2,34.0,34.0,46.8,,34.0,3.0,99.2,31.2,34.0,34.0,63.4,,34.0,34.0,66.0,,34.0,34.0,90.5,,34.0,34.0,96.5,,34.0,34.0,79.1,,34.0,34.0,87.1,,34.0,34.0,103.3,,34.0,34.1,42.3,,34.0,34.0,46.8,,34.0,34.0,75.0,,34.0,34.0,25.0,,34.0,34.6,193.0,,34.5,34.0,129.5,,34.0,34.0,125.8,,34.0,34.0,82.0,,34.0,34.0,112.5,,34.0,34.0,65.8,,34.0,34.0,74.8,,34.0,34.0,41.0,,34.0,34.0,42.8,,34.0,34.0,51.8,,34.0,34.0,57.4,,34.0,0.4,
24/02/2025 1:31:16 PM,180,34.0,75.4,,34.0,3.0,99.2,31.2,34.0,34.0,83.6,,34.0,3.0,99.2,31.2,34.0,34.0,44.8,,34.0,3.0,99.2,31.2,34.0,34.0,64.7,,34.0,34.0,65.4,,34.0,34.0,92.3,,34.0,34.0,96.2,,34.0,34.0,80.1,,34.0,34.0,87.9,,34.0,34.0,100.1,,34.0,34.0,93.9,,34.0,34.0,44.8,,34.0,34.0,73.5,,34.0,34.0,23.4,,34.0,34.1,82.2,,34.1,34.0,137.9,,34.0,34.0,129.6,,34.0,34.0,87.9,,34.0,34.0,109.8,,34.0,34.0,63.0,,34.0,34.0,73.9,,34.0,34.0,38.2,,34.0,34.0,44.4,,34.0,34.0,53.7,,34.0,34.0,55.4,,34.0,1.6,
24/02/2025 1:32:16 PM,240,34.0,75.4,,34.0,3.0,99.2,31.2,34.0,34.0,82.9,,34.0,3.0,99.2,31.2,34.0,34.0,44.1,,34.0,3.0,99.2,31.2,34.0,34.0,63.9,,34.0,34.0,64.0,,34.0,34.0,91.0,,34.0,34.0,95.0,,34.0,34.0,81.0,,34.0,34.0,82.9,,34.0,34.0,102.3,,34.0,34.0,101.0,,34.0,34.0,44.1,,34.0,34.0,74.8,,34.0,34.0,22.2,,34.0,34.0,89.0,,34.0,34.0,126.9,,34.0,34.0,136.5,,34.0,34.0,84.2,,34.0,34.0,115.2,,34.0,34.0,65.2,,34.0,34.0,73.0,,34.0,34.0,35.4,,34.0,34.0,42.6,,34.0,34.0,51.8,,34.0,34.0,55.1,,34.0,0.5,
24/02/2025 1:33:16 PM,300,34.0,75.7,,34.0,3.0,99.2,31.2,34.0,34.0,84.5,,34.0,3.0,99.2,31.2,34.0,34.0,46.6,,34.0,3.0,99.2,31.2,34.0,34.0,64.5,,34.0,34.0,66.9,,34.0,34.0,93.9,,34.0,34.0,96.3,,34.0,34.0,81.7,,34.0,34.0,87.5,,34.0,34.0,102.9,,34.0,34.0,99.0,,34.0,34.0,46.6,,34.0,34.0,73.7,,34.0,34.0,22.2,,34.0,34.0,88.0,,34.0,34.0,125.4,,34.0,34.0,129.2,,34.0,34.0,82.9,,34.0,34.0,108.5,,34.0,34.0,64.8,,34.0,34.0,75.0,,34.0,34.0,37.2,,34.0,34.0,42.9,,34.0,34.0,51.7,,34.0,34.0,56.3,,34.0,0.4,
24/02/2025 1:34:16 PM,360,34.0,75.1,,34.0,3.0,99.2,31.2,34.0,34.0,81.7,,34.0,3.0,99.2,31.2,34.0,34.0,47.0,,34.0,3.0,99.2,31.2,34.0,34.0,63.8,,34.0,34.0,63.8,,34.0,34.0,88.6,,34.0,34.0,92.6,,34.0,34.0,81.4,,34.0,34.0,85.9,,34.0,34.0,102.3,,34.0,34.0,97.9,,34.0,34.0,47.0,,34.0,34.0,72.6,,34.0,34.0,23.5,,34.0,34.0,87.1,,34.0,34.0,127.9,,34.0,34.0,131.8,,34.0,34.0,85.5,,34.0,34.0,121.9,,34.0,34.0,65.6,,34.0,34.0,71.4,,34.0,34.0,38.6,,34.0,34.0,42.8,,34.0,34.0,50.3,,34.0,34.0,53.1,,34.0,0.2,
24/02/2025 1:35:16 PM,420,34.0,75.9,,34.0,3.0,99.2,31.2,34.0,34.0,83.2,,34.0,3.0,99.2,31.2,34.0,34.0,47.0,,34.0,3.0,99.2,31.2,34.0,34.0,64.9,,34.0,34.0,65.1,,34.0,34.0,90.6,,34.0,34.0,95.4,,34.0,34.0,81.2,,34.0,34.0,84.7,,34.0,34.0,103.5,,34.0,34.0,97.9,,34.0,34.0,47.0,,34.0,34.0,73.2,,34.0,34.0,23.7,,34.0,34.0,89.1,,34.0,34.0,134.6,,34.0,34.0,133.7,,34.0,34.0,87.4,,34.0,34.0,117.7,,34.0,34.0,65.8,,34.0,34.0,74.3,,34.0,34.0,38.4,,34.0,34.0,43.6,,34.0,34.0,49.2,,34.0,34.0,54.5,,34.0,0.1,
24/02/2025 1:36:16 PM,480,34.0,75.5,,34.0,3.0,99.2,31.2,34.0,34.0,83.6,,34.0,3.0,99.2,31.2,34.0,34.0,46.2,,34.0,3.0,99.2,31.2,34.0,34.0,64.3,,34.0,34.0,65.3,,34.0,34.0,92.0,,34.0,34.0,96.0,,34.0,34.0,81.3,,34.0,34.0,83.6,,34.0,34.0,102.0,,34.0,34.0,98.5,,34.0,34.0,46.2,,34.0,34.0,74.0,,34.0,34.0,22.0,,34.0,34.0,86.5,,34.0,34.0,131.5,,34.0,34.0,137.9,,34.0,34.0,84.0,,34.0,34.0,113.2,,34.0,34.0,65.0,,34.0,34.0,73.9,,34.0,34.0,38.4,,34.0,34.0,41.0,,34.0,34.0,50.3,,34.0,34.0,55.4,,34.0,0.5,
