Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
24/02/2025 1:58:56 PM,0,34.0,85.7,,34.0,3.0,99.2,31.2,34.0,34.0,86.1,,34.0,3.0,99.2,31.2,34.0,34.0,51.2,,34.0,3.0,99.2,31.2,34.0,34.0,65.1,,34.0,34.0,65.3,,34.0,34.0,94.0,,34.0,34.0,97.5,,34.0,34.0,87.7,,34.0,34.0,87.7,,34.0,34.0,103.5,,34.0,34.0,100.2,,34.0,34.0,51.2,,34.0,34.0,89.8,,34.0,34.0,38.3,,34.0,34.0,123.9,,34.0,34.0,151.5,,34.0,34.0,122.5,,34.0,34.0,103.2,,34.0,34.0,115.0,,34.0,34.0,86.0,,34.0,34.0,86.0,,34.0,34.0,43.4,,34.0,34.0,44.2,,34.0,34.0,93.1,,34.0,34.0,80.1,,34.0,0.4,
24/02/2025 1:59:56 PM,60,34.0,88.1,,34.0,3.0,99.2,31.2,34.0,34.0,86.0,,34.0,3.0,99.2,31.2,34.0,34.0,50.8,,34.0,3.0,99.2,31.2,34.0,34.0,64.9,,34.0,34.0,65.7,,34.0,34.0,91.5,,34.0,34.0,96.8,,34.0,34.0,90.3,,34.0,34.0,90.0,,34.0,34.0,103.0,,34.0,34.0,100.5,,34.0,34.0,50.8,,34.0,34.0,95.2,,34.0,34.0,38.9,,34.0,34.0,134.0,,34.0,34.0,158.8,,34.0,34.0,133.0,,34.0,34.0,108.4,,34.0,34.0,123.4,,34.0,34.0,88.6,,34.0,34.0,90.3,,34.0,34.0,43.9,,34.0,34.0,45.6,,34.0,34.0,98.1,,34.0,34.0,83.7,,34.0,0.0,
24/02/2025 2:00:56 PM,120,34.0,90.5,,34.0,3.0,99.2,31.2,34.0,34.0,86.8,,34.0,3.0,99.2,31.2,34.0,34.0,54.0,,34.0,3.0,99.2,31.2,34.0,34.0,65.5,,34.0,34.0,64.9,,34.0,34.0,91.8,,34.0,34.0,99.4,,34.0,34.0,91.0,,34.0,34.0,90.9,,34.0,34.0,105.8,,34.0,34.0,101.7,,34.0,34.0,54.0,,34.0,34.0,94.2,,34.0,34.0,40.6,,34.0,34.0,137.7,,34.0,34.0,175.5,,34.0,34.0,134.3,,34.0,34.0,118.4,,34.0,34.0,121.2,,34.0,34.0,92.6,,34.0,34.0,93.6,,34.0,34.0,44.6,,34.0,34.0,48.3,,34.0,34.0,104.3,,34.0,34.0,87.2,,34.0,1.1,
24/02/2025 2:01:56 PM,180,34.0,90.8,,34.0,3.0,99.2,31.2,34.0,34.0,86.6,,34.0,3.0,99.2,31.2,34.0,34.0,52.6,,34.0,3.0,99.2,31.2,34.0,34.0,63.6,,34.0,34.0,66.5,,34.0,34.0,92.9,,34.0,34.0,94.9,,34.0,34.0,93.9,,34.0,34.0,93.8,,34.0,34.0,106.7,,34.0,34.0,104.1,,34.0,34.0,52.6,,34.0,34.0,96.5,,34.0,34.0,42.0,,34.0,34.0,136.9,,34.0,34.0,172.3,,34.0,34.0,135.4,,34.0,34.0,115.5,,34.0,34.0,124.5,,34.0,34.0,90.3,,34.0,34.0,94.6,,34.0,34.0,45.1,,34.0,34.0,45.7,,34.0,34.0,103.8,,34.0,34.0,88.8,,34.0,0.3,
24/02/2025 2:02:56 PM,240,34.0,89.7,,34.0,3.0,99.2,31.2,34.0,34.0,87.5,,34.0,3.0,99.2,31.2,34.0,34.0,53.6,,34.0,3.0,99.2,31.2,34.0,34.0,65.3,,34.0,34.0,64.1,,34.0,34.0,93.0,,34.0,34.0,97.9,,34.0,34.0,94.7,,34.0,34.0,92.8,,34.0,34.0,94.0,,34.0,34.0,102.4,,34.0,34.0,53.6,,34.0,34.0,99.1,,34.0,34.0,41.0,,34.0,34.0,133.4,,34.0,34.0,169.7,,34.0,34.0,135.9,,34.0,34.0,112.6,,34.0,34.0,113.8,,34.0,34.0,91.5,,34.0,34.0,90.9,,34.0,34.0,46.2,,34.0,34.0,45.7,,34.0,34.0,104.1,,34.0,34.0,88.7,,34.0,1.2,
24/02/2025 2:03:56 PM,300,34.0,90.5,,34.0,3.0,99.2,31.2,34.0,34.0,87.8,,34.0,3.0,99.2,31.2,34.0,34.0,54.7,,34.0,3.0,99.2,31.2,34.0,34.0,64.3,,34.0,34.0,63.8,,34.0,34.0,94.3,,34.0,34.0,97.3,,34.0,34.0,96.0,,34.0,34.0,92.1,,34.0,34.0,104.5,,34.0,34.0,102.5,,34.0,34.0,54.7,,34.0,34.0,97.8,,34.0,34.0,42.0,,34.0,34.0,132.4,,34.0,34.0,167.5,,34.0,34.0,134.1,,34.0,34.0,113.5,,34.0,34.0,118.1,,34.0,34.0,91.1,,34.0,34.0,95.1,,34.0,34.0,45.5,,34.0,34.0,46.3,,34.0,34.0,104.4,,34.0,34.0,87.0,,34.0,0.7,
24/02/2025 2:04:56 PM,360,34.0,91.2,,34.0,3.0,99.2,31.2,34.0,34.0,86.8,,34.0,3.0,99.2,31.2,34.0,34.0,54.1,,34.0,3.0,99.2,31.2,34.0,34.0,65.7,,34.0,34.0,64.8,,34.0,34.0,91.5,,34.0,34.0,98.0,,34.0,34.0,92.4,,34.0,34.0,91.4,,34.0,34.0,105.8,,34.0,34.0,106.0,,34.0,34.0,54.1,,34.0,34.0,97.8,,34.0,34.0,43.1,,34.0,34.0,139.5,,34.0,34.0,176.6,,34.0,34.0,135.2,,34.0,34.0,111.8,,34.0,34.0,120.1,,34.0,34.0,92.2,,34.0,34.0,95.2,,34.0,34.0,47.2,,34.0,34.0,46.1,,34.0,34.0,105.0,,34.0,34.0,88.7,,34.0,0.5,
24/02/2025 2:05:56 PM,420,34.0,91.5,,34.0,3.0,99.2,31.2,34.0,34.0,88.4,,34.0,3.0,99.2,31.2,34.0,34.0,54.9,,34.0,3.0,99.2,31.2,34.0,34.0,65.1,,34.0,34.0,66.2,,34.0,34.0,93.7,,34.0,34.0,100.6,,34.0,34.0,93.9,,34.0,34.0,93.5,,34.0,34.0,105.7,,34.0,34.0,103.5,,34.0,34.0,54.9,,34.0,34.0,97.7,,34.0,34.0,43.6,,34.0,34.0,138.1,,34.0,34.0,166.9,,34.0,34.0,140.4,,34.0,34.0,111.6,,34.0,34.0,116.6,,34.0,34.0,91.4,,34.0,34.0,97.4,,34.0,34.0,47.2,,34.0,34.0,46.7,,34.0,34.0,105.8,,34.0,34.0,89.3,,34.0,0.6,
24/02/2025 2:06:56 PM,480,34.0,90.0,,34.0,3.0,99.2,31.2,34.0,34.0,88.5,,34.0,3.0,99.2,31.2,34.0,34.0,54.2,,34.0,3.0,99.2,31.2,34.0,34.0,65.5,,34.0,34.0,65.7,,34.0,34.0,95.4,,34.0,34.0,99.4,,34.0,34.0,93.9,,34.0,34.0,91.7,,34.0,34.0,104.4,,34.0,34.0,106.9,,34.0,34.0,54.2,,34.0,34.0,99.5,,34.0,34.0,42.6,,34.0,34.0,133.7,,34.0,34.0,154.2,,34.0,34.0,135.8,,34.0,34.0,102.3,,34.0,34.0,114.6,,34.0,34.0,90.2,,34.0,34.0,90.7,,34.0,34.0,44.4,,34.0,34.0,46.7,,34.0,34.0,103.8,,34.0,34.0,87.9,,34.0,0.0,
