Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
24/02/2025 5:39:02 PM,0,34.0,52.4,,34.0,3.0,99.2,31.2,34.0,34.0,72.8,,34.0,3.0,99.2,31.2,34.0,34.0,22.4,,34.0,3.0,99.2,31.2,34.0,34.0,62.4,,34.0,34.0,61.8,,34.0,34.0,88.4,,34.0,34.0,88.1,,34.0,34.0,50.8,,34.0,34.0,59.6,,34.0,34.0,86.3,,34.0,34.0,93.0,,34.0,34.0,22.4,,34.0,34.0,42.8,,34.0,34.0,22.4,,34.0,34.0,71.7,,34.0,34.0,23.6,,34.0,34.0,47.9,,34.0,34.0,34.3,,34.0,34.0,23.7,,34.0,34.0,37.1,,34.0,34.0,38.7,,34.0,34.0,20.1,,34.0,34.0,23.5,,34.0,34.0,33.0,,34.0,34.0,63.9,,34.0,0.1,
24/02/2025 5:40:02 PM,60,34.0,51.0,,34.0,3.0,99.2,31.2,34.0,34.0,72.7,,34.0,3.0,99.2,31.2,34.0,34.0,24.0,,34.0,3.0,99.2,31.2,34.0,34.0,61.9,,34.0,34.0,60.0,,34.0,34.0,88.3,,34.0,34.0,89.1,,34.0,34.0,50.8,,34.0,34.0,60.8,,34.0,34.0,86.0,,34.0,34.0,94.2,,34.0,34.0,24.0,,34.0,34.0,41.7,,34.0,34.0,22.3,,34.0,34.0,72.7,,34.0,34.0,25.7,,34.0,34.0,42.6,,34.0,34.0,32.8,,34.0,34.0,23.5,,34.0,34.0,38.7,,34.0,34.0,40.0,,34.0,34.0,20.5,,34.0,34.0,22.1,,34.0,34.0,33.4,,34.0,34.0,30.9,,34.0,0.9,
24/02/2025 5:41:02 PM,120,34.0,51.0,,34.0,3.0,99.2,31.2,34.0,34.0,72.4,,34.0,3.0,99.2,31.2,34.0,34.0,24.1,,34.0,3.0,99.2,31.2,34.0,34.0,62.2,,34.0,34.0,60.6,,34.0,34.0,86.6,,34.0,34.0,88.9,,34.0,34.0,50.8,,34.0,34.0,59.9,,34.0,34.0,87.2,,34.0,34.0,94.0,,34.0,34.0,24.1,,34.0,34.0,41.2,,34.0,34.0,23.0,,34.0,34.0,68.2,,34.0,34.0,28.1,,34.0,34.0,42.1,,34.0,34.0,34.4,,34.0,34.0,23.4,,34.0,34.0,37.9,,34.0,34.0,40.2,,34.0,34.0,20.1,,34.0,34.0,22.6,,34.0,34.0,34.3,,34.0,34.0,32.2,,34.0,0.2,
24/02/2025 5:42:02 PM,180,34.0,50.4,,34.0,3.0,99.2,31.2,34.0,34.0,71.7,,34.0,3.0,99.2,31.2,34.0,34.0,20.7,,34.0,3.0,99.2,31.2,34.0,34.0,61.7,,34.0,34.0,60.8,,34.0,34.0,86.2,,34.0,34.0,87.4,,34.0,34.0,50.1,,34.0,34.0,59.9,,34.0,34.0,86.5,,34.0,34.0,96.4,,34.0,34.0,20.7,,34.0,34.0,41.7,,34.0,34.0,22.2,,34.0,34.0,68.8,,34.0,34.0,21.8,,34.0,34.0,38.7,,34.0,34.0,32.9,,34.0,34.0,23.7,,34.0,34.0,37.8,,34.0,34.0,40.0,,34.0,34.0,19.5,,34.0,34.0,20.6,,34.0,34.0,33.3,,34.0,34.0,32.7,,34.0,0.2,
24/02/2025 5:43:02 PM,240,34.0,50.5,,34.0,3.0,99.2,31.2,34.0,34.0,73.1,,34.0,3.0,99.2,31.2,34.0,34.0,22.1,,34.0,3.0,99.2,31.2,34.0,34.0,63.0,,34.0,34.0,72.6,,34.0,34.0,85.8,,34.0,34.0,87.2,,34.0,34.0,49.8,,34.0,34.0,58.4,,34.0,34.0,88.0,,34.0,34.0,94.6,,34.0,34.0,22.1,,34.0,34.0,41.4,,34.0,34.0,22.3,,34.0,34.0,68.5,,34.0,34.0,14.4,,34.0,34.0,37.4,,34.0,34.0,34.8,,34.0,34.0,21.5,,34.0,34.0,37.3,,34.0,34.0,38.2,,34.0,34.0,21.4,,34.0,34.0,21.7,,34.0,34.0,34.8,,34.0,34.0,32.6,,34.0,0.1,
24/02/2025 5:44:02 PM,300,34.0,50.8,,34.0,3.0,99.2,31.2,34.0,34.0,72.1,,34.0,3.0,99.2,31.2,34.0,34.0,23.6,,34.0,3.0,99.2,31.2,34.0,34.0,60.2,,34.0,34.0,60.0,,34.0,34.0,87.5,,34.0,34.0,89.0,,34.0,34.0,49.8,,34.0,34.0,59.8,,34.0,34.0,87.4,,34.0,34.0,94.9,,34.0,34.0,23.6,,34.0,34.0,41.2,,34.0,34.0,22.3,,34.0,34.0,67.7,,34.0,34.0,25.3,,34.0,34.0,46.7,,34.0,34.0,32.6,,34.0,34.0,21.2,,34.0,34.0,37.0,,34.0,34.0,40.2,,34.0,34.0,21.0,,34.0,34.0,22.2,,34.0,34.0,34.3,,34.0,34.0,32.8,,34.0,0.1,
24/02/2025 5:45:02 PM,360,34.0,50.7,,34.0,3.0,99.2,31.2,34.0,34.0,70.5,,34.0,3.0,99.2,31.2,34.0,34.0,21.3,,34.0,3.0,99.2,31.2,34.0,34.0,62.3,,34.0,34.0,60.2,,34.0,34.0,80.9,,34.0,34.0,88.3,,34.0,34.0,49.8,,34.0,34.0,59.6,,34.0,34.0,88.0,,34.0,34.0,94.1,,34.0,34.0,21.3,,34.0,34.0,41.9,,34.0,34.0,22.1,,34.0,34.0,70.9,,34.0,34.0,25.7,,34.0,34.0,39.9,,34.0,34.0,47.2,,34.0,34.0,21.5,,34.0,34.0,37.4,,34.0,34.0,39.1,,34.0,34.0,19.9,,34.0,34.0,22.5,,34.0,34.0,33.8,,34.0,34.0,33.8,,34.0,0.0,
24/02/2025 5:46:02 PM,420,34.0,50.0,,34.0,3.0,99.2,31.2,34.0,34.0,72.0,,34.0,3.0,99.2,31.2,34.0,34.0,23.1,,34.0,3.0,99.2,31.2,34.0,34.0,60.9,,34.0,34.0,61.7,,34.0,34.0,86.0,,34.0,34.0,89.1,,34.0,34.0,49.8,,34.0,34.0,59.3,,34.0,34.0,86.7,,34.0,34.0,94.6,,34.0,34.0,23.1,,34.0,34.0,41.0,,34.0,34.0,22.4,,34.0,34.0,66.3,,34.0,34.0,13.6,,34.0,34.0,36.6,,34.0,34.0,30.3,,34.0,34.0,20.7,,34.0,34.0,38.2,,34.0,34.0,41.3,,34.0,34.0,20.3,,34.0,34.0,21.5,,34.0,34.0,32.2,,34.0,34.0,33.6,,34.0,0.5,
24/02/2025 5:47:02 PM,480,34.0,50.2,,34.0,3.0,99.2,31.2,34.0,34.0,72.2,,34.0,3.0,99.2,31.2,34.0,34.0,23.0,,34.0,3.0,99.2,31.2,34.0,34.0,62.4,,34.0,34.0,61.7,,34.0,34.0,86.8,,34.0,34.0,88.6,,34.0,34.0,49.5,,34.0,34.0,59.9,,34.0,34.0,86.9,,34.0,34.0,92.4,,34.0,34.0,23.0,,34.0,34.0,39.8,,34.0,34.0,20.6,,34.0,34.0,71.3,,34.0,34.0,17.8,,34.0,34.0,36.0,,34.0,34.0,31.5,,34.0,34.0,19.4,,34.0,34.0,38.8,,34.0,34.0,39.7,,34.0,34.0,20.5,,34.0,34.0,23.5,,34.0,34.0,35.3,,34.0,34.0,33.8,,34.0,0.3,
