Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
24/02/2025 10:54:21 AM,0,34.0,76.3,,34.0,3.0,99.2,31.2,34.0,34.0,84.8,,34.0,3.0,99.2,31.2,34.0,34.0,55.3,,34.0,3.0,99.2,31.2,34.0,34.0,65.1,,34.0,34.0,65.9,,34.0,34.0,93.9,,34.0,34.0,96.4,,34.0,34.0,83.0,,34.0,34.0,86.5,,34.0,34.0,106.2,,34.0,34.0,104.6,,34.0,34.0,55.3,,34.0,34.0,77.0,,34.0,34.0,21.6,,34.0,34.0,75.3,,34.0,34.0,121.5,,34.0,34.0,117.0,,34.0,34.0,83.8,,34.0,34.0,103.9,,34.0,34.0,66.1,,34.0,34.0,77.4,,34.0,34.0,41.2,,34.0,34.0,45.1,,34.0,34.0,51.4,,34.0,34.0,56.9,,34.0,0.2,
24/02/2025 10:55:21 AM,60,34.0,76.2,,34.0,3.0,99.2,31.2,34.0,34.0,84.8,,34.0,3.0,99.2,31.2,34.0,34.0,56.5,,34.0,3.0,99.2,31.2,34.0,34.0,65.6,,34.0,34.0,66.5,,34.0,34.0,91.8,,34.0,34.0,98.1,,34.0,34.0,83.0,,34.0,34.0,87.8,,34.0,34.0,101.7,,34.0,34.0,103.6,,34.0,34.0,56.5,,34.0,34.0,77.2,,34.0,34.0,23.5,,34.0,34.0,74.7,,34.0,34.0,125.0,,34.0,34.0,128.6,,34.0,34.0,80.9,,34.0,34.0,107.3,,34.0,34.0,64.4,,34.0,34.0,73.7,,34.0,34.0,40.9,,34.0,34.0,44.3,,34.0,34.0,51.1,,34.0,34.0,56.9,,34.0,0.2,
24/02/2025 10:56:21 AM,120,34.0,76.1,,34.0,3.0,99.2,31.2,34.0,34.0,84.6,,34.0,3.0,99.2,31.2,34.0,34.0,58.5,,34.0,3.0,99.2,31.2,34.0,34.0,64.7,,34.0,34.0,66.2,,34.0,34.0,93.2,,34.0,34.0,96.5,,34.0,34.0,82.8,,34.0,34.0,87.4,,34.0,34.0,102.8,,34.0,34.0,100.4,,34.0,34.0,58.5,,34.0,34.0,77.4,,34.0,34.0,23.1,,34.0,34.0,75.6,,34.0,34.0,129.6,,34.0,34.0,128.6,,34.0,34.0,84.5,,34.0,34.0,104.4,,34.0,34.0,62.9,,34.0,34.0,70.4,,34.0,34.0,42.4,,34.0,34.0,44.1,,34.0,34.0,51.4,,34.0,34.0,57.5,,34.0,0.8,
24/02/2025 10:57:21 AM,180,34.0,75.0,,34.0,3.0,99.2,31.2,34.0,34.0,82.5,,34.0,3.0,99.2,31.2,34.0,34.0,54.7,,34.0,3.0,99.2,31.2,34.0,34.0,64.3,,34.0,34.0,66.1,,34.0,34.0,85.4,,34.0,34.0,96.7,,34.0,34.0,82.4,,34.0,34.0,82.8,,34.0,34.0,103.4,,34.0,34.0,99.5,,34.0,34.0,54.7,,34.0,34.0,76.4,,34.0,34.0,22.6,,34.0,34.0,74.8,,34.0,34.0,124.9,,34.0,34.0,130.4,,34.0,34.0,80.5,,34.0,34.0,107.8,,34.0,34.0,63.0,,34.0,34.0,72.9,,34.0,34.0,41.9,,34.0,34.0,44.4,,34.0,34.0,50.6,,34.0,34.0,57.0,,34.0,1.1,
24/02/2025 10:58:21 AM,240,34.0,74.9,,34.0,3.0,99.2,31.2,34.0,34.0,83.1,,34.0,3.0,99.2,31.2,34.0,34.0,54.0,,34.0,3.0,99.2,31.2,34.0,34.0,64.5,,34.0,34.0,65.6,,34.0,34.0,88.4,,34.0,34.0,96.4,,34.0,34.0,82.4,,34.0,34.0,84.1,,34.0,34.0,105.4,,34.0,34.0,102.0,,34.0,34.0,54.0,,34.0,34.0,77.2,,34.0,34.0,22.3,,34.0,34.0,73.2,,34.0,34.0,123.6,,34.0,34.0,120.2,,34.0,34.0,82.4,,34.0,34.0,102.4,,34.0,34.0,63.1,,34.0,34.0,70.3,,34.0,34.0,41.0,,34.0,34.0,42.7,,34.0,34.0,51.9,,34.0,34.0,56.4,,34.0,0.1,
24/02/2025 10:59:21 AM,300,34.0,75.1,,34.0,3.0,99.2,31.2,34.0,34.0,82.8,,34.0,3.0,99.2,31.2,34.0,34.0,53.4,,34.0,3.0,99.2,31.2,34.0,34.0,65.5,,34.0,34.0,66.3,,34.0,34.0,89.1,,34.0,34.0,95.5,,34.0,34.0,80.0,,34.0,34.0,83.7,,34.0,34.0,99.8,,34.0,34.0,98.7,,34.0,34.0,53.4,,34.0,34.0,75.8,,34.0,34.0,22.0,,34.0,34.0,73.8,,34.0,34.0,127.0,,34.0,34.0,135.2,,34.0,34.0,84.0,,34.0,34.0,114.2,,34.0,34.0,62.6,,34.0,34.0,72.0,,34.0,34.0,39.9,,34.0,34.0,43.6,,34.0,34.0,52.2,,34.0,34.0,56.2,,34.0,0.1,
24/02/2025 11:00:21 AM,360,34.0,75.3,,34.0,3.0,99.2,31.2,34.0,34.0,83.6,,34.0,3.0,99.2,31.2,34.0,34.0,53.5,,34.0,3.0,99.2,31.2,34.0,34.0,65.4,,34.0,34.0,66.1,,34.0,34.0,90.2,,34.0,34.0,97.3,,34.0,34.0,80.8,,34.0,34.0,85.0,,34.0,34.0,101.2,,34.0,34.0,101.4,,34.0,34.0,53.5,,34.0,34.0,76.0,,34.0,34.0,21.8,,34.0,34.0,77.7,,34.0,34.0,126.4,,34.0,34.0,127.0,,34.0,34.0,82.4,,34.0,34.0,107.3,,34.0,34.0,62.9,,34.0,34.0,74.1,,34.0,34.0,39.9,,34.0,34.0,43.8,,34.0,34.0,51.1,,34.0,34.0,56.0,,34.0,0.4,
24/02/2025 11:01:21 AM,420,34.0,74.5,,34.0,3.0,99.2,31.2,34.0,34.0,83.0,,34.0,3.0,99.2,31.2,34.0,34.0,53.3,,34.0,3.0,99.2,31.2,34.0,34.0,65.9,,34.0,34.0,66.3,,34.0,34.0,92.3,,34.0,34.0,93.7,,34.0,34.0,79.5,,34.0,34.0,83.5,,34.0,34.0,100.3,,34.0,34.0,97.9,,34.0,34.0,53.3,,34.0,34.0,73.8,,34.0,34.0,22.4,,34.0,34.0,75.5,,34.0,34.0,132.4,,34.0,34.0,126.0,,34.0,34.0,83.6,,34.0,34.0,102.0,,34.0,34.0,61.8,,34.0,34.0,71.8,,34.0,34.0,40.4,,34.0,34.0,42.9,,34.0,34.0,51.3,,34.0,34.0,57.5,,34.0,0.3,
24/02/2025 11:02:21 AM,480,34.0,73.9,,34.0,3.0,99.2,31.2,34.0,34.0,81.9,,34.0,3.0,99.2,31.2,34.0,34.0,52.3,,34.0,3.0,99.2,31.2,34.0,34.0,64.6,,34.0,34.0,63.3,,34.0,34.0,90.2,,34.0,34.0,92.9,,34.0,34.0,80.0,,34.0,34.0,83.1,,34.0,34.0,102.2,,34.0,34.0,101.1,,34.0,34.0,52.3,,34.0,34.0,75.5,,34.0,34.0,20.4,,34.0,34.0,73.5,,34.0,34.0,128.0,,34.0,34.0,126.2,,34.0,34.0,78.9,,34.0,34.0,102.5,,34.0,34.0,62.3,,34.0,34.0,70.2,,34.0,34.0,40.2,,34.0,34.0,41.9,,34.0,34.0,50.5,,34.0,34.0,54.1,,34.0,0.4,
