Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
24/02/2025 1:04:51 PM,0,34.0,81.4,,34.0,3.0,99.1,31.1,34.0,34.0,82.9,,34.0,3.0,99.2,31.2,34.0,34.0,46.4,,34.0,3.0,99.2,31.2,34.0,34.0,63.0,,34.0,34.0,65.1,,34.0,34.0,91.3,,34.0,34.0,95.5,,34.0,34.0,80.4,,34.0,34.0,84.6,,34.0,34.0,102.5,,34.0,34.0,97.8,,34.0,34.0,46.4,,34.0,34.0,74.6,,34.0,34.0,34.6,,34.0,32.8,194.7,,32.8,34.0,140.1,,34.0,34.0,124.9,,34.0,34.0,88.8,,34.0,34.0,109.5,,34.0,34.0,70.0,,34.0,34.0,74.9,,34.0,34.0,51.2,,34.0,34.0,48.2,,34.0,34.0,60.7,,34.0,34.0,61.5,,34.0,0.2,
24/02/2025 1:05:51 PM,60,34.0,82.3,,34.0,3.0,99.1,31.1,34.0,34.0,82.9,,34.0,3.0,99.2,31.2,34.0,34.0,47.5,,34.0,3.0,99.2,31.2,34.0,34.0,64.2,,34.0,34.0,64.2,,34.0,34.0,89.9,,34.0,34.0,96.5,,34.0,34.0,80.4,,34.0,34.0,85.1,,34.0,34.0,99.2,,34.0,34.0,95.7,,34.0,34.0,47.5,,34.0,34.0,74.1,,34.0,34.0,33.7,,34.0,32.7,194.8,,32.7,34.0,144.6,,34.0,34.0,131.6,,34.0,34.0,100.2,,34.0,34.0,113.8,,34.0,34.0,73.7,,34.0,34.0,76.9,,34.0,34.0,53.5,,34.0,34.0,50.9,,34.0,34.0,61.5,,34.0,34.0,60.4,,34.0,0.3,
24/02/2025 1:06:51 PM,120,34.0,81.8,,34.0,3.0,99.1,31.1,34.0,34.0,83.6,,34.0,3.0,99.2,31.2,34.0,34.0,46.7,,34.0,3.0,99.2,31.2,34.0,34.0,63.6,,34.0,34.0,66.0,,34.0,34.0,92.8,,34.0,34.0,95.9,,34.0,34.0,80.4,,34.0,34.0,87.8,,34.0,34.0,99.2,,34.0,34.0,96.4,,34.0,34.0,46.7,,34.0,34.0,76.3,,34.0,34.0,34.3,,34.0,32.6,194.9,,32.6,34.0,139.0,,34.0,34.0,125.2,,34.0,34.0,92.0,,34.0,34.0,107.8,,34.0,34.0,69.7,,34.0,34.0,75.2,,34.0,34.0,52.7,,34.0,34.0,48.2,,34.0,34.0,64.0,,34.0,34.0,60.0,,34.0,0.8,
24/02/2025 1:07:51 PM,180,34.0,82.0,,34.0,3.0,99.1,31.1,34.0,34.0,82.4,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,3.0,99.2,31.2,34.0,34.0,63.0,,34.0,34.0,65.4,,34.0,34.0,89.3,,34.0,34.0,95.1,,34.0,34.0,80.4,,34.0,34.0,86.5,,34.0,34.0,84.9,,34.0,34.0,100.2,,34.0,34.0,47.9,,34.0,34.0,75.9,,34.0,34.0,37.1,,34.0,32.6,194.9,,32.6,34.0,154.2,,34.0,34.0,121.5,,34.0,34.0,100.2,,34.0,34.0,116.3,,34.0,34.0,74.4,,34.0,34.0,78.0,,34.0,34.0,51.9,,34.0,34.0,48.7,,34.0,34.0,60.8,,34.0,34.0,60.2,,34.0,1.2,
24/02/2025 1:08:51 PM,240,34.0,82.1,,34.0,3.0,99.1,31.1,34.0,34.0,83.1,,34.0,3.0,99.2,31.2,34.0,34.0,47.5,,34.0,3.0,99.2,31.2,34.0,34.0,63.5,,34.0,34.0,65.2,,34.0,34.0,89.5,,34.0,34.0,96.5,,34.0,34.0,81.6,,34.0,34.0,89.3,,34.0,34.0,97.1,,34.0,34.0,101.2,,34.0,34.0,47.5,,34.0,34.0,75.4,,34.0,34.0,36.0,,34.0,32.6,194.7,,32.6,34.0,146.2,,34.0,34.0,116.5,,34.0,34.0,95.8,,34.0,34.0,112.2,,34.0,34.0,72.7,,34.0,34.0,76.4,,34.0,34.0,50.1,,34.0,34.0,50.1,,34.0,34.0,60.4,,34.0,34.0,59.1,,34.0,0.1,
24/02/2025 1:09:51 PM,300,34.0,82.7,,34.0,3.0,99.1,31.1,34.0,34.0,84.2,,34.0,3.0,99.2,31.2,34.0,34.0,48.1,,34.0,3.0,99.2,31.2,34.0,34.0,64.0,,34.0,34.0,64.5,,34.0,34.0,92.8,,34.0,34.0,97.6,,34.0,34.0,81.6,,34.0,34.0,88.0,,34.0,34.0,101.9,,34.0,34.0,102.4,,34.0,34.0,48.1,,34.0,34.0,76.2,,34.0,34.0,37.4,,34.0,32.6,194.9,,32.6,34.0,134.3,,34.0,34.0,125.1,,34.0,34.0,95.3,,34.0,34.0,110.3,,34.0,34.0,73.4,,34.0,34.0,74.0,,34.0,34.0,52.2,,34.0,34.0,50.1,,34.0,34.0,62.6,,34.0,34.0,58.3,,34.0,0.4,
24/02/2025 1:10:51 PM,360,34.0,82.9,,34.0,3.0,99.1,31.1,34.0,34.0,84.8,,34.0,3.0,99.2,31.2,34.0,34.0,47.4,,34.0,3.0,99.2,31.2,34.0,34.0,64.2,,34.0,34.0,66.1,,34.0,34.0,93.2,,34.0,34.0,98.1,,34.0,34.0,82.0,,34.0,34.0,90.9,,34.0,34.0,101.4,,34.0,34.0,101.5,,34.0,34.0,47.4,,34.0,34.0,76.4,,34.0,34.0,37.8,,34.0,32.7,194.8,,32.7,34.0,138.6,,34.0,34.0,116.5,,34.0,34.0,97.5,,34.0,34.0,110.2,,34.0,34.0,73.0,,34.0,34.0,77.5,,34.0,34.0,49.2,,34.0,34.0,48.3,,34.0,34.0,60.8,,34.0,34.0,59.7,,34.0,0.8,
24/02/2025 1:11:51 PM,420,34.0,82.6,,34.0,3.0,99.1,31.1,34.0,34.0,83.5,,34.0,3.0,99.2,31.2,34.0,34.0,47.2,,34.0,3.0,99.2,31.2,34.0,34.0,63.0,,34.0,34.0,64.3,,34.0,34.0,91.8,,34.0,34.0,96.3,,34.0,34.0,82.0,,34.0,34.0,84.9,,34.0,34.0,102.8,,34.0,34.0,103.6,,34.0,34.0,47.2,,34.0,34.0,76.6,,34.0,34.0,38.8,,34.0,32.8,194.8,,32.8,34.0,139.9,,34.0,34.0,122.2,,34.0,34.0,96.1,,34.0,34.0,114.5,,34.0,34.0,71.2,,34.0,34.0,78.5,,34.0,34.0,49.2,,34.0,34.0,48.5,,34.0,34.0,60.4,,34.0,34.0,57.2,,34.0,0.3,
24/02/2025 1:12:51 PM,480,34.0,81.7,,34.0,3.0,99.1,31.1,34.0,34.0,82.0,,34.0,3.0,99.2,31.2,34.0,34.0,47.4,,34.0,3.0,99.2,31.2,34.0,34.0,62.8,,34.0,34.0,63.8,,34.0,34.0,89.3,,34.0,34.0,93.0,,34.0,34.0,82.0,,34.0,34.0,85.7,,34.0,34.0,98.8,,34.0,34.0,102.2,,34.0,34.0,47.4,,34.0,34.0,75.6,,34.0,34.0,38.7,,34.0,32.8,194.8,,32.8,34.0,141.9,,34.0,34.0,123.0,,34.0,34.0,94.9,,34.0,34.0,100.8,,34.0,34.0,72.8,,34.0,34.0,77.3,,34.0,34.0,52.4,,34.0,34.0,47.8,,34.0,34.0,60.9,,34.0,34.0,58.4,,34.0,0.2,
