Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
25/02/2025 10:55:13 AM,0,34.0,61.6,,34.0,3.0,99.2,31.2,34.0,34.0,78.0,,34.0,3.0,99.2,31.2,34.0,34.0,38.3,,34.0,3.0,99.2,31.2,34.0,34.0,66.8,,34.0,34.0,63.6,,34.0,34.0,93.6,,34.0,34.0,94.5,,34.0,34.0,57.0,,34.0,34.0,66.9,,34.0,34.0,96.4,,34.0,34.0,106.5,,34.0,34.0,38.3,,34.0,34.0,51.8,,34.0,34.0,22.6,,34.0,34.0,72.8,,34.0,34.0,110.5,,34.0,34.0,108.3,,34.0,34.0,46.3,,34.0,34.0,48.1,,34.0,34.0,42.2,,34.0,34.0,40.9,,34.0,34.0,28.2,,34.0,34.0,27.5,,34.0,34.0,39.5,,34.0,34.0,40.5,,34.0,0.0,
25/02/2025 10:56:13 AM,60,34.0,60.2,,34.0,3.0,99.2,31.2,34.0,34.0,76.8,,34.0,3.0,99.2,31.2,34.0,34.0,37.3,,34.0,3.0,99.2,31.2,34.0,34.0,66.1,,34.0,34.0,62.5,,34.0,34.0,92.9,,34.0,34.0,91.9,,34.0,34.0,56.1,,34.0,34.0,67.0,,34.0,34.0,92.7,,34.0,34.0,103.7,,34.0,34.0,37.3,,34.0,34.0,49.1,,34.0,34.0,23.0,,34.0,34.0,72.3,,34.0,34.0,104.4,,34.0,34.0,104.5,,34.0,34.0,47.3,,34.0,34.0,48.5,,34.0,34.0,41.0,,34.0,34.0,41.8,,34.0,34.0,27.2,,34.0,34.0,26.9,,34.0,34.0,38.7,,34.0,34.0,35.2,,34.0,0.5,
25/02/2025 10:57:13 AM,120,34.0,61.4,,34.0,3.0,99.2,31.2,34.0,34.0,77.9,,34.0,3.0,99.2,31.2,34.0,34.0,37.8,,34.0,3.0,99.2,31.2,34.0,34.0,64.1,,34.0,34.0,63.9,,34.0,34.0,95.7,,34.0,34.0,94.0,,34.0,34.0,56.1,,34.0,34.0,66.0,,34.0,34.0,96.0,,34.0,34.0,102.5,,34.0,34.0,37.8,,34.0,34.0,53.0,,34.0,34.0,23.1,,34.0,34.0,74.6,,34.0,34.0,103.0,,34.0,34.0,112.4,,34.0,34.0,46.7,,34.0,34.0,47.7,,34.0,34.0,41.0,,34.0,34.0,41.0,,34.0,34.0,28.1,,34.0,34.0,27.6,,34.0,34.0,41.7,,34.0,34.0,39.7,,34.0,0.2,
25/02/2025 10:58:13 AM,180,34.0,60.6,,34.0,3.0,99.2,31.2,34.0,34.0,78.1,,34.0,3.0,99.2,31.2,34.0,34.0,38.1,,34.0,3.0,99.2,31.2,34.0,34.0,65.0,,34.0,34.0,64.5,,34.0,34.0,96.1,,34.0,34.0,93.5,,34.0,34.0,56.1,,34.0,34.0,66.9,,34.0,34.0,87.9,,34.0,34.0,91.6,,34.0,34.0,38.1,,34.0,34.0,46.1,,34.0,34.0,36.1,,34.0,34.0,79.3,,34.0,34.0,110.9,,34.0,34.0,118.7,,34.0,34.0,46.1,,34.0,34.0,47.9,,34.0,34.0,41.2,,34.0,34.0,39.8,,34.0,34.0,25.7,,34.0,34.0,26.0,,34.0,34.0,36.9,,34.0,34.0,37.0,,34.0,2.0,
25/02/2025 10:59:13 AM,240,34.0,56.1,,34.0,3.0,99.2,31.2,34.0,34.0,77.7,,34.0,3.0,99.2,31.2,34.0,34.0,36.9,,34.0,3.0,99.2,31.2,34.0,34.0,65.2,,34.0,34.0,65.0,,34.0,34.0,94.1,,34.0,34.0,93.7,,34.0,34.0,56.1,,34.0,34.0,67.3,,34.0,34.0,72.2,,34.0,34.0,79.2,,34.0,34.0,36.9,,34.0,34.0,23.5,,34.0,34.0,28.4,,34.0,34.0,74.0,,34.0,34.0,105.2,,34.0,34.0,117.0,,34.0,34.0,46.8,,34.0,34.0,47.3,,34.0,34.0,39.8,,34.0,34.0,42.4,,34.0,34.0,25.6,,34.0,34.0,27.9,,34.0,34.0,31.5,,34.0,34.0,30.9,,34.0,2.6,
25/02/2025 11:00:13 AM,300,34.0,52.7,,34.0,3.0,99.2,31.2,34.0,34.0,77.7,,34.0,3.0,99.2,31.2,34.0,34.0,35.9,,34.0,3.0,99.2,31.2,34.0,34.0,65.3,,34.0,34.0,65.1,,34.0,34.0,94.3,,34.0,34.0,93.0,,34.0,34.0,56.6,,34.0,34.0,66.5,,34.0,34.0,66.0,,34.0,34.0,68.9,,34.0,34.0,35.9,,34.0,34.0,9.1,,34.0,34.0,25.9,,34.0,34.0,72.6,,34.0,34.0,102.3,,34.0,34.0,112.9,,34.0,34.0,44.9,,34.0,34.0,48.6,,34.0,34.0,41.6,,34.0,34.0,42.6,,34.0,34.0,26.3,,34.0,34.0,15.6,,34.0,34.0,25.8,,34.0,34.0,25.1,,34.0,1.2,
25/02/2025 11:01:13 AM,360,34.0,52.8,,34.0,3.0,99.2,31.2,34.0,34.0,77.9,,34.0,3.0,99.2,31.2,34.0,34.0,34.2,,34.0,3.0,99.2,31.2,34.0,34.0,65.3,,34.0,34.0,59.4,,34.0,34.0,95.3,,34.0,34.0,95.1,,34.0,34.0,57.2,,34.0,34.0,67.6,,34.0,34.0,64.5,,34.0,34.0,67.7,,34.0,34.0,34.2,,34.0,34.0,4.1,,34.0,34.0,24.6,,34.0,34.0,73.6,,34.0,34.0,109.1,,34.0,34.0,119.1,,34.0,34.0,47.3,,34.0,34.0,47.3,,34.0,34.0,41.7,,34.0,34.0,42.7,,34.0,34.0,25.6,,34.0,34.0,26.8,,34.0,34.0,23.6,,34.0,34.0,22.0,,34.0,0.5,
25/02/2025 11:02:13 AM,420,34.0,52.6,,34.0,3.0,99.2,31.2,34.0,34.0,78.7,,34.0,3.0,99.2,31.2,34.0,34.0,34.4,,34.0,3.0,99.2,31.2,34.0,34.0,65.6,,34.0,34.0,65.3,,34.0,34.0,95.3,,34.0,34.0,94.3,,34.0,34.0,57.8,,34.0,34.0,69.4,,34.0,34.0,63.2,,34.0,34.0,69.4,,34.0,34.0,34.4,,34.0,34.0,0.0,,34.0,34.0,24.5,,34.0,34.0,75.4,,34.0,34.0,106.7,,34.0,34.0,115.9,,34.0,34.0,46.9,,34.0,34.0,47.8,,34.0,34.0,41.6,,34.0,34.0,42.6,,34.0,34.0,25.5,,34.0,34.0,26.4,,34.0,34.0,21.6,,34.0,34.0,20.5,,34.0,0.1,
25/02/2025 11:03:13 AM,480,34.0,52.1,,34.0,3.0,99.2,31.2,34.0,34.0,77.5,,34.0,3.0,99.2,31.2,34.0,34.0,36.3,,34.0,3.0,99.2,31.2,34.0,34.0,63.8,,34.0,34.0,62.2,,34.0,34.0,93.8,,34.0,34.0,93.8,,34.0,34.0,57.7,,34.0,34.0,68.9,,34.0,34.0,62.7,,34.0,34.0,69.9,,34.0,34.0,36.3,,34.0,34.0,0.0,,34.0,34.0,26.8,,34.0,34.0,73.1,,34.0,34.0,100.7,,34.0,34.0,110.5,,34.0,34.0,47.0,,34.0,34.0,46.4,,34.0,34.0,46.1,,34.0,34.0,39.8,,34.0,34.0,25.2,,34.0,34.0,27.5,,34.0,34.0,20.4,,34.0,34.0,19.4,,34.0,0.5,
