Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
25/02/2025 6:23:24 PM,0,33.7,44.2,,33.7,2.9,98.4,30.8,33.7,35.0,47.2,,35.0,3.6,100.0,32.3,35.0,34.0,20.2,,34.0,3.0,99.2,31.2,34.0,36.7,0.0,,36.7,38.8,0.0,,38.8,34.0,66.2,,34.0,34.0,68.6,,34.0,34.0,53.6,,34.0,34.0,63.3,,34.0,34.0,85.4,,34.0,34.0,92.8,,34.0,34.0,20.2,,34.0,34.0,37.1,,34.0,34.0,26.1,,34.0,34.0,69.8,,34.0,24.4,0.0,,24.4,23.4,0.0,,23.4,34.0,53.4,,34.0,34.0,54.0,,34.0,34.0,36.9,,34.0,34.0,40.3,,34.0,34.0,20.9,,34.0,34.0,21.0,,34.0,34.0,31.6,,34.0,34.0,28.8,,34.0,0.3,
25/02/2025 6:24:24 PM,60,33.7,44.5,,33.7,2.9,98.4,30.8,33.7,35.0,46.8,,35.0,3.6,100.0,32.3,35.0,34.0,19.4,,34.0,3.0,99.2,31.2,34.0,36.8,0.0,,36.8,38.8,0.0,,38.8,34.0,66.8,,34.0,34.0,66.4,,34.0,34.0,53.6,,34.0,34.0,62.8,,34.0,34.0,90.9,,34.0,34.0,93.3,,34.0,34.0,19.4,,34.0,34.0,38.2,,34.0,34.0,26.2,,34.0,34.0,68.4,,34.0,24.4,0.0,,24.4,23.4,0.0,,23.4,34.0,54.9,,34.0,34.0,53.3,,34.0,34.0,38.1,,34.0,34.0,39.2,,34.0,34.0,20.2,,34.0,34.0,21.6,,34.0,34.0,31.2,,34.0,34.0,30.5,,34.0,0.3,
25/02/2025 6:25:24 PM,120,33.7,44.6,,33.7,2.9,98.4,30.8,33.7,35.0,47.6,,35.0,3.6,100.0,32.4,35.0,34.0,20.0,,34.0,3.0,99.2,31.2,34.0,36.8,0.0,,36.8,38.9,0.0,,38.9,34.0,67.4,,34.0,34.0,68.9,,34.0,34.0,53.6,,34.0,34.0,63.0,,34.0,34.0,93.0,,34.0,34.0,95.8,,34.0,34.0,20.0,,34.0,34.0,37.8,,34.0,34.0,26.0,,34.0,34.0,67.5,,34.0,24.4,0.0,,24.4,23.4,0.0,,23.4,34.0,56.3,,34.0,34.0,52.6,,34.0,34.0,37.1,,34.0,34.0,37.9,,34.0,34.0,19.6,,34.0,34.0,21.5,,34.0,34.0,27.1,,34.0,34.0,29.5,,34.0,0.2,
25/02/2025 6:26:24 PM,180,33.7,44.9,,33.7,2.9,98.4,30.8,33.7,35.0,47.5,,35.0,3.6,100.0,32.4,35.0,34.0,19.9,,34.0,3.0,99.2,31.2,34.0,36.8,0.0,,36.8,38.9,0.0,,38.9,34.0,68.2,,34.0,34.0,67.9,,34.0,34.0,53.6,,34.0,34.0,63.9,,34.0,34.0,92.9,,34.0,34.0,99.4,,34.0,34.0,19.9,,34.0,34.0,39.1,,34.0,34.0,25.9,,34.0,34.0,66.8,,34.0,24.4,0.0,,24.4,23.4,0.0,,23.4,34.0,55.3,,34.0,34.0,53.8,,34.0,34.0,37.3,,34.0,34.0,37.7,,34.0,34.0,18.9,,34.0,34.0,21.6,,34.0,34.0,29.6,,34.0,34.0,28.0,,34.0,0.4,
25/02/2025 6:27:24 PM,240,33.7,44.4,,33.7,2.9,98.4,30.8,33.7,35.0,46.4,,35.0,3.6,100.0,32.4,35.0,34.0,21.0,,34.0,3.0,99.2,31.2,34.0,36.8,0.0,,36.8,38.9,0.0,,38.9,34.0,65.3,,34.0,34.0,66.7,,34.0,34.0,53.6,,34.0,34.0,62.7,,34.0,34.0,91.9,,34.0,34.0,96.3,,34.0,34.0,21.0,,34.0,34.0,37.1,,34.0,34.0,26.1,,34.0,34.0,68.3,,34.0,24.4,0.0,,24.4,23.4,0.0,,23.4,34.0,54.6,,34.0,34.0,54.0,,34.0,34.0,37.2,,34.0,34.0,39.0,,34.0,34.0,19.3,,34.0,34.0,20.9,,34.0,34.0,30.3,,34.0,34.0,29.4,,34.0,0.2,
25/02/2025 6:28:24 PM,300,33.7,44.5,,33.7,2.9,98.4,30.8,33.7,35.0,47.3,,35.0,3.6,100.0,32.4,35.0,34.0,19.8,,34.0,3.0,99.2,31.2,34.0,36.8,0.0,,36.8,38.9,0.0,,38.9,34.0,67.0,,34.0,34.0,68.3,,34.0,34.0,53.6,,34.0,34.0,63.7,,34.0,34.0,88.1,,34.0,34.0,94.2,,34.0,34.0,19.8,,34.0,34.0,37.6,,34.0,34.0,27.0,,34.0,34.0,68.6,,34.0,24.3,0.0,,24.3,23.4,0.0,,23.4,34.0,54.7,,34.0,34.0,53.8,,34.0,34.0,38.3,,34.0,34.0,38.5,,34.0,34.0,19.7,,34.0,34.0,20.2,,34.0,34.0,32.3,,34.0,34.0,29.4,,34.0,0.2,
25/02/2025 6:29:24 PM,360,33.7,44.6,,33.7,2.9,98.4,30.8,33.7,35.0,47.4,,35.0,3.6,100.0,32.4,35.0,34.0,20.8,,34.0,3.0,99.2,31.2,34.0,36.8,0.0,,36.8,38.9,0.0,,38.9,34.0,67.0,,34.0,34.0,68.8,,34.0,34.0,53.6,,34.0,34.0,63.8,,34.0,34.0,91.1,,34.0,34.0,94.1,,34.0,34.0,20.8,,34.0,34.0,37.7,,34.0,34.0,26.1,,34.0,34.0,67.8,,34.0,24.3,0.0,,24.3,23.4,0.0,,23.4,34.0,55.3,,34.0,34.0,52.7,,34.0,34.0,36.7,,34.0,34.0,39.3,,34.0,34.0,20.1,,34.0,34.0,20.5,,34.0,34.0,30.7,,34.0,34.0,29.5,,34.0,0.2,
25/02/2025 6:30:24 PM,420,33.7,45.1,,33.7,2.9,98.4,30.8,33.7,35.0,47.8,,35.0,3.6,100.0,32.4,35.0,34.0,20.7,,34.0,3.0,99.2,31.2,34.0,36.8,0.0,,36.8,38.9,0.0,,38.9,34.0,68.1,,34.0,34.0,69.1,,34.0,34.0,53.6,,34.0,34.0,65.4,,34.0,34.0,93.4,,34.0,34.0,96.9,,34.0,34.0,20.7,,34.0,34.0,38.9,,34.0,34.0,25.4,,34.0,34.0,69.5,,34.0,24.3,0.0,,24.3,23.4,0.0,,23.4,34.0,54.9,,34.0,34.0,52.7,,34.0,34.0,37.4,,34.0,34.0,38.6,,34.0,34.0,19.2,,34.0,34.0,22.0,,34.0,34.0,29.1,,34.0,34.0,29.2,,34.0,0.1,
25/02/2025 6:31:24 PM,480,33.7,44.6,,33.7,2.9,98.4,30.8,33.7,35.0,46.8,,35.0,3.6,100.0,32.4,35.0,34.0,20.1,,34.0,3.0,99.2,31.2,34.0,36.8,0.0,,36.8,38.9,0.0,,38.9,34.0,68.0,,34.0,34.0,65.5,,34.0,34.0,53.6,,34.0,34.0,64.1,,34.0,34.0,90.6,,34.0,34.0,96.9,,34.0,34.0,20.1,,34.0,34.0,36.5,,34.0,34.0,27.0,,34.0,34.0,67.5,,34.0,24.3,0.0,,24.3,23.4,0.0,,23.4,34.0,55.4,,34.0,34.0,53.0,,34.0,34.0,37.4,,34.0,34.0,39.1,,34.0,34.0,19.7,,34.0,34.0,20.2,,34.0,34.0,30.2,,34.0,34.0,30.4,,34.0,0.1,
