Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
26/02/2025 6:59:33 PM,0,30.2,220.7,,30.1,0.7,15.7,26.3,30.1,28.8,250.2,,28.6,-0.1,5.3,24.5,28.6,33.2,204.1,,33.0,2.5,92.5,30.0,33.0,30.2,261.2,,30.0,28.8,266.7,,28.6,27.8,256.3,,27.6,27.7,255.4,,27.6,30.2,223.3,,30.0,29.7,218.9,,29.6,28.9,224.9,,28.8,28.4,221.1,,28.3,33.2,204.1,,33.0,32.0,212.8,,31.9,30.7,208.0,,30.5,29.0,195.8,,28.9,29.3,205.0,,29.2,28.0,217.1,,27.9,29.2,257.0,,29.0,29.6,256.5,,29.4,30.7,227.0,,30.5,30.7,209.7,,30.6,32.7,185.6,,32.6,32.7,183.2,,32.6,32.2,187.7,,32.1,32.3,185.5,,32.1,136.9,
26/02/2025 7:00:33 PM,60,31.7,219.0,,31.6,1.6,57.2,28.2,31.6,30.7,247.8,,30.5,1.0,25.3,26.9,30.5,34.2,203.2,,34.1,3.1,99.5,31.3,34.1,32.2,258.7,,32.1,31.0,263.8,,30.8,29.8,253.5,,29.7,29.7,253.1,,29.5,31.6,221.6,,31.5,31.0,217.4,,30.9,30.3,223.4,,30.2,29.7,219.6,,29.7,34.2,203.2,,34.1,33.3,211.4,,33.2,32.1,206.5,,31.9,30.4,194.4,,30.3,30.6,203.5,,30.5,29.4,215.6,,29.3,31.6,254.1,,31.4,31.9,253.5,,31.7,32.7,225.0,,32.5,32.2,208.3,,32.1,33.9,184.4,,33.9,33.9,182.1,,33.8,33.3,186.6,,33.2,33.4,184.5,,33.3,0.9,
26/02/2025 7:01:33 PM,120,32.9,200.5,,32.9,2.3,89.6,29.7,32.9,32.3,246.2,,32.1,1.9,72.8,28.8,32.1,34.2,46.8,,34.2,3.2,99.6,31.4,34.2,34.1,256.8,,33.9,32.9,261.3,,32.8,31.5,251.5,,31.4,31.2,251.8,,31.1,32.8,220.6,,32.7,32.1,216.7,,32.1,31.3,222.6,,31.2,30.8,219.0,,30.7,34.2,46.8,,34.2,34.4,210.8,,34.3,33.3,205.5,,33.2,31.7,193.4,,31.6,31.6,203.2,,31.5,30.4,214.5,,30.3,33.6,251.8,,33.4,33.8,251.6,,33.7,34.3,223.6,,34.2,33.6,207.2,,33.5,34.4,36.3,,34.4,34.4,62.3,,34.5,34.3,186.2,,34.2,34.3,184.1,,34.2,7.6,
26/02/2025 7:02:33 PM,180,33.6,141.8,,33.5,2.7,97.3,30.6,33.5,33.5,219.4,,33.4,2.7,96.3,30.4,33.4,34.0,44.2,,34.0,3.0,99.2,31.2,34.0,34.2,44.7,,34.2,34.7,260.3,,34.6,33.0,252.4,,32.9,32.7,251.1,,32.6,33.9,220.4,,33.8,33.2,216.5,,33.1,32.3,222.6,,32.2,31.8,218.8,,31.7,34.0,44.2,,34.0,34.1,48.4,,34.2,34.6,205.3,,34.4,32.8,193.3,,32.7,32.4,203.4,,32.3,31.2,215.0,,31.1,34.4,64.9,,34.5,34.3,56.8,,34.3,34.1,34.3,,34.2,34.6,133.8,,34.6,34.0,24.5,,34.0,34.0,19.5,,34.0,34.2,33.3,,34.2,34.2,38.6,,34.2,38.7,
26/02/2025 7:03:33 PM,240,33.9,116.9,,33.8,2.9,98.8,31.0,33.8,34.2,166.4,,34.2,3.1,99.5,31.4,34.2,34.0,42.3,,34.0,3.0,99.2,31.2,34.0,34.0,49.2,,34.0,34.1,42.9,,34.1,34.4,251.0,,34.3,34.0,251.1,,33.9,34.4,111.4,,34.5,34.1,216.0,,34.0,33.2,222.9,,33.1,32.7,218.3,,32.6,34.0,42.3,,34.0,34.0,57.7,,34.0,34.1,34.8,,34.1,34.0,193.0,,33.9,33.0,203.1,,33.0,32.0,214.4,,31.9,34.0,65.2,,34.0,34.0,64.7,,34.0,34.0,49.6,,34.0,34.0,41.9,,34.0,34.0,27.8,,34.0,34.0,29.5,,34.0,34.0,37.8,,34.0,34.0,39.1,,34.0,9.4,
26/02/2025 7:04:33 PM,300,34.0,84.8,,34.0,3.0,99.2,31.1,34.0,34.1,76.6,,34.1,3.1,99.5,31.3,34.1,34.0,36.7,,34.0,3.0,99.2,31.2,34.0,34.0,47.8,,34.0,34.0,43.7,,34.0,34.1,88.0,,34.1,34.3,95.9,,34.3,34.0,76.2,,34.0,34.3,94.4,,34.4,34.0,222.9,,34.0,33.5,219.0,,33.4,34.0,36.7,,34.0,34.0,57.3,,34.0,34.0,37.8,,34.0,34.3,95.6,,34.4,33.7,203.0,,33.7,32.6,214.4,,32.6,34.0,62.0,,34.0,34.0,62.6,,34.0,34.0,50.2,,34.0,34.0,49.7,,34.0,34.0,24.9,,34.0,34.0,28.0,,34.0,34.0,40.0,,34.0,34.0,33.7,,34.0,16.8,
26/02/2025 7:05:33 PM,360,34.0,78.1,,34.0,3.0,99.3,31.2,34.0,34.0,81.0,,34.0,3.0,99.2,31.2,34.0,34.0,32.5,,34.0,3.0,99.2,31.2,34.0,34.0,45.1,,34.0,34.0,44.4,,34.0,34.0,103.4,,34.0,34.0,102.0,,34.0,34.0,72.8,,34.0,34.0,81.9,,34.0,34.3,130.5,,34.4,34.2,218.4,,34.2,34.0,32.5,,34.0,34.0,53.4,,34.0,34.0,37.0,,34.0,34.0,71.7,,34.0,34.3,202.5,,34.2,33.2,213.8,,33.2,34.0,60.9,,34.0,34.0,59.2,,34.0,34.0,46.6,,34.0,34.0,49.0,,34.0,34.0,24.9,,34.0,34.0,27.6,,34.0,34.0,35.3,,34.0,34.0,37.3,,34.0,1.9,
26/02/2025 7:06:33 PM,420,34.0,67.0,,34.0,3.0,99.2,31.2,34.0,34.0,79.4,,34.0,3.0,99.2,31.2,34.0,34.0,32.5,,34.0,3.0,99.2,31.2,34.0,34.0,43.4,,34.0,34.0,41.7,,34.0,34.0,102.6,,34.0,34.0,100.7,,34.0,34.0,70.7,,34.0,34.0,80.5,,34.0,34.0,104.4,,34.0,34.2,102.2,,34.2,34.0,32.5,,34.0,34.0,52.2,,34.0,34.0,36.9,,34.0,34.0,73.3,,34.0,34.2,127.9,,34.2,33.8,213.5,,33.8,34.0,58.6,,34.0,34.0,56.2,,34.0,34.0,43.7,,34.0,34.0,46.6,,34.0,34.0,24.1,,34.0,34.0,26.1,,34.0,34.0,36.2,,34.0,34.0,36.1,,34.0,6.3,
26/02/2025 7:07:33 PM,480,34.0,65.4,,34.0,3.0,99.2,31.2,34.0,34.0,76.2,,34.0,3.0,99.2,31.2,34.0,34.0,30.8,,34.0,3.0,99.2,31.2,34.0,34.0,41.1,,34.0,34.0,40.9,,34.0,34.0,98.0,,34.0,34.0,98.1,,34.0,34.0,66.5,,34.0,34.0,74.9,,34.0,34.0,104.2,,34.0,34.0,108.4,,34.0,34.0,30.8,,34.0,34.0,49.4,,34.0,34.0,34.6,,34.0,34.0,72.4,,34.0,34.0,122.7,,34.0,34.3,213.0,,34.3,34.0,57.6,,34.0,34.0,56.4,,34.0,34.0,43.0,,34.0,34.0,44.7,,34.0,34.0,24.4,,34.0,34.0,25.7,,34.0,34.0,34.1,,34.0,34.0,34.9,,34.0,0.7,
