Manikin #3.4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval (sec),60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),
26/02/2025 13:07,0,34.7,47.6,,34.7,3.4,99.9,32,34.7,36.8,38.8,,36.8,4.7,100,34.6,36.8,34,20.3,,34,3,99.2,31.2,34,43.4,0,,43.4,46.7,0,,46.7,34,51,,34,34,50.2,,34,34,54.6,,34,34,63.5,,34,34,89.6,,34,34,98,,34,34,20.3,,34,34,37.9,,34,34,25.4,,34,34,68.2,,34,34,93.1,,34,34,126.5,,34,34,49.9,,34,34,47.7,,34,34,38.6,,34,34,38.4,,34,34,19.8,,34,34,20,,34,34,31.1,,34,34,29.9,,34,0.6
26/02/2025 13:08,60,34.7,48.7,,34.7,3.4,99.9,32,34.7,36.7,42.2,,36.7,4.7,100,34.6,36.7,34,22.4,,34,3,99.2,31.2,34,43,0,,43.2,46.4,0,,46.6,34,58.4,,34,34,56.4,,34,34,54.2,,34,34,62.7,,34,34,86.9,,34,34,94.8,,34,34,22.4,,34,34,38.4,,34,34,26.9,,34,34,71.4,,34,34,99.4,,34,34,119.2,,34,34,49.9,,34,34,50.6,,34,34,39,,34,34,39.3,,34,34,20.5,,34,34,21.7,,34,34,31.9,,34,34,31.3,,34,0.3
26/02/2025 13:09,120,34.5,49.1,,34.5,3.3,99.9,31.8,34.5,36.2,48.1,,36.2,4.3,100,33.9,36.2,34,22.2,,34,3,99.2,31.2,34,41.1,0,,41.2,44,0,,44.3,34,68.2,,34,34,70.9,,34,34,52.8,,34,34,62,,34,34,82.3,,34,34,90.7,,34,34,22.2,,34,34,37.3,,34,34,25.4,,34,34,69.1,,34,34,95.2,,34,34,121.8,,34,34,49,,34,34,48.1,,34,34,38.8,,34,34,38.5,,34,34,20.2,,34,34,20.6,,34,34,31.4,,34,34,31.7,,34,0.9
26/02/2025 13:10,180,34.5,50.2,,34.5,3.3,99.8,31.7,34.5,35.9,51.6,,35.9,4.1,100,33.5,35.9,34,20.4,,34,3,99.2,31.2,34,40,0,,40.1,42.8,0,,42.9,34,74.4,,34,34,79,,34,34,52.4,,34,34,60.9,,34,34,83.3,,34,34,88.5,,34,34,20.4,,34,34,38.4,,34,34,25,,34,34,70.6,,34,34,104,,34,34,128.9,,34,34,50.5,,34,34,47.2,,34,34,37.6,,34,34,39.1,,34,34,20,,34,34,20.8,,34,34,30.8,,34,34,30.6,,34,0.4
26/02/2025 13:11,240,34.4,50.3,,34.4,3.2,99.8,31.6,34.4,35.5,52.3,,35.5,3.9,100,33.1,35.5,34,21,,34,3,99.2,31.2,34,38.8,0,,38.9,41.3,0,,41.4,34,84.6,,34,34,83.7,,34,34,39.2,,34,34,62,,34,34,85.9,,34,34,93.9,,34,34,21,,34,34,37.6,,34,34,25.7,,34,34,67.5,,34,34,95.6,,34,34,121.5,,34,34,51.1,,34,34,47.9,,34,34,37.4,,34,34,38.8,,34,34,19.5,,34,34,21.4,,34,34,29,,34,34,29.8,,34,0.7
26/02/2025 13:12,300,34.3,51.2,,34.3,3.2,99.7,31.5,34.3,35.2,54.9,,35.2,3.8,100,32.7,35.2,34,20.9,,34,3,99.2,31.2,34,37.7,0,,37.8,39.9,0,,40,34,87.7,,34,34,85.2,,34,34,44.9,,34,34,63.2,,34,34,85.4,,34,34,91.3,,34,34,20.9,,34,34,36.6,,34,34,24.9,,34,34,68,,34,34,103.6,,34,34,125.7,,34,34,50.3,,34,34,47.4,,34,34,38.4,,34,34,39.9,,34,34,21.7,,34,34,20.8,,34,34,30.7,,34,34,29.9,,34,1.1
26/02/2025 13:13,360,34.2,51.6,,34.2,3.2,99.6,31.4,34.2,34.9,57.4,,35,3.6,100,32.4,35,34,22.9,,34,3,99.2,31.2,34,36.7,0,,36.8,38.8,0,,38.9,34,87.6,,34,34,87.3,,34,34,53.3,,34,34,61.8,,34,34,87.8,,34,34,94,,34,34,22.9,,34,34,38.2,,34,34,15,,34,34,68.2,,34,34,100.3,,34,34,126.1,,34,34,52.1,,34,34,49.5,,34,34,37.3,,34,34,39,,34,34,20.9,,34,34,21.4,,34,34,31.3,,34,34,29.8,,34,0.1
26/02/2025 13:14,420,34.2,52.8,,34.2,3.1,99.5,31.4,34.2,34.7,58.4,,34.7,3.4,99.9,32.1,34.7,34,22.3,,34,3,99.2,31.2,34,35.8,0,,35.9,37.8,0,,37.8,34,88.7,,34,34,90.2,,34,34,53.3,,34,34,62.7,,34,34,88.8,,34,34,93,,34,34,22.3,,34,34,37.1,,34,34,24.1,,34,34,68,,34,34,102.4,,34,34,129.2,,34,34,55.9,,34,34,47.6,,34,34,38.5,,34,34,46.4,,34,34,19.3,,34,34,21,,34,34,30.4,,34,34,29.2,,34,0.5
26/02/2025 13:15,480,34.1,52.4,,34.1,3.1,99.5,31.3,34.1,34.5,57.2,,34.5,3.3,99.9,31.8,34.5,34,19.8,,34,3,99.2,31.2,34,35,0,,35.1,36.9,0,,36.9,34,87.5,,34,34,86.9,,34,34,53.3,,34,34,64,,34,34,87,,34,34,93,,34,34,19.8,,34,34,37.6,,34,34,25.1,,34,34,66.7,,34,34,103.1,,34,34,128.9,,34,34,51,,34,34,49.2,,34,34,37.4,,34,34,46.1,,34,34,20.2,,34,34,21.4,,34,34,30.3,,34,34,30.4,,34,0.2
