Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
27/02/2025 5:34:38 PM,0,34.0,57.3,,34.0,3.0,99.2,31.2,34.0,34.0,78.7,,34.0,3.0,99.2,31.2,34.0,34.0,20.1,,34.0,3.0,99.2,31.2,34.0,34.0,82.2,,34.0,34.0,82.5,,34.0,34.0,87.6,,34.0,34.0,89.4,,34.0,34.0,53.5,,34.0,34.0,63.3,,34.0,34.0,91.3,,34.0,34.0,93.8,,34.0,34.0,20.1,,34.0,34.0,36.1,,34.0,34.0,27.2,,34.0,34.0,64.9,,34.0,34.0,95.9,,34.0,34.0,124.3,,34.0,34.0,51.7,,34.0,34.0,49.1,,34.0,34.0,38.0,,34.0,34.0,40.6,,34.0,34.0,20.0,,34.0,34.0,18.8,,34.0,34.0,33.4,,34.0,34.0,30.1,,34.0,0.2,
27/02/2025 5:35:38 PM,60,34.0,56.7,,34.0,3.0,99.2,31.2,34.0,34.0,76.0,,34.0,3.0,99.2,31.2,34.0,34.0,21.4,,34.0,3.0,99.2,31.2,34.0,34.0,74.3,,34.0,34.0,70.9,,34.0,34.0,88.2,,34.0,34.0,87.9,,34.0,34.0,53.5,,34.0,34.0,64.0,,34.0,34.0,89.3,,34.0,34.0,95.0,,34.0,34.0,21.4,,34.0,34.0,38.5,,34.0,34.0,25.7,,34.0,34.0,70.1,,34.0,34.0,98.3,,34.0,34.0,110.6,,34.0,34.0,50.7,,34.0,34.0,48.2,,34.0,34.0,38.7,,34.0,34.0,40.3,,34.0,34.0,19.7,,34.0,34.0,20.9,,34.0,34.0,31.1,,34.0,34.0,31.5,,34.0,0.1,
27/02/2025 5:36:38 PM,120,34.0,54.7,,34.0,3.0,99.2,31.2,34.0,34.0,70.7,,34.0,3.0,99.2,31.2,34.0,34.0,19.4,,34.0,3.0,99.2,31.2,34.0,34.0,57.3,,34.0,34.0,53.1,,34.0,34.0,86.6,,34.0,34.0,85.9,,34.0,34.0,53.5,,34.0,34.0,63.5,,34.0,34.0,85.4,,34.0,34.0,92.8,,34.0,34.0,19.4,,34.0,34.0,37.1,,34.0,34.0,26.0,,34.0,34.0,67.9,,34.0,34.0,100.7,,34.0,34.0,106.4,,34.0,34.0,50.7,,34.0,34.0,48.5,,34.0,34.0,38.4,,34.0,34.0,38.7,,34.0,34.0,20.4,,34.0,34.0,22.7,,34.0,34.0,30.6,,34.0,34.0,30.6,,34.0,0.9,
27/02/2025 5:37:38 PM,180,34.0,53.9,,34.0,3.0,99.2,31.2,34.0,34.0,66.7,,34.0,3.0,99.2,31.2,34.0,34.0,19.5,,34.0,3.0,99.2,31.2,34.0,34.0,42.4,,34.0,34.0,40.5,,34.0,34.0,84.0,,34.0,34.0,86.4,,34.0,34.0,53.5,,34.0,34.0,63.6,,34.0,34.0,89.3,,34.0,34.0,94.4,,34.0,34.0,19.5,,34.0,34.0,36.9,,34.0,34.0,26.0,,34.0,34.0,66.2,,34.0,34.0,99.0,,34.0,34.0,113.8,,34.0,34.0,50.0,,34.0,34.0,48.0,,34.0,34.0,37.5,,34.0,34.0,39.3,,34.0,34.0,19.7,,34.0,34.0,20.4,,34.0,34.0,29.7,,34.0,34.0,29.5,,34.0,0.0,
27/02/2025 5:38:38 PM,240,34.0,53.6,,34.0,3.0,99.2,31.2,34.0,34.0,64.7,,34.0,3.0,99.2,31.2,34.0,34.0,20.5,,34.0,3.0,99.2,31.2,34.0,34.0,33.4,,34.0,34.0,30.6,,34.0,34.0,85.2,,34.0,34.0,86.6,,34.0,34.0,53.5,,34.0,34.0,63.6,,34.0,34.0,90.2,,34.0,34.0,95.0,,34.0,34.0,20.5,,34.0,34.0,37.2,,34.0,34.0,25.7,,34.0,34.0,66.1,,34.0,34.0,98.5,,34.0,34.0,121.3,,34.0,34.0,53.7,,34.0,34.0,48.3,,34.0,34.0,38.5,,34.0,34.0,33.1,,34.0,34.0,18.8,,34.0,34.0,19.4,,34.0,34.0,32.3,,34.0,34.0,30.8,,34.0,0.1,
27/02/2025 5:39:38 PM,300,34.0,54.5,,34.0,3.0,99.2,31.2,34.0,34.0,63.4,,34.0,3.0,99.2,31.2,34.0,34.0,20.0,,34.0,3.0,99.2,31.2,34.0,34.0,25.4,,34.0,34.0,25.0,,34.0,34.0,86.2,,34.0,34.0,87.2,,34.0,34.0,53.5,,34.0,34.0,62.3,,34.0,34.0,91.2,,34.0,34.0,95.2,,34.0,34.0,20.0,,34.0,34.0,37.7,,34.0,34.0,26.5,,34.0,34.0,67.8,,34.0,34.0,104.1,,34.0,34.0,133.6,,34.0,34.0,51.4,,34.0,34.0,49.2,,34.0,34.0,40.1,,34.0,34.0,45.1,,34.0,34.0,19.4,,34.0,34.0,20.1,,34.0,34.0,32.2,,34.0,34.0,30.8,,34.0,0.0,
27/02/2025 5:40:38 PM,360,34.0,52.7,,34.0,3.0,99.2,31.2,34.0,34.0,60.3,,34.0,3.0,99.2,31.2,34.0,34.0,19.2,,34.0,3.0,99.2,31.2,34.0,34.0,17.6,,34.0,34.0,13.7,,34.0,34.0,85.8,,34.0,34.0,85.3,,34.0,34.0,53.5,,34.0,34.0,62.3,,34.0,34.0,89.2,,34.0,34.0,96.8,,34.0,34.0,19.2,,34.0,34.0,37.3,,34.0,34.0,26.6,,34.0,34.0,67.3,,34.0,34.0,97.8,,34.0,34.0,126.1,,34.0,34.0,50.3,,34.0,34.0,49.3,,34.0,34.0,38.6,,34.0,34.0,38.6,,34.0,34.0,19.9,,34.0,34.0,15.4,,34.0,34.0,32.7,,34.0,34.0,30.0,,34.0,0.7,
27/02/2025 5:41:38 PM,420,34.0,53.5,,34.0,3.0,99.2,31.2,34.0,34.0,60.6,,34.0,3.0,99.2,31.2,34.0,34.0,20.9,,34.0,3.0,99.2,31.2,34.0,34.0,15.7,,34.0,34.0,16.9,,34.0,34.0,85.4,,34.0,34.0,85.8,,34.0,34.0,53.5,,34.0,34.0,63.1,,34.0,34.0,91.6,,34.0,34.0,96.7,,34.0,34.0,20.9,,34.0,34.0,38.7,,34.0,34.0,25.6,,34.0,34.0,66.1,,34.0,34.0,109.1,,34.0,34.0,134.0,,34.0,34.0,49.8,,34.0,34.0,48.2,,34.0,34.0,37.4,,34.0,34.0,38.9,,34.0,34.0,19.4,,34.0,34.0,19.1,,34.0,34.0,32.4,,34.0,34.0,29.2,,34.0,0.7,
27/02/2025 5:42:38 PM,480,34.0,51.8,,34.0,3.0,99.2,31.2,34.0,34.0,61.3,,34.0,3.0,99.2,31.2,34.0,34.0,20.2,,34.0,3.0,99.2,31.2,34.0,34.0,18.8,,34.0,34.0,13.7,,34.0,34.0,86.3,,34.0,34.0,87.7,,34.0,34.0,53.5,,34.0,34.0,64.1,,34.0,34.0,85.9,,34.0,34.0,95.7,,34.0,34.0,20.2,,34.0,34.0,35.5,,34.0,34.0,26.8,,34.0,34.0,66.2,,34.0,34.0,96.7,,34.0,34.0,128.5,,34.0,34.0,49.8,,34.0,34.0,50.3,,34.0,34.0,39.5,,34.0,34.0,16.5,,34.0,34.0,19.3,,34.0,34.0,19.6,,34.0,34.0,30.8,,34.0,34.0,31.1,,34.0,0.1,
