Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
27/02/2025 3:13:41 PM,0,34.5,52.3,,34.5,3.3,99.9,31.8,34.5,36.2,55.8,,36.2,4.4,100.0,33.9,36.2,34.0,20.0,,34.0,3.0,99.2,31.2,34.0,40.8,0.0,,40.8,44.9,0.0,,44.9,34.0,87.1,,34.0,34.0,81.2,,34.0,34.0,53.8,,34.0,34.0,64.5,,34.0,34.0,87.3,,34.0,34.0,96.2,,34.0,34.0,20.0,,34.0,34.0,37.9,,34.0,34.0,25.8,,34.0,34.0,70.2,,34.0,34.0,107.8,,34.0,34.0,132.4,,34.0,34.0,51.2,,34.0,34.0,49.4,,34.0,34.0,38.9,,34.0,34.0,40.4,,34.0,34.0,18.9,,34.0,34.0,20.5,,34.0,34.0,28.9,,34.0,34.0,29.7,,34.0,0.4,
27/02/2025 3:14:41 PM,60,34.5,53.1,,34.5,3.3,99.9,31.8,34.5,36.3,57.0,,36.3,4.4,100.0,34.0,36.3,34.0,20.2,,34.0,3.0,99.2,31.2,34.0,40.9,0.0,,40.9,45.1,0.0,,45.1,34.0,86.2,,34.0,34.0,85.9,,34.0,34.0,54.8,,34.0,34.0,64.0,,34.0,34.0,87.2,,34.0,34.0,98.4,,34.0,34.0,20.2,,34.0,34.0,39.6,,34.0,34.0,26.1,,34.0,34.0,68.7,,34.0,34.0,101.8,,34.0,34.0,131.3,,34.0,34.0,51.3,,34.0,34.0,50.4,,34.0,34.0,37.5,,34.0,34.0,39.3,,34.0,34.0,19.6,,34.0,34.0,31.9,,34.0,34.0,30.7,,34.0,34.0,30.1,,34.0,0.4,
27/02/2025 3:15:41 PM,120,34.6,51.6,,34.6,3.4,99.9,31.9,34.6,36.3,56.8,,36.3,4.4,100.0,34.0,36.3,34.0,19.7,,34.0,3.0,99.2,31.2,34.0,41.0,0.0,,41.0,45.3,0.0,,45.3,34.0,86.3,,34.0,34.0,85.2,,34.0,34.0,54.8,,34.0,34.0,63.8,,34.0,34.0,89.5,,34.0,34.0,95.7,,34.0,34.0,19.7,,34.0,34.0,36.5,,34.0,34.0,23.7,,34.0,34.0,68.0,,34.0,34.0,99.6,,34.0,34.0,118.3,,34.0,34.0,50.6,,34.0,34.0,46.9,,34.0,34.0,37.8,,34.0,34.0,39.6,,34.0,34.0,20.1,,34.0,34.0,21.1,,34.0,34.0,29.7,,34.0,34.0,29.4,,34.0,0.3,
27/02/2025 3:16:41 PM,180,34.6,52.1,,34.6,3.4,99.9,31.9,34.6,36.4,56.3,,36.4,4.4,100.0,34.1,36.4,34.0,20.0,,34.0,3.0,99.2,31.2,34.0,41.2,0.0,,41.2,45.5,0.0,,45.5,34.0,86.6,,34.0,34.0,83.0,,34.0,34.0,54.8,,34.0,34.0,65.5,,34.0,34.0,91.7,,34.0,34.0,98.7,,34.0,34.0,20.0,,34.0,34.0,38.3,,34.0,34.0,26.6,,34.0,34.0,68.6,,34.0,34.0,100.3,,34.0,34.0,111.7,,34.0,34.0,50.9,,34.0,34.0,48.9,,34.0,34.0,37.9,,34.0,34.0,38.0,,34.0,34.0,20.3,,34.0,34.0,20.7,,34.0,34.0,28.1,,34.0,34.0,30.4,,34.0,0.4,
27/02/2025 3:17:41 PM,240,34.6,52.4,,34.6,3.4,99.9,31.9,34.6,36.4,56.7,,36.4,4.5,100.0,34.1,36.4,34.0,19.2,,34.0,3.0,99.2,31.2,34.0,41.4,0.0,,41.3,45.7,0.0,,45.7,34.0,87.3,,34.0,34.0,83.7,,34.0,34.0,54.8,,34.0,34.0,66.0,,34.0,34.0,92.0,,34.0,34.0,95.2,,34.0,34.0,19.2,,34.0,34.0,38.4,,34.0,34.0,25.8,,34.0,34.0,69.8,,34.0,34.0,100.7,,34.0,34.0,122.9,,34.0,34.0,51.2,,34.0,34.0,49.0,,34.0,34.0,37.2,,34.0,34.0,40.2,,34.0,34.0,19.5,,34.0,34.0,20.7,,34.0,34.0,30.7,,34.0,34.0,28.9,,34.0,0.5,
27/02/2025 3:18:41 PM,300,34.6,52.1,,34.6,3.4,99.9,31.9,34.6,36.4,56.7,,36.4,4.5,100.0,34.2,36.4,34.0,19.9,,34.0,3.0,99.2,31.2,34.0,41.5,0.0,,41.5,45.9,0.0,,45.9,34.0,86.8,,34.0,34.0,84.0,,34.0,34.0,54.8,,34.0,34.0,61.8,,34.0,34.0,91.9,,34.0,34.0,96.5,,34.0,34.0,19.9,,34.0,34.0,39.0,,34.0,34.0,21.1,,34.0,34.0,69.3,,34.0,34.0,102.8,,34.0,34.0,122.6,,34.0,34.0,51.0,,34.0,34.0,49.5,,34.0,34.0,38.2,,34.0,34.0,40.5,,34.0,34.0,19.4,,34.0,34.0,21.6,,34.0,34.0,29.1,,34.0,34.0,29.6,,34.0,0.2,
27/02/2025 3:19:41 PM,360,34.6,52.9,,34.6,3.4,99.9,31.9,34.6,36.5,57.7,,36.5,4.5,100.0,34.2,36.5,34.0,20.0,,34.0,3.0,99.2,31.2,34.0,41.6,0.0,,41.6,46.1,0.0,,46.0,34.0,90.3,,34.0,34.0,84.5,,34.0,34.0,54.8,,34.0,34.0,65.1,,34.0,34.0,90.3,,34.0,34.0,100.4,,34.0,34.0,20.0,,34.0,34.0,37.5,,34.0,34.0,27.0,,34.0,34.0,68.2,,34.0,34.0,98.5,,34.0,34.0,129.3,,34.0,34.0,49.7,,34.0,34.0,49.5,,34.0,34.0,37.7,,34.0,34.0,39.0,,34.0,34.0,21.4,,34.0,34.0,22.2,,34.0,34.0,29.4,,34.0,34.0,29.3,,34.0,0.1,
27/02/2025 3:20:41 PM,420,34.6,52.4,,34.6,3.4,99.9,31.9,34.6,36.5,57.2,,36.5,4.5,100.0,34.3,36.5,34.0,20.5,,34.0,3.0,99.2,31.2,34.0,41.7,0.0,,41.7,46.2,0.0,,46.2,34.0,87.6,,34.0,34.0,85.4,,34.0,34.0,54.8,,34.0,34.0,64.8,,34.0,34.0,91.5,,34.0,34.0,98.1,,34.0,34.0,20.5,,34.0,34.0,38.2,,34.0,34.0,26.5,,34.0,34.0,68.2,,34.0,34.0,99.5,,34.0,34.0,117.9,,34.0,34.0,51.8,,34.0,34.0,48.4,,34.0,34.0,38.5,,34.0,34.0,39.1,,34.0,34.0,18.9,,34.0,34.0,20.8,,34.0,34.0,30.5,,34.0,34.0,30.2,,34.0,0.2,
27/02/2025 3:21:41 PM,480,34.6,52.3,,34.6,3.4,99.9,31.9,34.6,36.5,57.0,,36.5,4.6,100.0,34.3,36.5,34.0,18.9,,34.0,3.0,99.2,31.2,34.0,41.9,0.0,,41.9,46.4,0.0,,46.4,34.0,85.9,,34.0,34.0,86.2,,34.0,34.0,54.8,,34.0,34.0,64.0,,34.0,34.0,92.9,,34.0,34.0,97.6,,34.0,34.0,18.9,,34.0,34.0,38.3,,34.0,34.0,26.8,,34.0,34.0,67.2,,34.0,34.0,92.8,,34.0,34.0,122.6,,34.0,34.0,51.2,,34.0,34.0,50.2,,34.0,34.0,38.8,,34.0,34.0,40.1,,34.0,34.0,19.1,,34.0,34.0,21.1,,34.0,34.0,29.8,,34.0,34.0,29.2,,34.0,0.2,
