Manikin #3.4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval (sec),60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),
27/02/2025 14:12,0,34.4,52.7,,34.4,3.3,99.8,31.7,34.4,35.8,57.8,,35.8,4.1,100,33.4,35.8,34,20.3,,34,3,99.2,31.2,34,39.8,0,,39.8,42.7,0,,42.7,34,87.3,,34,34,88.3,,34,34,54.4,,34,34,65.4,,34,34,92.4,,34,34,97.6,,34,34,20.3,,34,34,40.4,,34,34,26,,34,34,67.7,,34,34,100.1,,34,34,127.2,,34,34,51.4,,34,34,48.4,,34,34,36.7,,34,34,40.9,,34,34,20.5,,34,34,19.9,,34,34,25.5,,34,34,29.2,,34,0
27/02/2025 14:13,60,34.5,52.7,,34.5,3.3,99.8,31.7,34.5,35.9,57.8,,35.9,4.1,100,33.5,35.9,34,22.8,,34,3,99.2,31.2,34,39.9,0,,39.8,42.9,0,,42.9,34,89.5,,34,34,86.3,,34,34,54.4,,34,34,64.1,,34,34,89.2,,34,34,95.7,,34,34,22.8,,34,34,37.4,,34,34,26.4,,34,34,70.1,,34,34,97.9,,34,34,125.8,,34,34,52.2,,34,34,49.5,,34,34,38.5,,34,34,40.7,,34,34,20.5,,34,34,20.9,,34,34,30.5,,34,34,29.9,,34,0.3
27/02/2025 14:14,120,34.5,52.6,,34.5,3.3,99.8,31.7,34.5,35.9,57.1,,35.9,4.2,100,33.5,35.9,34,20.9,,34,3,99.2,31.2,34,40,0,,40,43.1,0,,43,34,86.9,,34,34,85.9,,34,34,54.7,,34,34,63.7,,34,34,91.6,,34,34,96.8,,34,34,20.9,,34,34,39.6,,34,34,23.7,,34,34,66.9,,34,34,101.8,,34,34,129.1,,34,34,50.3,,34,34,48.2,,34,34,38.6,,34,34,39.5,,34,34,20.5,,34,34,21.4,,34,34,31.2,,34,34,30.1,,34,0.2
27/02/2025 14:15,180,34.5,53.7,,34.5,3.3,99.8,31.7,34.5,35.9,57.6,,35.9,4.2,100,33.6,35.9,34,23.1,,34,3,99.2,31.2,34,40.1,0,,40.1,43.2,0,,43.2,34,86,,34,34,88.6,,34,34,54.7,,34,34,63.7,,34,34,91.5,,34,34,97.5,,34,34,23.1,,34,34,37.7,,34,34,26,,34,34,67.7,,34,34,99.9,,34,34,126.3,,34,34,50.2,,34,34,49.1,,34,34,38,,34,34,57.7,,34,34,19.7,,34,34,21.9,,34,34,32.4,,34,34,29.3,,34,0.5
27/02/2025 14:16,240,34.5,52.1,,34.5,3.3,99.8,31.7,34.5,36,57.1,,36,4.2,100,33.6,36,34,20.3,,34,3,99.2,31.2,34,40.2,0,,40.1,43.4,0,,43.3,34,88.5,,34,34,84,,34,34,54.7,,34,34,63.8,,34,34,87.7,,34,34,97.3,,34,34,20.3,,34,34,39.5,,34,34,24.7,,34,34,68.4,,34,34,97.1,,34,34,123.4,,34,34,52.2,,34,34,49.5,,34,34,38.5,,34,34,37.8,,34,34,20.1,,34,34,20,,34,34,31.3,,34,34,28.6,,34,0.1
27/02/2025 14:17,300,34.5,52.5,,34.5,3.3,99.8,31.8,34.5,36,58,,36,4.2,100,33.6,36,34,20.6,,34,3,99.2,31.2,34,40.3,0,,40.3,43.5,0,,43.5,34,89.8,,34,34,88.3,,34,34,52.6,,34,34,63.5,,34,34,92.2,,34,34,96.1,,34,34,20.6,,34,34,37.7,,34,34,26,,34,34,68.1,,34,34,97.9,,34,34,122.7,,34,34,49.6,,34,34,49.4,,34,34,38.3,,34,34,38.7,,34,34,20.1,,34,34,21.9,,34,34,29.7,,34,34,29.6,,34,0.2
27/02/2025 14:18,360,34.5,52.6,,34.5,3.3,99.8,31.7,34.5,36,56.4,,36,4.2,100,33.6,36,34,19.1,,34,3,99.2,31.2,34,40.1,0,,40.2,43.4,0,,43.4,34,86.5,,34,34,84.1,,34,34,53.8,,34,34,64,,34,34,90.7,,34,34,100.3,,34,34,19.1,,34,34,38.7,,34,34,25.8,,34,34,68.1,,34,34,101.7,,34,34,126.3,,34,34,49.8,,34,34,49.2,,34,34,36.9,,34,34,39.8,,34,34,20.9,,34,34,21.3,,34,34,31.7,,34,34,30.6,,34,0.5
27/02/2025 14:19,420,34.5,53,,34.5,3.3,99.8,31.7,34.5,35.9,57.5,,35.9,4.2,100,33.5,35.9,34,20.5,,34,3,99.2,31.2,34,39.9,0,,39.9,43.1,0,,43.1,34,87.8,,34,34,87.3,,34,34,53.8,,34,34,65.7,,34,34,91.7,,34,34,97,,34,34,20.5,,34,34,38.4,,34,34,25.3,,34,34,69.4,,34,34,103.6,,34,34,128.1,,34,34,49.8,,34,34,48.8,,34,34,38.5,,34,34,44.8,,34,34,20,,34,34,20.3,,34,34,29.3,,34,34,28.4,,34,0.1
27/02/2025 14:20,480,34.4,52.4,,34.4,3.3,99.8,31.7,34.4,35.8,57.7,,35.8,4.1,100,33.4,35.8,34,21.1,,34,3,99.2,31.2,34,39.6,0,,39.7,42.7,0,,42.7,34,88.2,,34,34,87.7,,34,34,53.8,,34,34,63,,34,34,90.4,,34,34,94.7,,34,34,21.1,,34,34,38.4,,34,34,25.5,,34,34,69,,34,34,94.5,,34,34,124.4,,34,34,51.3,,34,34,48.5,,34,34,39,,34,34,39.1,,34,34,22.3,,34,34,19.9,,34,34,30.7,,34,34,30.1,,34,0.3
