Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
28/02/2025 11:33:09 AM,0,34.0,53.4,,34.0,3.0,99.2,31.2,34.0,34.0,65.5,,34.0,3.0,99.2,31.2,34.0,34.0,27.8,,34.0,3.0,99.2,31.2,34.0,34.0,54.2,,34.0,34.0,53.7,,34.0,34.0,75.7,,34.0,34.0,78.5,,34.0,34.0,52.6,,34.0,34.0,58.6,,34.0,34.0,81.5,,34.0,34.0,90.5,,34.0,34.0,27.8,,34.0,34.0,39.5,,34.0,34.0,24.7,,34.0,34.0,66.3,,34.0,34.0,93.6,,34.0,34.0,108.9,,34.0,34.0,49.7,,34.0,34.0,46.4,,34.0,34.0,39.1,,34.0,34.0,40.4,,34.0,34.0,24.7,,34.0,34.0,24.0,,34.0,34.0,32.6,,34.0,34.0,31.5,,34.0,0.0,
28/02/2025 11:34:09 AM,60,34.0,53.3,,34.0,3.0,99.2,31.2,34.0,34.0,64.4,,34.0,3.0,99.2,31.2,34.0,34.0,26.7,,34.0,3.0,99.2,31.2,34.0,34.0,53.1,,34.0,34.0,53.1,,34.0,34.0,72.4,,34.0,34.0,78.2,,34.0,34.0,52.6,,34.0,34.0,60.3,,34.0,34.0,81.4,,34.0,34.0,88.2,,34.0,34.0,26.7,,34.0,34.0,40.7,,34.0,34.0,26.8,,34.0,34.0,66.6,,34.0,34.0,97.7,,34.0,34.0,104.8,,34.0,34.0,49.4,,34.0,34.0,46.5,,34.0,34.0,41.3,,34.0,34.0,38.8,,34.0,34.0,21.9,,34.0,34.0,24.8,,34.0,34.0,33.7,,34.0,34.0,32.8,,34.0,0.0,
28/02/2025 11:35:09 AM,120,34.0,53.4,,34.0,3.0,99.2,31.2,34.0,34.0,64.4,,34.0,3.0,99.2,31.2,34.0,34.0,26.9,,34.0,3.0,99.2,31.2,34.0,34.0,53.8,,34.0,34.0,52.0,,34.0,34.0,73.3,,34.0,34.0,77.7,,34.0,34.0,52.6,,34.0,34.0,58.9,,34.0,34.0,81.3,,34.0,34.0,87.6,,34.0,34.0,26.9,,34.0,34.0,41.0,,34.0,34.0,26.2,,34.0,34.0,67.3,,34.0,34.0,98.8,,34.0,34.0,120.3,,34.0,34.0,50.3,,34.0,34.0,46.2,,34.0,34.0,39.2,,34.0,34.0,39.6,,34.0,34.0,22.1,,34.0,34.0,23.1,,34.0,34.0,31.9,,34.0,34.0,31.5,,34.0,0.4,
28/02/2025 11:36:09 AM,180,34.0,53.3,,34.0,3.0,99.2,31.2,34.0,34.0,64.3,,34.0,3.0,99.2,31.2,34.0,34.0,27.1,,34.0,3.0,99.2,31.2,34.0,34.0,52.6,,34.0,34.0,52.6,,34.0,34.0,73.7,,34.0,34.0,77.2,,34.0,34.0,52.6,,34.0,34.0,59.9,,34.0,34.0,81.7,,34.0,34.0,90.0,,34.0,34.0,27.1,,34.0,34.0,42.1,,34.0,34.0,24.8,,34.0,34.0,67.4,,34.0,34.0,95.7,,34.0,34.0,112.5,,34.0,34.0,48.0,,34.0,34.0,47.4,,34.0,34.0,37.6,,34.0,34.0,39.8,,34.0,34.0,21.8,,34.0,34.0,21.3,,34.0,34.0,33.2,,34.0,34.0,33.3,,34.0,0.3,
28/02/2025 11:37:09 AM,240,34.0,52.8,,34.0,3.0,99.2,31.2,34.0,34.0,65.2,,34.0,3.0,99.2,31.2,34.0,34.0,26.9,,34.0,3.0,99.2,31.2,34.0,34.0,53.6,,34.0,34.0,53.4,,34.0,34.0,74.4,,34.0,34.0,79.2,,34.0,34.0,52.5,,34.0,34.0,59.1,,34.0,34.0,80.9,,34.0,34.0,87.3,,34.0,34.0,26.9,,34.0,34.0,39.5,,34.0,34.0,25.1,,34.0,34.0,67.0,,34.0,34.0,97.5,,34.0,34.0,104.3,,34.0,34.0,48.4,,34.0,34.0,45.8,,34.0,34.0,38.9,,34.0,34.0,39.4,,34.0,34.0,22.2,,34.0,34.0,21.8,,34.0,34.0,32.2,,34.0,34.0,31.3,,34.0,0.0,
28/02/2025 11:38:09 AM,300,34.0,52.5,,34.0,3.0,99.2,31.2,34.0,34.0,64.2,,34.0,3.0,99.2,31.2,34.0,34.0,26.6,,34.0,3.0,99.2,31.2,34.0,34.0,54.0,,34.0,34.0,52.5,,34.0,34.0,73.9,,34.0,34.0,77.2,,34.0,34.0,51.4,,34.0,34.0,58.9,,34.0,34.0,81.0,,34.0,34.0,87.8,,34.0,34.0,26.6,,34.0,34.0,40.2,,34.0,34.0,24.2,,34.0,34.0,64.3,,34.0,34.0,92.2,,34.0,34.0,108.9,,34.0,34.0,48.5,,34.0,34.0,46.7,,34.0,34.0,37.8,,34.0,34.0,39.3,,34.0,34.0,21.9,,34.0,34.0,22.2,,34.0,34.0,32.1,,34.0,34.0,32.2,,34.0,0.2,
28/02/2025 11:39:09 AM,360,34.0,52.3,,34.0,3.0,99.2,31.2,34.0,34.0,62.6,,34.0,3.0,99.2,31.2,34.0,34.0,26.9,,34.0,3.0,99.2,31.2,34.0,34.0,51.9,,34.0,34.0,51.8,,34.0,34.0,74.0,,34.0,34.0,71.9,,34.0,34.0,51.7,,34.0,34.0,59.3,,34.0,34.0,81.4,,34.0,34.0,89.1,,34.0,34.0,26.9,,34.0,34.0,40.3,,34.0,34.0,25.2,,34.0,34.0,63.4,,34.0,34.0,97.2,,34.0,34.0,105.3,,34.0,34.0,47.8,,34.0,34.0,46.7,,34.0,34.0,39.2,,34.0,34.0,39.1,,34.0,34.0,21.6,,34.0,34.0,21.6,,34.0,34.0,32.4,,34.0,34.0,32.5,,34.0,0.1,
28/02/2025 11:40:09 AM,420,34.0,52.7,,34.0,3.0,99.2,31.2,34.0,34.0,64.2,,34.0,3.0,99.2,31.2,34.0,34.0,25.8,,34.0,3.0,99.2,31.2,34.0,34.0,53.0,,34.0,34.0,52.0,,34.0,34.0,73.1,,34.0,34.0,78.8,,34.0,34.0,51.0,,34.0,34.0,57.7,,34.0,34.0,82.9,,34.0,34.0,89.9,,34.0,34.0,25.8,,34.0,34.0,40.3,,34.0,34.0,24.6,,34.0,34.0,65.9,,34.0,34.0,93.6,,34.0,34.0,100.4,,34.0,34.0,49.4,,34.0,34.0,45.6,,34.0,34.0,39.6,,34.0,34.0,39.6,,34.0,34.0,22.3,,34.0,34.0,22.9,,34.0,34.0,32.8,,34.0,34.0,32.5,,34.0,0.1,
28/02/2025 11:41:09 AM,480,34.0,52.7,,34.0,3.0,99.2,31.2,34.0,34.0,64.0,,34.0,3.0,99.2,31.2,34.0,34.0,26.0,,34.0,3.0,99.2,31.2,34.0,34.0,52.6,,34.0,34.0,52.5,,34.0,34.0,73.7,,34.0,34.0,77.6,,34.0,34.0,50.8,,34.0,34.0,60.3,,34.0,34.0,81.0,,34.0,34.0,89.2,,34.0,34.0,26.0,,34.0,34.0,39.7,,34.0,34.0,24.1,,34.0,34.0,64.5,,34.0,34.0,95.4,,34.0,34.0,106.6,,34.0,34.0,50.0,,34.0,34.0,46.9,,34.0,34.0,39.1,,34.0,34.0,39.5,,34.0,34.0,21.3,,34.0,34.0,21.9,,34.0,34.0,33.8,,34.0,34.0,31.7,,34.0,0.5,
