Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
28/02/2025 2:45:39 PM,0,34.0,49.5,,34.0,3.0,99.2,31.2,34.0,34.0,63.6,,34.0,3.0,99.2,31.2,34.0,34.0,18.6,,34.0,3.0,99.2,31.2,34.0,34.0,53.1,,34.0,34.0,49.6,,34.0,34.0,76.4,,34.0,34.0,79.3,,34.0,34.0,45.7,,34.0,34.0,53.4,,34.0,34.0,75.6,,34.0,34.0,81.8,,34.0,34.0,18.6,,34.0,34.0,36.2,,34.0,34.0,23.1,,34.0,34.0,61.4,,34.0,34.0,90.3,,34.0,34.0,122.0,,34.0,34.0,42.6,,34.0,34.0,44.9,,34.0,34.0,32.9,,34.0,34.0,36.4,,34.0,34.0,16.9,,34.0,34.0,18.7,,34.0,34.0,26.7,,34.0,34.0,29.1,,34.0,0.1,
28/02/2025 2:46:39 PM,60,34.0,49.8,,34.0,3.0,99.2,31.2,34.0,34.0,64.4,,34.0,3.0,99.2,31.2,34.0,34.0,18.9,,34.0,3.0,99.2,31.2,34.0,34.0,52.9,,34.0,34.0,51.5,,34.0,34.0,77.0,,34.0,34.0,80.0,,34.0,34.0,46.9,,34.0,34.0,55.4,,34.0,34.0,76.5,,34.0,34.0,83.7,,34.0,34.0,18.9,,34.0,34.0,35.5,,34.0,34.0,23.2,,34.0,34.0,60.6,,34.0,34.0,92.5,,34.0,34.0,115.6,,34.0,34.0,45.3,,34.0,34.0,43.5,,34.0,34.0,33.5,,34.0,34.0,36.8,,34.0,34.0,16.5,,34.0,34.0,17.5,,34.0,34.0,26.4,,34.0,34.0,28.2,,34.0,0.0,
28/02/2025 2:47:39 PM,120,34.0,50.2,,34.0,3.0,99.2,31.2,34.0,34.0,65.0,,34.0,3.0,99.2,31.2,34.0,34.0,18.0,,34.0,3.0,99.2,31.2,34.0,34.0,53.5,,34.0,34.0,49.7,,34.0,34.0,78.9,,34.0,34.0,81.6,,34.0,34.0,46.1,,34.0,34.0,58.2,,34.0,34.0,75.1,,34.0,34.0,83.8,,34.0,34.0,18.0,,34.0,34.0,36.0,,34.0,34.0,22.9,,34.0,34.0,60.5,,34.0,34.0,89.5,,34.0,34.0,113.1,,34.0,34.0,44.8,,34.0,34.0,45.2,,34.0,34.0,34.3,,34.0,34.0,37.3,,34.0,34.0,17.8,,34.0,34.0,19.1,,34.0,34.0,26.1,,34.0,34.0,29.6,,34.0,0.3,
28/02/2025 2:48:39 PM,180,34.0,50.4,,34.0,3.0,99.2,31.2,34.0,34.0,66.9,,34.0,3.0,99.2,31.2,34.0,34.0,17.9,,34.0,3.0,99.2,31.2,34.0,34.0,56.4,,34.0,34.0,51.8,,34.0,34.0,77.8,,34.0,34.0,87.7,,34.0,34.0,46.1,,34.0,34.0,56.1,,34.0,34.0,74.0,,34.0,34.0,81.2,,34.0,34.0,17.9,,34.0,34.0,36.0,,34.0,34.0,23.0,,34.0,34.0,60.1,,34.0,34.0,84.4,,34.0,34.0,120.2,,34.0,34.0,45.3,,34.0,34.0,44.4,,34.0,34.0,32.8,,34.0,34.0,37.3,,34.0,34.0,18.0,,34.0,34.0,19.2,,34.0,34.0,28.1,,34.0,34.0,30.1,,34.0,0.7,
28/02/2025 2:49:39 PM,240,34.0,49.9,,34.0,3.0,99.2,31.2,34.0,34.0,63.7,,34.0,3.0,99.2,31.2,34.0,34.0,17.2,,34.0,3.0,99.2,31.2,34.0,34.0,54.1,,34.0,34.0,49.9,,34.0,34.0,75.9,,34.0,34.0,79.5,,34.0,34.0,46.1,,34.0,34.0,57.2,,34.0,34.0,77.4,,34.0,34.0,83.0,,34.0,34.0,17.2,,34.0,34.0,36.1,,34.0,34.0,22.4,,34.0,34.0,61.7,,34.0,34.0,90.3,,34.0,34.0,115.5,,34.0,34.0,46.0,,34.0,34.0,44.7,,34.0,34.0,32.9,,34.0,34.0,36.2,,34.0,34.0,19.0,,34.0,34.0,17.6,,34.0,34.0,26.2,,34.0,34.0,29.5,,34.0,0.3,
28/02/2025 2:50:39 PM,300,34.0,49.5,,34.0,3.0,99.2,31.2,34.0,34.0,64.3,,34.0,3.0,99.2,31.2,34.0,34.0,17.8,,34.0,3.0,99.2,31.2,34.0,34.0,53.1,,34.0,34.0,50.7,,34.0,34.0,77.6,,34.0,34.0,79.9,,34.0,34.0,46.1,,34.0,34.0,50.1,,34.0,34.0,76.3,,34.0,34.0,82.6,,34.0,34.0,17.8,,34.0,34.0,35.5,,34.0,34.0,22.2,,34.0,34.0,61.8,,34.0,34.0,90.5,,34.0,34.0,116.6,,34.0,34.0,44.9,,34.0,34.0,44.6,,34.0,34.0,32.3,,34.0,34.0,35.8,,34.0,34.0,19.1,,34.0,34.0,19.7,,34.0,34.0,27.1,,34.0,34.0,28.2,,34.0,0.6,
28/02/2025 2:51:39 PM,360,34.0,49.7,,34.0,3.0,99.2,31.2,34.0,34.0,63.8,,34.0,3.0,99.2,31.2,34.0,34.0,18.7,,34.0,3.0,99.2,31.2,34.0,34.0,53.6,,34.0,34.0,52.1,,34.0,34.0,76.2,,34.0,34.0,78.3,,34.0,34.0,46.5,,34.0,34.0,52.7,,34.0,34.0,76.4,,34.0,34.0,82.2,,34.0,34.0,18.7,,34.0,34.0,35.6,,34.0,34.0,22.2,,34.0,34.0,62.5,,34.0,34.0,90.1,,34.0,34.0,116.7,,34.0,34.0,45.5,,34.0,34.0,43.5,,34.0,34.0,32.9,,34.0,34.0,36.8,,34.0,34.0,20.2,,34.0,34.0,18.3,,34.0,34.0,28.6,,34.0,34.0,29.1,,34.0,0.0,
28/02/2025 2:52:39 PM,420,34.0,50.0,,34.0,3.0,99.2,31.2,34.0,34.0,64.8,,34.0,3.0,99.2,31.2,34.0,34.0,18.9,,34.0,3.0,99.2,31.2,34.0,34.0,54.0,,34.0,34.0,52.0,,34.0,34.0,77.7,,34.0,34.0,80.4,,34.0,34.0,46.7,,34.0,34.0,56.5,,34.0,34.0,76.5,,34.0,34.0,83.3,,34.0,34.0,18.9,,34.0,34.0,38.1,,34.0,34.0,23.0,,34.0,34.0,59.6,,34.0,34.0,86.3,,34.0,34.0,112.8,,34.0,34.0,44.4,,34.0,34.0,45.3,,34.0,34.0,33.8,,34.0,34.0,35.2,,34.0,34.0,16.7,,34.0,34.0,18.7,,34.0,34.0,27.2,,34.0,34.0,29.3,,34.0,0.1,
28/02/2025 2:53:39 PM,480,34.0,49.7,,34.0,3.0,99.2,31.2,34.0,34.0,64.1,,34.0,3.0,99.2,31.2,34.0,34.0,18.3,,34.0,3.0,99.2,31.2,34.0,34.0,54.2,,34.0,34.0,50.9,,34.0,34.0,75.2,,34.0,34.0,80.5,,34.0,34.0,46.7,,34.0,34.0,57.1,,34.0,34.0,76.1,,34.0,34.0,83.5,,34.0,34.0,18.3,,34.0,34.0,37.7,,34.0,34.0,22.7,,34.0,34.0,62.7,,34.0,34.0,86.5,,34.0,34.0,112.1,,34.0,34.0,44.3,,34.0,34.0,43.9,,34.0,34.0,31.8,,34.0,34.0,36.4,,34.0,34.0,17.4,,34.0,34.0,17.8,,34.0,34.0,25.7,,34.0,34.0,28.7,,34.0,0.1,
