Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
28/02/2025 5:35:49 PM,0,34.0,48.5,,34.0,3.0,99.2,31.2,34.0,34.0,66.4,,34.0,3.0,99.2,31.2,34.0,34.0,18.2,,34.0,3.0,99.2,31.2,34.0,34.0,57.1,,34.0,34.0,52.7,,34.0,34.0,80.8,,34.0,34.0,79.4,,34.0,34.0,49.2,,34.0,34.0,57.6,,34.0,34.0,72.8,,34.0,34.0,83.0,,34.0,34.0,18.2,,34.0,34.0,33.2,,34.0,34.0,15.0,,34.0,34.0,40.7,,34.0,34.0,89.2,,34.0,34.0,110.3,,34.0,34.0,45.2,,34.0,34.0,43.1,,34.0,34.0,34.2,,34.0,34.0,33.1,,34.0,34.0,16.6,,34.0,34.0,18.5,,34.0,34.0,27.0,,34.0,34.0,25.8,,34.0,0.2,
28/02/2025 5:36:49 PM,60,34.0,48.2,,34.0,3.0,99.2,31.2,34.0,34.0,66.8,,34.0,3.0,99.2,31.2,34.0,34.0,19.0,,34.0,3.0,99.2,31.2,34.0,34.0,57.3,,34.0,34.0,52.9,,34.0,34.0,81.4,,34.0,34.0,79.9,,34.0,34.0,49.2,,34.0,34.0,59.4,,34.0,34.0,71.5,,34.0,34.0,81.3,,34.0,34.0,19.0,,34.0,34.0,33.5,,34.0,34.0,14.4,,34.0,34.0,37.9,,34.0,34.0,84.6,,34.0,34.0,109.0,,34.0,34.0,43.4,,34.0,34.0,43.0,,34.0,34.0,31.8,,34.0,34.0,33.4,,34.0,34.0,16.9,,34.0,34.0,19.1,,34.0,34.0,25.8,,34.0,34.0,26.7,,34.0,0.6,
28/02/2025 5:37:49 PM,120,34.0,47.2,,34.0,3.0,99.2,31.2,34.0,34.0,66.4,,34.0,3.0,99.2,31.2,34.0,34.0,17.9,,34.0,3.0,99.2,31.2,34.0,34.0,57.2,,34.0,34.0,52.9,,34.0,34.0,81.6,,34.0,34.0,79.4,,34.0,34.0,47.9,,34.0,34.0,58.9,,34.0,34.0,72.5,,34.0,34.0,82.9,,34.0,34.0,17.9,,34.0,34.0,32.5,,34.0,34.0,11.5,,34.0,34.0,23.0,,34.0,34.0,86.1,,34.0,34.0,102.8,,34.0,34.0,43.9,,34.0,34.0,42.9,,34.0,34.0,31.6,,34.0,34.0,32.8,,34.0,34.0,16.4,,34.0,34.0,17.2,,34.0,34.0,27.3,,34.0,34.0,26.4,,34.0,0.4,
28/02/2025 5:38:49 PM,180,34.0,47.4,,34.0,3.0,99.2,31.2,34.0,34.0,67.4,,34.0,3.0,99.2,31.2,34.0,34.0,18.0,,34.0,3.0,99.2,31.2,34.0,34.0,58.0,,34.0,34.0,53.0,,34.0,34.0,82.6,,34.0,34.0,81.0,,34.0,34.0,48.9,,34.0,34.0,57.9,,34.0,34.0,73.0,,34.0,34.0,78.8,,34.0,34.0,18.0,,34.0,34.0,32.8,,34.0,34.0,11.5,,34.0,34.0,25.2,,34.0,34.0,84.6,,34.0,34.0,106.8,,34.0,34.0,44.2,,34.0,34.0,42.0,,34.0,34.0,32.4,,34.0,34.0,32.9,,34.0,34.0,16.7,,34.0,34.0,18.0,,34.0,34.0,27.1,,34.0,34.0,25.7,,34.0,0.1,
28/02/2025 5:39:49 PM,240,34.0,47.7,,34.0,3.0,99.2,31.2,34.0,34.0,66.7,,34.0,3.0,99.2,31.2,34.0,34.0,19.2,,34.0,3.0,99.2,31.2,34.0,34.0,57.6,,34.0,34.0,51.4,,34.0,34.0,80.4,,34.0,34.0,81.5,,34.0,34.0,48.9,,34.0,34.0,58.3,,34.0,34.0,74.6,,34.0,34.0,83.4,,34.0,34.0,19.2,,34.0,34.0,31.9,,34.0,34.0,10.3,,34.0,34.0,20.5,,34.0,34.0,94.9,,34.0,34.0,107.7,,34.0,34.0,45.9,,34.0,34.0,42.6,,34.0,34.0,33.4,,34.0,34.0,34.4,,34.0,34.0,14.4,,34.0,34.0,16.2,,34.0,34.0,25.8,,34.0,34.0,26.6,,34.0,0.1,
28/02/2025 5:40:49 PM,300,34.0,47.1,,34.0,3.0,99.2,31.2,34.0,34.0,66.6,,34.0,3.0,99.2,31.2,34.0,34.0,18.4,,34.0,3.0,99.2,31.2,34.0,34.0,57.7,,34.0,34.0,51.1,,34.0,34.0,82.0,,34.0,34.0,79.6,,34.0,34.0,48.7,,34.0,34.0,59.6,,34.0,34.0,72.0,,34.0,34.0,83.8,,34.0,34.0,18.4,,34.0,34.0,32.7,,34.0,34.0,10.8,,34.0,34.0,24.7,,34.0,34.0,78.5,,34.0,34.0,101.0,,34.0,34.0,44.3,,34.0,34.0,41.7,,34.0,34.0,31.5,,34.0,34.0,32.2,,34.0,34.0,16.0,,34.0,34.0,18.2,,34.0,34.0,26.6,,34.0,34.0,25.8,,34.0,0.1,
28/02/2025 5:41:49 PM,360,34.0,46.7,,34.0,3.0,99.2,31.2,34.0,34.0,62.9,,34.0,3.0,99.2,31.2,34.0,34.0,18.1,,34.0,3.0,99.2,31.2,34.0,34.0,57.5,,34.0,34.0,52.9,,34.0,34.0,81.1,,34.0,34.0,81.1,,34.0,34.0,31.7,,34.0,34.0,57.7,,34.0,34.0,74.4,,34.0,34.0,84.1,,34.0,34.0,18.1,,34.0,34.0,32.5,,34.0,34.0,10.6,,34.0,34.0,22.1,,34.0,34.0,90.3,,34.0,34.0,108.9,,34.0,34.0,43.7,,34.0,34.0,42.9,,34.0,34.0,33.7,,34.0,34.0,33.3,,34.0,34.0,15.9,,34.0,34.0,16.7,,34.0,34.0,26.6,,34.0,34.0,25.7,,34.0,1.4,
28/02/2025 5:42:49 PM,420,34.0,47.1,,34.0,3.0,99.2,31.2,34.0,34.0,66.8,,34.0,3.0,99.2,31.2,34.0,34.0,18.0,,34.0,3.0,99.2,31.2,34.0,34.0,56.8,,34.0,34.0,52.3,,34.0,34.0,82.0,,34.0,34.0,79.1,,34.0,34.0,49.9,,34.0,34.0,57.7,,34.0,34.0,73.7,,34.0,34.0,82.5,,34.0,34.0,18.0,,34.0,34.0,32.5,,34.0,34.0,9.5,,34.0,34.0,16.4,,34.0,34.0,87.3,,34.0,34.0,105.4,,34.0,34.0,44.2,,34.0,34.0,42.7,,34.0,34.0,31.6,,34.0,34.0,34.2,,34.0,34.0,15.1,,34.0,34.0,18.0,,34.0,34.0,26.6,,34.0,34.0,25.2,,34.0,0.3,
28/02/2025 5:43:49 PM,480,34.0,47.0,,34.0,3.0,99.2,31.2,34.0,34.0,64.8,,34.0,3.0,99.2,31.2,34.0,34.0,21.0,,34.0,3.0,99.2,31.2,34.0,34.0,56.7,,34.0,34.0,51.8,,34.0,34.0,80.7,,34.0,34.0,79.0,,34.0,34.0,43.3,,34.0,34.0,57.8,,34.0,34.0,75.9,,34.0,34.0,83.3,,34.0,34.0,21.0,,34.0,34.0,32.5,,34.0,34.0,9.2,,34.0,34.0,18.8,,34.0,34.0,89.2,,34.0,34.0,103.3,,34.0,34.0,43.6,,34.0,34.0,42.9,,34.0,34.0,32.4,,34.0,34.0,34.0,,34.0,34.0,16.5,,34.0,34.0,17.2,,34.0,34.0,26.4,,34.0,34.0,26.0,,34.0,0.1,
