Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
1/03/2025 6:45:43 PM,0,34.6,30.4,,34.6,3.4,99.9,31.9,34.6,34.0,52.6,,34.0,3.0,99.2,31.2,34.0,34.5,0.0,,34.5,3.3,99.8,31.8,34.5,34.0,45.8,,34.0,34.0,44.4,,34.0,34.0,63.8,,34.0,34.0,65.5,,34.0,34.0,34.4,,34.0,34.0,47.7,,34.0,34.0,17.8,,34.0,34.0,38.2,,34.0,34.5,0.0,,34.5,38.9,0.0,,38.9,34.0,17.2,,34.0,34.0,50.0,,34.0,34.0,70.4,,34.0,34.0,82.1,,34.0,34.0,34.3,,34.0,34.0,34.1,,34.0,34.0,24.3,,34.0,34.0,28.0,,34.0,34.0,4.7,,34.0,34.0,8.5,,34.0,37.3,0.0,,37.2,36.2,0.0,,36.2,0.4,
1/03/2025 6:46:43 PM,60,34.6,30.5,,34.6,3.4,99.9,31.9,34.6,34.0,52.9,,34.0,3.0,99.2,31.2,34.0,34.5,0.0,,34.5,3.3,99.9,31.8,34.5,34.0,45.9,,34.0,34.0,43.2,,34.0,34.0,65.5,,34.0,34.0,65.6,,34.0,34.0,34.4,,34.0,34.0,50.1,,34.0,34.0,18.4,,34.0,34.0,40.5,,34.0,34.5,0.0,,34.5,38.9,0.0,,38.9,34.0,16.9,,34.0,34.0,48.8,,34.0,34.0,68.9,,34.0,34.0,74.6,,34.0,34.0,35.3,,34.0,34.0,35.7,,34.0,34.0,23.6,,34.0,34.0,27.1,,34.0,34.0,5.5,,34.0,34.0,7.0,,34.0,37.3,0.0,,37.3,36.2,0.0,,36.2,0.2,
1/03/2025 6:47:43 PM,120,34.6,30.6,,34.6,3.4,99.9,31.9,34.6,34.0,53.7,,34.0,3.0,99.2,31.2,34.0,34.5,0.0,,34.5,3.3,99.9,31.8,34.5,34.0,44.3,,34.0,34.0,42.4,,34.0,34.0,67.3,,34.0,34.0,68.2,,34.0,34.0,34.4,,34.0,34.0,48.9,,34.0,34.0,19.4,,34.0,34.0,41.1,,34.0,34.5,0.0,,34.5,38.9,0.0,,38.9,34.0,16.5,,34.0,34.0,49.9,,34.0,34.0,68.0,,34.0,34.0,72.0,,34.0,34.0,35.1,,34.0,34.0,35.5,,34.0,34.0,23.6,,34.0,34.0,26.7,,34.0,34.0,4.8,,34.0,34.0,7.1,,34.0,37.3,0.0,,37.3,36.2,0.0,,36.2,0.3,
1/03/2025 6:48:43 PM,180,34.6,30.6,,34.6,3.4,99.9,31.9,34.6,34.0,52.7,,34.0,3.0,99.2,31.2,34.0,34.6,0.0,,34.6,3.4,99.9,31.9,34.6,34.0,43.8,,34.0,34.0,43.2,,34.0,34.0,64.1,,34.0,34.0,67.1,,34.0,34.0,34.4,,34.0,34.0,49.7,,34.0,34.0,20.7,,34.0,34.0,40.5,,34.0,34.6,0.0,,34.6,38.9,0.0,,38.9,34.0,17.0,,34.0,34.0,48.3,,34.0,34.0,71.2,,34.0,34.0,73.3,,34.0,34.0,36.0,,34.0,34.0,36.4,,34.0,34.0,24.0,,34.0,34.0,27.8,,34.0,34.0,4.2,,34.0,34.0,7.5,,34.0,37.3,0.0,,37.3,36.2,0.0,,36.2,0.4,
1/03/2025 6:49:43 PM,240,34.6,31.2,,34.6,3.4,99.9,31.9,34.6,34.0,54.0,,34.0,3.0,99.2,31.2,34.0,34.6,0.0,,34.6,3.4,99.9,31.9,34.6,34.0,45.3,,34.0,34.0,44.8,,34.0,34.0,66.7,,34.0,34.0,68.3,,34.0,34.0,34.5,,34.0,34.0,49.3,,34.0,34.0,20.7,,34.0,34.0,41.3,,34.0,34.6,0.0,,34.6,39.0,0.0,,39.0,34.0,17.2,,34.0,34.0,50.0,,34.0,34.0,63.3,,34.0,34.0,82.5,,34.0,34.0,36.0,,34.0,34.0,36.5,,34.0,34.0,25.1,,34.0,34.0,29.3,,34.0,34.0,4.9,,34.0,34.0,7.3,,34.0,37.3,0.0,,37.3,36.2,0.0,,36.2,0.0,
1/03/2025 6:50:43 PM,300,34.6,31.4,,34.6,3.4,99.9,31.9,34.6,34.0,54.1,,34.0,3.0,99.2,31.2,34.0,34.6,0.0,,34.6,3.4,99.9,31.9,34.6,34.0,44.4,,34.0,34.0,43.6,,34.0,34.0,68.4,,34.0,34.0,67.1,,34.0,34.0,35.3,,34.0,34.0,49.6,,34.0,34.0,21.4,,34.0,34.0,41.1,,34.0,34.6,0.0,,34.6,39.0,0.0,,39.0,34.0,18.2,,34.0,34.0,49.5,,34.0,34.0,66.0,,34.0,34.0,83.1,,34.0,34.0,36.1,,34.0,34.0,35.6,,34.0,34.0,25.6,,34.0,34.0,28.4,,34.0,34.0,5.3,,34.0,34.0,7.8,,34.0,37.3,0.0,,37.3,36.2,0.0,,36.2,0.2,
1/03/2025 6:51:43 PM,360,34.6,31.1,,34.6,3.4,99.9,31.9,34.6,34.0,54.1,,34.0,3.0,99.2,31.2,34.0,34.6,0.0,,34.6,3.4,99.9,31.9,34.6,34.0,45.8,,34.0,34.0,43.7,,34.0,34.0,67.1,,34.0,34.0,67.0,,34.0,34.0,35.8,,34.0,34.0,49.3,,34.0,34.0,21.0,,34.0,34.0,39.9,,34.0,34.6,0.0,,34.6,39.0,0.0,,39.0,34.0,16.5,,34.0,34.0,49.5,,34.0,34.0,69.4,,34.0,34.0,77.6,,34.0,34.0,37.0,,34.0,34.0,36.4,,34.0,34.0,24.7,,34.0,34.0,28.4,,34.0,34.0,4.8,,34.0,34.0,7.6,,34.0,37.3,0.0,,37.3,36.2,0.0,,36.2,0.0,
1/03/2025 6:52:43 PM,420,34.6,31.0,,34.6,3.4,99.9,31.9,34.6,34.0,53.8,,34.0,3.0,99.2,31.2,34.0,34.6,0.0,,34.6,3.4,99.9,31.9,34.6,34.0,46.1,,34.0,34.0,42.3,,34.0,34.0,66.1,,34.0,34.0,67.5,,34.0,34.0,36.0,,34.0,34.0,49.1,,34.0,34.0,21.3,,34.0,34.0,40.5,,34.0,34.6,0.0,,34.6,39.0,0.0,,39.0,34.0,18.1,,34.0,34.0,49.6,,34.0,34.0,64.6,,34.0,34.0,76.9,,34.0,34.0,35.6,,34.0,34.0,36.1,,34.0,34.0,24.3,,34.0,34.0,28.4,,34.0,34.0,4.8,,34.0,34.0,8.9,,34.0,37.3,0.0,,37.3,36.2,0.0,,36.2,0.0,
1/03/2025 6:53:43 PM,480,34.6,31.0,,34.6,3.4,99.9,31.9,34.6,34.0,53.9,,34.0,3.0,99.2,31.2,34.0,34.6,0.0,,34.6,3.4,99.9,31.9,34.6,34.0,45.5,,34.0,34.0,43.4,,34.0,34.0,65.3,,34.0,34.0,67.8,,34.0,34.0,36.4,,34.0,34.0,48.0,,34.0,34.0,20.0,,34.0,34.0,41.5,,34.0,34.6,0.0,,34.6,39.1,0.0,,39.1,34.0,18.3,,34.0,34.0,49.3,,34.0,34.0,67.5,,34.0,34.0,75.6,,34.0,34.0,36.2,,34.0,34.0,34.8,,34.0,34.0,25.5,,34.0,34.0,28.7,,34.0,34.0,4.9,,34.0,34.0,7.6,,34.0,37.3,0.0,,37.3,36.3,0.0,,36.2,0.4,
1/03/2025 6:54:43 PM,540,34.6,31.0,,34.6,3.4,99.9,31.9,34.6,34.0,54.3,,34.0,3.0,99.2,31.2,34.0,34.6,0.0,,34.6,3.4,99.9,31.9,34.6,34.0,45.6,,34.0,34.0,45.3,,34.0,34.0,66.3,,34.0,34.0,67.6,,34.0,34.0,36.4,,34.0,34.0,48.9,,34.0,34.0,18.2,,34.0,34.0,39.7,,34.0,34.6,0.0,,34.6,39.1,0.0,,39.1,34.0,17.7,,34.0,34.0,48.0,,34.0,34.0,67.9,,34.0,34.0,78.7,,34.0,34.0,38.2,,34.0,34.0,36.4,,34.0,34.0,24.5,,34.0,34.0,29.6,,34.0,34.0,4.3,,34.0,34.0,7.1,,34.0,37.4,0.0,,37.4,36.3,0.0,,36.3,0.2,
1/03/2025 6:55:43 PM,600,34.6,30.8,,34.6,3.4,99.9,31.9,34.6,34.0,54.0,,34.0,3.0,99.2,31.2,34.0,34.6,0.0,,34.6,3.4,99.9,31.9,34.6,34.0,44.3,,34.0,34.0,43.6,,34.0,34.0,66.6,,34.0,34.0,67.5,,34.0,34.0,36.4,,34.0,34.0,50.2,,34.0,34.0,18.9,,34.0,34.0,39.5,,34.0,34.6,0.0,,34.6,39.1,0.0,,39.1,34.0,17.4,,34.0,34.0,48.4,,34.0,34.0,70.7,,34.0,34.0,71.2,,34.0,34.0,36.1,,34.0,34.0,35.5,,34.0,34.0,25.1,,34.0,34.0,28.7,,34.0,34.0,5.1,,34.0,34.0,6.4,,34.0,37.4,0.0,,37.4,36.3,0.0,,36.3,0.3,
1/03/2025 6:56:43 PM,660,34.6,30.9,,34.6,3.4,99.9,31.9,34.6,34.0,54.2,,34.0,3.0,99.2,31.2,34.0,34.7,0.0,,34.6,3.4,99.9,32.0,34.6,34.0,45.1,,34.0,34.0,44.2,,34.0,34.0,65.7,,34.0,34.0,68.3,,34.0,34.0,36.4,,34.0,34.0,48.2,,34.0,34.0,17.9,,34.0,34.0,40.0,,34.0,34.7,0.0,,34.6,39.1,0.0,,39.1,34.0,18.0,,34.0,34.0,48.4,,34.0,34.0,70.0,,34.0,34.0,78.1,,34.0,34.0,36.8,,34.0,34.0,36.5,,34.0,34.0,24.8,,34.0,34.0,28.5,,34.0,34.0,4.2,,34.0,34.0,6.9,,34.0,37.4,0.0,,37.4,36.3,0.0,,36.3,0.1,
1/03/2025 6:57:43 PM,720,34.6,31.7,,34.6,3.4,99.9,32.0,34.6,34.0,55.0,,34.0,3.0,99.2,31.2,34.0,34.7,0.0,,34.7,3.4,99.9,32.0,34.7,34.0,46.4,,34.0,34.0,43.6,,34.0,34.0,69.2,,34.0,34.0,67.7,,34.0,34.0,36.4,,34.0,34.0,50.4,,34.0,34.0,19.9,,34.0,34.0,41.4,,34.0,34.7,0.0,,34.7,39.1,0.0,,39.1,34.0,18.7,,34.0,34.0,48.9,,34.0,34.0,66.2,,34.0,34.0,86.1,,34.0,34.0,37.2,,34.0,34.0,36.0,,34.0,34.0,25.3,,34.0,34.0,29.1,,34.0,34.0,4.1,,34.0,34.0,8.3,,34.0,37.4,0.0,,37.4,36.3,0.0,,36.3,0.3,
1/03/2025 6:58:43 PM,780,34.6,31.5,,34.6,3.4,99.9,32.0,34.6,34.0,54.7,,34.0,3.0,99.2,31.2,34.0,34.7,0.0,,34.7,3.4,99.9,32.0,34.7,34.0,44.9,,34.0,34.0,45.2,,34.0,34.0,66.9,,34.0,34.0,69.0,,34.0,34.0,36.4,,34.0,34.0,51.6,,34.0,34.0,18.6,,34.0,34.0,39.2,,34.0,34.7,0.0,,34.7,39.2,0.0,,39.2,34.0,17.9,,34.0,34.0,50.3,,34.0,34.0,68.0,,34.0,34.0,87.6,,34.0,34.0,36.5,,34.0,34.0,38.5,,34.0,34.0,24.4,,34.0,34.0,28.6,,34.0,34.0,4.7,,34.0,34.0,7.1,,34.0,37.4,0.0,,37.4,36.3,0.0,,36.3,0.3,
1/03/2025 6:59:43 PM,840,34.6,31.0,,34.6,3.4,99.9,32.0,34.6,34.0,53.8,,34.0,3.0,99.2,31.2,34.0,34.7,0.0,,34.7,3.4,99.9,32.0,34.7,34.0,46.3,,34.0,34.0,43.7,,34.0,34.0,65.0,,34.0,34.0,67.2,,34.0,34.0,36.4,,34.0,34.0,48.7,,34.0,34.0,17.9,,34.0,34.0,37.8,,34.0,34.7,0.0,,34.7,39.2,0.0,,39.2,34.0,17.1,,34.0,34.0,51.7,,34.0,34.0,65.1,,34.0,34.0,83.7,,34.0,34.0,38.5,,34.0,34.0,37.3,,34.0,34.0,25.4,,34.0,34.0,30.2,,34.0,34.0,4.0,,34.0,34.0,7.9,,34.0,37.5,0.0,,37.4,36.3,0.0,,36.3,0.3,
1/03/2025 7:00:43 PM,900,34.7,31.1,,34.7,3.4,99.9,32.0,34.7,34.0,53.8,,34.0,3.0,99.2,31.2,34.0,34.7,0.0,,34.7,3.4,99.9,32.0,34.7,34.0,46.1,,34.0,34.0,42.5,,34.0,34.0,66.6,,34.0,34.0,66.6,,34.0,34.0,36.4,,34.0,34.0,49.5,,34.0,34.0,18.7,,34.0,34.0,41.4,,34.0,34.7,0.0,,34.7,39.2,0.0,,39.2,34.0,17.8,,34.0,34.0,51.2,,34.0,34.0,68.4,,34.0,34.0,80.5,,34.0,34.0,36.4,,34.0,34.0,35.8,,34.0,34.0,24.7,,34.0,34.0,28.6,,34.0,34.0,4.4,,34.0,34.0,7.3,,34.0,37.5,0.0,,37.5,36.3,0.0,,36.3,0.4,
1/03/2025 7:01:43 PM,960,34.7,31.1,,34.7,3.4,99.9,32.0,34.7,34.0,54.1,,34.0,3.0,99.2,31.2,34.0,34.7,0.0,,34.7,3.4,99.9,32.0,34.7,34.0,46.5,,34.0,34.0,42.6,,34.0,34.0,65.7,,34.0,34.0,68.0,,34.0,34.0,36.4,,34.0,34.0,49.5,,34.0,34.0,18.4,,34.0,34.0,38.5,,34.0,34.7,0.0,,34.7,39.3,0.0,,39.3,34.0,18.7,,34.0,34.0,50.0,,34.0,34.0,68.8,,34.0,34.0,81.5,,34.0,34.0,34.4,,34.0,34.0,36.0,,34.0,34.0,24.8,,34.0,34.0,29.6,,34.0,34.0,4.8,,34.0,34.0,8.0,,34.0,37.5,0.0,,37.5,36.3,0.0,,36.3,0.0,
1/03/2025 7:02:43 PM,1020,34.7,31.3,,34.7,3.4,99.9,32.0,34.7,34.0,54.3,,34.0,3.0,99.2,31.2,34.0,34.7,0.0,,34.7,3.5,99.9,32.1,34.7,34.0,45.7,,34.0,34.0,43.7,,34.0,34.0,67.0,,34.0,34.0,67.5,,34.0,34.0,36.4,,34.0,34.0,48.4,,34.0,34.0,20.3,,34.0,34.0,41.4,,34.0,34.7,0.0,,34.7,39.3,0.0,,39.3,34.0,17.7,,34.0,34.0,49.6,,34.0,34.0,71.9,,34.0,34.0,75.9,,34.0,34.0,38.3,,34.0,34.0,37.7,,34.0,34.0,25.7,,34.0,34.0,28.1,,34.0,34.0,3.7,,34.0,34.0,7.3,,34.0,37.5,0.0,,37.5,36.3,0.0,,36.3,0.0,
1/03/2025 7:03:43 PM,1080,34.7,31.7,,34.7,3.4,99.9,32.0,34.7,34.0,54.2,,34.0,3.0,99.2,31.2,34.0,34.8,0.0,,34.8,3.5,99.9,32.1,34.8,34.0,47.0,,34.0,34.0,43.1,,34.0,34.0,66.0,,34.0,34.0,68.0,,34.0,34.0,36.4,,34.0,34.0,48.6,,34.0,34.0,24.5,,34.0,34.0,44.5,,34.0,34.8,0.0,,34.8,39.2,0.0,,39.2,34.0,17.4,,34.0,34.0,51.1,,34.0,34.0,68.1,,34.0,34.0,76.8,,34.0,34.0,36.5,,34.0,34.0,37.2,,34.0,34.0,25.1,,34.0,34.0,29.3,,34.0,34.0,4.7,,34.0,34.0,7.9,,34.0,37.5,0.0,,37.5,36.3,0.0,,36.3,0.0,
