Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
3/03/2025 11:55:10 AM,0,34.0,44.4,,34.0,3.0,99.2,31.2,34.0,34.0,57.5,,34.0,3.0,99.2,31.2,34.0,34.0,22.7,,34.0,3.0,99.2,31.2,34.0,34.0,46.3,,34.0,34.0,45.8,,34.0,34.0,70.8,,34.0,34.0,69.7,,34.0,34.0,42.1,,34.0,34.0,56.2,,34.0,34.0,67.8,,34.0,34.0,72.2,,34.0,34.0,22.7,,34.0,34.0,34.8,,34.0,34.0,18.2,,34.0,34.0,51.9,,34.0,34.0,72.5,,34.0,34.0,87.7,,34.0,34.0,37.0,,34.0,34.0,39.0,,34.0,34.0,29.2,,34.0,34.0,34.0,,34.0,34.0,16.9,,34.0,34.0,19.5,,34.0,34.0,23.1,,34.0,34.0,23.8,,34.0,0.4,
3/03/2025 11:56:10 AM,60,34.0,44.0,,34.0,3.0,99.2,31.2,34.0,34.0,58.2,,34.0,3.0,99.2,31.2,34.0,34.0,22.0,,34.0,3.0,99.2,31.2,34.0,34.0,49.7,,34.0,34.0,49.7,,34.0,34.0,68.9,,34.0,34.0,70.8,,34.0,34.0,42.1,,34.0,34.0,58.0,,34.0,34.0,64.7,,34.0,34.0,71.9,,34.0,34.0,22.0,,34.0,34.0,32.1,,34.0,34.0,19.0,,34.0,34.0,50.8,,34.0,34.0,72.2,,34.0,34.0,79.9,,34.0,34.0,39.0,,34.0,34.0,37.8,,34.0,34.0,29.9,,34.0,34.0,33.1,,34.0,34.0,16.9,,34.0,34.0,18.3,,34.0,34.0,23.2,,34.0,34.0,23.2,,34.0,0.3,
3/03/2025 11:57:10 AM,120,34.0,43.7,,34.0,3.0,99.2,31.2,34.0,34.0,57.1,,34.0,3.0,99.2,31.2,34.0,34.0,22.4,,34.0,3.0,99.2,31.2,34.0,34.0,48.6,,34.0,34.0,39.5,,34.0,34.0,70.9,,34.0,34.0,69.8,,34.0,34.0,42.1,,34.0,34.0,57.7,,34.0,34.0,66.5,,34.0,34.0,71.5,,34.0,34.0,22.4,,34.0,34.0,31.5,,34.0,34.0,18.8,,34.0,34.0,52.0,,34.0,34.0,70.1,,34.0,34.0,77.7,,34.0,34.0,36.5,,34.0,34.0,37.0,,34.0,34.0,28.8,,34.0,34.0,32.1,,34.0,34.0,18.4,,34.0,34.0,18.7,,34.0,34.0,25.4,,34.0,34.0,24.4,,34.0,0.1,
3/03/2025 11:58:10 AM,180,34.0,44.4,,34.0,3.0,99.2,31.2,34.0,34.0,58.3,,34.0,3.0,99.2,31.2,34.0,34.0,23.2,,34.0,3.0,99.2,31.2,34.0,34.0,48.0,,34.0,34.0,44.2,,34.0,34.0,70.8,,34.0,34.0,72.6,,34.0,34.0,42.1,,34.0,34.0,56.6,,34.0,34.0,69.3,,34.0,34.0,72.9,,34.0,34.0,23.2,,34.0,34.0,32.6,,34.0,34.0,18.5,,34.0,34.0,51.1,,34.0,34.0,70.8,,34.0,34.0,87.3,,34.0,34.0,37.0,,34.0,34.0,38.5,,34.0,34.0,29.9,,34.0,34.0,32.4,,34.0,34.0,16.5,,34.0,34.0,18.7,,34.0,34.0,22.8,,34.0,34.0,24.0,,34.0,0.2,
3/03/2025 11:59:10 AM,240,34.0,44.1,,34.0,3.0,99.2,31.2,34.0,34.0,58.0,,34.0,3.0,99.2,31.2,34.0,34.0,23.0,,34.0,3.0,99.2,31.2,34.0,34.0,48.7,,34.0,34.0,46.2,,34.0,34.0,69.8,,34.0,34.0,71.3,,34.0,34.0,42.0,,34.0,34.0,59.0,,34.0,34.0,64.2,,34.0,34.0,72.8,,34.0,34.0,23.0,,34.0,34.0,30.7,,34.0,34.0,19.0,,34.0,34.0,52.6,,34.0,34.0,70.8,,34.0,34.0,85.3,,34.0,34.0,36.5,,34.0,34.0,37.9,,34.0,34.0,29.7,,34.0,34.0,31.9,,34.0,34.0,17.2,,34.0,34.0,18.9,,34.0,34.0,24.2,,34.0,34.0,23.1,,34.0,0.1,
3/03/2025 12:00:10 PM,300,34.0,44.4,,34.0,3.0,99.2,31.2,34.0,34.0,59.7,,34.0,3.0,99.2,31.2,34.0,34.0,21.3,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,34.0,45.7,,34.0,34.0,77.4,,34.0,34.0,70.9,,34.0,34.0,42.0,,34.0,34.0,58.5,,34.0,34.0,65.2,,34.0,34.0,74.1,,34.0,34.0,21.3,,34.0,34.0,31.0,,34.0,34.0,18.5,,34.0,34.0,53.3,,34.0,34.0,71.0,,34.0,34.0,82.1,,34.0,34.0,37.6,,34.0,34.0,37.9,,34.0,34.0,28.6,,34.0,34.0,32.7,,34.0,34.0,16.5,,34.0,34.0,17.7,,34.0,34.0,23.1,,34.0,34.0,23.9,,34.0,0.3,
3/03/2025 12:01:10 PM,360,34.0,44.7,,34.0,3.0,99.2,31.2,34.0,34.0,58.2,,34.0,3.0,99.2,31.2,34.0,34.0,22.0,,34.0,3.0,99.2,31.2,34.0,34.0,48.1,,34.0,34.0,43.4,,34.0,34.0,71.3,,34.0,34.0,72.2,,34.0,34.0,41.9,,34.0,34.0,57.6,,34.0,34.0,65.6,,34.0,34.0,73.8,,34.0,34.0,22.0,,34.0,34.0,31.5,,34.0,34.0,18.4,,34.0,34.0,54.8,,34.0,34.0,67.1,,34.0,34.0,86.1,,34.0,34.0,38.3,,34.0,34.0,38.7,,34.0,34.0,29.7,,34.0,34.0,31.2,,34.0,34.0,16.5,,34.0,34.0,30.4,,34.0,34.0,24.6,,34.0,34.0,24.3,,34.0,0.1,
3/03/2025 12:02:10 PM,420,34.0,43.8,,34.0,3.0,99.2,31.2,34.0,34.0,57.4,,34.0,3.0,99.2,31.2,34.0,34.0,22.7,,34.0,3.0,99.2,31.2,34.0,34.0,43.8,,34.0,34.0,46.0,,34.0,34.0,70.1,,34.0,34.0,71.5,,34.0,34.0,41.7,,34.0,34.0,58.2,,34.0,34.0,63.9,,34.0,34.0,73.5,,34.0,34.0,22.7,,34.0,34.0,31.6,,34.0,34.0,18.5,,34.0,34.0,51.2,,34.0,34.0,70.6,,34.0,34.0,88.8,,34.0,34.0,36.8,,34.0,34.0,38.2,,34.0,34.0,29.1,,34.0,34.0,31.7,,34.0,34.0,16.9,,34.0,34.0,17.5,,34.0,34.0,23.2,,34.0,34.0,23.7,,34.0,0.5,
3/03/2025 12:03:10 PM,480,34.0,45.1,,34.0,3.0,99.2,31.2,34.0,34.0,58.6,,34.0,3.0,99.2,31.2,34.0,34.0,21.5,,34.0,3.0,99.2,31.2,34.0,34.0,47.8,,34.0,34.0,46.8,,34.0,34.0,72.0,,34.0,34.0,72.5,,34.0,34.0,41.3,,34.0,34.0,57.9,,34.0,34.0,66.4,,34.0,34.0,78.2,,34.0,34.0,21.5,,34.0,34.0,33.1,,34.0,34.0,19.5,,34.0,34.0,52.4,,34.0,34.0,76.1,,34.0,34.0,92.4,,34.0,34.0,38.8,,34.0,34.0,38.9,,34.0,34.0,29.1,,34.0,34.0,31.4,,34.0,34.0,16.9,,34.0,34.0,17.2,,34.0,34.0,25.2,,34.0,34.0,24.0,,34.0,0.2,
3/03/2025 12:04:10 PM,540,34.0,43.8,,34.0,3.0,99.2,31.2,34.0,34.0,57.0,,34.0,3.0,99.2,31.2,34.0,34.0,20.3,,34.0,3.0,99.2,31.2,34.0,34.0,48.2,,34.0,34.0,44.4,,34.0,34.0,68.3,,34.0,34.0,70.7,,34.0,34.0,41.3,,34.0,34.0,57.8,,34.0,34.0,63.7,,34.0,34.0,72.8,,34.0,34.0,20.3,,34.0,34.0,32.6,,34.0,34.0,19.7,,34.0,34.0,54.2,,34.0,34.0,71.1,,34.0,34.0,88.3,,34.0,34.0,37.3,,34.0,34.0,37.1,,34.0,34.0,30.0,,34.0,34.0,32.0,,34.0,34.0,17.0,,34.0,34.0,18.7,,34.0,34.0,23.3,,34.0,34.0,22.0,,34.0,0.1,
3/03/2025 12:05:10 PM,600,34.0,44.0,,34.0,3.0,99.2,31.2,34.0,34.0,58.6,,34.0,3.0,99.2,31.2,34.0,34.0,21.7,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,34.0,46.7,,34.0,34.0,71.2,,34.0,34.0,73.2,,34.0,34.0,41.3,,34.0,34.0,58.8,,34.0,34.0,66.4,,34.0,34.0,74.0,,34.0,34.0,21.7,,34.0,34.0,31.8,,34.0,34.0,19.3,,34.0,34.0,52.1,,34.0,34.0,67.8,,34.0,34.0,77.0,,34.0,34.0,36.7,,34.0,34.0,37.4,,34.0,34.0,28.0,,34.0,34.0,31.8,,34.0,34.0,16.9,,34.0,34.0,17.7,,34.0,34.0,24.3,,34.0,34.0,22.4,,34.0,0.2,
3/03/2025 12:06:10 PM,660,34.0,43.8,,34.0,3.0,99.2,31.2,34.0,34.0,57.5,,34.0,3.0,99.2,31.2,34.0,34.0,20.1,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,34.0,46.2,,34.0,34.0,68.8,,34.0,34.0,71.3,,34.0,34.0,41.3,,34.0,34.0,58.0,,34.0,34.0,64.1,,34.0,34.0,71.5,,34.0,34.0,20.1,,34.0,34.0,32.6,,34.0,34.0,18.8,,34.0,34.0,51.3,,34.0,34.0,69.0,,34.0,34.0,84.3,,34.0,34.0,37.0,,34.0,34.0,38.4,,34.0,34.0,29.6,,34.0,34.0,31.9,,34.0,34.0,16.3,,34.0,34.0,18.1,,34.0,34.0,25.2,,34.0,34.0,24.5,,34.0,0.5,
3/03/2025 12:07:10 PM,720,34.0,43.9,,34.0,3.0,99.2,31.2,34.0,34.0,57.0,,34.0,3.0,99.2,31.2,34.0,34.0,23.2,,34.0,3.0,99.2,31.2,34.0,34.0,47.7,,34.0,34.0,46.8,,34.0,34.0,67.7,,34.0,34.0,70.3,,34.0,34.0,41.2,,34.0,34.0,56.3,,34.0,34.0,65.5,,34.0,34.0,71.9,,34.0,34.0,23.2,,34.0,34.0,32.9,,34.0,34.0,18.3,,34.0,34.0,52.9,,34.0,34.0,68.0,,34.0,34.0,86.6,,34.0,34.0,37.6,,34.0,34.0,36.3,,34.0,34.0,30.4,,34.0,34.0,32.2,,34.0,34.0,16.8,,34.0,34.0,19.0,,34.0,34.0,25.7,,34.0,34.0,23.4,,34.0,0.5,
3/03/2025 12:08:10 PM,780,34.0,43.9,,34.0,3.0,99.2,31.2,34.0,34.0,57.9,,34.0,3.0,99.2,31.2,34.0,34.0,20.9,,34.0,3.0,99.2,31.2,34.0,34.0,47.0,,34.0,34.0,46.2,,34.0,34.0,71.9,,34.0,34.0,70.5,,34.0,34.0,41.2,,34.0,34.0,59.2,,34.0,34.0,67.2,,34.0,34.0,72.8,,34.0,34.0,20.9,,34.0,34.0,31.3,,34.0,34.0,18.2,,34.0,34.0,52.7,,34.0,34.0,66.7,,34.0,34.0,86.6,,34.0,34.0,37.7,,34.0,34.0,37.5,,34.0,34.0,28.5,,34.0,34.0,32.1,,34.0,34.0,16.3,,34.0,34.0,17.4,,34.0,34.0,21.5,,34.0,34.0,24.4,,34.0,0.2,
3/03/2025 12:09:10 PM,840,34.0,43.3,,34.0,3.0,99.2,31.2,34.0,34.0,57.4,,34.0,3.0,99.2,31.2,34.0,34.0,21.7,,34.0,3.0,99.2,31.2,34.0,34.0,47.8,,34.0,34.0,44.5,,34.0,34.0,69.8,,34.0,34.0,71.0,,34.0,34.0,41.2,,34.0,34.0,55.9,,34.0,34.0,63.6,,34.0,34.0,71.2,,34.0,34.0,21.7,,34.0,34.0,31.2,,34.0,34.0,19.3,,34.0,34.0,50.7,,34.0,34.0,69.3,,34.0,34.0,81.5,,34.0,34.0,38.1,,34.0,34.0,36.8,,34.0,34.0,29.6,,34.0,34.0,31.6,,34.0,34.0,16.1,,34.0,34.0,18.3,,34.0,34.0,22.3,,34.0,34.0,25.0,,34.0,0.3,
3/03/2025 12:10:10 PM,900,34.0,43.2,,34.0,3.0,99.2,31.2,34.0,34.0,56.9,,34.0,3.0,99.2,31.2,34.0,34.0,20.3,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,34.0,44.7,,34.0,34.0,68.4,,34.0,34.0,70.5,,34.0,34.0,41.2,,34.0,34.0,55.7,,34.0,34.0,64.4,,34.0,34.0,70.6,,34.0,34.0,20.3,,34.0,34.0,31.0,,34.0,34.0,20.0,,34.0,34.0,53.9,,34.0,34.0,69.6,,34.0,34.0,75.2,,34.0,34.0,37.5,,34.0,34.0,36.1,,34.0,34.0,29.5,,34.0,34.0,31.3,,34.0,34.0,16.6,,34.0,34.0,18.9,,34.0,34.0,24.9,,34.0,34.0,23.9,,34.0,0.3,
3/03/2025 12:11:10 PM,960,34.0,43.4,,34.0,3.0,99.2,31.2,34.0,34.0,57.0,,34.0,3.0,99.2,31.2,34.0,34.0,22.1,,34.0,3.0,99.2,31.2,34.0,34.0,46.9,,34.0,34.0,46.6,,34.0,34.0,68.0,,34.0,34.0,70.8,,34.0,34.0,41.2,,34.0,34.0,57.5,,34.0,34.0,63.0,,34.0,34.0,69.8,,34.0,34.0,22.1,,34.0,34.0,32.0,,34.0,34.0,19.9,,34.0,34.0,53.2,,34.0,34.0,72.0,,34.0,34.0,76.6,,34.0,34.0,37.6,,34.0,34.0,36.6,,34.0,34.0,28.9,,34.0,34.0,31.6,,34.0,34.0,16.8,,34.0,34.0,17.5,,34.0,34.0,25.7,,34.0,34.0,24.4,,34.0,0.0,
