Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
3/03/2025 12:38:15 PM,0,34.0,41.1,,34.0,3.0,99.2,31.2,34.0,34.0,51.4,,34.0,3.0,99.2,31.2,34.0,34.0,20.0,,34.0,3.0,99.2,31.2,34.0,34.0,45.7,,34.0,34.0,45.1,,34.0,34.0,64.7,,34.0,34.0,67.2,,34.0,34.0,26.4,,34.0,34.0,53.0,,34.0,34.0,61.2,,34.0,34.0,70.5,,34.0,34.0,20.0,,34.0,34.0,28.9,,34.0,34.0,18.8,,34.0,34.0,50.9,,34.0,34.0,68.8,,34.0,34.0,85.9,,34.0,34.0,38.2,,34.0,34.0,36.8,,34.0,34.0,28.2,,34.0,34.0,29.6,,34.0,34.0,16.1,,34.0,34.0,16.9,,34.0,34.0,22.2,,34.0,34.0,24.6,,34.0,0.6,
3/03/2025 12:39:15 PM,60,34.0,42.5,,34.0,3.0,99.2,31.2,34.0,34.0,54.3,,34.0,3.0,99.2,31.2,34.0,34.0,19.5,,34.0,3.0,99.2,31.2,34.0,34.0,46.3,,34.0,34.0,43.1,,34.0,34.0,66.0,,34.0,34.0,64.7,,34.0,34.0,40.6,,34.0,34.0,55.0,,34.0,34.0,63.3,,34.0,34.0,74.0,,34.0,34.0,19.5,,34.0,34.0,30.8,,34.0,34.0,19.0,,34.0,34.0,53.3,,34.0,34.0,70.8,,34.0,34.0,81.2,,34.0,34.0,37.8,,34.0,34.0,36.9,,34.0,34.0,28.1,,34.0,34.0,30.7,,34.0,34.0,15.8,,34.0,34.0,17.8,,34.0,34.0,22.8,,34.0,34.0,23.7,,34.0,1.0,
3/03/2025 12:40:15 PM,120,34.0,41.1,,34.0,3.0,99.2,31.2,34.0,34.0,51.1,,34.0,3.0,99.2,31.2,34.0,34.0,18.9,,34.0,3.0,99.2,31.2,34.0,34.0,43.6,,34.0,34.0,41.3,,34.0,34.0,58.2,,34.0,34.0,62.5,,34.0,34.0,40.4,,34.0,34.0,51.6,,34.0,34.0,62.4,,34.0,34.0,70.2,,34.0,34.0,18.9,,34.0,34.0,30.2,,34.0,34.0,20.4,,34.0,34.0,50.4,,34.0,34.0,73.0,,34.0,34.0,74.8,,34.0,34.0,36.4,,34.0,34.0,36.1,,34.0,34.0,30.6,,34.0,34.0,30.9,,34.0,34.0,15.2,,34.0,34.0,18.0,,34.0,34.0,21.5,,34.0,34.0,24.0,,34.0,1.1,
3/03/2025 12:41:15 PM,180,34.0,41.5,,34.0,3.0,99.2,31.2,34.0,34.0,52.2,,34.0,3.0,99.2,31.2,34.0,34.0,17.5,,34.0,3.0,99.2,31.2,34.0,34.0,43.5,,34.0,34.0,42.0,,34.0,34.0,61.4,,34.0,34.0,63.2,,34.0,34.0,40.4,,34.0,34.0,54.9,,34.0,34.0,62.7,,34.0,34.0,70.7,,34.0,34.0,17.5,,34.0,34.0,30.7,,34.0,34.0,19.8,,34.0,34.0,52.0,,34.0,34.0,69.3,,34.0,34.0,83.1,,34.0,34.0,36.9,,34.0,34.0,37.2,,34.0,34.0,27.1,,34.0,34.0,30.7,,34.0,34.0,16.1,,34.0,34.0,18.2,,34.0,34.0,20.9,,34.0,34.0,23.2,,34.0,0.3,
3/03/2025 12:42:15 PM,240,34.0,41.2,,34.0,3.0,99.2,31.2,34.0,34.0,51.9,,34.0,3.0,99.2,31.2,34.0,34.0,17.4,,34.0,3.0,99.2,31.2,34.0,34.0,43.5,,34.0,34.0,43.4,,34.0,34.0,59.0,,34.0,34.0,63.7,,34.0,34.0,40.4,,34.0,34.0,53.8,,34.0,34.0,59.2,,34.0,34.0,69.8,,34.0,34.0,17.4,,34.0,34.0,30.2,,34.0,34.0,19.1,,34.0,34.0,51.3,,34.0,34.0,67.0,,34.0,34.0,89.1,,34.0,34.0,37.2,,34.0,34.0,37.2,,34.0,34.0,27.6,,34.0,34.0,30.5,,34.0,34.0,15.5,,34.0,34.0,17.3,,34.0,34.0,22.8,,34.0,34.0,23.4,,34.0,0.1,
3/03/2025 12:43:15 PM,300,34.0,41.1,,34.0,3.0,99.2,31.2,34.0,34.0,51.5,,34.0,3.0,99.2,31.2,34.0,34.0,18.1,,34.0,3.0,99.2,31.2,34.0,34.0,43.1,,34.0,34.0,42.6,,34.0,34.0,58.5,,34.0,34.0,63.4,,34.0,34.0,40.4,,34.0,34.0,49.7,,34.0,34.0,61.8,,34.0,34.0,71.4,,34.0,34.0,18.1,,34.0,34.0,30.1,,34.0,34.0,19.8,,34.0,34.0,52.1,,34.0,34.0,68.6,,34.0,34.0,84.5,,34.0,34.0,37.9,,34.0,34.0,36.3,,34.0,34.0,29.3,,34.0,34.0,30.6,,34.0,34.0,15.0,,34.0,34.0,16.6,,34.0,34.0,22.7,,34.0,34.0,22.1,,34.0,0.1,
3/03/2025 12:44:15 PM,360,34.0,43.8,,34.0,3.0,99.2,31.2,34.0,34.0,53.3,,34.0,3.0,99.2,31.2,34.0,34.0,19.7,,34.0,3.0,99.2,31.2,34.0,34.0,43.3,,34.0,34.0,41.5,,34.0,34.0,62.5,,34.0,34.0,64.7,,34.0,34.0,42.7,,34.0,34.0,51.6,,34.0,34.0,92.7,,34.0,34.0,72.0,,34.0,34.0,19.7,,34.0,34.0,29.7,,34.0,34.0,20.4,,34.0,34.0,53.2,,34.0,34.0,69.5,,34.0,34.0,87.1,,34.0,34.0,37.9,,34.0,34.0,37.6,,34.0,34.0,29.0,,34.0,34.0,32.0,,34.0,34.0,16.1,,34.0,34.0,17.0,,34.0,34.0,21.3,,34.0,34.0,23.8,,34.0,0.7,
3/03/2025 12:45:15 PM,420,34.0,42.0,,34.0,3.0,99.2,31.2,34.0,34.0,52.8,,34.0,3.0,99.2,31.2,34.0,34.0,18.3,,34.0,3.0,99.2,31.2,34.0,34.0,43.9,,34.0,34.0,41.0,,34.0,34.0,62.6,,34.0,34.0,64.8,,34.0,34.0,40.4,,34.0,34.0,53.2,,34.0,34.0,65.1,,34.0,34.0,73.1,,34.0,34.0,18.3,,34.0,34.0,29.9,,34.0,34.0,20.5,,34.0,34.0,52.7,,34.0,34.0,64.8,,34.0,34.0,85.0,,34.0,34.0,38.4,,34.0,34.0,37.8,,34.0,34.0,28.9,,34.0,34.0,30.6,,34.0,34.0,15.5,,34.0,34.0,16.8,,34.0,34.0,24.6,,34.0,34.0,22.6,,34.0,0.3,
3/03/2025 12:46:15 PM,480,34.0,41.3,,34.0,3.0,99.2,31.2,34.0,34.0,51.7,,34.0,3.0,99.2,31.2,34.0,34.0,17.9,,34.0,3.0,99.2,31.2,34.0,34.0,42.4,,34.0,34.0,41.4,,34.0,34.0,60.5,,34.0,34.0,62.7,,34.0,34.0,40.7,,34.0,34.0,51.1,,34.0,34.0,62.3,,34.0,34.0,70.5,,34.0,34.0,17.9,,34.0,34.0,32.1,,34.0,34.0,20.5,,34.0,34.0,53.7,,34.0,34.0,71.4,,34.0,34.0,85.2,,34.0,34.0,38.4,,34.0,34.0,38.1,,34.0,34.0,28.9,,34.0,34.0,30.8,,34.0,34.0,14.6,,34.0,34.0,16.6,,34.0,34.0,18.5,,34.0,34.0,21.2,,34.0,0.4,
