Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
3/03/2025 2:21:50 PM,0,34.0,39.5,,34.0,3.0,99.2,31.2,34.0,34.0,51.3,,34.0,3.0,99.2,31.1,34.0,34.0,13.1,,34.0,3.0,99.2,31.2,34.0,34.0,26.5,,34.0,34.0,22.9,,34.0,34.0,35.9,,34.0,34.0,35.9,,34.0,33.9,113.3,,34.0,34.0,45.6,,34.0,34.0,56.7,,34.0,34.0,66.6,,34.0,34.0,13.1,,34.0,34.0,29.6,,34.0,34.0,19.3,,34.0,34.0,51.0,,34.0,34.0,77.6,,34.0,34.0,82.2,,34.0,34.0,38.1,,34.0,34.0,34.6,,34.0,34.0,27.4,,34.0,34.0,28.3,,34.0,34.0,13.4,,34.0,34.0,14.8,,34.0,34.0,21.6,,34.0,34.0,19.6,,34.0,0.6,
3/03/2025 2:22:50 PM,60,34.0,35.7,,34.0,3.0,99.2,31.2,34.0,34.0,33.6,,34.0,3.0,99.2,31.2,34.0,34.0,12.7,,34.0,3.0,99.2,31.2,34.0,34.0,27.1,,34.0,34.0,24.4,,34.0,34.0,35.9,,34.0,34.0,36.2,,34.0,34.0,36.7,,34.0,34.0,46.4,,34.0,34.0,56.2,,34.0,34.0,67.7,,34.0,34.0,12.7,,34.0,34.0,28.0,,34.0,34.0,18.1,,34.0,34.0,51.3,,34.0,34.0,76.3,,34.0,34.0,76.2,,34.0,34.0,37.0,,34.0,34.0,35.5,,34.0,34.0,27.5,,34.0,34.0,29.2,,34.0,34.0,14.0,,34.0,34.0,14.3,,34.0,34.0,39.3,,34.0,34.0,17.9,,34.0,0.6,
3/03/2025 2:23:50 PM,120,34.0,33.1,,34.0,3.0,99.2,31.2,34.0,34.0,25.9,,34.0,3.0,99.2,31.2,34.0,34.0,13.1,,34.0,3.0,99.2,31.2,34.0,34.0,12.4,,34.0,34.0,23.7,,34.0,34.0,22.2,,34.0,34.0,23.6,,34.0,34.0,40.8,,34.0,34.0,45.8,,34.0,34.0,55.6,,34.0,34.0,66.2,,34.0,34.0,13.1,,34.0,34.0,28.8,,34.0,34.0,18.8,,34.0,34.0,50.4,,34.0,34.0,71.7,,34.0,34.0,83.4,,34.0,34.0,37.1,,34.0,34.0,35.2,,34.0,34.0,28.2,,34.0,34.0,29.7,,34.0,34.0,14.0,,34.0,34.0,16.0,,34.0,34.0,17.0,,34.0,34.0,21.0,,34.0,0.9,
3/03/2025 2:24:50 PM,180,34.0,30.7,,34.0,3.0,99.2,31.2,34.0,34.0,18.1,,34.0,3.0,99.2,31.2,34.0,34.0,14.2,,34.0,3.0,99.2,31.2,34.0,34.0,20.8,,34.0,34.0,19.7,,34.0,34.0,8.1,,34.0,34.0,10.6,,34.0,34.0,34.8,,34.0,34.0,46.1,,34.0,34.0,51.3,,34.0,34.0,63.6,,34.0,34.0,14.2,,34.0,34.0,27.1,,34.0,34.0,18.6,,34.0,34.0,49.4,,34.0,34.0,67.2,,34.0,34.0,83.3,,34.0,34.0,37.1,,34.0,34.0,34.3,,34.0,34.0,27.1,,34.0,34.0,29.0,,34.0,34.0,14.9,,34.0,34.0,15.5,,34.0,34.0,22.1,,34.0,34.0,21.8,,34.0,0.8,
3/03/2025 2:25:50 PM,240,34.0,29.1,,34.0,3.0,99.2,31.2,34.0,34.0,13.1,,34.0,3.0,99.2,31.2,34.0,34.0,12.1,,34.0,3.0,99.2,31.2,34.0,34.0,17.9,,34.0,34.0,18.0,,34.0,34.0,1.3,,34.0,34.0,4.8,,34.0,34.0,29.9,,34.0,34.0,43.5,,34.0,34.0,50.9,,34.0,34.0,63.0,,34.0,34.0,12.1,,34.0,34.0,26.8,,34.0,34.0,19.9,,34.0,34.0,50.1,,34.0,34.0,72.8,,34.0,34.0,77.8,,34.0,34.0,35.6,,34.0,34.0,34.5,,34.0,34.0,27.6,,34.0,34.0,28.9,,34.0,34.0,14.0,,34.0,34.0,14.8,,34.0,34.0,19.4,,34.0,34.0,21.7,,34.0,0.7,
3/03/2025 2:26:50 PM,300,34.0,29.5,,34.0,3.0,99.2,31.2,34.0,34.0,14.5,,34.0,3.0,99.2,31.2,34.0,34.0,11.8,,34.0,3.0,99.2,31.2,34.0,34.0,16.5,,34.0,34.0,35.3,,34.0,34.0,0.0,,34.0,34.0,3.7,,34.0,34.0,29.9,,34.0,34.0,43.9,,34.0,34.0,50.8,,34.0,34.0,64.0,,34.0,34.0,11.8,,34.0,34.0,27.5,,34.0,34.0,20.0,,34.0,34.0,50.0,,34.0,34.0,71.9,,34.0,34.0,74.8,,34.0,34.0,36.9,,34.0,34.0,33.8,,34.0,34.0,27.9,,34.0,34.0,28.9,,34.0,34.0,14.6,,34.0,34.0,13.9,,34.0,34.0,20.9,,34.0,34.0,21.6,,34.0,0.2,
3/03/2025 2:27:50 PM,360,34.0,28.2,,34.0,3.0,99.2,31.2,34.0,34.0,12.1,,34.0,3.0,99.2,31.2,34.0,34.0,10.4,,34.0,3.0,99.2,31.2,34.0,34.0,15.6,,34.0,34.0,15.7,,34.0,34.0,0.0,,34.0,34.0,1.8,,34.0,34.0,32.7,,34.0,34.0,42.9,,34.0,34.0,51.2,,34.0,34.0,62.5,,34.0,34.0,10.4,,34.0,34.0,26.9,,34.0,34.0,11.7,,34.0,34.0,49.3,,34.0,34.0,75.2,,34.0,34.0,76.9,,34.0,34.0,38.4,,34.0,34.0,34.2,,34.0,34.0,26.4,,34.0,34.0,27.3,,34.0,34.0,13.4,,34.0,34.0,15.2,,34.0,34.0,21.8,,34.0,34.0,20.4,,34.0,0.3,
3/03/2025 2:28:50 PM,420,34.0,32.3,,34.0,3.0,99.2,31.2,34.0,34.0,11.4,,34.0,3.0,99.2,31.2,34.0,34.0,11.2,,34.0,3.0,99.2,31.2,34.0,34.0,16.0,,34.0,34.0,13.7,,34.0,34.0,0.0,,34.0,34.0,0.0,,34.0,34.0,32.2,,34.0,34.0,41.0,,34.0,34.0,49.6,,34.0,34.0,59.8,,34.0,34.0,11.2,,34.0,34.0,27.1,,34.0,33.9,94.1,,34.0,34.0,49.5,,34.0,34.0,72.4,,34.0,34.0,76.8,,34.0,34.0,36.3,,34.0,34.0,34.1,,34.0,34.0,26.9,,34.0,34.0,28.1,,34.0,34.0,12.8,,34.0,34.0,14.3,,34.0,34.0,20.3,,34.0,34.0,20.8,,34.0,0.2,
3/03/2025 2:29:50 PM,480,34.0,28.6,,34.0,3.0,99.2,31.2,34.0,34.0,11.5,,34.0,3.0,99.2,31.2,34.0,34.0,10.4,,34.0,3.0,99.2,31.2,34.0,34.0,15.0,,34.0,34.0,14.1,,34.0,34.0,0.0,,34.0,34.0,0.0,,34.0,34.0,33.0,,34.0,34.0,44.6,,34.0,34.0,50.9,,34.0,34.0,61.5,,34.0,34.0,10.4,,34.0,34.0,26.3,,34.0,34.0,17.8,,34.0,34.0,49.0,,34.0,34.0,68.2,,34.0,34.0,83.2,,34.0,34.0,36.2,,34.0,34.0,36.1,,34.0,34.0,25.8,,34.0,34.0,29.0,,34.0,34.0,15.6,,34.0,34.0,14.7,,34.0,34.0,21.0,,34.0,34.0,22.3,,34.0,0.5,
