Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
3/03/2025 1:57:10 PM,0,34.0,39.5,,34.0,3.0,99.2,31.2,34.0,34.0,44.9,,34.0,3.0,99.2,31.2,34.0,34.0,16.0,,34.0,3.0,99.2,31.2,34.0,34.0,36.3,,34.0,34.0,34.3,,34.0,34.0,52.3,,34.0,34.0,54.9,,34.0,34.0,36.3,,34.0,34.0,49.3,,34.0,34.0,62.3,,34.0,34.0,71.4,,34.0,34.0,16.0,,34.0,34.0,16.9,,34.0,34.0,44.8,,34.0,34.0,51.3,,34.0,34.0,70.2,,34.0,34.0,80.9,,34.0,34.0,38.0,,34.0,34.0,36.9,,34.0,34.0,27.7,,34.0,34.0,30.2,,34.0,34.0,14.3,,34.0,34.0,16.0,,34.0,34.0,18.3,,34.0,34.0,22.1,,34.0,0.1,
3/03/2025 1:58:10 PM,60,34.0,40.0,,34.0,3.0,99.2,31.2,34.0,34.0,50.4,,34.0,3.0,99.2,31.2,34.0,34.0,19.4,,34.0,3.0,99.2,31.2,34.0,34.0,39.4,,34.0,34.0,37.5,,34.0,34.0,62.1,,34.0,34.0,62.6,,34.0,34.0,37.1,,34.0,34.0,51.4,,34.0,34.0,62.4,,34.0,34.0,69.9,,34.0,34.0,19.4,,34.0,34.0,30.4,,34.0,34.0,11.6,,34.0,34.0,50.5,,34.0,34.0,72.7,,34.0,34.0,74.4,,34.0,34.0,37.8,,34.0,34.0,35.7,,34.0,34.0,28.2,,34.0,34.0,30.2,,34.0,34.0,14.9,,34.0,34.0,14.9,,34.0,34.0,21.0,,34.0,34.0,21.8,,34.0,1.2,
3/03/2025 1:59:10 PM,120,34.0,40.1,,34.0,3.0,99.2,31.2,34.0,34.0,50.6,,34.0,3.0,99.2,31.2,34.0,34.0,15.5,,34.0,3.0,99.2,31.2,34.0,34.0,40.6,,34.0,34.0,39.3,,34.0,34.0,61.6,,34.0,34.0,61.5,,34.0,34.0,38.2,,34.0,34.0,50.8,,34.0,34.0,61.3,,34.0,34.0,67.6,,34.0,34.0,15.5,,34.0,34.0,29.1,,34.0,34.0,21.4,,34.0,34.0,50.5,,34.0,34.0,74.6,,34.0,34.0,81.8,,34.0,34.0,35.8,,34.0,34.0,35.1,,34.0,34.0,27.1,,34.0,34.0,30.0,,34.0,34.0,14.3,,34.0,34.0,15.5,,34.0,34.0,20.7,,34.0,34.0,19.9,,34.0,0.8,
3/03/2025 2:00:10 PM,180,34.0,37.1,,34.0,3.0,99.2,31.2,34.0,34.0,40.1,,34.0,3.0,99.2,31.2,34.0,34.0,15.6,,34.0,3.0,99.2,31.2,34.0,34.0,36.8,,34.0,34.0,33.7,,34.0,34.0,42.6,,34.0,34.0,44.2,,34.0,34.0,38.2,,34.0,34.0,48.9,,34.0,34.0,56.4,,34.0,34.0,66.6,,34.0,34.0,15.6,,34.0,34.0,28.7,,34.0,34.0,19.4,,34.0,34.0,49.0,,34.0,34.0,73.2,,34.0,34.0,84.0,,34.0,34.0,36.5,,34.0,34.0,36.5,,34.0,34.0,29.2,,34.0,34.0,29.2,,34.0,34.0,14.0,,34.0,34.0,15.1,,34.0,34.0,20.2,,34.0,34.0,22.1,,34.0,1.0,
3/03/2025 2:01:10 PM,240,34.0,36.4,,34.0,3.0,99.2,31.2,34.0,34.0,38.2,,34.0,3.0,99.2,31.2,34.0,34.0,14.6,,34.0,3.0,99.2,31.2,34.0,34.0,33.4,,34.0,34.0,35.4,,34.0,34.0,37.5,,34.0,34.0,42.6,,34.0,34.0,38.2,,34.0,34.0,49.3,,34.0,34.0,55.0,,34.0,34.0,66.3,,34.0,34.0,14.6,,34.0,34.0,27.5,,34.0,34.0,19.5,,34.0,34.0,49.3,,34.0,34.0,77.8,,34.0,34.0,84.6,,34.0,34.0,36.1,,34.0,34.0,35.0,,34.0,34.0,28.0,,34.0,34.0,29.1,,34.0,34.0,14.2,,34.0,34.0,15.3,,34.0,34.0,20.2,,34.0,34.0,21.4,,34.0,0.6,
3/03/2025 2:02:10 PM,300,34.0,36.9,,34.0,3.0,99.2,31.2,34.0,34.0,37.8,,34.0,3.0,99.2,31.2,34.0,34.0,14.6,,34.0,3.0,99.2,31.2,34.0,34.0,31.4,,34.0,34.0,30.3,,34.0,34.0,41.2,,34.0,34.0,40.8,,34.0,34.0,38.2,,34.0,34.0,50.8,,34.0,34.0,59.2,,34.0,34.0,70.0,,34.0,34.0,14.6,,34.0,34.0,28.6,,34.0,34.0,20.2,,34.0,34.0,50.1,,34.0,34.0,76.8,,34.0,34.0,80.8,,34.0,34.0,35.0,,34.0,34.0,35.4,,34.0,34.0,27.4,,34.0,34.0,31.1,,34.0,34.0,14.3,,34.0,34.0,14.7,,34.0,34.0,20.4,,34.0,34.0,21.3,,34.0,0.2,
3/03/2025 2:03:10 PM,360,34.0,36.4,,34.0,3.0,99.2,31.2,34.0,34.0,37.1,,34.0,3.0,99.2,31.2,34.0,34.0,13.4,,34.0,3.0,99.2,31.2,34.0,34.0,30.4,,34.0,34.0,29.1,,34.0,34.0,39.7,,34.0,34.0,40.8,,34.0,34.0,38.2,,34.0,34.0,49.8,,34.0,34.0,59.2,,34.0,34.0,68.8,,34.0,34.0,13.4,,34.0,34.0,28.6,,34.0,34.0,19.5,,34.0,34.0,50.6,,34.0,34.0,69.6,,34.0,34.0,82.8,,34.0,34.0,36.6,,34.0,34.0,36.0,,34.0,34.0,27.9,,34.0,34.0,29.6,,34.0,34.0,14.0,,34.0,34.0,14.7,,34.0,34.0,20.8,,34.0,34.0,19.4,,34.0,0.2,
3/03/2025 2:04:10 PM,420,34.0,34.9,,34.0,3.0,99.2,31.2,34.0,34.0,36.5,,34.0,3.0,99.2,31.2,34.0,34.0,14.8,,34.0,3.0,99.2,31.2,34.0,34.0,30.3,,34.0,34.0,28.4,,34.0,34.0,39.8,,34.0,34.0,39.4,,34.0,34.0,37.4,,34.0,34.0,50.3,,34.0,34.0,58.7,,34.0,34.0,68.0,,34.0,34.0,14.8,,34.0,34.0,28.5,,34.0,34.0,0.4,,34.0,34.0,49.4,,34.0,34.0,75.4,,34.0,34.0,78.7,,34.0,34.0,37.8,,34.0,34.0,34.9,,34.0,34.0,26.7,,34.0,34.0,28.3,,34.0,34.0,14.5,,34.0,34.0,14.3,,34.0,34.0,17.5,,34.0,34.0,20.3,,34.0,0.0,
3/03/2025 2:05:10 PM,480,34.0,35.9,,34.0,3.0,99.2,31.2,34.0,34.0,35.4,,34.0,3.0,99.2,31.2,34.0,34.0,14.7,,34.0,3.0,99.2,31.2,34.0,34.0,28.4,,34.0,34.0,26.9,,34.0,34.0,37.8,,34.0,34.0,38.9,,34.0,34.0,37.2,,34.0,34.0,49.2,,34.0,34.0,56.3,,34.0,34.0,66.6,,34.0,34.0,14.7,,34.0,34.0,28.1,,34.0,34.0,19.1,,34.0,34.0,51.2,,34.0,34.0,76.7,,34.0,34.0,80.3,,34.0,34.0,37.9,,34.0,34.0,34.6,,34.0,34.0,27.7,,34.0,34.0,29.0,,34.0,34.0,13.2,,34.0,34.0,14.4,,34.0,34.0,23.2,,34.0,34.0,22.3,,34.0,0.8,
