Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
4/03/2025 1:05:26 PM,4627,34.6,39.3,,34.6,3.4,99.9,31.9,34.6,36.5,40.4,,36.6,4.6,100.0,34.3,36.6,34.0,16.9,,34.0,3.0,99.2,31.2,34.0,44.8,0.0,,44.8,43.5,0.0,,43.5,34.0,59.3,,34.0,34.0,59.1,,34.0,34.0,42.7,,34.0,34.0,57.4,,34.0,34.0,64.7,,34.0,34.0,78.1,,34.0,34.0,16.9,,34.0,34.0,30.3,,34.0,34.0,18.7,,34.0,34.0,50.3,,34.0,34.0,71.8,,34.0,34.0,76.0,,34.0,34.0,37.4,,34.0,34.0,37.3,,34.0,34.0,31.8,,34.0,34.0,29.8,,34.0,34.0,14.8,,34.0,34.0,16.6,,34.0,34.0,24.9,,34.0,34.0,23.4,,34.0,0.1,
4/03/2025 1:06:21 PM,4682,34.6,39.1,,34.6,3.4,99.9,31.9,34.6,36.5,40.3,,36.5,4.5,100.0,34.3,36.5,34.0,17.4,,34.0,3.0,99.2,31.2,34.0,44.6,0.0,,44.6,43.3,0.0,,43.3,34.0,57.6,,34.0,34.0,60.5,,34.0,34.0,42.7,,34.0,34.0,56.5,,34.0,34.0,66.1,,34.0,34.0,73.1,,34.0,34.0,17.4,,34.0,34.0,29.5,,34.0,34.0,18.3,,34.0,34.0,55.5,,34.0,34.0,69.4,,34.0,34.0,82.5,,34.0,34.0,38.7,,34.0,34.0,37.3,,34.0,34.0,29.5,,34.0,34.0,32.0,,34.0,34.0,14.8,,34.0,34.0,15.8,,34.0,34.0,23.2,,34.0,34.0,22.7,,34.0,0.2,
4/03/2025 1:07:21 PM,4742,34.6,39.1,,34.6,3.4,99.9,31.9,34.6,36.5,41.2,,36.5,4.5,100.0,34.3,36.5,34.0,17.2,,34.0,3.0,99.2,31.2,34.0,44.6,0.0,,44.6,43.3,0.0,,43.2,34.0,59.0,,34.0,34.0,62.7,,34.0,34.0,42.7,,34.0,34.0,56.0,,34.0,34.0,66.1,,34.0,34.0,75.3,,34.0,34.0,17.2,,34.0,34.0,28.7,,34.0,34.0,19.6,,34.0,34.0,49.9,,34.0,34.0,63.2,,34.0,34.0,82.7,,34.0,34.0,37.2,,34.0,34.0,38.0,,34.0,34.0,28.7,,34.0,34.0,30.2,,34.0,34.0,14.3,,34.0,34.0,17.8,,34.0,34.0,24.3,,34.0,34.0,22.5,,34.0,0.2,
4/03/2025 1:08:21 PM,4802,34.6,39.5,,34.6,3.4,99.9,31.9,34.6,36.5,41.4,,36.5,4.5,100.0,34.3,36.5,34.0,17.8,,34.0,3.0,99.2,31.2,34.0,44.6,0.0,,44.6,43.3,0.0,,43.3,34.0,60.3,,34.0,34.0,62.0,,34.0,34.0,42.7,,34.0,34.0,55.7,,34.0,34.0,68.4,,34.0,34.0,77.2,,34.0,34.0,17.8,,34.0,34.0,28.9,,34.0,34.0,19.3,,34.0,34.0,52.5,,34.0,34.0,67.2,,34.0,34.0,75.3,,34.0,34.0,39.2,,34.0,34.0,37.1,,34.0,34.0,29.4,,34.0,34.0,31.7,,34.0,34.0,15.2,,34.0,34.0,16.3,,34.0,34.0,24.2,,34.0,34.0,22.3,,34.0,0.1,
4/03/2025 1:09:21 PM,4862,34.6,39.5,,34.6,3.4,99.9,31.9,34.6,36.5,40.9,,36.5,4.5,100.0,34.3,36.5,34.0,16.7,,34.0,3.0,99.2,31.2,34.0,44.7,0.0,,44.7,43.4,0.0,,43.4,34.0,59.4,,34.0,34.0,61.2,,34.0,34.0,42.7,,34.0,34.0,54.1,,34.0,34.0,66.6,,34.0,34.0,74.4,,34.0,34.0,16.7,,34.0,34.0,31.0,,34.0,34.0,19.0,,34.0,34.0,51.0,,34.0,34.0,75.0,,34.0,34.0,81.8,,34.0,34.0,41.3,,34.0,34.0,37.0,,34.0,34.0,30.0,,34.0,34.0,30.6,,34.0,34.0,15.7,,34.0,34.0,17.1,,34.0,34.0,24.0,,34.0,34.0,23.0,,34.0,0.2,
4/03/2025 1:10:21 PM,4922,34.6,38.9,,34.6,3.4,99.9,31.9,34.6,36.5,41.1,,36.5,4.6,100.0,34.3,36.5,34.0,18.2,,34.0,3.0,99.2,31.2,34.0,44.8,0.0,,44.8,43.5,0.0,,43.4,34.0,60.5,,34.0,34.0,60.6,,34.0,34.0,42.7,,34.0,34.0,56.9,,34.0,34.0,67.2,,34.0,34.0,70.9,,34.0,34.0,18.2,,34.0,34.0,28.8,,34.0,34.0,18.8,,34.0,34.0,50.5,,34.0,34.0,66.4,,34.0,34.0,75.2,,34.0,34.0,39.6,,34.0,34.0,37.0,,34.0,34.0,29.1,,34.0,34.0,30.5,,34.0,34.0,15.3,,34.0,34.0,16.7,,34.0,34.0,23.2,,34.0,34.0,23.5,,34.0,0.2,
4/03/2025 1:11:21 PM,4982,34.6,39.4,,34.6,3.4,99.9,31.9,34.6,36.6,41.0,,36.6,4.6,100.0,34.4,36.6,34.0,17.5,,34.0,3.0,99.2,31.2,34.0,44.9,0.0,,44.9,43.6,0.0,,43.6,34.0,60.7,,34.0,34.0,60.1,,34.0,34.0,42.7,,34.0,34.0,59.2,,34.0,34.0,65.7,,34.0,34.0,73.2,,34.0,34.0,17.5,,34.0,34.0,30.5,,34.0,34.0,19.2,,34.0,34.0,51.5,,34.0,34.0,66.8,,34.0,34.0,79.2,,34.0,34.0,36.9,,34.0,34.0,37.8,,34.0,34.0,28.9,,34.0,34.0,32.7,,34.0,34.0,15.2,,34.0,34.0,16.5,,34.0,34.0,23.5,,34.0,34.0,23.9,,34.0,0.3,
4/03/2025 1:12:21 PM,5042,34.6,38.3,,34.6,3.4,99.9,31.9,34.6,36.6,40.5,,36.6,4.6,100.0,34.4,36.6,34.0,17.3,,34.0,3.0,99.2,31.2,34.0,45.0,0.0,,45.0,43.7,0.0,,43.6,34.0,59.5,,34.0,34.0,59.3,,34.0,34.0,42.7,,34.0,34.0,53.5,,34.0,34.0,64.1,,34.0,34.0,72.6,,34.0,34.0,17.3,,34.0,34.0,28.4,,34.0,34.0,19.2,,34.0,34.0,51.3,,34.0,34.0,72.3,,34.0,34.0,78.2,,34.0,34.0,37.2,,34.0,34.0,36.5,,34.0,34.0,29.5,,34.0,34.0,30.6,,34.0,34.0,15.2,,34.0,34.0,16.9,,34.0,34.0,19.3,,34.0,34.0,19.8,,34.0,0.2,
4/03/2025 1:13:21 PM,5102,34.6,38.9,,34.6,3.4,99.9,32.0,34.6,36.6,40.5,,36.6,4.6,100.0,34.4,36.6,34.0,17.7,,34.0,3.0,99.2,31.2,34.0,45.1,0.0,,45.1,43.8,0.0,,43.8,34.0,59.8,,34.0,34.0,59.1,,34.0,34.0,42.7,,34.0,34.0,55.4,,34.0,34.0,66.9,,34.0,34.0,74.9,,34.0,34.0,17.7,,34.0,34.0,29.3,,34.0,34.0,18.8,,34.0,34.0,50.3,,34.0,34.0,70.1,,34.0,34.0,72.6,,34.0,34.0,38.3,,34.0,34.0,36.6,,34.0,34.0,30.2,,34.0,34.0,30.7,,34.0,34.0,15.3,,34.0,34.0,16.2,,34.0,34.0,22.8,,34.0,34.0,23.7,,34.0,0.6,
