Manikin #3.4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval (sec),60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),
04/03/2025 14:29,9697,34.8,38.1,,34.8,3.5,100,32.2,34.8,37.3,38.6,,37.3,5,100,35.3,37.3,34,15.2,,34,3,99.2,31.2,34,47.6,0,,47.6,46.5,0,,46.5,34,55.2,,34,34,57,,34,34,42.1,,34,34,53.9,,34,34,66.8,,34,34,73.4,,34,34,15.2,,34,34,29.6,,34,34,16.1,,34,34,51.2,,34,34,70,,34,34,76.9,,34,34,37.4,,34,34,37.5,,34,34,30.7,,34,34,31.1,,34,34,14.6,,34,34,15.8,,34,34,21.8,,34,34,23.4,,34,0.1
04/03/2025 14:30,9722,34.8,38,,34.8,3.5,100,32.2,34.8,37.3,39,,37.3,5,100,35.3,37.3,34,16.7,,34,3,99.2,31.2,34,47.6,0,,47.6,46.5,0,,46.5,34,57,,34,34,56.7,,34,34,42.1,,34,34,53.8,,34,34,65.8,,34,34,74.9,,34,34,16.7,,34,34,29.6,,34,34,17.1,,34,34,50.4,,34,34,67.3,,34,34,74.5,,34,34,37.6,,34,34,37.3,,34,34,29.3,,34,34,30.1,,34,34,14.7,,34,34,15.4,,34,34,21,,34,34,21.6,,34,0.3
04/03/2025 14:31,9782,34.8,38.8,,34.8,3.5,100,32.2,34.8,37.3,39.5,,37.3,5,100,35.3,37.3,34,16.4,,34,3,99.2,31.2,34,47.6,0,,47.6,46.6,0,,46.6,34,58,,34,34,57.5,,34,34,42.1,,34,34,55.4,,34,34,66.6,,34,34,74.5,,34,34,16.4,,34,34,29.7,,34,34,20.5,,34,34,49.6,,34,34,71,,34,34,79.9,,34,34,41.2,,34,34,36.7,,34,34,29.8,,34,34,30.1,,34,34,14.5,,34,34,14.9,,34,34,23.5,,34,34,22.8,,34,0.3
04/03/2025 14:32,9842,34.8,38.4,,34.8,3.5,100,32.2,34.8,37.3,39.3,,37.3,5,100,35.3,37.3,34,16.8,,34,3,99.2,31.2,34,47.6,0,,47.6,46.6,0,,46.6,34,57.1,,34,34,57.7,,34,34,42.1,,34,34,54.2,,34,34,65.5,,34,34,73.9,,34,34,16.8,,34,34,29.2,,34,34,19.9,,34,34,50.3,,34,34,70.1,,34,34,78.1,,34,34,36.6,,34,34,37.2,,34,34,28.2,,34,34,31.6,,34,34,14.2,,34,34,16.2,,34,34,23.1,,34,34,23.6,,34,0.2
04/03/2025 14:33,9902,34.8,38.1,,34.8,3.5,100,32.2,34.8,37.3,38.3,,37.3,5,100,35.3,37.3,34,17,,34,3,99.2,31.2,34,47.6,0,,47.6,46.6,0,,46.6,34,55.3,,34,34,55.7,,34,34,42.1,,34,34,55.2,,34,34,66.7,,34,34,76.4,,34,34,17,,34,34,29.3,,34,34,19.8,,34,34,49,,34,34,68.8,,34,34,75,,34,34,36.9,,34,34,37.2,,34,34,28.5,,34,34,31.1,,34,34,15.6,,34,34,15.9,,34,34,19.1,,34,34,22.1,,34,0.1
04/03/2025 14:34,9962,34.8,38.7,,34.8,3.5,100,32.2,34.8,37.3,39.1,,37.3,5,100,35.3,37.3,34,17.1,,34,3,99.2,31.2,34,47.6,0,,47.6,46.7,0,,46.7,34,56.8,,34,34,57.3,,34,34,42.1,,34,34,55.2,,34,34,67.6,,34,34,74.9,,34,34,17.1,,34,34,29.8,,34,34,20.1,,34,34,51.1,,34,34,69.1,,34,34,77.7,,34,34,36.8,,34,34,37.9,,34,34,29.6,,34,34,30.7,,34,34,15.6,,34,34,16.3,,34,34,22,,34,34,23.2,,34,0.1
04/03/2025 14:35,10022,34.8,38.7,,34.8,3.5,100,32.2,34.8,37.3,39,,37.3,5,100,35.3,37.3,34,17,,34,3,99.2,31.2,34,47.6,0,,47.6,46.7,0,,46.7,34,56.4,,34,34,57.3,,34,34,42,,34,34,53.8,,34,34,65,,34,34,74.7,,34,34,17,,34,34,31.9,,34,34,18.3,,34,34,51,,34,34,74.1,,34,34,81.6,,34,34,38,,34,34,37.5,,34,34,28.4,,34,34,31.8,,34,34,14.2,,34,34,16.4,,34,34,22.1,,34,34,22.9,,34,0.1
04/03/2025 14:36,10082,34.8,38.7,,34.8,3.5,100,32.2,34.8,37.3,39.5,,37.3,5,100,35.3,37.3,34,15.5,,34,3,99.2,31.2,34,47.6,0,,47.6,46.8,0,,46.8,34,57.9,,34,34,57.7,,34,34,42.1,,34,34,56.4,,34,34,66.5,,34,34,72.1,,34,34,15.5,,34,34,28.7,,34,34,19.5,,34,34,51.4,,34,34,74.5,,34,34,87,,34,34,39.8,,34,34,35.7,,34,34,27.9,,34,34,31.2,,34,34,14.7,,34,34,14.8,,34,34,22.3,,34,34,21.3,,34,0.2
04/03/2025 14:37,10142,34.8,38,,34.8,3.5,100,32.2,34.8,37.3,38.8,,37.3,5,100,35.3,37.3,34,16.8,,34,3,99.2,31.2,34,47.6,0,,47.6,46.8,0,,46.8,34,55.3,,34,34,57.6,,34,34,42.1,,34,34,55.1,,34,34,61.8,,34,34,73.8,,34,34,16.8,,34,34,30.3,,34,34,20,,34,34,50.2,,34,34,67.9,,34,34,79.8,,34,34,36.7,,34,34,35.7,,34,34,29.4,,34,34,30.1,,34,34,14.1,,34,34,16.3,,34,34,21.6,,34,34,22.4,,34,0.3
